,ticker,open,high,low,close,volume,timestamp
0,AAN,12.07,12.36,11.86,12.16,507167.0,2022-09-19
1,AAN,11.96,11.96,11.45,11.51,441557.0,2022-09-20
2,AAN,11.61,11.99,11.49,11.5,268924.0,2022-09-21
3,AAN,11.44,11.44,10.96,10.98,400692.0,2022-09-22
4,AAN,10.81,10.91,10.59,10.8,208905.0,2022-09-23
5,AAN,10.74,11.04,10.57,10.59,272690.0,2022-09-26
6,AAN,10.7,10.84,10.35,10.51,447328.0,2022-09-27
7,AAN,10.62,10.88,10.54,10.77,226158.0,2022-09-28
8,AAN,10.54,10.55,10.1,10.51,327999.0,2022-09-29
9,AAN,10.13,10.34,9.71,9.72,853802.0,2022-09-30
10,AAN,10.05,10.24,9.75,9.89,515599.0,2022-10-03
11,AAN,10.14,10.58,10.14,10.34,567754.0,2022-10-04
12,AAN,10.14,10.235,9.95,10.21,335162.0,2022-10-05
13,AAN,10.18,10.385,9.9,9.9,348015.0,2022-10-06
14,AAN,9.75,9.86,9.44,9.5,491844.0,2022-10-07
15,AAN,9.47,9.47,9.01,9.03,413497.0,2022-10-10
16,AAN,8.93,9.22,8.79,8.91,719690.0,2022-10-11
17,AAN,8.96,9.14,8.8,9.11,421723.0,2022-10-12
18,AAN,8.84,9.36,8.76,9.21,316697.0,2022-10-13
19,AAN,9.24,9.35,8.84,8.86,271129.0,2022-10-14
20,AAN,9.11,9.23,8.98,9.08,302075.0,2022-10-17
21,AAN,9.26,9.47,8.84,8.88,300948.0,2022-10-18
22,AAN,8.83,8.88,8.35,8.53,414200.0,2022-10-19
23,AAN,8.45,8.72,8.4,8.54,233924.0,2022-10-20
24,AAN,8.62,8.75,8.35,8.71,260352.0,2022-10-21
25,AAN,8.0,8.13,7.645,8.1,968876.0,2022-10-24
26,AAN,9.28,10.5,9.27,10.29,2371970.0,2022-10-25
27,AAN,10.24,10.83,9.89,9.89,1517637.0,2022-10-26
28,AAN,10.08,11.24,10.03,10.5,1234131.0,2022-10-27
29,AAN,10.46,10.77,10.3,10.33,625793.0,2022-10-28
30,AAN,10.22,10.57,10.18,10.42,472375.0,2022-10-31
31,AAN,10.63,10.82,10.15,10.26,1009846.0,2022-11-01
32,AAN,10.19,10.39,9.76,9.77,422840.0,2022-11-02
33,AAN,9.74,10.07,9.57,9.88,350733.0,2022-11-03
34,AAN,10.0,10.16,9.5,9.71,334928.0,2022-11-04
35,AAN,9.81,9.94,9.605,9.84,347833.0,2022-11-07
36,AAN,9.98,10.13,9.73,10.12,432251.0,2022-11-08
37,AAN,10.08,10.1,9.8,10.02,359549.0,2022-11-09
38,AAN,10.59,11.16,10.55,11.05,368188.0,2022-11-10
39,AAN,10.97,11.595,10.97,11.44,385907.0,2022-11-11
40,AAN,11.28,11.355,10.67,10.74,403526.0,2022-11-14
41,AAN,11.11,11.38,10.7,10.76,366491.0,2022-11-15
42,AAN,10.57,10.57,10.13,10.16,315557.0,2022-11-16
43,AAN,10.06,10.54,9.9,10.51,269189.0,2022-11-17
44,AAN,10.67,11.06,10.5,11.05,422011.0,2022-11-18
45,AAN,10.96,11.2,10.85,11.04,507677.0,2022-11-21
46,AAN,11.22,11.84,11.11,11.69,573001.0,2022-11-22
47,AAN,11.55,11.98,11.42,11.85,507155.0,2022-11-23
48,AAN,11.72,11.94,11.58,11.58,123564.0,2022-11-25
49,AAN,11.51,11.91,11.34,11.6,295263.0,2022-11-28
50,AAN,11.55,12.14,11.4,11.85,284376.0,2022-11-29
51,AAN,11.84,12.33,11.4701,12.19,418280.0,2022-11-30
52,AAN,12.16,12.4,12.02,12.22,401755.0,2022-12-01
53,AAN,12.0,12.6,11.77,12.57,419331.0,2022-12-02
54,AAN,12.5,12.88,12.3,12.4,289681.0,2022-12-05
55,AAN,12.39,12.6,12.055,12.27,229606.0,2022-12-06
56,AAN,12.17,12.225,11.94,12.01,201134.0,2022-12-07
57,AAN,12.04,12.085,11.78,11.85,270078.0,2022-12-08
58,AAN,11.66,11.94,11.49,11.73,192114.0,2022-12-09
59,AAN,11.82,12.29,11.61,12.21,310297.0,2022-12-12
60,AAN,12.55,12.81,11.97,12.41,665745.0,2022-12-13
61,AAN,12.09,12.49,12.06,12.3,439857.0,2022-12-14
62,AAN,11.9,12.26,11.83,12.12,355844.0,2022-12-15
63,AAN,11.87,12.09,11.805,11.9,1165635.0,2022-12-16
64,AAN,11.77,12.0,11.46,11.54,403246.0,2022-12-19
65,AAN,11.38,11.7,11.29,11.36,395051.0,2022-12-20
66,AAN,11.53,11.62,11.24,11.36,354368.0,2022-12-21
67,AAN,11.19,11.245,10.86,11.23,369225.0,2022-12-22
68,AAN,11.24,11.45,11.24,11.37,138777.0,2022-12-23
69,AAN,11.38,11.41,11.19,11.35,130001.0,2022-12-27
70,AAN,11.36,11.6499,11.21,11.32,248993.0,2022-12-28
71,AAN,11.44,11.83,11.44,11.8,170563.0,2022-12-29
72,AAN,11.59,12.06,11.59,11.95,317283.0,2022-12-30
73,AAN,12.16,12.36,11.8,11.85,342955.0,2023-01-03
74,AAN,12.06,12.71,11.93,12.7,335088.0,2023-01-04
75,AAN,12.58,12.77,12.33,12.75,211165.0,2023-01-05
76,AAN,12.85,13.11,12.67,13.05,237360.0,2023-01-06
77,AAN,13.12,13.42,13.0,13.28,320169.0,2023-01-09
78,AAN,13.13,13.48,13.01,13.46,238746.0,2023-01-10
79,AAN,13.52,14.17,13.52,14.16,245479.0,2023-01-11
80,AAN,14.31,14.59,14.2,14.31,318133.0,2023-01-12
81,AAN,14.07,14.44,14.07,14.35,199670.0,2023-01-13
82,AAN,14.43,14.43,13.86,13.86,217554.0,2023-01-17
83,AAN,14.01,14.38,13.85,13.88,155189.0,2023-01-18
84,AAN,13.67,13.84,13.291,13.65,272791.0,2023-01-19
85,AAN,13.69,14.22,13.52,14.18,203634.0,2023-01-20
86,AAN,14.22,14.45,14.18,14.43,182969.0,2023-01-23
87,AAN,14.31,14.4,13.92,13.94,171461.0,2023-01-24
88,AAN,13.71,13.99,13.66,13.94,179759.0,2023-01-25
89,AAN,14.12,14.145,13.81,13.95,107366.0,2023-01-26
90,AAN,13.92,14.44,13.92,14.33,163331.0,2023-01-27
91,AAN,14.19,14.4,14.095,14.22,133406.0,2023-01-30
92,AAN,14.26,14.71,14.26,14.65,187215.0,2023-01-31
93,AAN,14.55,15.11,14.39,14.89,239292.0,2023-02-01
94,AAN,15.15,15.91,15.05,15.71,198527.0,2023-02-02
95,AAN,15.5,15.74,15.37,15.47,257560.0,2023-02-03
96,AAN,15.34,15.625,14.96,14.99,200494.0,2023-02-06
97,AAN,14.86,15.26,14.645,15.13,317487.0,2023-02-07
98,AAN,15.03,15.18,14.93,15.05,176819.0,2023-02-08
99,AAN,15.19,15.35,14.86,14.88,196597.0,2023-02-09
100,AAN,14.77,14.85,14.42,14.64,152869.0,2023-02-10
101,AAN,14.61,14.84,14.4,14.81,158885.0,2023-02-13
102,AAN,14.69,14.9999,14.65,14.84,171852.0,2023-02-14
103,AAN,14.72,15.12,14.72,15.07,132494.0,2023-02-15
104,AAN,14.87,15.15,14.75,14.87,165574.0,2023-02-16
105,AAN,14.9,15.06,14.56,14.75,215535.0,2023-02-17
106,AAN,14.55,14.66,13.84,13.85,245734.0,2023-02-21
107,AAN,13.81,14.46,13.73,14.14,237462.0,2023-02-22
108,AAN,13.97,14.34,13.96,14.15,186836.0,2023-02-23
109,AAN,13.8,14.225,13.65,14.13,281781.0,2023-02-24
110,AAN,14.33,14.5,14.13,14.28,224409.0,2023-02-27
111,AAN,14.26,14.685,14.26,14.35,219884.0,2023-02-28
112,AAN,14.23,14.535,14.15,14.4,250668.0,2023-03-01
113,AAN,12.24,13.2,11.51,12.37,1099345.0,2023-03-02
114,AAN,12.36,12.93,12.36,12.78,854792.0,2023-03-03
115,AAN,12.79,12.85,11.96,12.0,575452.0,2023-03-06
116,AAN,11.99,12.31,11.77,12.26,274162.0,2023-03-07
117,AAN,12.28,12.28,11.87,12.16,259518.0,2023-03-08
118,AAN,12.06,12.15,11.49,11.51,285237.0,2023-03-09
119,AAN,11.47,11.47,10.94,11.16,260052.0,2023-03-10
120,AAN,10.85,10.88,10.3,10.46,331755.0,2023-03-13
121,AAN,10.83,10.865,10.4,10.5,296791.0,2023-03-14
122,AAN,10.25,10.34,9.96,10.2,323710.0,2023-03-15
123,AAN,10.0,10.3399,9.78,10.05,327425.0,2023-03-16
124,AAN,9.88,9.94,9.39,9.46,657696.0,2023-03-17
125,AAN,9.52,9.7,9.26,9.38,436919.0,2023-03-20
126,AAN,9.65,9.76,9.22,9.29,661464.0,2023-03-21
127,AAN,9.33,9.59,8.99,9.0,523087.0,2023-03-22
128,AAN,9.1,9.31,8.97,9.14,439172.0,2023-03-23
129,AAN,9.02,9.25,8.92,9.21,439993.0,2023-03-24
130,AAN,9.36,9.4,9.195,9.26,263230.0,2023-03-27
131,AAN,9.22,9.43,9.175,9.22,278901.0,2023-03-28
132,AAN,9.0,9.19,8.96,9.03,723880.0,2023-03-29
133,AAN,9.18,9.38,9.0,9.12,623921.0,2023-03-30
134,AAN,9.21,9.705,9.195,9.66,496892.0,2023-03-31
135,AAN,9.63,9.79,9.42,9.68,378000.0,2023-04-03
136,AAN,9.74,9.75,9.35,9.62,333493.0,2023-04-04
137,AAN,9.51,9.68,9.42,9.54,232894.0,2023-04-05
138,AAN,9.53,10.005,9.31,9.89,439078.0,2023-04-06
139,AAN,9.9,10.485,9.9,10.21,854043.0,2023-04-10
140,AAN,10.21,10.78,10.21,10.6,363645.0,2023-04-11
141,AAN,10.86,10.935,10.45,10.47,317417.0,2023-04-12
142,AAN,10.58,10.86,10.44,10.72,254906.0,2023-04-13
143,AAN,10.82,10.98,10.5,10.59,195986.0,2023-04-14
144,AAN,10.6,10.715,10.48,10.65,194849.0,2023-04-17
145,AAN,10.65,10.695,10.3,10.43,270611.0,2023-04-18
146,AAN,10.38,10.42,10.23,10.35,238947.0,2023-04-19
147,AAN,10.25,10.44,10.2,10.32,316395.0,2023-04-20
148,AAN,10.28,10.36,10.02,10.15,340227.0,2023-04-21
149,AAN,10.13,10.36,10.12,10.22,299703.0,2023-04-24
150,AAN,12.25,13.28,11.75,12.62,1198574.0,2023-04-25
151,AAN,12.78,13.72,12.6,13.13,994184.0,2023-04-26
152,AAN,13.2,13.48,13.04,13.23,531113.0,2023-04-27
153,AAN,13.35,13.86,13.3,13.35,350750.0,2023-04-28
154,AAN,13.36,13.49,13.07,13.21,348556.0,2023-05-01
155,AAN,13.17,13.17,12.07,12.24,417857.0,2023-05-02
156,AAN,12.35,12.5,12.11,12.12,259224.0,2023-05-03
157,AAN,12.03,12.24,11.84,11.89,305437.0,2023-05-04
158,AAN,12.16,12.44,12.14,12.34,268252.0,2023-05-05
159,AAN,12.36,12.39,12.19,12.35,176186.0,2023-05-08
160,AAN,12.28,12.72,12.2,12.58,290501.0,2023-05-09
161,AAN,12.75,12.93,12.54,12.62,295737.0,2023-05-10
162,AAN,12.53,12.615,12.24,12.56,263907.0,2023-05-11
163,AAN,12.65,12.77,12.35,12.45,241686.0,2023-05-12
164,AAN,12.47,12.65,12.395,12.62,162114.0,2023-05-15
