,ticker,open,high,low,close,volume,timestamp
0,ALSA,9.78,9.8,9.77,9.8,500087.0,2022-01-20
1,ALSA,9.82,9.82,9.81,9.81,19485.0,2022-01-21
2,ALSA,9.81,9.81,9.7736,9.81,75300.0,2022-01-24
3,ALSA,9.81,9.81,9.7783,9.7783,6586.0,2022-01-25
4,ALSA,9.8,9.81,9.8,9.8,17740.0,2022-01-26
5,ALSA,9.8,9.82,9.7959,9.805,524633.0,2022-01-27
6,ALSA,9.82,9.825,9.81,9.81,56658.0,2022-01-28
7,ALSA,9.82,9.82,9.81,9.82,168502.0,2022-01-31
8,ALSA,9.82,9.82,9.82,9.82,103.0,2022-02-01
9,ALSA,9.8,9.82,9.8,9.82,42455.0,2022-02-02
10,ALSA,9.81,9.82,9.8,9.8,296896.0,2022-02-03
11,ALSA,9.82,9.85,9.82,9.84,420908.0,2022-02-04
12,ALSA,9.85,9.85,9.85,9.85,180494.0,2022-02-07
13,ALSA,9.83,9.85,9.83,9.83,161421.0,2022-02-08
14,ALSA,9.84,9.85,9.83,9.83,11125.0,2022-02-09
15,ALSA,9.84,9.84,9.82,9.82,123528.0,2022-02-10
16,ALSA,9.83,9.84,9.81,9.81,349800.0,2022-02-11
17,ALSA,9.81,9.84,9.81,9.83,143308.0,2022-02-14
18,ALSA,9.84,9.84,9.82,9.82,86329.0,2022-02-15
19,ALSA,9.83,9.83,9.83,9.83,64418.0,2022-02-16
20,ALSA,9.83,9.84,9.83,9.83,3837.0,2022-02-17
21,ALSA,9.84,9.84,9.83,9.83,2786.0,2022-02-18
22,ALSA,9.84,9.84,9.84,9.84,3171.0,2022-02-22
23,ALSA,9.85,9.85,9.83,9.84,19147.0,2022-02-23
24,ALSA,9.85,9.85,9.85,9.85,2198.0,2022-02-25
25,ALSA,9.85,9.85,9.8402,9.85,6468.0,2022-02-28
26,ALSA,9.845,9.85,9.841,9.85,7113.0,2022-03-01
27,ALSA,9.85,9.85,9.85,9.85,8031.0,2022-03-02
28,ALSA,9.86,9.86,9.86,9.86,1020.0,2022-03-04
29,ALSA,9.87,9.87,9.86,9.86,1716.0,2022-03-07
30,ALSA,9.86,9.86,9.86,9.86,1123.0,2022-03-08
31,ALSA,9.86,9.86,9.86,9.86,2007.0,2022-03-09
32,ALSA,9.85,9.86,9.85,9.86,502.0,2022-03-10
33,ALSA,9.8647,9.87,9.8647,9.87,19827.0,2022-03-11
34,ALSA,9.87,9.87,9.87,9.87,1002.0,2022-03-14
35,ALSA,9.87,9.87,9.865,9.87,3143.0,2022-03-15
36,ALSA,9.87,9.87,9.87,9.87,45181.0,2022-03-16
37,ALSA,9.865,9.87,9.86,9.86,4808.0,2022-03-21
38,ALSA,9.87,9.87,9.87,9.87,1031.0,2022-03-22
39,ALSA,9.88,9.88,9.88,9.88,505.0,2022-03-24
40,ALSA,9.87,9.89,9.87,9.89,152463.0,2022-03-25
41,ALSA,9.87,9.88,9.87,9.88,1576.0,2022-03-28
42,ALSA,9.88,9.89,9.88,9.89,502795.0,2022-03-29
43,ALSA,9.89,9.89,9.8875,9.8875,2470.0,2022-03-30
44,ALSA,9.9,9.9,9.88,9.89,9606.0,2022-03-31
45,ALSA,9.8908,9.8908,9.8908,9.8908,1002.0,2022-04-04
46,ALSA,9.9,9.9,9.896,9.896,1549.0,2022-04-06
47,ALSA,9.89,9.91,9.89,9.91,104153.0,2022-04-07
48,ALSA,9.9,9.905,9.9,9.9,4048.0,2022-04-08
49,ALSA,9.9,9.905,9.9,9.905,402.0,2022-04-11
50,ALSA,9.91,9.91,9.91,9.91,1100.0,2022-04-12
51,ALSA,9.9,9.92,9.9,9.92,11426.0,2022-04-13
52,ALSA,9.9107,9.914,9.9107,9.9131,12700.0,2022-04-14
53,ALSA,9.91,9.91,9.91,9.91,12872.0,2022-04-18
54,ALSA,9.91,9.91,9.91,9.91,1973.0,2022-04-19
55,ALSA,9.92,9.92,9.92,9.92,16314.0,2022-04-20
56,ALSA,9.93,9.93,9.91,9.9103,2036.0,2022-04-21
57,ALSA,9.92,9.93,9.92,9.925,6086.0,2022-04-25
58,ALSA,9.925,9.925,9.925,9.925,2893.0,2022-04-26
59,ALSA,9.92,9.92,9.92,9.92,12232.0,2022-04-27
60,ALSA,9.93,9.93,9.92,9.93,16491.0,2022-04-28
61,ALSA,9.93,9.93,9.92,9.93,12584.0,2022-04-29
62,ALSA,9.93,9.93,9.9299,9.93,9800.0,2022-05-02
63,ALSA,9.93,9.9307,9.93,9.9307,20087.0,2022-05-03
