,ticker,open,high,low,close,volume,timestamp
0,ALV,72.64,75.67,72.58,75.54,578129.0,2022-09-19
1,ALV,74.22,74.22,72.97,73.16,569479.0,2022-09-20
2,ALV,70.97,73.57,70.97,71.34,1139868.0,2022-09-21
3,ALV,71.39,71.605,69.67,70.0,720497.0,2022-09-22
4,ALV,66.82,67.29,65.74,66.64,1116242.0,2022-09-23
5,ALV,66.94,68.84,66.85,68.28,844463.0,2022-09-26
6,ALV,69.57,69.96,67.6,68.72,819363.0,2022-09-27
7,ALV,68.61,70.81,68.47,70.3,773750.0,2022-09-28
8,ALV,68.12,68.26,66.33,67.15,687898.0,2022-09-29
9,ALV,67.0,68.51,66.57,66.63,675023.0,2022-09-30
10,ALV,68.04,70.65,67.44,70.5,900710.0,2022-10-03
11,ALV,72.55,74.5,72.55,74.48,985926.0,2022-10-04
12,ALV,71.22,73.815,71.06,73.61,1087492.0,2022-10-05
13,ALV,73.51,74.84,73.22,74.18,787156.0,2022-10-06
14,ALV,73.51,73.59,72.19,72.91,654942.0,2022-10-07
15,ALV,72.84,72.84,71.09,71.67,528833.0,2022-10-10
16,ALV,70.54,72.63,70.34,71.7,567287.0,2022-10-11
17,ALV,71.14,71.54,70.6,70.9,619515.0,2022-10-12
18,ALV,69.14,72.81,68.53,72.21,707885.0,2022-10-13
19,ALV,72.84,73.23,71.29,71.31,591535.0,2022-10-14
20,ALV,73.51,74.24,73.02,73.82,734955.0,2022-10-17
21,ALV,75.91,76.09,74.73,75.32,1006447.0,2022-10-18
22,ALV,75.01,75.595,74.25,75.36,597055.0,2022-10-19
23,ALV,75.5,76.32,73.03,73.67,1009291.0,2022-10-20
24,ALV,76.83,76.97,73.3,76.69,1308489.0,2022-10-21
25,ALV,77.85,79.43,77.08,79.19,1284733.0,2022-10-24
26,ALV,78.85,80.134,78.79,79.9,901142.0,2022-10-25
27,ALV,79.79,81.425,79.4,79.42,732518.0,2022-10-26
28,ALV,80.16,81.095,79.23,80.02,819217.0,2022-10-27
29,ALV,78.77,80.51,78.77,80.44,546491.0,2022-10-28
