,ticker,open,high,low,close,volume,timestamp
0,ARQT,23.05,24.4,19.32,21.8,2931670.0,2020-01-31
1,ARQT,21.16,25.82,21.11,25.13,712540.0,2020-02-03
2,ARQT,25.13,27.45,24.3,25.64,247218.0,2020-02-04
3,ARQT,26.09,26.09,24.5,25.23,161300.0,2020-02-05
4,ARQT,25.27,25.55,23.14,24.74,223136.0,2020-02-06
5,ARQT,24.71,26.655,23.11,26.39,251166.0,2020-02-07
6,ARQT,26.83,27.725,25.53,26.5,90931.0,2020-02-10
7,ARQT,26.64,26.7,25.83,26.24,129233.0,2020-02-11
8,ARQT,26.2,26.2,24.922,25.75,105038.0,2020-02-12
9,ARQT,25.61,27.5299,25.3379,26.33,114020.0,2020-02-13
10,ARQT,26.41,27.465,23.8901,25.51,93375.0,2020-02-14
11,ARQT,25.24,26.3638,24.2001,25.5,209540.0,2020-02-18
12,ARQT,25.54,26.96,25.54,26.59,293338.0,2020-02-19
13,ARQT,27.34,27.39,26.15,26.9,227011.0,2020-02-20
14,ARQT,26.88,28.4999,26.45,27.05,256473.0,2020-02-21
15,ARQT,26.24,28.49,25.61,27.61,217973.0,2020-02-24
16,ARQT,27.31,28.94,25.07,26.33,386281.0,2020-02-25
17,ARQT,26.14,28.58,26.14,28.54,91161.0,2020-02-26
18,ARQT,28.21,28.8508,26.8029,27.61,262593.0,2020-02-27
19,ARQT,27.13,29.06,24.8,26.575,424053.0,2020-02-28
20,ARQT,26.65,28.14,26.0,27.4,247779.0,2020-03-02
21,ARQT,27.5,28.84,26.5,27.47,242820.0,2020-03-03
22,ARQT,27.67,28.26,26.54,27.71,176241.0,2020-03-04
23,ARQT,27.3,28.8,26.86,27.64,163513.0,2020-03-05
24,ARQT,27.49,29.0494,26.55,28.25,198598.0,2020-03-06
25,ARQT,27.55,30.55,27.11,28.36,119694.0,2020-03-09
26,ARQT,28.99,34.0,28.55,30.53,196555.0,2020-03-10
27,ARQT,30.01,31.8,22.9,25.0,408582.0,2020-03-11
28,ARQT,23.23,24.8,21.62,22.32,103073.0,2020-03-12
29,ARQT,22.7,28.77,17.87,22.66,166831.0,2020-03-13
30,ARQT,21.44,21.44,17.1,18.98,147137.0,2020-03-16
31,ARQT,19.38,20.21,18.2,19.12,151295.0,2020-03-17
32,ARQT,18.36,19.5,17.55,18.5,91843.0,2020-03-18
33,ARQT,18.45,26.13,18.18,25.23,123152.0,2020-03-19
34,ARQT,25.95,40.88,23.36,33.32,1350354.0,2020-03-20
