,ticker,open,high,low,close,volume,timestamp
0,ATLX,8.85,9.075,7.65,8.625,11831.208,2022-10-04
1,ATLX,8.25,8.85,7.65,8.025,6428.1733,2022-10-05
2,ATLX,8.025,8.025,7.125,7.35,8179.9947,2022-10-06
3,ATLX,7.425,8.25,6.75,7.5,9515.936,2022-10-07
4,ATLX,7.5,8.175,7.125,8.175,1608.4027,2022-10-10
5,ATLX,8.025,8.025,7.5,7.875,3336.7813,2022-10-11
6,ATLX,6.975,7.875,6.975,7.725,2493.824,2022-10-12
7,ATLX,7.5375,7.725,6.8625,7.65,11648.944,2022-10-13
8,ATLX,7.6875,7.725,6.675,6.9,10301.492,2022-10-14
9,ATLX,7.125,7.725,6.675,7.725,11300.8947,2022-10-17
10,ATLX,7.65,9.0,7.05,7.8,22614.9427,2022-10-18
11,ATLX,7.95,8.25,7.5,8.025,7520.6373,2022-10-19
12,ATLX,7.95,10.425,7.95,9.75,23158.896,2022-10-20
13,ATLX,10.425,10.6875,9.45,9.525,18806.4627,2022-10-21
14,ATLX,9.75,11.925,9.225,11.475,45792.452,2022-10-24
15,ATLX,11.55,12.75,10.35,10.8375,18682.2067,2022-10-25
16,ATLX,11.25,12.525,10.5,12.0,19034.216,2022-10-26
17,ATLX,12.0,13.05,11.25,12.225,13648.852,2022-10-27
18,ATLX,12.6,12.6,11.025,11.175,16832.4133,2022-10-28
19,ATLX,11.25,12.6,10.575,12.0,18519.0467,2022-10-31
20,ATLX,12.075,12.45,11.625,12.375,10635.5787,2022-11-01
21,ATLX,12.6375,13.275,12.375,13.05,14776.1373,2022-11-02
22,ATLX,13.125,15.975,12.75,14.5125,79612.9933,2022-11-03
23,ATLX,15.0,15.375,13.2,15.0,16334.0387,2022-11-04
24,ATLX,15.0,17.925,14.625,16.95,60453.0347,2022-11-07
25,ATLX,17.1,23.5125,16.95,20.775,112914.648,2022-11-08
26,ATLX,21.9,21.9375,14.25,15.975,75246.5,2022-11-09
27,ATLX,16.35,17.55,15.0,16.2,27292.548,2022-11-10
28,ATLX,16.5,17.625,14.325,14.8125,23691.4653,2022-11-11
29,ATLX,14.8875,15.825,12.225,12.75,30632.4173,2022-11-14
30,ATLX,12.675,14.475,12.075,13.1625,19594.204,2022-11-15
31,ATLX,13.575,14.25,13.2,13.275,9656.724,2022-11-16
32,ATLX,12.825,13.65,10.8,11.025,79372.0373,2022-11-17
33,ATLX,10.425,11.25,9.75,11.1,25388.8613,2022-11-18
34,ATLX,11.25,14.025,11.25,12.675,10957.7413,2022-11-21
35,ATLX,13.8,13.8,12.3,12.675,10999.6347,2022-11-22
36,ATLX,13.425,13.425,12.0,12.075,7053.0107,2022-11-23
37,ATLX,13.05,13.05,9.975,10.5,13977.848,2022-11-25
38,ATLX,11.7,11.7,9.9,9.9,16857.6027,2022-11-28
39,ATLX,10.5375,10.575,8.925,9.8025,27665.4933,2022-11-29
40,ATLX,9.375,9.525,8.25,8.625,13419.636,2022-11-30
41,ATLX,9.0,9.375,7.875,7.875,15131.836,2022-12-01
42,ATLX,8.625,9.0,7.65,9.0,11900.2413,2022-12-02
43,ATLX,8.25,8.25,7.425,7.6875,17091.5267,2022-12-08
44,ATLX,7.7625,8.85,7.425,7.575,14249.1533,2022-12-09
45,ATLX,7.575,8.1,7.425,7.95,9088.116,2022-12-12
46,ATLX,8.175,8.775,7.5,8.55,13801.6733,2022-12-13
47,ATLX,8.625,8.625,7.575,8.175,15098.0573,2022-12-14
48,ATLX,7.875,8.1375,7.425,7.575,11900.876,2022-12-15
49,ATLX,7.875,7.875,7.425,7.425,12720.1053,2022-12-16
50,ATLX,7.8,7.95,7.3875,7.575,7296.9627,2022-12-19
51,ATLX,7.425,7.8,7.275,7.5,18202.6933,2022-12-20
52,ATLX,7.6875,7.8,7.275,7.5,7349.0,2022-12-21
53,ATLX,7.5,7.875,7.05,7.425,12061.076,2022-12-22
54,ATLX,6.75,7.9492,6.01,7.1,607647.0,2023-01-10
55,ATLX,6.81,8.59,6.66,8.17,623981.0,2023-01-11
56,ATLX,8.49,8.49,7.02,7.46,147826.0,2023-01-12
57,ATLX,7.27,7.75,7.0,7.5362,102912.0,2023-01-13
58,ATLX,7.48,8.87,7.48,8.48,360078.0,2023-01-17
