,ticker,open,high,low,close,volume,timestamp
0,ATOS,1.54,1.66,1.54,1.59,55632.0,2020-01-02
1,ATOS,1.55,1.6593,1.55,1.59,52280.0,2020-01-03
2,ATOS,1.73,1.76,1.5522,1.58,58291.0,2020-01-06
3,ATOS,1.55,1.75,1.55,1.62,312889.0,2020-01-07
4,ATOS,1.67,1.67,1.55,1.61,114404.0,2020-01-08
5,ATOS,1.58,1.61,1.55,1.55,56297.0,2020-01-09
6,ATOS,1.57,1.68,1.54,1.57,72318.0,2020-01-10
7,ATOS,1.55,1.59,1.5,1.5199,111686.0,2020-01-13
8,ATOS,1.5,1.56,1.5,1.54,70436.0,2020-01-14
9,ATOS,1.56,1.6,1.52,1.53,88062.0,2020-01-15
10,ATOS,1.52,1.56,1.46,1.52,95398.0,2020-01-16
11,ATOS,1.52,1.53,1.5,1.53,67888.0,2020-01-17
12,ATOS,1.54,1.54,1.49,1.51,68495.0,2020-01-21
13,ATOS,1.51,1.51,1.46,1.5,63508.0,2020-01-22
14,ATOS,1.46,1.51,1.46,1.51,55128.0,2020-01-23
15,ATOS,1.53,1.57,1.53,1.55,57985.0,2020-01-24
16,ATOS,1.51,1.55,1.51,1.54,90277.0,2020-01-27
17,ATOS,1.53,1.55,1.5077,1.54,54309.0,2020-01-28
18,ATOS,1.52,1.53,1.49,1.49,32914.0,2020-01-29
19,ATOS,1.46,1.5,1.4,1.44,117032.0,2020-01-30
20,ATOS,1.45,1.54,1.4002,1.48,105723.0,2020-01-31
21,ATOS,1.48,1.52,1.45,1.46,37231.0,2020-02-03
22,ATOS,1.48,1.5085,1.47,1.47,18887.0,2020-02-04
23,ATOS,1.5,1.53,1.47,1.52,38119.0,2020-02-05
24,ATOS,1.53,1.53,1.49,1.5,26454.0,2020-02-06
25,ATOS,1.49,1.54,1.49,1.5019,18452.0,2020-02-07
26,ATOS,1.51,1.52,1.445,1.4484,73653.0,2020-02-10
27,ATOS,1.46,1.46,1.352,1.4,122198.0,2020-02-11
28,ATOS,1.4,1.45,1.38,1.4049,46756.0,2020-02-12
29,ATOS,1.37,1.4,1.36,1.3975,32788.0,2020-02-13
30,ATOS,1.4,1.4,1.3,1.38,132546.0,2020-02-14
31,ATOS,1.34,1.3888,1.34,1.37,38028.0,2020-02-18
32,ATOS,1.35,1.4,1.31,1.36,45183.0,2020-02-19
33,ATOS,1.37,1.45,1.36,1.4,58033.0,2020-02-20
34,ATOS,1.42,1.4289,1.35,1.38,42199.0,2020-02-21
35,ATOS,1.31,1.33,1.3,1.325,52882.0,2020-02-24
36,ATOS,1.3,1.33,1.21,1.2393,94620.0,2020-02-25
37,ATOS,1.21,1.47,1.21,1.28,123356.0,2020-02-26
38,ATOS,1.21,1.33,1.21,1.2894,78680.0,2020-02-27
39,ATOS,1.2,1.26,1.2,1.21,118884.0,2020-02-28
40,ATOS,1.31,1.31,1.2,1.23,54801.0,2020-03-02
41,ATOS,1.25,1.28,1.25,1.2598,28789.0,2020-03-03
42,ATOS,1.29,1.29,1.21,1.211,50627.0,2020-03-04
43,ATOS,1.21,1.26,1.21,1.2299,29325.0,2020-03-05
44,ATOS,1.22,1.22,1.17,1.18,64390.0,2020-03-06
45,ATOS,1.15,1.157,1.06,1.1,91279.0,2020-03-09
46,ATOS,1.1,1.11,1.01,1.05,164014.0,2020-03-10
47,ATOS,0.83,0.99,0.82,0.88,309036.0,2020-03-11
48,ATOS,0.85,0.85,0.755,0.82,149215.0,2020-03-12
49,ATOS,0.9,0.9399,0.82,0.91,218708.0,2020-03-13
50,ATOS,0.79,0.9058,0.7774,0.785,135763.0,2020-03-16
51,ATOS,0.8859,0.886,0.81,0.826,53057.0,2020-03-17
52,ATOS,0.8299,0.9,0.8,0.83,87202.0,2020-03-18
53,ATOS,0.8587,0.8587,0.785,0.8282,68247.0,2020-03-19
54,ATOS,0.8241,0.95,0.8241,0.8803,128783.0,2020-03-20
55,ATOS,0.93,0.9383,0.8301,0.9089,54975.0,2020-03-23
56,ATOS,0.9178,0.9399,0.9001,0.939799,111841.0,2020-03-24
57,ATOS,0.9396,1.09,0.9301,1.03,100170.0,2020-03-25
58,ATOS,1.02,1.15,1.02,1.1,133193.0,2020-03-26
59,ATOS,1.1,1.125,1.0,1.0436,51059.0,2020-03-27
60,ATOS,1.13,1.5,1.13,1.18,824438.0,2020-03-30
61,ATOS,1.24,1.37,1.2,1.33,264857.0,2020-03-31
62,ATOS,1.39,1.39,1.19,1.1999,106981.0,2020-04-01
63,ATOS,1.24,1.24,1.09,1.18,113520.0,2020-04-02
64,ATOS,1.17,1.17,0.9999,1.04,137559.0,2020-04-03
65,ATOS,1.09,2.11,1.01,1.5,6579021.0,2020-04-06
66,ATOS,1.45,1.55,1.3,1.5,1048435.0,2020-04-07
67,ATOS,1.5,1.62,1.4,1.58,272752.0,2020-04-08
68,ATOS,1.64,1.65,1.45,1.48,258303.0,2020-04-09
69,ATOS,1.48,1.56,1.45,1.54,150750.0,2020-04-13
70,ATOS,1.54,1.57,1.49,1.54,89164.0,2020-04-14
71,ATOS,1.53,1.55,1.49,1.53,67719.0,2020-04-15
72,ATOS,3.0,3.11,2.0,2.11,15127097.0,2020-04-16
73,ATOS,1.95,2.1,1.77,2.07,1169947.0,2020-04-17
74,ATOS,2.04,2.28,2.03,2.15,1278365.0,2020-04-20
75,ATOS,2.18,2.2,1.9104,2.12,544545.0,2020-04-21
76,ATOS,2.12,2.12,2.0,2.12,232893.0,2020-04-22
77,ATOS,2.07,2.22,2.07,2.1,331863.0,2020-04-23
78,ATOS,2.1,2.1998,2.07,2.18,372991.0,2020-04-24
79,ATOS,2.3,2.47,2.2,2.28,757555.0,2020-04-27
80,ATOS,2.32,2.32,2.17,2.22,213159.0,2020-04-28
81,ATOS,2.17,2.24,2.11,2.21,184798.0,2020-04-29
82,ATOS,2.11,2.21,2.09,2.18,207191.0,2020-04-30
83,ATOS,2.15,2.2,1.96,2.1,210797.0,2020-05-01
84,ATOS,2.04,2.1,2.034,2.09,57333.0,2020-05-04
85,ATOS,2.05,2.09,1.95,1.95,191967.0,2020-05-05
86,ATOS,1.94,2.009,1.91,1.93,92644.0,2020-05-06
87,ATOS,1.65,1.89,1.48,1.66,1015194.0,2020-05-07
88,ATOS,1.59,1.65,1.57,1.64,219601.0,2020-05-08
