,ticker,open,high,low,close,volume,timestamp
0,AXR,5.86,5.96,5.84,5.95,1178,2020-01-02
1,AXR,5.64,5.905,5.64,5.69,11224,2020-01-03
2,AXR,5.62,5.88,5.45,5.7,4969,2020-01-06
3,AXR,5.52,5.8,5.51,5.8,4030,2020-01-07
4,AXR,5.75,5.77,5.59,5.7,5913,2020-01-08
5,AXR,5.72,5.825,5.6,5.805,5214,2020-01-09
6,AXR,5.71,5.79,5.6,5.725,5098,2020-01-10
7,AXR,5.63,5.92,5.61,5.81,6927,2020-01-13
8,AXR,5.65,5.94,5.59,5.59,4420,2020-01-14
9,AXR,5.84,5.97,5.65,5.91,4361,2020-01-15
10,AXR,5.89,5.99,5.88,5.88,1458,2020-01-16
11,AXR,5.74,5.95,5.72,5.8,10648,2020-01-17
12,AXR,5.88,6.11,5.7075,5.95,10799,2020-01-21
13,AXR,5.83,6.14,5.71,5.71,8508,2020-01-22
14,AXR,5.74,6.07,5.7,5.95,9787,2020-01-23
15,AXR,6.28,6.28,5.85,6.01,9440,2020-01-24
16,AXR,6.09,6.2,5.91,6.09,8716,2020-01-27
17,AXR,6.18,6.18,5.87,6.07,9314,2020-01-28
18,AXR,6.1,6.1,5.885,6.0,6255,2020-01-29
19,AXR,5.93,6.057,5.76,6.0,7911,2020-01-30
20,AXR,5.95,6.1,5.81,6.0973,6775,2020-01-31
21,AXR,6.0,6.0,6.0,6.0,540,2020-02-03
22,AXR,6.11,6.2,5.95,6.1,10017,2020-02-04
23,AXR,6.02,6.16,6.02,6.02,6639,2020-02-05
24,AXR,6.14,6.17,6.03,6.1,6204,2020-02-06
25,AXR,6.14,6.22,5.91,6.2,17764,2020-02-07
26,AXR,6.06,6.08,6.06,6.08,370,2020-02-10
27,AXR,6.03,6.16,5.915,5.95,3305,2020-02-12
28,AXR,5.74,5.9,5.74,5.9,2613,2020-02-13
29,AXR,6.03,6.06,5.995,6.06,36513,2020-02-14
30,AXR,5.95,5.95,5.95,5.95,497,2020-02-18
31,AXR,6.0,6.12,5.9633,6.1,61539,2020-02-20
32,AXR,6.01,6.16,5.97,6.05,4333,2020-02-21
33,AXR,6.06,6.1,6.06,6.1,887,2020-02-24
34,AXR,6.1,6.1,5.9,6.0,6833,2020-02-26
35,AXR,5.9999,5.9999,5.9,5.9,4025,2020-02-27
36,AXR,5.7021,5.88,5.7021,5.86,1706,2020-02-28
37,AXR,5.86,5.88,5.7514,5.8,10558,2020-03-02
38,AXR,5.75,5.99,5.75,5.99,1872,2020-03-03
39,AXR,5.99,6.0,5.99,5.99,960,2020-03-04
40,AXR,6.0,6.0,5.65,5.67,1241,2020-03-05
41,AXR,5.65,5.775,5.6,5.65,17341,2020-03-06
42,AXR,5.72,5.72,5.41,5.41,1276,2020-03-09
43,AXR,6.0,6.0,5.57,5.57,2444,2020-03-10
44,AXR,5.12,5.25,5.095,5.14,16222,2020-03-11
45,AXR,5.01,5.4447,5.01,5.4,16842,2020-03-12
46,AXR,5.5,5.5,5.1109,5.2715,6480,2020-03-13
47,AXR,5.2,5.2,4.97,5.1476,2232,2020-03-16
48,AXR,4.9232,5.42,4.9232,5.2754,9861,2020-03-17
49,AXR,4.95,5.07,4.71,4.906,6946,2020-03-18
50,AXR,4.77,5.095,4.6493,5.095,4946,2020-03-19
51,AXR,5.01,5.105,5.0,5.0,3839,2020-03-20
52,AXR,4.63,4.87,4.63,4.7501,9419,2020-03-23
53,AXR,4.9507,4.9517,4.9,4.9,1392,2020-03-24
54,AXR,4.99,4.99,4.83,4.88,5517,2020-03-25
55,AXR,4.99,5.1,4.99,5.0,6446,2020-03-26
56,AXR,4.95,4.95,4.95,4.95,1517,2020-03-27
57,AXR,5.1,5.1,4.89,4.89,2342,2020-03-30
58,AXR,4.88,4.88,4.8,4.8,1837,2020-03-31
59,AXR,4.735,4.81,4.54,4.54,2957,2020-04-01
60,AXR,4.4,4.4,4.34,4.35,6197,2020-04-02
61,AXR,4.42,4.57,4.19,4.36,2805,2020-04-03
62,AXR,4.45,4.45,4.26,4.26,1254,2020-04-06
63,AXR,4.32,4.45,3.9814,4.19,14514,2020-04-07
64,AXR,4.15,4.33,4.08,4.15,27013,2020-04-08
65,AXR,4.13,4.6,4.13,4.38,27259,2020-04-09
66,AXR,4.38,4.38,4.3,4.35,6677,2020-04-13
67,AXR,4.3,4.35,4.3,4.3,3335,2020-04-14
68,AXR,4.2,4.25,4.18,4.25,4537,2020-04-15
69,AXR,4.1744,4.23,4.01,4.01,3585,2020-04-16
70,AXR,4.165,4.165,4.0865,4.1,21090,2020-04-17
71,AXR,4.1,4.1831,4.1,4.15,7342,2020-04-20
72,AXR,4.15,4.15,4.041,4.0679,3598,2020-04-21
73,AXR,4.2,4.2,4.0249,4.14,4851,2020-04-22
74,AXR,4.14,4.14,4.0438,4.0438,601,2020-04-23
75,AXR,4.075,4.105,4.0003,4.009,7176,2020-04-24
76,AXR,4.0569,4.1,4.0254,4.07,18141,2020-04-27
77,AXR,4.19,4.3562,4.19,4.3562,8305,2020-04-29
78,AXR,4.38,4.99,4.36,4.84,40173,2020-04-30
79,AXR,4.93,4.949,4.12,4.4,45921,2020-05-01
80,AXR,4.38,4.42,4.18,4.18,16596,2020-05-04
81,AXR,4.36,4.3624,4.25,4.3624,1067,2020-05-05
82,AXR,4.3,4.39,4.25,4.39,867,2020-05-06
83,AXR,4.45,4.53,4.45,4.49,718,2020-05-07
84,AXR,4.56,4.62,4.4965,4.55,2951,2020-05-08
85,AXR,4.52,4.73,4.36,4.36,4120,2020-05-11
86,AXR,4.42,4.43,4.42,4.43,352,2020-05-12
87,AXR,4.38,4.38,4.3576,4.3576,524,2020-05-13
88,AXR,4.35,4.35,4.22,4.22,1682,2020-05-14
89,AXR,4.47,4.4812,4.39,4.39,1565,2020-05-18
90,AXR,4.45,4.5,4.45,4.5,799,2020-05-20
91,AXR,4.28,4.28,4.28,4.28,1342,2020-05-21
92,AXR,4.61,4.61,4.397,4.4,747,2020-05-26
93,AXR,4.5209,4.5209,4.25,4.2898,6677,2020-05-27
94,AXR,4.46,4.46,4.2006,4.24,1459,2020-05-28
95,AXR,4.2799,4.2799,4.21,4.21,21952,2020-05-29
96,AXR,4.6,4.6482,4.43,4.43,7812,2020-06-02
97,AXR,4.46,4.53,4.4197,4.4197,2875,2020-06-03
