,ticker,open,high,low,close,volume,timestamp
0,BDL,26.55,26.74,26.55,26.74,688,2022-09-19
1,BDL,26.5449,26.5449,26.5449,26.5449,1080,2022-09-21
2,BDL,26.35,26.35,26.35,26.35,182,2022-09-22
3,BDL,26.2,26.3499,25.3,26.084,2037,2022-09-23
4,BDL,26.5,26.5,25.95,25.95,2423,2022-09-26
5,BDL,25.51,25.51,25.51,25.51,232,2022-09-27
6,BDL,25.51,25.51,25.51,25.51,385,2022-09-29
7,BDL,25.52,25.52,25.52,25.52,271,2022-09-30
8,BDL,26.1114,26.1114,25.6857,25.6857,521,2022-10-03
9,BDL,25.9707,25.9707,25.9707,25.9707,535,2022-10-04
10,BDL,26.0,26.0,25.52,25.73,925,2022-10-05
11,BDL,25.55,26.01,25.55,26.01,672,2022-10-06
12,BDL,25.24,25.24,25.24,25.24,130,2022-10-07
13,BDL,25.5,25.6191,25.5,25.6191,512,2022-10-10
14,BDL,25.5,25.5,25.5,25.5,355,2022-10-11
15,BDL,25.7314,26.01,25.5,26.01,668,2022-10-13
16,BDL,25.98,26.07,25.5,26.04,1629,2022-10-17
17,BDL,25.35,25.35,25.35,25.35,568,2022-10-19
18,BDL,25.9,25.9,25.9,25.9,323,2022-10-20
19,BDL,25.61,25.61,25.61,25.61,562,2022-10-21
20,BDL,25.4,26.0,25.2,25.795,2364,2022-10-24
21,BDL,25.5,25.5,25.5,25.5,455,2022-10-25
22,BDL,25.75,25.75,25.619,25.75,1083,2022-10-26
23,BDL,25.8999,27.69,25.8181,26.595,2947,2022-10-27
24,BDL,26.07,27.31,26.07,26.83,2957,2022-10-28
25,BDL,27.27,28.51,26.66,27.48,5732,2022-10-31
26,BDL,27.5,29.5,27.5,28.52,5608,2022-11-01
27,BDL,29.37,30.9,27.64,27.7,8390,2022-11-02
28,BDL,27.73,27.73,27.73,27.73,570,2022-11-03
29,BDL,28.0,28.565,28.0,28.05,1054,2022-11-04
30,BDL,27.8827,27.8827,27.8827,27.8827,469,2022-11-08
31,BDL,28.01,28.01,28.01,28.01,383,2022-11-10
32,BDL,28.25,28.25,28.01,28.01,475,2022-11-11
33,BDL,28.0,28.0407,27.85,27.85,815,2022-11-17
34,BDL,28.0039,28.0039,28.0039,28.0039,506,2022-11-18
35,BDL,27.64,28.0,27.64,27.855,1953,2022-11-21
36,BDL,28.2456,28.2456,28.2456,28.2456,454,2022-11-23
37,BDL,28.0,28.0,28.0,28.0,241,2022-11-25
38,BDL,28.95,28.95,28.76,28.76,517,2022-11-28
39,BDL,28.75,28.75,27.93,27.93,656,2022-11-29
40,BDL,28.1183,28.3185,28.1183,28.3185,433,2022-11-30
41,BDL,27.765,28.4999,27.765,28.4999,1086,2022-12-01
42,BDL,28.0,28.39,28.0,28.39,1684,2022-12-02
43,BDL,29.4,29.9,29.4,29.9,862,2022-12-05
44,BDL,28.5,28.5,28.42,28.42,770,2022-12-06
45,BDL,28.01,28.42,28.01,28.42,513,2022-12-08
46,BDL,27.9952,28.0001,27.9952,28.0001,827,2022-12-12
47,BDL,28.0001,28.0001,28.0,28.0,478,2022-12-14
48,BDL,28.17,28.25,27.6,27.6,1301,2022-12-15
49,BDL,27.9035,27.95,27.54,27.9064,665,2022-12-16
50,BDL,28.04,28.04,28.04,28.04,779,2022-12-19
51,BDL,26.74,26.74,26.5915,26.5915,5164,2022-12-20
52,BDL,26.65,26.65,26.64,26.64,638,2022-12-21
53,BDL,26.8684,26.8684,26.5,26.5,569,2022-12-23
54,BDL,28.49,28.49,26.4954,26.99,381,2022-12-27
55,BDL,26.3701,26.4616,25.5,26.14,2569,2022-12-28
56,BDL,26.15,26.15,25.5,25.8,1031,2022-12-29
57,BDL,26.12,26.46,25.88,25.88,1403,2022-12-30
58,BDL,25.89,26.4713,25.88,26.16,1918,2023-01-03
59,BDL,26.6599,26.9246,26.2,26.2,1107,2023-01-04
60,BDL,25.71,25.79,25.71,25.77,773,2023-01-05
61,BDL,27.4999,27.5,27.4,27.4,1539,2023-01-09
62,BDL,26.535,26.535,26.535,26.535,404,2023-01-12
63,BDL,26.54,26.54,26.54,26.54,316,2023-01-13
64,BDL,27.8617,27.88,26.56,26.56,3408,2023-01-18
65,BDL,26.6,26.6,26.33,26.34,1729,2023-01-20
66,BDL,26.3183,26.5,26.3183,26.5,1716,2023-01-23
67,BDL,26.99,27.3925,26.5313,27.0,2492,2023-01-26
68,BDL,26.7725,26.9999,26.74,26.74,1225,2023-01-27
69,BDL,26.4825,26.5,26.375,26.4,1371,2023-01-30
70,BDL,26.4,26.5,26.075,26.4,1400,2023-01-31
71,BDL,26.8497,26.8497,26.7,26.7,1035,2023-02-01
72,BDL,26.65,26.8645,26.5454,26.8645,2203,2023-02-02
73,BDL,26.52,27.0608,26.52,27.0608,718,2023-02-03
74,BDL,26.9375,27.0,26.8756,27.0,1359,2023-02-06
75,BDL,27.96,28.0,27.7,27.7,3022,2023-02-07
76,BDL,26.8408,27.85,26.8408,27.85,6635,2023-02-08
77,BDL,27.02,27.19,27.02,27.02,1655,2023-02-09
78,BDL,27.8452,27.8452,27.8452,27.8452,135,2023-02-10
79,BDL,27.8709,27.94,27.8709,27.94,608,2023-02-13
80,BDL,27.97,28.0,27.585,27.585,1610,2023-02-14
81,BDL,28.6,28.6,27.9,28.09,1000,2023-02-15
82,BDL,28.25,28.25,28.0101,28.06,1766,2023-02-21
83,BDL,28.05,28.46,28.05,28.4101,7764,2023-02-22
84,BDL,28.41,28.41,27.81,28.4,3899,2023-02-23
85,BDL,28.25,28.4,28.25,28.4,656,2023-02-24
86,BDL,28.2531,28.2601,28.2501,28.2601,514,2023-02-27
87,BDL,28.4,29.2,28.4,29.2,4235,2023-02-28
88,BDL,28.205,28.84,28.205,28.35,4693,2023-03-01
89,BDL,28.45,28.65,28.34,28.39,2708,2023-03-02
90,BDL,28.4494,28.6693,27.65,28.47,7695,2023-03-03
91,BDL,27.89,28.82,27.89,28.74,4355,2023-03-06
92,BDL,28.3,28.83,28.05,28.05,4239,2023-03-07
93,BDL,27.52,28.532,27.52,27.5201,9481,2023-03-08
94,BDL,27.47,28.4,27.47,27.83,5475,2023-03-09
95,BDL,27.96,28.46,27.8,28.06,4265,2023-03-10
96,BDL,27.96,28.34,26.75,27.49,9574,2023-03-13
97,BDL,27.26,29.04,27.26,28.14,8596,2023-03-14
98,BDL,28.17,28.495,27.7062,27.76,9873,2023-03-15
99,BDL,27.79,28.3,27.79,28.3,2937,2023-03-16
100,BDL,28.21,28.65,28.03,28.1,4480,2023-03-17
101,BDL,28.1,28.1,27.24,27.78,2419,2023-03-20
102,BDL,27.4,28.0,27.4,27.995,3673,2023-03-21
103,BDL,27.4076,27.8,27.1601,27.31,3526,2023-03-22
104,BDL,27.8,28.53,27.7839,28.5,8225,2023-03-23
105,BDL,27.0511,28.0,27.0511,27.75,4536,2023-03-24
106,BDL,28.23,28.38,27.698,27.95,5256,2023-03-27
107,BDL,28.12,28.7,28.0,28.0,7124,2023-03-28
108,BDL,28.4746,28.5,27.9001,28.0,988,2023-03-29
109,BDL,28.01,28.01,27.71,27.97,633,2023-03-30
110,BDL,28.2294,28.276,28.2294,28.276,434,2023-03-31
111,BDL,28.36,28.49,28.25,28.25,698,2023-04-03
112,BDL,29.24,29.24,28.557,28.557,604,2023-04-04
113,BDL,28.45,28.45,27.999,28.0,726,2023-04-05
114,BDL,28.0,28.37,27.59,27.59,687,2023-04-06
115,BDL,27.52,28.37,27.52,28.0,1345,2023-04-11
116,BDL,27.65,27.65,27.65,27.65,241,2023-04-13
117,BDL,28.24,28.24,28.24,28.24,244,2023-04-14
118,BDL,28.0,28.0,28.0,28.0,299,2023-04-18
119,BDL,27.99,27.99,27.99,27.99,322,2023-04-19
120,BDL,27.7,27.9,27.57,27.57,1300,2023-04-20
121,BDL,27.3,27.3,27.29,27.29,422,2023-04-21
122,BDL,27.29,27.34,27.29,27.32,954,2023-04-25
123,BDL,27.52,27.52,27.52,27.52,153,2023-04-27
124,BDL,27.53,27.53,27.53,27.53,200,2023-04-28
125,BDL,28.49,28.65,28.0,28.0,1497,2023-05-01
126,BDL,27.38,27.77,27.38,27.77,987,2023-05-02
127,BDL,27.66,27.66,27.66,27.66,328,2023-05-03
128,BDL,27.05,27.4999,26.61,26.61,800,2023-05-04
129,BDL,27.3667,27.3667,27.3667,27.3667,256,2023-05-05
130,BDL,27.35,27.35,27.35,27.35,165,2023-05-08
131,BDL,27.31,27.6,26.85,27.21,3031,2023-05-10
132,BDL,26.77,27.46,26.77,27.45,2241,2023-05-11
133,BDL,27.77,27.97,27.26,27.67,2451,2023-05-12
134,BDL,29.26,29.26,27.43,27.76,3693,2023-05-15
135,BDL,28.7501,28.8,27.955,28.071,6693,2023-05-16
136,BDL,29.04,29.04,27.99,28.15,4671,2023-05-17
137,BDL,29.0,29.25,28.24,28.24,2609,2023-05-18
138,BDL,30.0,30.0,28.81,29.0,3186,2023-05-19
139,BDL,29.4112,29.45,29.01,29.23,846,2023-05-22
140,BDL,29.61,30.35,29.23,29.7746,5309,2023-05-23
141,BDL,30.16,30.35,29.5,30.25,3504,2023-05-24
142,BDL,30.0,31.26,29.949,30.373,4718,2023-05-25
143,BDL,30.8,32.12,30.61,31.31,4013,2023-05-26
144,BDL,31.31,32.21,30.5,30.9,8577,2023-05-30
145,BDL,31.21,31.99,30.2045,30.74,4599,2023-05-31
146,BDL,30.3135,31.22,30.2001,30.75,2495,2023-06-01
147,BDL,31.04,31.04,30.77,31.0,2020,2023-06-02
148,BDL,31.22,31.61,31.22,31.61,1246,2023-06-05
149,BDL,33.32,33.32,31.05,31.46,6596,2023-06-06
150,BDL,31.3,32.46,31.3,32.2,6677,2023-06-07
151,BDL,32.13,33.05,32.13,32.65,4034,2023-06-08
152,BDL,31.57,32.75,31.57,32.0,4338,2023-06-09
153,BDL,32.01,32.54,31.93,31.93,3630,2023-06-12
154,BDL,31.46,32.6,31.44,32.01,3064,2023-06-13
155,BDL,31.92,32.37,31.16,31.62,2814,2023-06-14
156,BDL,31.661,32.03,31.661,31.82,1795,2023-06-15
157,BDL,31.02,31.02,31.02,31.02,899,2023-06-16
158,BDL,31.5,31.67,31.04,31.32,1135,2023-06-20
159,BDL,31.13,31.13,31.13,31.13,269,2023-06-21
160,BDL,31.0,31.41,30.9986,30.9999,1365,2023-06-22
161,BDL,30.48,30.95,30.45,30.81,5485,2023-06-23
162,BDL,30.81,31.0,30.5,30.7403,1632,2023-06-26
163,BDL,31.08,31.72,30.91,31.0,1996,2023-06-27
164,BDL,30.4,31.3,30.4,31.3,1275,2023-06-28
165,BDL,30.76,30.76,30.41,30.65,1780,2023-06-29
166,BDL,33.33,33.33,30.5872,31.39,5168,2023-07-03
167,BDL,33.3,33.3,31.44,31.65,4378,2023-07-05
168,BDL,32.28,32.28,30.71,31.05,3271,2023-07-06
169,BDL,31.0,31.16,30.8,31.1,5541,2023-07-07
170,BDL,31.2,31.2,30.41,30.41,569,2023-07-10
171,BDL,31.085,31.085,31.085,31.085,274,2023-07-11
172,BDL,31.42,31.42,31.165,31.25,2887,2023-07-12
173,BDL,31.97,31.9799,31.97,31.9799,782,2023-07-13
174,BDL,31.0,31.5,30.8803,31.5,2031,2023-07-14
175,BDL,31.0,31.01,30.81,30.8634,2915,2023-07-17
176,BDL,31.1772,31.1772,31.0,31.0,770,2023-07-18
177,BDL,30.03,30.67,30.03,30.67,652,2023-07-19
178,BDL,30.38,31.2101,30.38,31.2101,480,2023-07-20
179,BDL,30.26,31.25,30.26,30.45,927,2023-07-21
180,BDL,30.225,30.4499,30.05,30.4499,1265,2023-07-26
181,BDL,30.05,30.88,29.48,29.8,6822,2023-07-27
182,BDL,29.7,29.72,29.55,29.55,2486,2023-07-28
183,BDL,31.0,31.0,28.8702,29.7,5527,2023-07-31
184,BDL,29.5888,29.5888,29.5888,29.5888,603,2023-08-01
185,BDL,29.65,30.26,29.65,30.19,999,2023-08-02
186,BDL,29.1,30.4,29.1,30.4,635,2023-08-03
187,BDL,31.05,31.22,30.55,30.76,1577,2023-08-09
188,BDL,30.58,30.58,29.89,29.89,1465,2023-08-11
189,BDL,30.15,32.17,30.15,32.17,3367,2023-08-16
190,BDL,32.06,32.06,31.115,31.115,398,2023-08-17
191,BDL,30.05,30.05,30.05,30.05,535,2023-08-18
192,BDL,30.2501,31.1,30.2501,30.9,1949,2023-08-21
193,BDL,30.9,30.9,30.9,30.9,240,2023-08-22
194,BDL,30.175,30.175,30.175,30.175,171,2023-08-25
195,BDL,30.18,31.5,28.9927,28.9927,5907,2023-08-28
196,BDL,29.4,30.33,29.2323,30.21,3555,2023-08-29
197,BDL,30.29,30.7,30.1,30.5,1067,2023-08-30
198,BDL,31.36,31.41,30.7,31.25,7224,2023-08-31
199,BDL,30.51,31.92,30.5,30.5,3639,2023-09-01
200,BDL,30.29,31.4,30.29,31.38,6631,2023-09-05
201,BDL,30.99,31.38,29.5,30.43,4048,2023-09-06
202,BDL,31.16,31.16,30.42,30.42,1782,2023-09-07
203,BDL,30.66,30.66,30.38,30.48,1051,2023-09-08
204,BDL,30.4,30.4,30.4,30.4,1158,2023-09-11
205,BDL,30.98,30.98,30.1,30.69,2195,2023-09-12
206,BDL,30.51,31.4,30.1,30.48,13961,2023-09-13
207,BDL,29.2,31.35,29.2,31.02,7286,2023-09-14
208,BDL,31.1,32.51,30.3,30.5,15650,2023-09-15
209,BDL,30.6,32.75,30.6,31.7,9171,2023-09-18
210,BDL,30.9,33.01,30.9,32.68,12107,2023-09-19
211,BDL,33.5,34.0,32.21,32.42,15156,2023-09-20
212,BDL,33.1,33.9,32.5,32.56,11682,2023-09-21
213,BDL,32.5,34.59,32.25,34.05,10308,2023-09-22
214,BDL,34.315,34.315,33.36,33.45,7883,2023-09-25
215,BDL,33.68,34.1,33.6,33.6,1970,2023-09-26
216,BDL,33.77,33.77,33.4,33.4,2430,2023-09-27
217,BDL,34.12,34.1525,33.05,33.05,2401,2023-09-28
218,BDL,33.39,33.4,33.0,33.0,3940,2023-09-29
219,BDL,32.82,33.51,32.82,33.0001,11292,2023-10-02
220,BDL,33.01,33.36,32.92,32.92,2857,2023-10-03
221,BDL,33.02,33.08,32.0,32.45,5331,2023-10-04
222,BDL,32.26,32.65,31.42,31.42,7580,2023-10-05
223,BDL,32.08,32.11,31.28,31.3,3584,2023-10-06
224,BDL,30.46,30.9,30.46,30.9,3353,2023-10-09
225,BDL,31.03,32.61,29.37,29.91,23251,2023-10-10
226,BDL,30.74,30.79,29.34,29.34,18315,2023-10-11
227,BDL,29.64,29.75,28.305,28.9,9160,2023-10-12
228,BDL,28.8,29.07,28.4,28.4,3050,2023-10-13
229,BDL,28.3,28.7,27.9,27.9,5778,2023-10-16
230,BDL,28.24,28.56,27.79,28.1,4025,2023-10-17
231,BDL,28.05,28.55,28.05,28.55,922,2023-10-18
232,BDL,28.1,28.44,28.04,28.34,1870,2023-10-19
233,BDL,27.43,28.21,27.43,27.87,1747,2023-10-20
234,BDL,28.15,28.15,27.715,27.715,1360,2023-10-23
235,BDL,27.77,28.09,27.62,27.96,3537,2023-10-24
236,BDL,28.01,28.22,27.61,27.61,2864,2023-10-26
237,BDL,27.91,28.22,27.39,28.22,1215,2023-10-27
238,BDL,28.23,28.31,28.23,28.31,1411,2023-10-30
239,BDL,28.99,28.99,28.15,28.4,1543,2023-10-31
240,BDL,27.38,28.73,27.36,28.03,1776,2023-11-01
241,BDL,28.16,28.16,28.16,28.16,640,2023-11-02
242,BDL,28.4399,28.44,28.4399,28.44,1098,2023-11-03
243,BDL,27.65,28.08,27.65,27.96,1290,2023-11-06
244,BDL,28.22,28.92,27.95,27.95,1996,2023-11-07
245,BDL,28.47,28.47,28.47,28.47,951,2023-11-08
246,BDL,27.97,28.92,27.795,28.5,8853,2023-11-09
247,BDL,28.34,28.592,27.3719,27.411,7028,2023-11-10
248,BDL,27.3,27.7814,26.66,26.66,5073,2023-11-13
249,BDL,27.39,28.1524,27.0,27.0,5648,2023-11-14
250,BDL,27.4789,27.98,26.85,26.85,7183,2023-11-15
251,BDL,26.9251,26.9251,26.06,26.09,3839,2023-11-16
252,BDL,26.13,27.1899,26.09,26.9018,2680,2023-11-17
253,BDL,27.47,27.7,26.22,26.78,3299,2023-11-21
254,BDL,26.19,26.7,26.19,26.6,2603,2023-11-22
255,BDL,26.6,26.88,25.69,25.69,2785,2023-11-27
256,BDL,25.75,25.7501,25.25,25.44,2848,2023-11-28
257,BDL,25.5,25.5,25.31,25.3853,1164,2023-11-29
258,BDL,25.3,25.61,24.99,25.45,4557,2023-11-30
259,BDL,26.22,26.22,25.6102,25.6102,1460,2023-12-01
