,ticker,open,high,low,close,volume,timestamp
0,BRLS,11.17,11.54,7.2,8.2,17842.0,2024-02-08
1,BRLS,8.41,9.79,7.3513,9.0,5780.0,2024-02-09
2,BRLS,8.0674,8.25,8.0674,8.25,1921.0,2024-02-12
3,BRLS,7.99,8.76,6.3,8.6796,4020.0,2024-02-13
4,BRLS,8.8,8.95,8.5,8.8994,3638.0,2024-02-14
5,BRLS,8.9,9.18,8.75,8.75,2954.0,2024-02-15
6,BRLS,8.03,8.81,8.0,8.81,1860.0,2024-02-16
7,BRLS,9.09,9.2,8.48,9.19,9370.0,2024-02-20
8,BRLS,10.4,11.96,9.0,10.3,17664.0,2024-02-21
9,BRLS,10.02,10.3902,9.4,9.4,6083.0,2024-02-22
10,BRLS,8.33,10.5,7.965,9.46,13275.0,2024-02-23
11,BRLS,9.1,11.6,8.255,10.31,22632.0,2024-02-26
12,BRLS,10.25,10.25,9.7,9.7,8306.0,2024-02-27
13,BRLS,10.09,10.09,9.0,9.0,3274.0,2024-02-28
14,BRLS,9.2,9.725,8.5,8.5,5086.0,2024-02-29
15,BRLS,8.5,9.3,7.07,8.6794,28060.0,2024-03-01
16,BRLS,8.14,8.14,8.12,8.12,670.0,2024-03-04
17,BRLS,8.5,8.5,8.12,8.13,1628.0,2024-03-05
18,BRLS,8.86,8.9,8.11,8.36,21620.0,2024-03-06
19,BRLS,8.3,9.0,7.9,8.01,17122.0,2024-03-07
20,BRLS,7.15,7.8,6.44,7.25,14459.0,2024-03-08
21,BRLS,7.282,7.9,7.0701,7.9,6214.0,2024-03-11
22,BRLS,7.52,8.46,7.5,7.75,9869.0,2024-03-12
23,BRLS,7.66,8.14,7.6,7.6,6220.0,2024-03-13
24,BRLS,7.36,7.36,7.26,7.26,393.0,2024-03-14
25,BRLS,7.6999,7.7,6.8646,6.878,5480.0,2024-03-15
26,BRLS,7.176,7.28,6.7356,6.9,3593.0,2024-03-18
27,BRLS,6.66,7.42,6.4,6.5,14883.0,2024-03-19
28,BRLS,6.3,6.3,5.595,6.0,2671.0,2024-03-20
29,BRLS,6.325,6.325,5.8,6.02,4952.0,2024-03-21
30,BRLS,6.08,6.08,5.9,5.9,6734.0,2024-03-22
31,BRLS,6.0,6.0,6.0,6.0,2116.0,2024-03-25
32,BRLS,5.955,5.99,5.955,5.99,1135.0,2024-03-26
33,BRLS,5.85,6.0,5.85,6.0,4445.0,2024-03-27
34,BRLS,5.851,6.05,5.85,5.85,1230.0,2024-03-28
35,BRLS,5.5,5.5,5.388,5.49,2479.0,2024-04-01
36,BRLS,5.5,6.05,4.8539,4.8539,4951.0,2024-04-02
37,BRLS,5.03,5.03,4.76,4.905,897.0,2024-04-03
38,BRLS,4.91,5.0499,4.91,5.0499,263.0,2024-04-04
39,BRLS,5.0,5.4,5.0,5.34,735.0,2024-04-05
40,BRLS,4.895,5.02,4.895,4.91,1679.0,2024-04-08
41,BRLS,5.0,5.0,5.0,5.0,251.0,2024-04-09
42,BRLS,4.99,5.0,4.81,4.84,756.0,2024-04-10
43,BRLS,4.85,4.925,4.36,4.36,14377.0,2024-04-11
44,BRLS,4.37,4.37,4.37,4.37,122.0,2024-04-12
45,BRLS,4.05,4.5,4.05,4.4256,2992.0,2024-04-15
46,BRLS,4.33,4.5068,4.33,4.45,1002.0,2024-04-16
47,BRLS,4.36,4.51,4.36,4.51,1088.0,2024-04-17
48,BRLS,4.42,4.9207,4.42,4.9207,470.0,2024-04-18
49,BRLS,4.9112,4.929,3.95,4.0,11179.0,2024-04-19
50,BRLS,3.86,4.12,3.86,4.0,2454.0,2024-04-22
51,BRLS,3.98,3.98,3.94,3.94,744.0,2024-04-23
52,BRLS,4.04,4.04,4.04,4.04,533.0,2024-04-24
53,BRLS,3.94,4.0,3.94,4.0,3257.0,2024-04-25
54,BRLS,4.05,4.05,3.8938,4.0,3199.0,2024-04-26
55,BRLS,4.05,4.05,3.71,4.0,1363.0,2024-04-29
56,BRLS,4.03,4.0795,3.985,4.0,2095.0,2024-04-30
57,BRLS,4.0,4.0,3.94,4.0,2567.0,2024-05-01
58,BRLS,4.04,4.15,4.0,4.0,4642.0,2024-05-02
59,BRLS,3.88,4.16,3.88,4.0,18877.0,2024-05-03
60,BRLS,3.99,4.0,3.99,4.0,498.0,2024-05-06
61,BRLS,4.0,4.0,4.0,4.0,2446.0,2024-05-07
62,BRLS,4.14,4.93,4.14,4.3149,5170.0,2024-05-08
63,BRLS,3.99,4.0,3.9578,3.99,7520.0,2024-05-09
64,BRLS,3.89,4.0,3.89,4.0,15999.0,2024-05-10
65,BRLS,3.88,4.0,3.88,4.0,8876.0,2024-05-13
66,BRLS,4.0,4.0,4.0,4.0,9589.0,2024-05-14
67,BRLS,4.0,4.0,4.0,4.0,1941.0,2024-05-15
68,BRLS,4.01,4.01,3.945,4.0,1364.0,2024-05-16
69,BRLS,4.0,4.0,4.0,4.0,139.0,2024-05-17
70,BRLS,4.3,10.75,4.3,7.11,3992628.0,2024-05-21
71,BRLS,6.03,8.0,5.88,6.92,264891.0,2024-05-22
72,BRLS,6.4,7.9,6.4,7.3501,78960.0,2024-05-23
73,BRLS,7.0225,8.1,7.0225,7.95,107675.0,2024-05-24
74,BRLS,7.95,9.0,7.05,8.5025,48402.0,2024-05-28
