,ticker,open,high,low,close,volume,timestamp
0,BTCT,5.49,5.76,3.3,3.58,7400958.0,2023-09-29
1,BTCT,3.46,4.44,3.46,4.3,1276527.0,2023-10-02
2,BTCT,3.7,4.2879,3.61,3.67,148606.0,2023-10-03
3,BTCT,3.51,3.9787,3.51,3.95,107276.0,2023-10-04
4,BTCT,4.16,4.16,3.58,3.79,81335.0,2023-10-05
5,BTCT,3.6,3.8099,3.6,3.67,41025.0,2023-10-06
6,BTCT,3.67,3.705,3.35,3.4,59273.0,2023-10-09
7,BTCT,3.28,3.28,2.7369,2.85,71861.0,2023-10-10
8,BTCT,2.78,2.91,2.6601,2.77,27651.0,2023-10-11
9,BTCT,2.75,3.21,2.67,2.95,55715.0,2023-10-12
10,BTCT,3.09,3.15,2.78,3.04,25753.0,2023-10-13
11,BTCT,3.19,3.3999,3.1,3.2,33689.0,2023-10-16
12,BTCT,3.36,3.6,3.27,3.37,32616.0,2023-10-17
13,BTCT,3.3,3.57,3.3,3.57,6818.0,2023-10-18
14,BTCT,3.56,4.1845,3.425,3.81,36795.0,2023-10-19
15,BTCT,4.05,4.29,3.22,3.22,74975.0,2023-10-20
16,BTCT,3.21,3.69,3.21,3.55,69635.0,2023-10-23
17,BTCT,3.56,3.84,3.1501,3.18,204315.0,2023-10-24
18,BTCT,3.18,3.4872,3.01,3.48,66786.0,2023-10-25
19,BTCT,3.51,3.55,3.29,3.37,59873.0,2023-10-26
20,BTCT,3.588,3.61,3.3,3.36,10989.0,2023-10-27
21,BTCT,3.35,3.74,3.23,3.7,16222.0,2023-10-30
22,BTCT,3.7,3.84,3.3919,3.75,30143.0,2023-10-31
23,BTCT,3.56,3.95,3.4,3.67,57522.0,2023-11-01
24,BTCT,3.418,3.64,3.418,3.5708,9012.0,2023-11-02
25,BTCT,3.44,3.76,3.44,3.5,27430.0,2023-11-03
26,BTCT,3.69,3.77,3.4977,3.6,7533.0,2023-11-06
27,BTCT,3.45,3.72,3.45,3.72,4989.0,2023-11-07
28,BTCT,3.67,3.75,3.585,3.75,13944.0,2023-11-08
29,BTCT,3.7371,4.0,3.57,3.84,24839.0,2023-11-09
30,BTCT,3.85,3.85,3.5,3.52,35707.0,2023-11-10
31,BTCT,3.52,3.7,3.52,3.7,7285.0,2023-11-13
32,BTCT,3.69,3.79,3.5171,3.56,8963.0,2023-11-14
33,BTCT,3.69,3.755,3.47,3.705,30405.0,2023-11-15
34,BTCT,3.6528,3.81,3.57,3.8,8599.0,2023-11-16
35,BTCT,3.67,3.6798,2.51,3.54,87271.0,2023-11-17
36,BTCT,2.71,3.55,2.71,3.4,13523.0,2023-11-20
37,BTCT,3.29,3.75,3.1832,3.6,7762.0,2023-11-21
38,BTCT,3.52,3.74,3.362,3.6,7426.0,2023-11-22
39,BTCT,3.6,3.7536,3.32,3.38,6715.0,2023-11-24
40,BTCT,3.38,3.8,3.38,3.51,11206.0,2023-11-27
41,BTCT,3.46,3.53,3.0,3.01,38287.0,2023-11-28
42,BTCT,3.29,3.335,3.0,3.0,13962.0,2023-11-29
43,BTCT,3.16,3.34,3.0345,3.1,14091.0,2023-11-30
44,BTCT,3.23,3.3999,3.01,3.28,18730.0,2023-12-01
45,BTCT,3.4,3.7,3.2801,3.36,62081.0,2023-12-04
46,BTCT,3.38,4.0,3.38,3.7769,146023.0,2023-12-05
47,BTCT,3.98,3.98,3.5001,3.51,32178.0,2023-12-06
48,BTCT,3.69,3.69,3.47,3.47,20974.0,2023-12-07
49,BTCT,3.47,3.68,3.3337,3.45,12467.0,2023-12-08
50,BTCT,3.61,3.84,3.3501,3.6464,23532.0,2023-12-11
51,BTCT,3.66,3.66,3.48,3.5076,5841.0,2023-12-12
52,BTCT,3.535,3.66,3.4,3.53,6875.0,2023-12-13
53,BTCT,3.59,3.59,3.3326,3.38,13375.0,2023-12-14
54,BTCT,3.63,3.9699,3.51,3.6201,38568.0,2023-12-15
55,BTCT,3.64,3.9,3.5,3.54,54940.0,2023-12-18
56,BTCT,3.64,3.9,3.4,3.85,51797.0,2023-12-19
57,BTCT,3.84,4.15,3.53,3.965,90248.0,2023-12-20
58,BTCT,4.0,4.15,3.81,4.15,21545.0,2023-12-21
59,BTCT,4.05,4.8,3.6701,4.6025,132471.0,2023-12-22
60,BTCT,4.67,4.8299,3.999,4.24,72604.0,2023-12-26
61,BTCT,4.57,5.13,4.24,5.1,180017.0,2023-12-27
62,BTCT,4.85,5.1,4.5324,4.67,81773.0,2023-12-28
63,BTCT,4.81,4.9999,4.42,4.82,48203.0,2023-12-29
64,BTCT,4.84,4.91,4.14,4.15,49743.0,2024-01-02
