,ticker,open,high,low,close,volume,timestamp
0,CDNA,21.8,21.965,21.01,21.15,582909.0,2020-01-02
1,CDNA,20.73,20.9726,20.32,20.54,657063.0,2020-01-03
2,CDNA,20.24,21.19,19.8,20.91,561279.0,2020-01-06
3,CDNA,20.83,21.18,20.15,20.31,433527.0,2020-01-07
4,CDNA,20.3,20.58,19.75,19.785,940460.0,2020-01-08
5,CDNA,19.83,20.04,19.51,19.64,534144.0,2020-01-09
6,CDNA,19.84,20.58,19.79,19.81,1207656.0,2020-01-10
7,CDNA,21.0,22.5,20.46,22.45,1396948.0,2020-01-13
8,CDNA,22.57,22.893,21.91,22.68,725379.0,2020-01-14
9,CDNA,22.68,23.83,22.6,23.06,665768.0,2020-01-15
10,CDNA,23.31,23.72,22.6129,23.51,472267.0,2020-01-16
11,CDNA,23.72,24.21,23.31,23.61,735339.0,2020-01-17
12,CDNA,23.53,23.53,21.94,22.35,832984.0,2020-01-21
13,CDNA,22.36,23.18,22.15,22.29,1454825.0,2020-01-22
14,CDNA,22.19,22.23,21.3,21.65,438413.0,2020-01-23
15,CDNA,21.65,21.79,21.32,21.67,984977.0,2020-01-24
16,CDNA,21.31,23.39,21.155,23.05,1129630.0,2020-01-27
17,CDNA,23.22,24.02,23.18,23.95,659174.0,2020-01-28
18,CDNA,24.0,24.48,23.28,24.405,614323.0,2020-01-29
19,CDNA,24.23,24.47,23.66,24.18,457370.0,2020-01-30
20,CDNA,24.07,24.42,23.09,24.16,855911.0,2020-01-31
21,CDNA,24.47,25.07,23.5,24.35,1013799.0,2020-02-03
22,CDNA,24.93,24.98,24.25,24.79,535965.0,2020-02-04
23,CDNA,24.92,25.57,24.88,25.15,786625.0,2020-02-05
24,CDNA,25.35,25.72,25.0926,25.42,425417.0,2020-02-06
25,CDNA,25.34,25.43,24.05,24.13,589187.0,2020-02-07
26,CDNA,24.15,24.35,23.92,24.28,996431.0,2020-02-10
27,CDNA,24.49,25.1,23.5,24.86,840801.0,2020-02-11
28,CDNA,25.13,25.3,24.76,25.07,525544.0,2020-02-12
29,CDNA,24.95,25.26,24.7,24.96,469728.0,2020-02-13
30,CDNA,24.92,26.74,24.91,26.67,468950.0,2020-02-14
31,CDNA,26.6,27.29,26.32,27.15,633302.0,2020-02-18
32,CDNA,27.24,28.61,27.15,28.15,754046.0,2020-02-19
33,CDNA,28.16,28.94,27.3,28.2,743853.0,2020-02-20
34,CDNA,28.28,28.5491,27.65,28.25,631224.0,2020-02-21
35,CDNA,27.29,27.29,25.87,26.55,1057298.0,2020-02-24
36,CDNA,26.79,27.0909,24.65,25.04,1303765.0,2020-02-25
37,CDNA,25.09,25.83,24.34,24.69,561231.0,2020-02-26
38,CDNA,23.95,24.353,22.42,22.445,1042053.0,2020-02-27
39,CDNA,19.5,23.34,19.1764,23.31,1443523.0,2020-02-28
40,CDNA,23.2,23.43,20.81,21.79,1424572.0,2020-03-02
41,CDNA,21.94,23.63,21.07,21.42,1425661.0,2020-03-03
42,CDNA,21.92,24.69,21.92,24.27,1132454.0,2020-03-04
43,CDNA,23.96,24.115,23.0315,23.27,701596.0,2020-03-05
44,CDNA,22.59,23.94,22.06,23.43,759691.0,2020-03-06
45,CDNA,22.3,24.8499,21.33,22.8,769012.0,2020-03-09
46,CDNA,23.46,23.6,21.46,22.0,940459.0,2020-03-10
47,CDNA,21.53,21.78,18.89,18.94,1101124.0,2020-03-11
48,CDNA,17.4,18.09,15.36,17.005,1500993.0,2020-03-12
49,CDNA,18.1,19.99,17.18,19.95,1206795.0,2020-03-13
50,CDNA,17.82,18.175,16.15,16.36,1217166.0,2020-03-16
51,CDNA,16.79,17.46,13.8601,15.32,1703956.0,2020-03-17
52,CDNA,14.65,15.51,13.04,13.94,1031117.0,2020-03-18
53,CDNA,13.9,16.54,13.9,16.21,1075966.0,2020-03-19
54,CDNA,16.45,18.88,16.12,17.34,945043.0,2020-03-20
55,CDNA,17.49,17.56,15.79,16.35,780387.0,2020-03-23
56,CDNA,17.26,19.23,17.26,19.08,636711.0,2020-03-24
57,CDNA,18.98,21.82,18.69,21.6,668196.0,2020-03-25
58,CDNA,21.61,23.86,21.61,23.38,794697.0,2020-03-26
59,CDNA,22.2,23.3,21.79,21.85,643570.0,2020-03-27
60,CDNA,21.95,23.0096,21.16,22.4,427786.0,2020-03-30
61,CDNA,22.42,23.27,21.02,21.83,519908.0,2020-03-31
62,CDNA,21.28,21.55,19.08,19.46,617598.0,2020-04-01
63,CDNA,19.38,21.16,19.0,20.64,562663.0,2020-04-02
64,CDNA,20.41,20.835,18.61,18.95,449335.0,2020-04-03
65,CDNA,19.88,22.1,19.88,21.94,733603.0,2020-04-06
66,CDNA,22.81,23.0,20.42,20.56,689641.0,2020-04-07
67,CDNA,21.86,22.1,20.9,21.62,566935.0,2020-04-08
68,CDNA,22.39,23.465,20.69,21.89,702539.0,2020-04-09
69,CDNA,21.64,21.94,20.6693,21.1,454979.0,2020-04-13
70,CDNA,21.76,22.83,21.38,22.69,840206.0,2020-04-14
71,CDNA,22.13,22.49,21.33,21.66,476403.0,2020-04-15
72,CDNA,21.71,22.27,21.4,21.99,413731.0,2020-04-16
73,CDNA,23.23,23.26,22.01,22.64,589586.0,2020-04-17
74,CDNA,22.37,23.68,22.1,23.1,785908.0,2020-04-20
75,CDNA,22.51,22.79,21.75,22.38,686295.0,2020-04-21
76,CDNA,23.03,23.78,22.61,23.25,452732.0,2020-04-22
77,CDNA,23.44,25.08,23.44,24.08,641001.0,2020-04-23
78,CDNA,24.6,25.17,23.995,24.88,689773.0,2020-04-24
79,CDNA,25.4,26.29,25.32,25.69,919494.0,2020-04-27
80,CDNA,26.1,26.21,24.92,25.61,492045.0,2020-04-28
81,CDNA,26.35,27.04,25.25,26.86,489414.0,2020-04-29
82,CDNA,26.3,27.5,25.04,25.38,758988.0,2020-04-30
83,CDNA,23.95,27.97,23.17,26.85,1003944.0,2020-05-01
84,CDNA,26.83,28.93,26.35,28.89,785020.0,2020-05-04
85,CDNA,29.1,30.1,28.75,29.45,588350.0,2020-05-05
86,CDNA,29.68,29.68,28.31,28.35,516632.0,2020-05-06
87,CDNA,28.6,29.44,28.04,29.27,539135.0,2020-05-07
88,CDNA,29.05,29.72,28.135,28.25,470596.0,2020-05-08
89,CDNA,28.2,30.46,28.15,30.03,652296.0,2020-05-11
90,CDNA,30.42,30.97,29.13,29.19,769585.0,2020-05-12
91,CDNA,29.35,29.7,27.195,27.67,718450.0,2020-05-13
92,CDNA,26.66,28.75,26.615,28.2,499699.0,2020-05-14
93,CDNA,28.07,29.99,27.935,29.93,541919.0,2020-05-15
94,CDNA,31.01,32.95,30.9309,32.25,1076318.0,2020-05-18
95,CDNA,32.21,32.67,30.69,30.71,483874.0,2020-05-19
96,CDNA,30.89,31.37,29.56,29.69,657534.0,2020-05-20
97,CDNA,29.59,30.75,29.026,30.25,623481.0,2020-05-21
98,CDNA,30.25,31.48,29.96,31.39,325406.0,2020-05-22
99,CDNA,32.28,32.32,30.12,30.17,749304.0,2020-05-26
100,CDNA,30.61,31.93,29.14,31.86,676985.0,2020-05-27
101,CDNA,32.12,32.79,31.27,31.6,418107.0,2020-05-28
102,CDNA,31.6,32.23,30.96,32.12,445579.0,2020-05-29
103,CDNA,31.96,33.46,31.52,32.82,520450.0,2020-06-01
104,CDNA,32.78,35.0,32.36,34.45,1025986.0,2020-06-02
105,CDNA,34.49,34.5,32.57,32.94,830598.0,2020-06-03
106,CDNA,32.83,34.12,31.73,31.89,652421.0,2020-06-04
107,CDNA,32.63,33.52,31.42,33.15,521908.0,2020-06-05
108,CDNA,33.33,34.58,32.61,34.34,439343.0,2020-06-08
109,CDNA,34.0,35.015,32.001,33.39,569876.0,2020-06-09
110,CDNA,31.84,34.75,30.95,33.51,756100.0,2020-06-10
111,CDNA,32.7,32.77,29.85,30.22,2199435.0,2020-06-11
112,CDNA,31.58,32.115,30.5,31.51,1012613.0,2020-06-12
113,CDNA,30.91,32.13,30.78,31.87,713347.0,2020-06-15
114,CDNA,33.25,33.3,31.23,31.47,489001.0,2020-06-16
115,CDNA,31.74,32.13,30.66,30.74,517657.0,2020-06-17
116,CDNA,30.51,32.15,30.26,31.35,457358.0,2020-06-18
117,CDNA,31.9,32.99,31.45,32.17,1858134.0,2020-06-19
118,CDNA,32.44,33.9,31.04,33.74,518212.0,2020-06-22
119,CDNA,34.41,34.73,33.45,34.04,572501.0,2020-06-23
120,CDNA,33.9,34.37,32.3174,32.88,405928.0,2020-06-24
