,ticker,open,high,low,close,volume,timestamp
0,CGA,2.91,3.25,2.8232,3.14,141863.0,2020-01-02
1,CGA,3.2,3.6,2.9801,3.28,69296.0,2020-01-03
2,CGA,3.32,3.32,3.0,3.015,22994.0,2020-01-06
3,CGA,3.13,3.13,2.88,2.88,37929.0,2020-01-07
4,CGA,2.96,2.96,2.815,2.8327,13229.0,2020-01-08
5,CGA,2.82,3.26,2.82,3.13,71001.0,2020-01-09
6,CGA,3.2,3.9137,3.145,3.85,321957.0,2020-01-10
7,CGA,4.0,4.1297,3.5501,3.7362,132540.0,2020-01-13
8,CGA,3.63,3.935,3.48,3.7,115892.0,2020-01-14
9,CGA,3.7,4.02,3.7,4.01,59056.0,2020-01-15
10,CGA,4.01,4.01,3.79,3.8,33294.0,2020-01-16
11,CGA,3.85,3.8788,3.75,3.78,23322.0,2020-01-17
12,CGA,3.75,3.7583,3.5,3.5,33243.0,2020-01-21
13,CGA,3.53,3.53,3.49,3.51,13416.0,2020-01-22
14,CGA,3.51,4.0,3.4101,3.53,120430.0,2020-01-23
15,CGA,3.51,3.6524,3.2234,3.3334,31049.0,2020-01-24
16,CGA,3.3,3.34,3.11,3.3301,23882.0,2020-01-27
17,CGA,3.24,3.36,3.24,3.35,4463.0,2020-01-28
18,CGA,3.4,3.4,3.11,3.1317,26144.0,2020-01-29
19,CGA,3.03,3.29,3.0001,3.2,55182.0,2020-01-30
20,CGA,3.2,3.2166,3.051,3.08,21668.0,2020-01-31
21,CGA,3.2,3.4598,3.0,3.025,38888.0,2020-02-03
22,CGA,3.03,3.2764,2.975,3.1663,46801.0,2020-02-04
23,CGA,3.17,3.17,3.02,3.11,16386.0,2020-02-05
24,CGA,3.19,3.2375,2.99,3.15,34375.0,2020-02-06
25,CGA,3.15,3.15,2.9,3.01,15882.0,2020-02-07
26,CGA,3.0,3.3399,2.82,3.16,72391.0,2020-02-10
27,CGA,3.2,3.2,3.05,3.06,12774.0,2020-02-11
28,CGA,3.0,3.0788,2.88,3.02,12198.0,2020-02-12
29,CGA,2.9,3.0191,2.8958,2.97,10291.0,2020-02-13
30,CGA,2.92,3.0,2.92,2.92,13187.0,2020-02-14
31,CGA,2.88,3.01,2.765,2.855,46106.0,2020-02-18
32,CGA,2.8542,2.908,2.805,2.85,20351.0,2020-02-19
33,CGA,2.91,2.9388,2.83,2.83,15044.0,2020-02-20
34,CGA,2.81,2.8926,2.7898,2.82,13701.0,2020-02-21
35,CGA,2.77,2.8516,2.75,2.7692,20153.0,2020-02-24
36,CGA,2.7535,2.77,2.36,2.38,33413.0,2020-02-25
37,CGA,2.37,2.5175,2.37,2.4365,21100.0,2020-02-26
38,CGA,2.36,2.44,2.2621,2.393,24590.0,2020-02-27
39,CGA,2.44,2.44,2.21,2.2289,18354.0,2020-02-28
40,CGA,2.24,2.32,2.22,2.29,9115.0,2020-03-02
41,CGA,2.3,2.49,2.126,2.14,106271.0,2020-03-03
42,CGA,2.1,2.2826,2.1,2.2808,16003.0,2020-03-04
43,CGA,2.28,2.38,2.2,2.22,26839.0,2020-03-05
44,CGA,2.17,2.24,2.12,2.15,15465.0,2020-03-06
45,CGA,2.12,2.15,1.82,1.84,31467.0,2020-03-09
46,CGA,1.93,2.1799,1.8,2.03,71868.0,2020-03-10
47,CGA,2.03,2.0502,1.9,2.05,51181.0,2020-03-11
48,CGA,1.91,2.04,1.86,1.99,40596.0,2020-03-12
49,CGA,2.05,2.15,1.88,2.15,38120.0,2020-03-13
50,CGA,2.1,2.54,2.0,2.4773,65834.0,2020-03-16
51,CGA,2.51,2.98,2.5027,2.98,62771.0,2020-03-17
52,CGA,3.0,3.05,2.6004,2.9,128571.0,2020-03-18
53,CGA,2.8,2.9085,2.52,2.74,31313.0,2020-03-19
54,CGA,2.78,2.81,2.61,2.79,24079.0,2020-03-20
55,CGA,3.06,3.06,2.56,2.65,64565.0,2020-03-23
56,CGA,2.56,2.72,2.56,2.72,20420.0,2020-03-24
57,CGA,2.6,2.74,2.6,2.7,12158.0,2020-03-25
58,CGA,2.73,2.73,2.6,2.6,6964.0,2020-03-26
59,CGA,2.6,2.6745,2.5406,2.58,4871.0,2020-03-27
60,CGA,2.7,2.7,2.45,2.63,16320.0,2020-03-30
61,CGA,2.57,2.78,2.57,2.6,16766.0,2020-03-31
62,CGA,2.55,2.58,2.45,2.51,10659.0,2020-04-01
63,CGA,2.46,2.64,2.415,2.51,16127.0,2020-04-02
64,CGA,2.44,2.5,2.43,2.46,3578.0,2020-04-03
65,CGA,2.44,2.5767,2.44,2.44,4250.0,2020-04-06
66,CGA,2.45,2.57,2.45,2.5,3141.0,2020-04-07
67,CGA,2.46,2.56,2.45,2.45,5365.0,2020-04-08
68,CGA,2.57,2.57,2.46,2.5,6322.0,2020-04-09
69,CGA,2.55,2.58,2.5155,2.52,3881.0,2020-04-13
70,CGA,2.6,2.6,2.42,2.4497,25010.0,2020-04-14
71,CGA,2.4,2.48,2.4,2.48,909.0,2020-04-15
72,CGA,2.52,2.55,2.48,2.55,1739.0,2020-04-16
73,CGA,2.52,2.59,2.52,2.55,7468.0,2020-04-17
74,CGA,2.5,2.53,2.5,2.5101,5170.0,2020-04-20
75,CGA,2.5,2.5,2.33,2.41,13141.0,2020-04-21
76,CGA,2.37,2.46,2.37,2.44,1169.0,2020-04-22
77,CGA,2.48,2.49,2.46,2.46,6469.0,2020-04-23
78,CGA,2.5,2.5,2.4,2.43,3134.0,2020-04-24
79,CGA,2.43,2.5824,2.43,2.56,4796.0,2020-04-27
80,CGA,2.58,2.7756,2.49,2.6202,35206.0,2020-04-28
81,CGA,2.58,2.76,2.53,2.74,31194.0,2020-04-29
82,CGA,2.75,2.75,2.61,2.64,17384.0,2020-04-30
83,CGA,2.63,2.7399,2.571,2.6568,7274.0,2020-05-01
84,CGA,2.5,2.58,2.5,2.58,1039.0,2020-05-04
85,CGA,2.5,2.645,2.5,2.54,6499.0,2020-05-05
86,CGA,2.58,2.69,2.58,2.6601,19279.0,2020-05-06
87,CGA,2.7,2.84,2.7,2.77,15960.0,2020-05-07
88,CGA,2.83,2.83,2.7,2.7,4540.0,2020-05-08
89,CGA,2.76,2.76,2.61,2.66,5964.0,2020-05-11
90,CGA,2.71,2.81,2.66,2.75,4402.0,2020-05-12
91,CGA,2.78,3.1,2.62,2.98,53790.0,2020-05-13
92,CGA,3.01,3.01,2.85,2.99,5762.0,2020-05-14
93,CGA,3.02,3.02,2.9,2.97,6025.0,2020-05-15
94,CGA,2.97,2.97,2.8,2.83,8229.0,2020-05-18
95,CGA,2.8,2.8,2.6411,2.73,12824.0,2020-05-19
96,CGA,2.71,2.84,2.6899,2.749,22979.0,2020-05-20
97,CGA,2.7,2.74,2.7,2.74,1621.0,2020-05-21
98,CGA,2.7,2.7,2.63,2.63,7545.0,2020-05-22
99,CGA,2.7314,2.7314,2.64,2.65,2716.0,2020-05-26
100,CGA,2.75,2.75,2.616,2.62,1835.0,2020-05-27
101,CGA,2.6,2.6301,2.56,2.56,5553.0,2020-05-28
102,CGA,2.55,2.62,2.55,2.6081,4952.0,2020-05-29
103,CGA,2.58,2.6,2.571,2.571,1546.0,2020-06-01
104,CGA,2.57,2.6,2.5,2.53,4252.0,2020-06-02
105,CGA,2.54,2.55,2.445,2.45,6992.0,2020-06-03
106,CGA,2.43,2.5,2.43,2.4901,3583.0,2020-06-04
107,CGA,2.5,2.5,2.46,2.46,3313.0,2020-06-05
108,CGA,2.43,2.48,2.42,2.43,6861.0,2020-06-08
109,CGA,2.44,2.6,2.43,2.5374,46331.0,2020-06-09
110,CGA,2.54,2.9,2.52,2.8109,67533.0,2020-06-10
111,CGA,2.82,3.83,2.65,3.25,436024.0,2020-06-11
112,CGA,3.24,3.4299,2.83,3.12,122372.0,2020-06-12
113,CGA,3.11,4.29,2.99,3.65,391673.0,2020-06-15
114,CGA,3.33,3.47,3.2,3.23,45206.0,2020-06-16
115,CGA,3.16,3.25,3.07,3.25,44072.0,2020-06-17
116,CGA,3.25,3.73,2.91,3.0499,164227.0,2020-06-18
117,CGA,2.92,3.11,2.92,2.97,8396.0,2020-06-19
118,CGA,2.94,2.985,2.85,2.8799,10150.0,2020-06-22
119,CGA,2.82,3.22,2.7385,2.83,175654.0,2020-06-23
120,CGA,2.75,2.82,2.73,2.77,8528.0,2020-06-24
121,CGA,2.72,2.78,2.54,2.545,25516.0,2020-06-25
122,CGA,2.52,2.6315,2.46,2.49,22479.0,2020-06-26
123,CGA,2.45,2.56,2.45,2.4999,6324.0,2020-06-29
124,CGA,2.5,2.97,2.45,2.9152,107575.0,2020-06-30
125,CGA,2.9,3.015,2.71,2.99,26325.0,2020-07-01
126,CGA,2.92,3.15,2.67,2.77,76916.0,2020-07-02
127,CGA,2.87,2.87,2.74,2.74,14173.0,2020-07-06
128,CGA,2.85,2.85,2.5,2.63,40608.0,2020-07-07
129,CGA,2.71,2.74,2.66,2.74,9079.0,2020-07-08
130,CGA,2.75,2.86,2.61,2.84,45680.0,2020-07-09
131,CGA,2.78,2.79,2.6965,2.7499,15308.0,2020-07-10
132,CGA,2.76,2.7601,2.6,2.6,13358.0,2020-07-13
133,CGA,2.54,2.6409,2.53,2.602,5675.0,2020-07-14
134,CGA,2.54,2.76,2.54,2.59,23912.0,2020-07-15
135,CGA,2.53,2.61,2.47,2.57,25383.0,2020-07-16
136,CGA,2.53,2.8658,2.53,2.79,95934.0,2020-07-17
137,CGA,2.72,2.8459,2.72,2.8,14171.0,2020-07-20
138,CGA,2.86,2.86,2.73,2.76,3924.0,2020-07-21
139,CGA,2.76,2.76,2.49,2.59,43686.0,2020-07-22
140,CGA,2.53,2.64,2.52,2.52,8631.0,2020-07-23
141,CGA,2.59,2.6,2.5,2.6,16457.0,2020-07-24
142,CGA,2.6,2.9208,2.6,2.7458,63169.0,2020-07-27
143,CGA,2.81,2.81,2.645,2.71,6035.0,2020-07-28
144,CGA,2.66,2.78,2.65,2.67,9349.0,2020-07-29
145,CGA,2.6,2.715,2.6,2.6401,2705.0,2020-07-30
