,ticker,open,high,low,close,volume,timestamp
0,CGBD,13.39,13.61,13.38,13.53,379860.0,2020-01-02
1,CGBD,13.41,13.72,13.41,13.68,394302.0,2020-01-03
2,CGBD,13.68,13.7,13.54,13.56,264288.0,2020-01-06
3,CGBD,13.54,13.635,13.48,13.59,261768.0,2020-01-07
4,CGBD,13.62,13.69,13.53,13.54,246876.0,2020-01-08
5,CGBD,13.54,13.6999,13.54,13.59,257567.0,2020-01-09
6,CGBD,13.62,13.74,13.58,13.7,279519.0,2020-01-10
7,CGBD,13.66,13.735,13.57,13.63,302981.0,2020-01-13
8,CGBD,13.64,13.775,13.52,13.71,237347.0,2020-01-14
9,CGBD,13.72,13.83,13.68,13.75,309751.0,2020-01-15
10,CGBD,13.8,13.96,13.77,13.93,353681.0,2020-01-16
11,CGBD,14.03,14.12,13.93,14.03,406564.0,2020-01-17
12,CGBD,13.92,14.105,13.915,14.01,388234.0,2020-01-21
13,CGBD,14.11,14.29,14.11,14.17,497452.0,2020-01-22
14,CGBD,14.1,14.31,14.06,14.25,336995.0,2020-01-23
15,CGBD,14.24,14.35,14.08,14.11,292963.0,2020-01-24
16,CGBD,14.05,14.15,13.96,14.1,433545.0,2020-01-27
17,CGBD,14.11,14.18,13.94,13.97,350387.0,2020-01-28
18,CGBD,13.95,13.96,13.83,13.88,231396.0,2020-01-29
19,CGBD,13.86,13.97,13.8,13.97,220305.0,2020-01-30
20,CGBD,13.93,13.95,13.81,13.85,286150.0,2020-01-31
21,CGBD,13.88,13.99,13.75,13.84,268831.0,2020-02-03
22,CGBD,13.89,13.9737,13.77,13.87,250196.0,2020-02-04
23,CGBD,13.91,14.15,13.9,14.1,213029.0,2020-02-05
24,CGBD,14.15,14.27,14.06,14.22,197658.0,2020-02-06
25,CGBD,14.22,14.37,13.89,13.99,793913.0,2020-02-07
26,CGBD,13.75,14.12,13.75,13.96,406333.0,2020-02-10
27,CGBD,13.66,13.8911,13.58,13.63,704255.0,2020-02-11
28,CGBD,13.63,13.78,13.58,13.71,408521.0,2020-02-12
29,CGBD,13.71,13.72,13.55,13.69,487281.0,2020-02-13
30,CGBD,13.69,13.74,13.64,13.74,169461.0,2020-02-14
31,CGBD,13.57,13.7,13.51,13.6,361909.0,2020-02-18
32,CGBD,13.58,13.68,13.53,13.63,241957.0,2020-02-19
33,CGBD,13.66,13.85,13.66,13.79,244010.0,2020-02-20
34,CGBD,13.79,13.84,13.59,13.68,287464.0,2020-02-21
35,CGBD,13.52,13.55,13.26,13.32,379210.0,2020-02-24
36,CGBD,13.32,13.3917,12.66,12.83,391045.0,2020-02-25
37,CGBD,13.0,13.25,12.88,12.92,549882.0,2020-02-26
38,CGBD,12.76,12.81,12.04,12.5,732004.0,2020-02-27
39,CGBD,12.2,12.31,11.776,12.14,891127.0,2020-02-28
40,CGBD,12.16,12.7,12.15,12.49,770959.0,2020-03-02
41,CGBD,12.55,12.8042,12.31,12.43,674357.0,2020-03-03
42,CGBD,12.6,12.87,12.51,12.72,385500.0,2020-03-04
43,CGBD,12.59,12.95,12.59,12.79,431027.0,2020-03-05
44,CGBD,12.53,12.62,12.31,12.47,456931.0,2020-03-06
45,CGBD,11.78,11.9,11.5,11.5,529794.0,2020-03-09
46,CGBD,11.8,11.96,11.4,11.75,546265.0,2020-03-10
47,CGBD,11.49,11.62,11.14,11.31,434493.0,2020-03-11
48,CGBD,10.35,10.71,9.74,9.76,891123.0,2020-03-12
49,CGBD,10.21,10.6258,9.2,9.34,885672.0,2020-03-13
50,CGBD,7.5,8.53,6.63,7.59,980499.0,2020-03-16
51,CGBD,7.7,7.708,6.53,6.53,1272407.0,2020-03-17
52,CGBD,6.41,6.44,4.4,4.76,1287495.0,2020-03-18
53,CGBD,4.76,7.21,4.35,6.92,1771530.0,2020-03-19
54,CGBD,6.93,7.25,5.72,5.72,1113590.0,2020-03-20
55,CGBD,5.69,5.69,4.5901,4.61,638480.0,2020-03-23
56,CGBD,4.98,5.7,4.98,5.25,884015.0,2020-03-24
57,CGBD,5.37,6.75,5.1,5.49,1082070.0,2020-03-25
58,CGBD,5.62,7.49,5.62,6.19,1069795.0,2020-03-26
