,ticker,open,high,low,close,volume,timestamp
0,CION,9.8,10.1,9.8,10.01,197826.0,2022-09-19
1,CION,9.93,9.95,9.62,9.66,130567.0,2022-09-20
2,CION,9.67,9.73,9.5,9.6,278998.0,2022-09-21
3,CION,9.6,9.68,9.18,9.19,263440.0,2022-09-22
4,CION,9.03,9.06,8.77,8.94,304127.0,2022-09-23
5,CION,8.87,9.0774,8.4,8.49,389910.0,2022-09-26
6,CION,8.59,8.8953,8.56,8.63,246932.0,2022-09-27
7,CION,8.72,9.02,8.6,8.89,236437.0,2022-09-28
8,CION,8.75,8.77,8.08,8.22,268711.0,2022-09-29
9,CION,8.2,8.61,8.18,8.5,291732.0,2022-09-30
10,CION,8.6,8.76,8.41,8.46,257939.0,2022-10-03
11,CION,8.7,9.165,8.64,9.08,279036.0,2022-10-04
12,CION,8.86,9.01,8.76,8.82,188984.0,2022-10-05
13,CION,8.77,8.9,8.65,8.75,168810.0,2022-10-06
14,CION,8.61,8.71,8.34,8.48,277972.0,2022-10-07
15,CION,8.45,8.55,8.36,8.37,141268.0,2022-10-10
16,CION,8.33,8.51,8.2,8.36,182574.0,2022-10-11
17,CION,8.35,8.645,8.32,8.47,201681.0,2022-10-12
18,CION,8.4,8.92,8.29,8.91,189005.0,2022-10-13
19,CION,8.91,9.11,8.61,8.61,255456.0,2022-10-14
20,CION,8.78,9.04,8.7,8.78,162004.0,2022-10-17
21,CION,8.94,9.03,8.78,8.92,223673.0,2022-10-18
22,CION,8.8,8.9511,8.65,8.8,181091.0,2022-10-19
23,CION,8.65,8.957,8.64,8.73,216019.0,2022-10-20
24,CION,8.65,8.94,8.65,8.79,166669.0,2022-10-21
25,CION,8.79,9.02,8.65,9.01,207242.0,2022-10-24
26,CION,8.95,9.375,8.95,9.26,189419.0,2022-10-25
27,CION,9.38,9.45,9.2,9.2,223831.0,2022-10-26
28,CION,9.21,9.515,9.21,9.28,193890.0,2022-10-27
29,CION,9.27,9.475,9.27,9.44,159728.0,2022-10-28
30,CION,9.34,9.53,9.25,9.31,308318.0,2022-10-31
31,CION,9.34,9.4839,9.22,9.41,224192.0,2022-11-01
32,CION,9.3,9.56,9.26,9.39,224300.0,2022-11-02
33,CION,9.25,9.46,9.08,9.17,624077.0,2022-11-03
34,CION,9.34,9.57,9.3,9.49,261247.0,2022-11-04
35,CION,9.41,9.78,9.41,9.74,314932.0,2022-11-07
36,CION,9.74,9.82,9.48,9.5,189511.0,2022-11-08
37,CION,9.45,9.82,9.39,9.63,204930.0,2022-11-09
38,CION,10.0,10.45,9.96,10.02,389586.0,2022-11-10
39,CION,10.2,10.97,10.1501,10.57,704881.0,2022-11-11
40,CION,10.6,10.73,10.43,10.46,308104.0,2022-11-14
41,CION,10.65,10.65,10.393,10.48,234953.0,2022-11-15
42,CION,10.4,10.48,10.22,10.22,151874.0,2022-11-16
43,CION,10.01,10.36,9.97,10.27,145519.0,2022-11-17
44,CION,10.25,10.35,10.12,10.15,213420.0,2022-11-18
45,CION,10.1,10.27,10.067,10.22,168708.0,2022-11-21
46,CION,10.26,10.36,10.16,10.28,205758.0,2022-11-22
47,CION,10.31,10.47,10.18,10.29,199778.0,2022-11-23
48,CION,10.44,10.48,10.3559,10.43,85765.0,2022-11-25
49,CION,10.38,10.47,10.28,10.29,197822.0,2022-11-28
50,CION,10.29,10.53,10.28,10.38,279275.0,2022-11-29
51,CION,9.94,10.19,9.7901,10.1,348353.0,2022-11-30
52,CION,10.12,10.35,10.0545,10.2,246746.0,2022-12-01
53,CION,10.1,10.42,10.1,10.25,264689.0,2022-12-02
54,CION,10.25,10.28,10.075,10.13,249456.0,2022-12-05
55,CION,10.16,10.2,9.975,10.02,276490.0,2022-12-06
56,CION,10.0,10.1,9.925,10.03,186897.0,2022-12-07
57,CION,10.11,10.3,10.0917,10.17,211015.0,2022-12-08
58,CION,10.09,10.32,10.0801,10.21,244248.0,2022-12-09
59,CION,10.25,11.1,10.25,10.83,981169.0,2022-12-12
60,CION,11.0,11.19,10.72,10.83,342951.0,2022-12-13
61,CION,10.85,11.12,10.5807,10.79,308410.0,2022-12-14
62,CION,10.71,10.71,10.38,10.46,246422.0,2022-12-15
63,CION,10.53,10.53,10.11,10.4,2321407.0,2022-12-16
64,CION,10.39,10.4,9.84,9.94,304840.0,2022-12-19
65,CION,10.09,10.46,9.95,10.32,378105.0,2022-12-20
66,CION,10.35,10.65,10.255,10.51,268384.0,2022-12-21
67,CION,10.36,10.36,10.1012,10.3,235955.0,2022-12-22
68,CION,10.3,10.4,10.21,10.29,154581.0,2022-12-23
69,CION,10.29,10.47,10.11,10.28,259662.0,2022-12-27
70,CION,10.3,10.3,9.99,10.04,282939.0,2022-12-28
71,CION,9.82,9.94,9.715,9.75,244717.0,2022-12-29
72,CION,9.63,9.77,9.565,9.75,283071.0,2022-12-30
73,CION,9.8,10.06,9.8,9.97,155418.0,2023-01-03
74,CION,9.97,10.23,9.97,10.05,106175.0,2023-01-04
75,CION,10.05,10.11,9.91,9.96,121504.0,2023-01-05
76,CION,9.99,10.31,9.87,10.26,156238.0,2023-01-06
77,CION,10.29,10.49,10.245,10.35,176618.0,2023-01-09
78,CION,10.25,10.755,10.24,10.61,335513.0,2023-01-10
79,CION,10.65,10.8913,10.65,10.84,135981.0,2023-01-11
80,CION,10.84,10.9369,10.7,10.77,166151.0,2023-01-12
81,CION,10.63,10.795,10.6,10.7,149095.0,2023-01-13
82,CION,10.67,10.85,10.65,10.7,130772.0,2023-01-17
83,CION,10.77,10.82,10.52,10.62,147828.0,2023-01-18
84,CION,10.56,10.56,10.39,10.4,134094.0,2023-01-19
85,CION,10.4,10.65,10.3999,10.65,121269.0,2023-01-20
86,CION,10.64,10.83,10.64,10.75,146888.0,2023-01-23
87,CION,10.76,10.94,10.7,10.76,132933.0,2023-01-24
88,CION,10.62,10.76,10.5,10.55,155660.0,2023-01-25
89,CION,10.66,10.71,10.47,10.65,134619.0,2023-01-26
90,CION,10.64,11.36,10.64,11.12,541659.0,2023-01-27
91,CION,10.99,11.21,10.7484,10.78,192237.0,2023-01-30
92,CION,10.83,11.0,10.64,10.67,168918.0,2023-01-31
93,CION,10.71,11.14,10.6506,11.01,169399.0,2023-02-01
94,CION,11.11,11.35,11.07,11.16,187223.0,2023-02-02
95,CION,11.05,11.2,11.02,11.14,146488.0,2023-02-03
96,CION,10.97,11.26,10.97,11.21,189578.0,2023-02-06
97,CION,11.2,11.36,11.12,11.25,176312.0,2023-02-07
98,CION,11.18,11.32,11.18,11.22,123453.0,2023-02-08
99,CION,11.29,11.36,10.95,10.96,164095.0,2023-02-09
100,CION,10.9,10.9569,10.76,10.91,115347.0,2023-02-10
101,CION,10.93,11.16,10.85,11.09,80216.0,2023-02-13
102,CION,11.01,11.21,10.95,10.98,126296.0,2023-02-14
103,CION,10.85,11.06,10.79,10.95,89587.0,2023-02-15
104,CION,10.82,11.13,10.8,11.0,121863.0,2023-02-16
105,CION,10.97,11.15,10.94,11.02,116743.0,2023-02-17
106,CION,10.91,11.0,10.7865,10.85,168460.0,2023-02-21
107,CION,10.82,11.01,10.82,10.86,124881.0,2023-02-22
108,CION,10.91,11.04,10.87,10.94,83386.0,2023-02-23
109,CION,10.9,10.91,10.7844,10.86,94384.0,2023-02-24
110,CION,10.91,11.0076,10.75,10.77,99273.0,2023-02-27
111,CION,10.77,10.96,10.74,10.95,142255.0,2023-02-28
112,CION,10.96,11.0499,10.73,10.73,94974.0,2023-03-01
113,CION,10.66,10.79,10.6,10.75,114884.0,2023-03-02
114,CION,10.74,10.84,10.71,10.8,136536.0,2023-03-03
115,CION,10.81,10.8756,10.72,10.72,155176.0,2023-03-06
116,CION,10.69,10.75,10.38,10.44,141105.0,2023-03-07
117,CION,10.43,10.53,10.38,10.52,116548.0,2023-03-08
118,CION,10.52,10.52,10.07,10.07,193960.0,2023-03-09
119,CION,10.11,10.18,9.65,9.81,326011.0,2023-03-10
120,CION,9.66,9.67,9.27,9.63,492909.0,2023-03-13
121,CION,9.94,9.94,9.52,9.63,244027.0,2023-03-14
122,CION,9.35,9.57,9.29,9.51,206670.0,2023-03-15
123,CION,9.66,10.24,9.3,10.1,227773.0,2023-03-16
124,CION,10.03,10.03,9.54,9.54,703828.0,2023-03-17
125,CION,9.64,9.87,9.64,9.71,188903.0,2023-03-20
126,CION,9.85,10.14,9.84,10.09,205518.0,2023-03-21
127,CION,10.07,10.2,9.85,9.85,256482.0,2023-03-22
128,CION,9.54,9.78,9.47,9.54,243079.0,2023-03-23
129,CION,9.54,9.76,9.42,9.73,203851.0,2023-03-24
