,ticker,open,high,low,close,volume,timestamp
0,CRGX,15.45,15.73,14.5,14.53,2272472.0,2023-11-10
1,CRGX,14.6,15.3,13.14,14.69,1110950.0,2023-11-13
2,CRGX,14.69,15.25,14.69,14.75,290426.0,2023-11-14
3,CRGX,14.86,15.1999,14.8,15.09,88135.0,2023-11-15
4,CRGX,15.24,15.24,14.49,14.74,271274.0,2023-11-16
5,CRGX,14.69,15.0764,14.5001,15.05,100565.0,2023-11-17
6,CRGX,15.07,15.2,14.6,14.65,62908.0,2023-11-20
7,CRGX,14.6,15.04,14.5,14.5,45161.0,2023-11-21
8,CRGX,14.61,15.0,14.38,14.87,89856.0,2023-11-22
9,CRGX,14.72,14.91,14.12,14.41,22950.0,2023-11-24
10,CRGX,14.25,14.8,14.0,14.8,41089.0,2023-11-27
11,CRGX,14.8,15.51,14.49,15.38,123658.0,2023-11-28
12,CRGX,15.4,15.5599,14.82,15.44,27553.0,2023-11-29
13,CRGX,15.08,15.25,14.815,14.95,42808.0,2023-11-30
14,CRGX,15.17,16.48,14.49,16.29,273478.0,2023-12-01
15,CRGX,17.13,17.29,15.61,15.64,75302.0,2023-12-04
16,CRGX,16.62,17.24,15.67,15.71,111952.0,2023-12-05
17,CRGX,15.8,16.2137,14.2663,14.86,81273.0,2023-12-06
18,CRGX,14.73,16.2,14.5,16.045,92453.0,2023-12-07
19,CRGX,16.05,16.41,15.55,16.05,83939.0,2023-12-08
20,CRGX,15.6316,16.4999,15.1,15.16,69744.0,2023-12-11
21,CRGX,15.5,15.51,14.77,14.97,105894.0,2023-12-12
22,CRGX,15.0,16.0,14.85,15.34,92793.0,2023-12-13
23,CRGX,15.45,16.84,15.0,15.93,250136.0,2023-12-14
24,CRGX,16.265,18.95,15.88,18.16,1388142.0,2023-12-15
25,CRGX,18.3,19.33,17.48,18.01,326667.0,2023-12-18
26,CRGX,18.14,20.85,18.11,20.51,447536.0,2023-12-19
27,CRGX,20.01,20.06,17.58,18.62,122186.0,2023-12-20
28,CRGX,18.56,20.275,18.0101,19.98,47998.0,2023-12-21
29,CRGX,19.98,24.33,19.98,24.23,185492.0,2023-12-22
30,CRGX,24.31,25.93,22.62,23.93,173367.0,2023-12-26
31,CRGX,23.2,24.16,22.3,23.38,62460.0,2023-12-27
32,CRGX,23.44,23.5564,21.7501,22.72,90442.0,2023-12-28
33,CRGX,22.94,29.01,21.65,23.15,462614.0,2023-12-29
34,CRGX,23.29,24.12,22.51,22.72,279774.0,2024-01-02
35,CRGX,22.71,23.335,19.7419,20.09,146051.0,2024-01-03
36,CRGX,20.3,20.3,19.72,19.89,85348.0,2024-01-04
37,CRGX,19.97,23.0,19.1,22.08,147538.0,2024-01-05
38,CRGX,22.38,22.83,21.88,21.99,135157.0,2024-01-08
39,CRGX,22.08,22.25,20.65,21.32,167118.0,2024-01-09
40,CRGX,21.02,21.99,20.0,20.49,98819.0,2024-01-10
41,CRGX,20.67,21.225,20.01,20.98,140415.0,2024-01-11
42,CRGX,20.75,21.035,18.51,20.41,96993.0,2024-01-12
43,CRGX,19.89,20.4,19.29,19.5,240216.0,2024-01-16
44,CRGX,19.5,20.22,19.0,19.34,108386.0,2024-01-17
45,CRGX,19.5,21.25,18.8,20.5,107417.0,2024-01-18
46,CRGX,20.86,21.7872,20.2667,20.78,85901.0,2024-01-19
47,CRGX,20.78,24.94,20.78,21.37,205590.0,2024-01-22
48,CRGX,22.5,23.97,20.93,23.42,131246.0,2024-01-23
49,CRGX,23.39,25.0,22.28,22.66,140493.0,2024-01-24
50,CRGX,22.66,24.15,21.68,22.51,85569.0,2024-01-25
51,CRGX,22.53,23.5525,22.37,22.84,74977.0,2024-01-26
52,CRGX,22.79,23.17,21.19,22.5,180481.0,2024-01-29
53,CRGX,22.74,23.32,22.03,22.91,114698.0,2024-01-30
54,CRGX,22.75,23.195,21.03,22.01,81429.0,2024-01-31
55,CRGX,22.63,23.775,21.9975,22.5,325808.0,2024-02-01
56,CRGX,22.7,24.15,22.34,23.5,266457.0,2024-02-02
57,CRGX,22.95,23.175,21.94,22.05,194107.0,2024-02-05
58,CRGX,22.22,22.99,21.46,22.94,58407.0,2024-02-06
59,CRGX,23.49,23.49,22.02,23.0,119307.0,2024-02-07
60,CRGX,23.47,24.21,21.78,23.57,156168.0,2024-02-08
61,CRGX,23.92,23.92,22.1701,22.54,71210.0,2024-02-09
62,CRGX,22.96,23.02,22.195,22.24,74314.0,2024-02-12
63,CRGX,22.24,22.47,20.92,21.41,165952.0,2024-02-13
64,CRGX,21.46,22.16,21.42,21.6,106039.0,2024-02-14
65,CRGX,21.66,23.375,21.66,22.82,135535.0,2024-02-15
66,CRGX,22.43,23.2637,21.66,22.2,217415.0,2024-02-16
67,CRGX,22.0,23.71,22.0,23.46,384805.0,2024-02-20
68,CRGX,23.3,23.8128,21.24,21.83,370448.0,2024-02-21
69,CRGX,22.03,23.26,21.915,22.78,255759.0,2024-02-22
70,CRGX,23.39,23.75,22.46,23.34,251548.0,2024-02-23
71,CRGX,23.57,25.39,23.06,23.52,301329.0,2024-02-26
72,CRGX,23.85,24.33,22.9555,24.2,298281.0,2024-02-27
73,CRGX,23.61,26.0,23.6,25.05,304776.0,2024-02-28
74,CRGX,25.34,25.71,23.72,24.18,426338.0,2024-02-29
75,CRGX,24.0,25.7408,23.7,25.07,290432.0,2024-03-01
76,CRGX,25.26,28.14,24.87,27.65,491508.0,2024-03-04
77,CRGX,27.01,28.26,26.57,26.62,519473.0,2024-03-05
78,CRGX,26.68,27.96,26.22,26.45,212928.0,2024-03-06
79,CRGX,26.8,32.5,26.45,32.23,506626.0,2024-03-07
80,CRGX,32.06,33.05,30.33,30.72,324350.0,2024-03-08
81,CRGX,30.1,33.92,29.72,29.82,357104.0,2024-03-11
82,CRGX,29.37,30.62,28.5,29.07,243569.0,2024-03-12
83,CRGX,28.71,31.48,28.71,30.92,371377.0,2024-03-13
84,CRGX,30.83,32.6,26.16,28.09,506547.0,2024-03-14
85,CRGX,28.5,33.84,27.9701,31.28,3878307.0,2024-03-15
86,CRGX,30.5,32.79,24.87,26.605,823729.0,2024-03-18
87,CRGX,26.0,27.93,25.815,27.29,496797.0,2024-03-19
88,CRGX,27.02,28.13,25.8805,26.82,279547.0,2024-03-20
89,CRGX,26.5,27.225,24.0,25.15,314343.0,2024-03-21
90,CRGX,26.48,27.96,25.545,25.9,327099.0,2024-03-22
91,CRGX,26.02,26.02,23.96,24.0,229265.0,2024-03-25
92,CRGX,24.23,26.61,23.47,23.83,269827.0,2024-03-26
93,CRGX,23.88,24.6,22.23,22.41,259301.0,2024-03-27
94,CRGX,21.83,23.2438,21.69,22.32,236308.0,2024-03-28
95,CRGX,22.32,22.79,20.81,21.63,264480.0,2024-04-01
96,CRGX,20.85,21.39,19.88,20.91,117302.0,2024-04-02
97,CRGX,20.72,21.44,20.3,20.74,200241.0,2024-04-03
98,CRGX,20.83,22.7,20.69,21.27,262785.0,2024-04-04
99,CRGX,21.24,22.0167,20.54,21.49,143595.0,2024-04-05
100,CRGX,21.51,22.06,20.93,21.2,79771.0,2024-04-08
101,CRGX,21.12,21.44,20.56,21.22,125193.0,2024-04-09
102,CRGX,20.77,21.41,20.75,21.01,177422.0,2024-04-10
103,CRGX,20.97,22.0854,20.73,21.58,118156.0,2024-04-11
104,CRGX,21.37,22.21,20.3,20.84,439601.0,2024-04-12
105,CRGX,20.92,21.24,19.88,19.89,139874.0,2024-04-15
106,CRGX,19.54,20.7126,19.5,20.0,157297.0,2024-04-16
107,CRGX,20.31,20.64,19.13,19.5,243545.0,2024-04-17
108,CRGX,19.22,20.58,18.975,19.1,183581.0,2024-04-18
109,CRGX,18.95,19.335,18.9,19.19,183179.0,2024-04-19
110,CRGX,19.3,19.56,18.91,19.03,258464.0,2024-04-22
111,CRGX,18.98,19.8,18.88,19.0,105589.0,2024-04-23
112,CRGX,18.85,19.505,18.51,18.75,250328.0,2024-04-24
113,CRGX,18.54,19.01,18.25,18.28,277210.0,2024-04-25
114,CRGX,18.46,18.86,18.265,18.68,87945.0,2024-04-26
115,CRGX,18.87,19.75,18.87,19.06,130414.0,2024-04-29
116,CRGX,18.76,19.58,18.76,19.1,96589.0,2024-04-30
117,CRGX,19.13,21.125,19.1,20.54,154266.0,2024-05-01
118,CRGX,20.87,21.01,19.84,20.96,115241.0,2024-05-02
119,CRGX,21.61,22.125,20.135,20.33,139183.0,2024-05-03
120,CRGX,20.3,21.17,19.24,19.96,151844.0,2024-05-06
121,CRGX,20.2,20.78,19.77,20.24,74914.0,2024-05-07
122,CRGX,19.81,20.42,19.26,20.38,140534.0,2024-05-08
123,CRGX,20.3,20.34,18.89,19.0,237530.0,2024-05-09
124,CRGX,18.82,19.49,18.82,19.09,129749.0,2024-05-10
125,CRGX,19.25,19.84,18.85,19.51,87110.0,2024-05-13
126,CRGX,19.85,20.125,19.53,19.7,99583.0,2024-05-14
127,CRGX,20.0,22.515,19.975,20.99,165152.0,2024-05-15
128,CRGX,20.83,21.8399,20.81,21.34,165457.0,2024-05-16
129,CRGX,21.15,21.27,19.95,20.42,150574.0,2024-05-17
