,ticker,open,high,low,close,volume,timestamp
0,CUE,15.78,17.0,15.5071,16.31,333007.0,2020-01-02
1,CUE,16.07,16.07,14.5756,14.83,224868.0,2020-01-03
2,CUE,14.74,14.98,13.42,13.69,285293.0,2020-01-06
3,CUE,13.64,14.95,13.3,14.45,323137.0,2020-01-07
4,CUE,14.45,14.88,14.4,14.62,134430.0,2020-01-08
5,CUE,14.72,15.44,14.62,15.37,319045.0,2020-01-09
6,CUE,15.47,16.0,15.28,15.67,176882.0,2020-01-10
7,CUE,15.68,15.87,14.71,15.79,316976.0,2020-01-13
8,CUE,15.75,16.35,15.3701,15.78,132544.0,2020-01-14
9,CUE,15.75,16.43,15.71,15.88,205893.0,2020-01-15
10,CUE,16.0,16.9,15.95,16.77,273638.0,2020-01-16
11,CUE,16.98,16.99,15.05,15.4,238567.0,2020-01-17
12,CUE,15.38,15.381,14.11,15.0,192176.0,2020-01-21
13,CUE,15.44,15.95,15.13,15.35,152325.0,2020-01-22
14,CUE,15.16,15.405,14.9105,15.2,213271.0,2020-01-23
15,CUE,15.22,15.29,14.7,15.21,137773.0,2020-01-24
16,CUE,14.8,15.72,14.8,15.51,186928.0,2020-01-27
17,CUE,15.99,16.7299,15.9,16.16,172283.0,2020-01-28
18,CUE,16.22,17.34,16.16,16.41,270652.0,2020-01-29
19,CUE,16.2,16.26,15.03,15.27,141535.0,2020-01-30
20,CUE,15.21,15.47,14.85,15.17,108794.0,2020-01-31
21,CUE,15.27,15.78,15.21,15.71,151657.0,2020-02-03
22,CUE,15.99,16.1,15.15,15.61,105016.0,2020-02-04
23,CUE,15.81,16.815,15.675,16.26,128154.0,2020-02-05
24,CUE,16.57,17.45,16.24,17.42,204631.0,2020-02-06
25,CUE,17.36,17.45,16.3101,16.73,152769.0,2020-02-07
26,CUE,16.66,19.16,16.43,18.96,504444.0,2020-02-10
27,CUE,19.49,20.49,18.43,20.0,516444.0,2020-02-11
28,CUE,20.0,20.0,18.515,18.98,259795.0,2020-02-12
29,CUE,18.96,19.29,18.13,18.96,127628.0,2020-02-13
30,CUE,18.77,19.08,16.59,17.35,285756.0,2020-02-14
31,CUE,17.22,18.55,16.96,18.01,185768.0,2020-02-18
32,CUE,18.07,20.71,17.89,20.62,298970.0,2020-02-19
33,CUE,20.66,21.25,19.36,20.75,325713.0,2020-02-20
34,CUE,20.76,20.76,19.43,19.81,116500.0,2020-02-21
35,CUE,18.68,19.5423,17.63,18.6,140458.0,2020-02-24
36,CUE,19.4,19.455,18.13,18.88,124784.0,2020-02-25
37,CUE,19.09,19.4,18.27,18.93,118861.0,2020-02-26
38,CUE,18.47,18.95,17.55,17.85,240399.0,2020-02-27
39,CUE,16.76,17.53,15.9106,17.49,286767.0,2020-02-28
40,CUE,17.45,18.25,17.45,18.11,137617.0,2020-03-02
41,CUE,18.1,19.7,17.95,19.22,325700.0,2020-03-03
42,CUE,19.47,21.67,19.47,21.52,285177.0,2020-03-04
43,CUE,21.39,22.34,21.1,22.27,223391.0,2020-03-05
44,CUE,22.11,22.82,19.29,20.52,253162.0,2020-03-06
45,CUE,18.79,19.49,17.383,18.21,212854.0,2020-03-09
46,CUE,18.94,18.94,16.58,17.31,369782.0,2020-03-10
47,CUE,17.05,17.46,15.5,15.71,229328.0,2020-03-11
48,CUE,14.75,15.0,12.03,12.51,427292.0,2020-03-12
49,CUE,12.25,13.83,12.11,13.15,255678.0,2020-03-13
50,CUE,10.4,12.6,10.4,11.66,272827.0,2020-03-16
51,CUE,11.94,12.13,10.72,11.41,376899.0,2020-03-17
52,CUE,10.8,11.5167,9.3,9.85,319743.0,2020-03-18
53,CUE,9.9,12.38,9.56,12.13,260970.0,2020-03-19
54,CUE,12.05,12.99,11.37,12.22,300490.0,2020-03-20
55,CUE,12.36,12.92,11.69,12.16,230188.0,2020-03-23
56,CUE,13.06,14.19,12.85,14.0,187591.0,2020-03-24
57,CUE,14.1,14.45,13.05,13.9,222852.0,2020-03-25
58,CUE,14.2,15.21,13.06,14.24,173489.0,2020-03-26
59,CUE,13.6,14.51,13.23,13.23,266678.0,2020-03-27
60,CUE,13.21,13.75,13.0,13.72,502490.0,2020-03-30
61,CUE,13.74,14.36,13.01,14.19,287923.0,2020-03-31
62,CUE,13.66,13.7685,12.855,12.99,166448.0,2020-04-01
63,CUE,12.95,13.23,12.0801,12.7,231939.0,2020-04-02
64,CUE,12.7,13.36,12.273,12.92,384109.0,2020-04-03
65,CUE,13.48,14.685,13.38,14.32,254124.0,2020-04-06
66,CUE,14.58,16.02,14.39,15.07,210562.0,2020-04-07
67,CUE,15.65,16.82,15.1,16.6,136010.0,2020-04-08
68,CUE,17.76,18.7763,17.1,17.97,160528.0,2020-04-09
69,CUE,18.11,19.22,17.25,18.7,168626.0,2020-04-13
70,CUE,19.26,20.0,19.1201,19.71,171048.0,2020-04-14
71,CUE,19.0,20.29,18.31,19.54,147409.0,2020-04-15
72,CUE,19.74,20.32,18.255,18.63,191102.0,2020-04-16
73,CUE,19.21,20.0,18.78,18.81,218518.0,2020-04-17
74,CUE,18.32,22.16,18.26,21.5,897093.0,2020-04-20
75,CUE,22.14,22.65,20.03,21.5,395501.0,2020-04-21
76,CUE,22.0,23.01,21.42,22.94,858445.0,2020-04-22
