,ticker,open,high,low,close,volume,timestamp
0,CYD,13.3,13.7,13.3,13.65,27899,2020-01-02
1,CYD,13.65,14.0,13.54,13.91,22613,2020-01-03
2,CYD,13.8678,13.8678,13.41,13.78,33331,2020-01-06
3,CYD,13.64,13.7,13.46,13.58,16987,2020-01-07
4,CYD,13.58,13.69,13.42,13.45,16717,2020-01-08
5,CYD,13.41,13.585,13.4,13.4,16549,2020-01-09
6,CYD,13.4,13.4,13.28,13.31,40410,2020-01-10
7,CYD,13.25,13.3,13.07,13.18,67774,2020-01-13
8,CYD,13.23,13.3,13.1334,13.23,39851,2020-01-14
9,CYD,13.18,13.435,13.05,13.15,39089,2020-01-15
10,CYD,13.28,13.54,13.2,13.52,56448,2020-01-16
11,CYD,13.58,13.58,13.34,13.55,21323,2020-01-17
12,CYD,13.52,13.54,13.27,13.41,49896,2020-01-21
13,CYD,13.45,13.5,13.29,13.43,36544,2020-01-22
14,CYD,13.4,13.4,13.14,13.2,33164,2020-01-23
15,CYD,13.2,13.21,13.05,13.08,13928,2020-01-24
16,CYD,13.01,13.05,12.89,12.93,26817,2020-01-27
17,CYD,12.94,13.1102,12.87,13.08,28140,2020-01-28
18,CYD,13.05,13.05,12.78,12.87,48027,2020-01-29
19,CYD,12.88,12.98,12.6,12.65,53217,2020-01-30
20,CYD,12.71,12.97,12.65,12.92,26088,2020-01-31
21,CYD,12.85,12.96,12.7194,12.85,28938,2020-02-03
22,CYD,12.96,13.33,12.9378,13.21,34665,2020-02-04
23,CYD,13.36,13.36,13.01,13.14,33234,2020-02-05
24,CYD,13.339,13.339,12.93,12.93,12659,2020-02-06
25,CYD,12.9544,13.04,12.81,12.95,24825,2020-02-07
26,CYD,12.85,12.935,12.75,12.9,29381,2020-02-10
27,CYD,12.92,13.04,12.9,12.9,6466,2020-02-11
28,CYD,12.9,13.09,12.9,12.9,10196,2020-02-12
29,CYD,12.97,13.03,12.74,12.83,38556,2020-02-13
30,CYD,12.89,12.9,12.72,12.84,24825,2020-02-14
31,CYD,12.75,12.8375,12.65,12.72,60684,2020-02-18
32,CYD,12.7,12.95,12.7,12.9,22715,2020-02-19
33,CYD,12.89,13.12,12.82,12.89,25020,2020-02-20
34,CYD,12.94,12.94,12.61,12.7,41397,2020-02-21
35,CYD,12.5,12.675,12.5,12.6,41713,2020-02-24
36,CYD,12.62,12.8173,12.55,12.59,36799,2020-02-25
37,CYD,12.59,12.62,12.46,12.5,76976,2020-02-26
38,CYD,12.45,12.71,12.4,12.57,43756,2020-02-27
39,CYD,12.4,12.42,12.01,12.42,80075,2020-02-28
40,CYD,12.45,12.45,11.56,11.94,57620,2020-03-02
41,CYD,11.85,11.89,11.62,11.85,65121,2020-03-03
42,CYD,12.0,12.25,12.0,12.13,23405,2020-03-04
43,CYD,11.98,12.1,11.8601,11.99,34075,2020-03-05
44,CYD,11.75,12.09,11.75,11.96,39974,2020-03-06
45,CYD,11.51,11.59,11.04,11.2,72346,2020-03-09
46,CYD,11.5,11.5,10.75,11.01,37207,2020-03-10
47,CYD,10.75,11.07,10.75,10.88,67628,2020-03-11
48,CYD,10.2,10.36,10.2,10.32,75623,2020-03-12
49,CYD,10.73,10.73,9.77,9.93,168624,2020-03-13
50,CYD,9.48,9.52,9.03,9.1,86941,2020-03-16
51,CYD,9.32,9.34,8.63,9.17,114016,2020-03-17
52,CYD,8.8,9.03,8.25,8.27,85214,2020-03-18
53,CYD,8.16,8.47,7.88,7.99,95783,2020-03-19
54,CYD,8.3,8.57,8.0,8.3,212297,2020-03-20
55,CYD,7.93,8.18,7.77,8.03,43757,2020-03-23
56,CYD,8.82,8.82,8.238,8.48,80805,2020-03-24
57,CYD,8.6,9.29,8.32,8.39,202328,2020-03-25
58,CYD,8.39,9.28,8.39,9.25,121831,2020-03-26
59,CYD,9.13,9.3443,8.87,9.05,101566,2020-03-27
60,CYD,9.5,10.75,9.05,10.24,94030,2020-03-30
61,CYD,10.46,11.085,10.3,10.76,66767,2020-03-31
