,ticker,open,high,low,close,volume,timestamp
0,DLB,69.16,69.47,68.09,69.46,323404.0,2020-01-02
1,DLB,68.5,69.46,68.43,69.43,339246.0,2020-01-03
2,DLB,68.89,69.25,68.62,69.01,564155.0,2020-01-06
3,DLB,69.16,69.16,68.54,69.06,252249.0,2020-01-07
4,DLB,68.93,69.24,68.36,68.61,314278.0,2020-01-08
5,DLB,69.08,69.52,68.535,69.38,415134.0,2020-01-09
6,DLB,68.2,68.76,67.62,68.48,323668.0,2020-01-10
7,DLB,68.7,69.14,68.51,69.14,206004.0,2020-01-13
8,DLB,69.08,69.45,68.86,69.25,224218.0,2020-01-14
9,DLB,69.3,69.86,68.95,69.08,224088.0,2020-01-15
10,DLB,69.39,69.9,69.14,69.6,233827.0,2020-01-16
11,DLB,69.75,69.75,68.91,69.25,247140.0,2020-01-17
12,DLB,68.79,69.16,68.38,68.87,294375.0,2020-01-21
13,DLB,68.91,69.38,68.63,69.28,375890.0,2020-01-22
14,DLB,68.99,69.61,68.84,69.55,308144.0,2020-01-23
15,DLB,69.81,69.81,68.92,69.25,397854.0,2020-01-24
16,DLB,68.16,69.08,67.83,68.84,352350.0,2020-01-27
17,DLB,69.17,69.77,68.95,69.35,347212.0,2020-01-28
18,DLB,69.68,69.85,68.69,68.84,404799.0,2020-01-29
19,DLB,69.52,69.56,67.31,69.0,918092.0,2020-01-30
20,DLB,68.63,69.5,68.61,69.34,897867.0,2020-01-31
21,DLB,69.34,70.34,69.23,70.04,967323.0,2020-02-03
22,DLB,70.48,71.48,70.375,70.94,784054.0,2020-02-04
23,DLB,71.65,72.365,71.55,72.14,646343.0,2020-02-05
24,DLB,72.25,72.37,71.66,71.77,388340.0,2020-02-06
25,DLB,71.31,71.33,70.78,70.8,321992.0,2020-02-07
26,DLB,70.42,70.765,70.11,70.65,373807.0,2020-02-10
27,DLB,70.99,71.86,70.9,71.37,449082.0,2020-02-11
28,DLB,71.69,72.17,71.51,72.01,439392.0,2020-02-12
29,DLB,70.55,72.29,70.51,72.03,383963.0,2020-02-13
30,DLB,72.1,72.54,71.84,72.32,411375.0,2020-02-14
31,DLB,72.0,72.48,71.775,72.06,461894.0,2020-02-18
32,DLB,72.34,73.105,72.34,73.0,369710.0,2020-02-19
33,DLB,72.63,73.2,72.41,72.96,420395.0,2020-02-20
34,DLB,72.63,72.885,72.26,72.54,402594.0,2020-02-21
35,DLB,70.63,71.29,70.26,70.67,582062.0,2020-02-24
36,DLB,70.98,71.072,68.87,68.91,660719.0,2020-02-25
