,ticker,open,high,low,close,volume,timestamp
0,ENFN,20.0,20.98,19.53,19.81,13258760.0,2021-10-21
1,ENFN,19.81,20.83,19.05,19.92,2901117.0,2021-10-22
2,ENFN,19.92,22.09,19.19,21.61,937632.0,2021-10-25
3,ENFN,21.61,22.19,20.16,20.3,943959.0,2021-10-26
4,ENFN,20.24,20.79,19.75,19.91,2054926.0,2021-10-27
5,ENFN,19.75,21.45,19.75,20.74,620637.0,2021-10-28
6,ENFN,20.5,20.82,19.95,20.63,419327.0,2021-10-29
7,ENFN,20.42,20.65,20.16,20.5,339483.0,2021-11-01
8,ENFN,20.47,21.95,20.45,21.34,271318.0,2021-11-02
9,ENFN,21.34,21.49,20.47,21.0,238626.0,2021-11-03
10,ENFN,20.97,21.63,20.85,21.43,412149.0,2021-11-04
11,ENFN,21.26,21.84,20.96,21.55,181443.0,2021-11-05
12,ENFN,21.73,22.65,21.16,22.55,404370.0,2021-11-08
13,ENFN,22.32,22.82,22.16,22.46,264856.0,2021-11-09
14,ENFN,22.58,22.82,21.92,22.46,260291.0,2021-11-10
15,ENFN,22.34,22.73,22.0,22.52,289325.0,2021-11-11
16,ENFN,22.6,23.1,22.19,22.94,91107.0,2021-11-12
17,ENFN,22.83,23.21,22.74,22.91,213109.0,2021-11-15
18,ENFN,22.91,23.09,22.465,22.57,331070.0,2021-11-16
19,ENFN,22.62,23.07,21.21,21.42,404406.0,2021-11-17
20,ENFN,21.26,22.28,21.01,21.32,212138.0,2021-11-18
21,ENFN,21.31,21.8,21.02,21.47,193324.0,2021-11-19
22,ENFN,21.13,21.37,19.61,19.93,372498.0,2021-11-22
23,ENFN,19.79,20.0,17.37,17.8,887623.0,2021-11-23
24,ENFN,17.8,18.96,17.42,18.35,321827.0,2021-11-24
25,ENFN,18.01,18.66,17.965,18.15,138675.0,2021-11-26
26,ENFN,18.19,19.9,18.1,19.61,413578.0,2021-11-29
27,ENFN,19.71,20.02,18.54,19.36,218992.0,2021-11-30
28,ENFN,19.68,20.75,19.11,19.66,443586.0,2021-12-01
29,ENFN,19.66,20.41,18.03,18.76,386976.0,2021-12-02
30,ENFN,19.42,20.23,18.25,18.69,734237.0,2021-12-03
31,ENFN,18.69,19.235,18.45,19.04,410542.0,2021-12-06
32,ENFN,18.95,20.25,18.95,19.98,622342.0,2021-12-07
33,ENFN,20.0,20.22,19.11,19.8,300708.0,2021-12-08
34,ENFN,19.7,20.405,19.31,19.36,402223.0,2021-12-09
35,ENFN,19.319,19.52,17.92,18.51,372916.0,2021-12-10
36,ENFN,18.38,19.69,18.29,19.46,426221.0,2021-12-13
37,ENFN,19.03,20.01,18.53,19.11,366882.0,2021-12-14
38,ENFN,19.07,20.09,18.85,19.96,497123.0,2021-12-15
39,ENFN,19.88,20.295,18.06,18.79,451530.0,2021-12-16
