,ticker,open,high,low,close,volume,timestamp
0,ENS,75.83,75.84,73.84,75.83,194696.0,2020-01-02
1,ENS,74.25,75.63,74.23,75.17,124202.0,2020-01-03
2,ENS,74.38,75.75,74.218,75.39,133834.0,2020-01-06
3,ENS,74.68,76.34,74.66,75.75,193608.0,2020-01-07
4,ENS,75.64,76.19,75.095,75.33,173365.0,2020-01-08
5,ENS,75.49,75.71,74.71,74.79,175134.0,2020-01-09
6,ENS,74.53,75.15,73.67,73.96,219305.0,2020-01-10
7,ENS,74.27,75.17,73.81,74.71,215689.0,2020-01-13
8,ENS,74.61,75.19,74.26,74.69,235158.0,2020-01-14
9,ENS,74.69,75.175,73.93,74.46,210671.0,2020-01-15
10,ENS,75.13,76.13,74.825,75.17,258842.0,2020-01-16
11,ENS,75.38,75.83,75.0,75.53,269430.0,2020-01-17
12,ENS,75.09,75.26,73.78,73.93,136101.0,2020-01-21
13,ENS,74.27,74.94,73.5,73.67,175824.0,2020-01-22
14,ENS,73.3,73.87,72.13,73.59,175217.0,2020-01-23
15,ENS,73.44,73.7,72.74,73.47,179005.0,2020-01-24
16,ENS,72.13,73.05,71.64,72.44,296962.0,2020-01-27
17,ENS,72.86,74.3,72.8,73.69,128796.0,2020-01-28
18,ENS,73.86,74.93,73.82,74.58,299807.0,2020-01-29
19,ENS,73.65,74.98,73.42,74.85,160868.0,2020-01-30
20,ENS,74.33,74.5262,71.88,71.96,215667.0,2020-01-31
21,ENS,72.42,74.55,72.285,74.37,221063.0,2020-02-03
22,ENS,75.65,77.495,75.591,77.32,253332.0,2020-02-04
23,ENS,78.63,78.9698,77.21,77.34,387831.0,2020-02-05
24,ENS,76.0,76.05,69.84,71.7,614076.0,2020-02-06
25,ENS,71.73,73.41,71.16,71.75,277062.0,2020-02-07
26,ENS,71.12,71.98,70.18,71.86,260385.0,2020-02-10
27,ENS,72.52,76.68,72.1,76.5,404233.0,2020-02-11
28,ENS,77.33,78.41,76.84,77.94,225271.0,2020-02-12
29,ENS,77.49,77.87,75.88,76.34,204402.0,2020-02-13
30,ENS,76.54,76.56,75.045,76.01,165430.0,2020-02-14
31,ENS,75.79,77.07,74.8415,75.22,140790.0,2020-02-18
32,ENS,75.59,75.88,74.22,74.24,145194.0,2020-02-19
33,ENS,73.65,75.415,73.33,74.87,163944.0,2020-02-20
34,ENS,74.46,75.26,73.36,74.91,222726.0,2020-02-21
35,ENS,72.36,72.91,70.75,70.79,250580.0,2020-02-24
36,ENS,71.12,71.12,66.98,67.56,413573.0,2020-02-25
37,ENS,68.2,69.15,65.72,66.53,350014.0,2020-02-26
38,ENS,64.89,67.151,63.53,63.86,192881.0,2020-02-27
39,ENS,61.29,63.3,60.43,61.58,385321.0,2020-02-28
40,ENS,62.0,63.94,59.5501,63.87,430763.0,2020-03-02
41,ENS,63.87,66.345,61.9,62.62,270528.0,2020-03-03
42,ENS,63.93,65.62,62.51,65.44,184223.0,2020-03-04
43,ENS,63.65,64.0,61.3,62.21,256083.0,2020-03-05
44,ENS,59.6,61.61,58.83,60.63,214328.0,2020-03-06
45,ENS,55.81,56.68,52.41,52.53,491640.0,2020-03-09
46,ENS,54.76,56.27,51.84,56.13,375535.0,2020-03-10
47,ENS,53.55,55.2737,49.9,50.39,307582.0,2020-03-11
48,ENS,45.49,45.54,37.6,43.29,968363.0,2020-03-12
49,ENS,46.36,48.11,41.53,48.11,575043.0,2020-03-13
50,ENS,41.01,43.199,39.76,40.45,587937.0,2020-03-16
51,ENS,41.23,45.2,38.15,42.71,550232.0,2020-03-17
52,ENS,39.36,40.23,35.2083,38.24,558590.0,2020-03-18
53,ENS,37.81,42.94,36.74,41.93,490207.0,2020-03-19
54,ENS,42.09,43.83,40.67,42.0,861217.0,2020-03-20
55,ENS,41.72,43.84,38.39,42.22,469279.0,2020-03-23
56,ENS,43.22,47.99,43.17,47.23,390594.0,2020-03-24
57,ENS,47.71,50.49,45.66,48.72,359008.0,2020-03-25
58,ENS,49.36,51.93,48.91,51.06,358433.0,2020-03-26
59,ENS,48.01,49.4,46.64,47.49,286570.0,2020-03-27
60,ENS,47.31,50.57,46.04,48.96,352311.0,2020-03-30
61,ENS,48.51,49.66,47.84,49.52,661256.0,2020-03-31
62,ENS,46.66,47.43,43.62,44.06,466104.0,2020-04-01
63,ENS,43.37,48.22,43.22,46.2,501294.0,2020-04-02
64,ENS,45.64,46.47,41.43,43.55,394339.0,2020-04-03
65,ENS,46.24,51.17,45.96,51.07,329810.0,2020-04-06
66,ENS,53.0,54.93,49.37,49.79,276816.0,2020-04-07
67,ENS,50.2,52.76,49.0688,52.15,221316.0,2020-04-08
68,ENS,53.68,55.51,53.65,55.25,193965.0,2020-04-09
69,ENS,54.45,55.79,51.96,52.96,180923.0,2020-04-13
70,ENS,54.76,56.41,52.59,52.8,204662.0,2020-04-14
71,ENS,50.15,50.89,48.8106,49.17,321670.0,2020-04-15
72,ENS,49.4,49.7884,46.53,48.23,223421.0,2020-04-16
73,ENS,51.0,53.8,49.8634,51.14,259124.0,2020-04-17
74,ENS,49.37,51.47,49.37,50.56,221747.0,2020-04-20
75,ENS,48.8,49.76,47.63,48.1,139717.0,2020-04-21
76,ENS,50.07,52.29,49.01,51.6,252589.0,2020-04-22
77,ENS,52.44,54.2,52.44,52.85,329733.0,2020-04-23
78,ENS,53.48,54.19,52.54,53.9,185950.0,2020-04-24
79,ENS,54.21,57.36,54.01,56.97,245739.0,2020-04-27
80,ENS,58.91,59.69,56.32,56.92,299710.0,2020-04-28
81,ENS,59.64,61.79,57.36,61.07,339646.0,2020-04-29
82,ENS,59.09,59.45,58.03,58.39,335679.0,2020-04-30
83,ENS,56.67,57.14,54.22,55.78,299953.0,2020-05-01
84,ENS,54.82,55.88,53.9984,55.5,222437.0,2020-05-04
85,ENS,57.05,57.69,55.33,55.78,178426.0,2020-05-05
86,ENS,55.84,55.84,54.31,54.45,131278.0,2020-05-06
87,ENS,55.89,56.39,55.04,56.18,221358.0,2020-05-07
88,ENS,57.74,59.95,57.01,59.87,276645.0,2020-05-08
89,ENS,58.58,60.29,57.405,59.73,406308.0,2020-05-11
90,ENS,60.0,60.31,56.75,56.87,340135.0,2020-05-12
91,ENS,55.92,56.78,54.41,55.03,196417.0,2020-05-13
92,ENS,53.26,54.87,52.04,54.61,211136.0,2020-05-14
93,ENS,54.41,56.195,53.57,55.52,145113.0,2020-05-15
94,ENS,58.52,61.57,58.52,61.15,202185.0,2020-05-18
95,ENS,60.49,62.02,59.51,59.54,169423.0,2020-05-19
96,ENS,60.87,62.5,60.55,61.33,271370.0,2020-05-20
97,ENS,61.04,62.33,61.01,61.51,241423.0,2020-05-21
98,ENS,61.96,62.17,59.91,61.44,131024.0,2020-05-22
99,ENS,64.65,65.7189,63.48,63.54,214391.0,2020-05-26
100,ENS,65.65,65.77,63.355,65.42,279322.0,2020-05-27
101,ENS,66.32,66.32,62.94,63.19,341960.0,2020-05-28
102,ENS,62.63,63.8,61.045,63.3,278455.0,2020-05-29
103,ENS,63.4,66.15,62.97,65.24,376498.0,2020-06-01
104,ENS,65.59,66.16,63.46,64.13,368543.0,2020-06-02
105,ENS,65.71,68.99,65.51,67.34,286692.0,2020-06-03
106,ENS,66.74,69.67,66.22,69.55,338658.0,2020-06-04
107,ENS,72.77,74.38,72.3126,72.98,397672.0,2020-06-05
108,ENS,73.94,74.8,73.3201,73.52,255964.0,2020-06-08
109,ENS,71.75,73.36,71.395,72.28,212783.0,2020-06-09
110,ENS,71.86,72.14,67.96,68.07,337502.0,2020-06-10
111,ENS,64.7,64.84,62.5,63.07,381930.0,2020-06-11
112,ENS,66.34,66.375,61.5,64.12,330807.0,2020-06-12
113,ENS,61.24,65.8,61.24,64.74,237139.0,2020-06-15
114,ENS,67.73,68.61,65.77,67.22,203919.0,2020-06-16
115,ENS,67.29,67.29,65.2,65.27,198395.0,2020-06-17
