,ticker,open,high,low,close,volume,timestamp
0,ET,12.95,13.36,12.9,13.34,17669782.0,2020-01-02
1,ET,13.4,13.605,13.14,13.55,17749494.0,2020-01-03
2,ET,13.73,13.86,13.66,13.68,17933003.0,2020-01-06
3,ET,13.77,13.78,13.5,13.63,14058982.0,2020-01-07
4,ET,13.63,13.7,13.23,13.34,13594746.0,2020-01-08
5,ET,13.6,13.61,13.31,13.43,18009890.0,2020-01-09
6,ET,13.45,13.46,13.21,13.27,9766620.0,2020-01-10
7,ET,13.31,13.62,13.22,13.51,15048048.0,2020-01-13
8,ET,13.61,13.68,13.45,13.56,8306478.0,2020-01-14
9,ET,13.5,13.63,13.45,13.5,16807141.0,2020-01-15
10,ET,13.6,13.7,13.54,13.58,10495874.0,2020-01-16
11,ET,13.67,13.68,13.46,13.56,14983742.0,2020-01-17
12,ET,13.59,13.59,13.05,13.08,19052650.0,2020-01-21
13,ET,13.25,13.26,12.68,12.71,24945793.0,2020-01-22
14,ET,12.63,13.01,12.49,12.99,14378181.0,2020-01-23
15,ET,13.04,13.08,12.59,12.75,12514514.0,2020-01-24
16,ET,12.49,12.675,12.4,12.61,19536447.0,2020-01-27
17,ET,12.65,12.875,12.62,12.79,11338847.0,2020-01-28
18,ET,12.9,12.945,12.81,12.85,13417950.0,2020-01-29
19,ET,12.75,12.82,12.62,12.78,17321170.0,2020-01-30
20,ET,12.72,12.8171,12.51,12.59,11163177.0,2020-01-31
21,ET,12.59,12.8,12.575,12.8,12260498.0,2020-02-03
22,ET,12.91,12.995,12.75,12.88,20019150.0,2020-02-04
23,ET,13.0,13.21,12.92,13.0,15287151.0,2020-02-05
24,ET,12.74,12.76,12.57,12.71,18852658.0,2020-02-06
25,ET,12.6,12.65,12.35,12.56,18427160.0,2020-02-07
26,ET,12.5,12.52,12.06,12.19,26370661.0,2020-02-10
27,ET,12.3,12.38,12.1309,12.37,28799010.0,2020-02-11
28,ET,12.45,12.83,12.43,12.83,17959299.0,2020-02-12
29,ET,12.7,12.93,12.65,12.81,25366790.0,2020-02-13
30,ET,12.9,12.97,12.62,12.72,10888067.0,2020-02-14
31,ET,12.61,12.71,12.41,12.7,20328297.0,2020-02-18
32,ET,12.86,12.93,12.64,12.68,15484564.0,2020-02-19
33,ET,12.62,12.83,12.525,12.54,28042524.0,2020-02-20
34,ET,12.5,12.51,11.965,12.14,30682311.0,2020-02-21
35,ET,11.75,11.77,11.45,11.55,31244964.0,2020-02-24
36,ET,11.7,11.72,11.01,11.22,37847720.0,2020-02-25
37,ET,11.3,11.41,10.78,10.78,30243935.0,2020-02-26
38,ET,10.35,11.016,9.91,10.75,44623877.0,2020-02-27
39,ET,10.28,11.17,10.11,11.08,40047916.0,2020-02-28
40,ET,11.2,11.885,11.03,11.83,41669555.0,2020-03-02
41,ET,12.0,12.25,11.43,11.55,29455015.0,2020-03-03
42,ET,11.84,11.85,11.36,11.54,21830165.0,2020-03-04
43,ET,11.39,11.47,11.04,11.25,21675827.0,2020-03-05
44,ET,10.94,10.95,10.18,10.21,46195849.0,2020-03-06
45,ET,7.0,8.59,6.34,7.37,106949852.0,2020-03-09
46,ET,8.51,8.54,6.645,7.63,73450945.0,2020-03-10
47,ET,7.3,7.71,6.95,7.05,55568956.0,2020-03-11
48,ET,6.48,6.64,5.53,6.3,58485119.0,2020-03-12
49,ET,7.06,7.2,6.1,6.73,42472582.0,2020-03-13
50,ET,5.75,6.09,5.51,5.75,52400108.0,2020-03-16
51,ET,5.89,5.93,5.16,5.25,60459811.0,2020-03-17
52,ET,4.78,4.85,3.75,4.56,101480455.0,2020-03-18
53,ET,4.75,5.76,4.2,5.45,63212283.0,2020-03-19
54,ET,5.74,5.83,4.82,5.25,63932886.0,2020-03-20
55,ET,5.06,5.06,4.61,4.79,32958223.0,2020-03-23
56,ET,5.1,5.295,4.79,4.8,35828721.0,2020-03-24
57,ET,4.99,5.345,4.61,4.92,52352107.0,2020-03-25
58,ET,5.03,5.79,4.83,5.08,54188768.0,2020-03-26
59,ET,5.02,5.03,4.5,4.77,43294903.0,2020-03-27
60,ET,4.68,4.68,4.3,4.53,29881480.0,2020-03-30
61,ET,4.73,4.85,4.46,4.6,43497315.0,2020-03-31
62,ET,4.67,5.09,4.52,5.03,40646552.0,2020-04-01
63,ET,5.34,5.93,5.03,5.22,48103336.0,2020-04-02
