,ticker,open,high,low,close,volume,timestamp
0,EVR,75.43,75.75,74.93,75.72,363760.0,2020-01-02
1,EVR,74.59,74.98,72.56,73.38,431272.0,2020-01-03
2,EVR,72.26,73.97,71.41,73.84,697317.0,2020-01-06
3,EVR,73.37,73.86,72.95,73.38,623339.0,2020-01-07
4,EVR,73.46,75.7694,73.3,75.33,502890.0,2020-01-08
5,EVR,75.89,76.0,73.94,75.11,490122.0,2020-01-09
6,EVR,75.3,75.47,74.26,74.65,382699.0,2020-01-10
7,EVR,75.13,75.325,73.95,74.48,605515.0,2020-01-13
8,EVR,74.8,75.95,74.6,75.19,492547.0,2020-01-14
9,EVR,74.76,75.645,74.36,75.17,599627.0,2020-01-15
10,EVR,75.91,78.33,75.91,77.24,687801.0,2020-01-16
11,EVR,77.58,77.68,76.74,77.2,396320.0,2020-01-17
12,EVR,76.58,77.9,76.22,77.27,851896.0,2020-01-21
13,EVR,77.91,78.47,77.21,77.7,387683.0,2020-01-22
14,EVR,77.1,77.42,75.99,76.13,376898.0,2020-01-23
15,EVR,76.19,76.37,73.71,74.63,384832.0,2020-01-24
16,EVR,72.82,73.7,72.5,72.93,852984.0,2020-01-27
17,EVR,73.58,74.31,73.25,73.49,918573.0,2020-01-28
18,EVR,80.04,84.11,78.6,80.83,1241587.0,2020-01-29
19,EVR,80.43,80.7,77.5,79.36,789488.0,2020-01-30
20,EVR,78.67,78.67,76.28,76.62,948051.0,2020-01-31
21,EVR,77.29,78.16,76.275,76.34,467060.0,2020-02-03
22,EVR,77.72,78.72,77.09,77.12,697017.0,2020-02-04
23,EVR,78.29,79.95,77.78,79.58,754115.0,2020-02-05
24,EVR,79.0,81.77,78.14,81.64,1409713.0,2020-02-06
25,EVR,80.93,81.64,79.75,80.29,807380.0,2020-02-07
26,EVR,80.26,81.11,79.87,81.07,477686.0,2020-02-10
27,EVR,81.07,82.45,80.6,81.49,601657.0,2020-02-11
28,EVR,81.94,82.58,80.39,82.26,845836.0,2020-02-12
29,EVR,81.78,82.14,80.485,80.73,576839.0,2020-02-13
30,EVR,80.57,80.87,79.7854,80.46,302325.0,2020-02-14
31,EVR,80.01,81.01,79.44,80.4,569128.0,2020-02-18
