,ticker,open,high,low,close,volume,timestamp
0,EYPT,15.7,15.9,15.2,15.3,29461.2,2020-01-02
1,EYPT,15.2,15.2,14.6,14.7,29955.7,2020-01-03
2,EYPT,14.7,15.0,14.35,14.7,28113.2,2020-01-06
3,EYPT,14.7,15.1,14.3,14.6,29759.5,2020-01-07
4,EYPT,14.5,14.7,14.1,14.4,38661.0,2020-01-08
5,EYPT,14.6,15.5,14.5,15.0,27455.4,2020-01-09
6,EYPT,15.1,15.9,14.7,15.4,51650.2,2020-01-10
7,EYPT,15.5,15.8,15.0,15.5,29438.1,2020-01-13
8,EYPT,15.7,16.8,15.1,15.6,62465.5,2020-01-14
9,EYPT,15.7,16.5,15.6,16.3,42936.9,2020-01-15
10,EYPT,16.4,18.3,16.2,17.1,64967.5,2020-01-16
11,EYPT,17.4,17.95,16.75,17.0,42296.2,2020-01-17
12,EYPT,17.1,17.1,16.2,16.4,26372.6,2020-01-21
13,EYPT,16.6,18.2,15.8,16.1,109345.9,2020-01-22
14,EYPT,17.2,20.4,16.3,19.9,268889.8,2020-01-23
15,EYPT,20.2,20.5,18.3,19.3,83193.0,2020-01-24
16,EYPT,19.4,20.2,18.9,19.5,72308.8,2020-01-27
17,EYPT,19.8,20.9,19.5,20.5,74996.5,2020-01-28
18,EYPT,20.9,21.0,18.9,19.4,58238.9,2020-01-29
19,EYPT,19.3,19.6,17.9,18.8,63218.8,2020-01-30
20,EYPT,18.7,19.0,18.4,18.7,26341.8,2020-01-31
21,EYPT,18.4,19.5,18.0,19.1,37913.0,2020-02-03
22,EYPT,20.7,20.8,19.0,19.4,61890.6,2020-02-04
23,EYPT,19.7,20.0,18.75,19.1,49568.0,2020-02-05
24,EYPT,19.4,20.0,18.9,19.5,34709.5,2020-02-06
25,EYPT,19.3,19.5,18.526,18.6,25135.1,2020-02-07
26,EYPT,19.0,19.6,18.4,19.1,37779.7,2020-02-10
27,EYPT,19.2,19.7,18.85,19.2,25837.6,2020-02-11
28,EYPT,19.3,19.5,18.7,19.4,30732.7,2020-02-12
29,EYPT,19.4,19.7,18.5,18.55,25483.7,2020-02-13
30,EYPT,18.5,18.75,17.7,17.8,30884.9,2020-02-14
31,EYPT,18.3,19.0,18.0,18.3,39006.4,2020-02-18
32,EYPT,18.3,19.3,18.0,19.1,34701.9,2020-02-19
33,EYPT,18.9,19.7,18.6,19.5,45337.4,2020-02-20
34,EYPT,14.6,14.9,13.9,14.5,750114.7,2020-02-21
35,EYPT,14.3,14.6,14.1,14.2,146772.9,2020-02-24
36,EYPT,14.3,14.5,13.25,13.6,171832.2,2020-02-25
37,EYPT,13.5,14.1,13.0,13.5,88539.6,2020-02-26
38,EYPT,13.0,13.7,12.5,12.9,152958.4,2020-02-27
39,EYPT,12.1,13.2,12.1,12.9,116917.6,2020-02-28
40,EYPT,13.5,14.4,12.6,13.6,100911.1,2020-03-02
41,EYPT,14.2,14.4,13.5,13.8,67053.2,2020-03-03
42,EYPT,14.1,14.5,13.5,14.4,86596.4,2020-03-04
43,EYPT,14.7,14.7,12.8,13.1,135185.5,2020-03-05
44,EYPT,12.5,13.0,12.2,12.8,91111.4,2020-03-06
45,EYPT,11.8,11.9,10.0,10.7,157341.0,2020-03-09
46,EYPT,12.0,12.0,9.301,10.5,140089.0,2020-03-10
47,EYPT,11.0,11.1,10.0,10.5,74292.4,2020-03-11
48,EYPT,9.897,10.45,9.3,9.501,115740.2,2020-03-12
49,EYPT,11.2,11.2,9.721,10.7,91519.1,2020-03-13
50,EYPT,10.2,10.2,9.101,9.302,54023.4,2020-03-16
51,EYPT,9.5,10.9,9.3,10.9,60271.3,2020-03-17
52,EYPT,10.1,10.1,8.601,8.821,80971.5,2020-03-18
53,EYPT,9.0,10.0,8.1,10.0,108765.2,2020-03-19
54,EYPT,9.67,10.0,9.0,9.197,76878.7,2020-03-20
55,EYPT,9.2,9.2,8.3,9.171,70603.3,2020-03-23
56,EYPT,9.46,10.0,9.141,10.0,63376.8,2020-03-24
57,EYPT,9.7,10.4,9.402,9.9,54200.4,2020-03-25
58,EYPT,9.842,10.8,9.7,10.8,56274.3,2020-03-26
59,EYPT,9.8,10.4,9.28,9.49,70114.4,2020-03-27
60,EYPT,9.6,10.1,9.2,10.1,35635.0,2020-03-30
61,EYPT,10.0,10.3,9.5,10.2,44595.0,2020-03-31
62,EYPT,10.2,10.2,8.2,8.597,114128.1,2020-04-01
63,EYPT,8.5,8.747,7.0,7.941,144642.9,2020-04-02
64,EYPT,8.002,8.397,7.5,7.601,53940.5,2020-04-03
65,EYPT,7.5,8.1,7.0,7.869,99167.5,2020-04-06
66,EYPT,8.0,8.1,7.303,7.611,65042.2,2020-04-07
67,EYPT,7.8,8.998,7.5,8.4,78046.9,2020-04-08
68,EYPT,8.5,8.8,7.801,8.099,59347.9,2020-04-09
69,EYPT,8.168,8.795,7.52,8.704,35761.4,2020-04-13
70,EYPT,8.952,10.0,8.701,9.812,52449.6,2020-04-14
71,EYPT,9.6,9.794,8.8,9.001,27863.9,2020-04-15
72,EYPT,9.011,9.399,8.521,9.0,35943.6,2020-04-16
73,EYPT,9.1,9.3972,9.0,9.335,22888.2,2020-04-17
74,EYPT,9.21,9.798,9.0,9.11,36142.9,2020-04-20
75,EYPT,9.063,9.11,8.5,8.739,20923.0,2020-04-21
76,EYPT,8.88,9.28,8.6,8.704,19347.1,2020-04-22
77,EYPT,8.476,9.2,8.2,8.724,35104.1,2020-04-23
78,EYPT,8.73,8.999,8.5,8.625,28245.6,2020-04-24
79,EYPT,8.807,9.4,8.649,9.321,37852.6,2020-04-27
80,EYPT,9.577,9.7,9.0,9.4,22718.0,2020-04-28
81,EYPT,9.1,10.3,9.1,10.3,56902.7,2020-04-29
82,EYPT,10.0,10.3,9.6,9.679,48025.4,2020-04-30
83,EYPT,9.9,9.9,9.3,9.431,25541.2,2020-05-01
84,EYPT,9.3,9.863,9.0,9.231,25842.6,2020-05-04
85,EYPT,9.5,9.5,8.8,8.952,40278.3,2020-05-05
86,EYPT,8.7,9.089,8.2,8.733,49842.1,2020-05-06
87,EYPT,8.911,9.1,8.5,8.712,24677.6,2020-05-07
88,EYPT,8.9,9.1,8.6,8.676,24268.5,2020-05-08
89,EYPT,8.8,9.5,8.7,8.835,49430.7,2020-05-11
90,EYPT,9.1,9.5,8.6,8.684,50365.2,2020-05-12
91,EYPT,8.7,8.832,8.1,8.2,68739.1,2020-05-13
92,EYPT,8.2,8.846,8.0,8.212,49713.4,2020-05-14
93,EYPT,8.541,8.541,7.8,8.0,44224.1,2020-05-15
94,EYPT,8.0,8.63,8.0,8.558,51172.4,2020-05-18
95,EYPT,8.505,8.668,7.7,7.969,66659.3,2020-05-19
96,EYPT,8.1,8.953,7.965,8.8,46985.6,2020-05-20
97,EYPT,8.837,8.837,8.11,8.65,33121.2,2020-05-21
98,EYPT,8.6,9.0,8.5,8.8,32622.2,2020-05-22
99,EYPT,9.4,9.4,8.5031,8.845,41506.1,2020-05-26
100,EYPT,9.0,9.0,8.5,8.798,21749.5,2020-05-27
101,EYPT,9.0,9.0,8.5,8.503,23355.2,2020-05-28
102,EYPT,8.599,8.8,8.327,8.6,42009.2,2020-05-29
103,EYPT,8.75,8.8,8.4,8.4,39313.9,2020-06-01
104,EYPT,8.7,8.7,8.136,8.42,43488.2,2020-06-02
105,EYPT,8.6,8.6,8.2,8.286,49879.0,2020-06-03
106,EYPT,8.3,8.5,8.0,8.127,46994.9,2020-06-04
107,EYPT,8.25,8.36,8.1,8.215,61882.7,2020-06-05
108,EYPT,8.466,9.8,8.15,9.55,184614.2,2020-06-08
109,EYPT,9.45,9.934,9.01,9.43,59246.9,2020-06-09
110,EYPT,9.3,9.4235,8.601,8.89,68169.0,2020-06-10
111,EYPT,8.75,8.781,8.005,8.24,87679.6,2020-06-11
112,EYPT,8.5,8.58,8.0,8.256,51985.4,2020-06-12
113,EYPT,8.2,8.38,8.05,8.38,44166.2,2020-06-15
114,EYPT,8.55,8.567,8.2,8.238,39866.1,2020-06-16
115,EYPT,8.9,9.799,8.62,8.845,278835.8,2020-06-17
116,EYPT,8.556,8.64,8.05,8.293,149982.0,2020-06-18
117,EYPT,8.375,12.0,8.23,8.861,1128056.7,2020-06-19
118,EYPT,8.6,9.3,8.475,8.798,137990.3,2020-06-22
119,EYPT,8.5,8.68,8.251,8.426,137085.0,2020-06-23
120,EYPT,8.25,8.478,7.7,7.863,172495.1,2020-06-24
121,EYPT,7.7,7.883,7.3,7.58,137943.5,2020-06-25
122,EYPT,7.5,8.1,7.065,7.89,752743.7,2020-06-26
123,EYPT,7.872,8.079,7.5,7.603,78959.5,2020-06-29
124,EYPT,7.59,7.859,7.2,7.57,62061.3,2020-06-30
125,EYPT,7.305,7.787,7.2,7.215,53930.0,2020-07-01
126,EYPT,7.3,7.45,7.1,7.275,44842.6,2020-07-02
127,EYPT,7.439,7.49,7.12,7.2,40158.4,2020-07-06
128,EYPT,7.3,7.45,7.299,7.346,25713.2,2020-07-07
129,EYPT,7.2,7.419,7.15,7.201,21929.2,2020-07-08
130,EYPT,7.3,7.306,7.055,7.06,34254.0,2020-07-09
131,EYPT,7.0,7.689,6.55,7.5,101109.5,2020-07-10
132,EYPT,7.5,7.697,7.152,7.153,33027.9,2020-07-13
133,EYPT,7.001,7.4,7.001,7.15,27462.8,2020-07-14
134,EYPT,7.053,7.332,6.9,7.05,58857.3,2020-07-15
135,EYPT,7.081,7.4,7.003,7.104,28124.6,2020-07-16
136,EYPT,7.1,7.492,7.1,7.31,56261.8,2020-07-17
137,EYPT,7.5,7.61,7.17,7.35,29824.8,2020-07-20
138,EYPT,7.4,8.106,7.3,7.602,59370.1,2020-07-21
139,EYPT,7.602,7.899,7.45,7.509,41403.4,2020-07-22
140,EYPT,7.543,7.845,7.4,7.402,21392.0,2020-07-23
141,EYPT,7.402,7.9,7.222,7.296,20504.5,2020-07-24
142,EYPT,7.4,7.696,7.2,7.24,15697.3,2020-07-27
143,EYPT,7.23,7.7,7.001,7.363,91212.5,2020-07-28
144,EYPT,7.4,7.496,7.15,7.267,32817.9,2020-07-29
145,EYPT,7.15,7.3,7.03,7.3,26513.6,2020-07-30
146,EYPT,7.168,7.427,7.031,7.1,24049.6,2020-07-31
147,EYPT,7.202,7.202,6.801,7.058,54428.2,2020-08-03
148,EYPT,7.3,7.39,7.101,7.299,61684.5,2020-08-04
149,EYPT,7.275,7.5,6.745,6.932,79876.6,2020-08-05
150,EYPT,7.1,7.3,6.6285,6.7,62246.7,2020-08-06
151,EYPT,6.67,7.198,6.51,7.0,85387.1,2020-08-07
152,EYPT,7.4,7.4,6.7,6.768,65482.9,2020-08-10
153,EYPT,6.71,6.999,6.522,6.566,51287.7,2020-08-11
154,EYPT,6.7,6.7,5.82,5.92,139492.5,2020-08-12
155,EYPT,6.0,6.3,5.9,6.049,53991.4,2020-08-13
156,EYPT,6.081,6.2,6.011,6.1,29752.0,2020-08-14
157,EYPT,6.2,6.295,5.706,5.821,77091.8,2020-08-17
158,EYPT,5.75,5.798,5.25,5.412,97716.5,2020-08-18
159,EYPT,5.285,5.5,5.1,5.2,61678.1,2020-08-19
160,EYPT,6.3,6.5,5.61,5.75,726589.3,2020-08-20
161,EYPT,8.397,9.561,6.503,6.748,7639053.0,2020-08-21
162,EYPT,6.9,7.078,6.0,6.097,597750.6,2020-08-24
163,EYPT,5.801,5.9,5.202,5.441,403052.3,2020-08-25
164,EYPT,5.5,5.8,5.4,5.611,220384.4,2020-08-26
165,EYPT,6.079,6.221,5.6,5.804,317694.4,2020-08-27
166,EYPT,5.65,5.804,5.5,5.613,180274.3,2020-08-28
167,EYPT,5.308,5.559,5.2,5.351,184937.8,2020-08-31
168,EYPT,5.3,5.5,5.1,5.1,164763.3,2020-09-01
169,EYPT,5.172,5.173,4.846,5.001,141054.9,2020-09-02
170,EYPT,5.064,5.1,4.7,4.949,97856.8,2020-09-03
171,EYPT,5.0,5.0,4.6,4.9,97101.9,2020-09-04
172,EYPT,4.739,4.999,4.676,4.816,54362.9,2020-09-08
173,EYPT,4.773,5.23,4.7,5.17,66006.5,2020-09-09
174,EYPT,5.032,5.262,4.9,5.078,66678.0,2020-09-10
175,EYPT,5.171,5.2,4.9,5.032,51106.7,2020-09-11
176,EYPT,4.983,5.294,4.95,5.274,46243.6,2020-09-14
177,EYPT,5.21,5.5,5.154,5.398,65605.9,2020-09-15
178,EYPT,5.45,5.5,5.251,5.39,45824.2,2020-09-16
179,EYPT,5.35,6.074,5.205,6.03,127746.0,2020-09-17
180,EYPT,6.0,6.195,5.7,5.909,87852.6,2020-09-18
181,EYPT,5.86,5.86,5.32,5.769,38201.0,2020-09-21
182,EYPT,5.8,5.8,5.484,5.715,21886.3,2020-09-22
183,EYPT,5.718,5.718,5.27,5.408,45404.3,2020-09-23
184,EYPT,5.2,5.58,5.0121,5.333,48993.2,2020-09-24
185,EYPT,5.4,6.0,5.2011,5.637,92046.7,2020-09-25
186,EYPT,5.5,5.55,5.2,5.279,29315.2,2020-09-28
187,EYPT,5.35,5.53,5.206,5.365,26850.2,2020-09-29
188,EYPT,5.4,5.5,5.0,5.181,69015.8,2020-09-30
189,EYPT,5.241,5.365,5.07,5.174,23947.4,2020-10-01
190,EYPT,5.029,5.1861,4.944,5.079,84286.4,2020-10-02
191,EYPT,5.075,5.6,5.036,5.111,195981.7,2020-10-05
192,EYPT,5.174,5.387,4.95,5.0,78779.2,2020-10-06
193,EYPT,4.998,5.25,4.801,5.109,126467.7,2020-10-07
194,EYPT,5.3,6.4,5.13,5.32,979003.7,2020-10-08
195,EYPT,5.64,5.69,5.25,5.356,246250.8,2020-10-09
196,EYPT,5.34,5.366,5.111,5.114,95770.4,2020-10-12
197,EYPT,5.238,5.279,5.05,5.1,89482.8,2020-10-13
198,EYPT,5.0,5.2,5.0,5.033,55226.6,2020-10-14
199,EYPT,5.0,5.111,4.9,4.986,57551.3,2020-10-15
200,EYPT,4.924,4.999,4.801,4.801,1206551.5,2020-10-16
201,EYPT,5.0,5.2,4.813,4.91,175418.2,2020-10-19
202,EYPT,4.9,5.0,4.75,4.812,85148.0,2020-10-20
203,EYPT,4.874,4.886,4.61,4.696,73062.9,2020-10-21
204,EYPT,4.8,4.8,4.61,4.682,46183.1,2020-10-22
205,EYPT,4.655,4.8,4.56,4.585,96026.8,2020-10-23
206,EYPT,4.55,4.612,4.025,4.105,171691.5,2020-10-26
207,EYPT,4.127,4.196,4.0,4.001,87563.7,2020-10-27
208,EYPT,3.941,3.941,3.511,3.833,106764.9,2020-10-28
209,EYPT,3.767,3.88,3.6405,3.868,50773.5,2020-10-29
210,EYPT,3.88,3.888,3.701,3.741,46960.5,2020-10-30
211,EYPT,3.702,3.988,3.65,3.9,90284.8,2020-11-02
212,EYPT,3.982,3.993,3.73,3.784,56941.9,2020-11-03
213,EYPT,3.8,4.1341,3.705,4.013,95811.6,2020-11-04
214,EYPT,4.151,4.35,3.91,3.916,116254.3,2020-11-05
215,EYPT,4.08,4.08,3.7,3.723,91419.5,2020-11-06
216,EYPT,3.912,4.285,3.81,4.205,115936.2,2020-11-09
217,EYPT,4.263,4.688,4.2,4.351,103443.7,2020-11-10
218,EYPT,4.35,4.468,4.11,4.171,63011.7,2020-11-11
219,EYPT,4.17,4.267,4.02,4.171,44060.0,2020-11-12
220,EYPT,4.198,4.49,4.105,4.469,77504.9,2020-11-13
221,EYPT,4.55,4.588,4.201,4.236,56122.8,2020-11-16
