,ticker,open,high,low,close,volume,timestamp
0,FMNB,16.36,16.5,16.1,16.26,54284,2020-01-02
1,FMNB,16.11,16.14,15.92,16.06,33843,2020-01-03
2,FMNB,16.03,16.26,15.8524,16.13,71932,2020-01-06
3,FMNB,16.03,16.1,15.92,15.97,34146,2020-01-07
4,FMNB,16.0853,16.09,15.96,15.98,37834,2020-01-08
5,FMNB,16.14,16.15,15.97,15.97,29290,2020-01-09
6,FMNB,15.91,16.06,15.86,15.9,57896,2020-01-10
7,FMNB,15.99,16.08,15.94,16.06,40257,2020-01-13
8,FMNB,16.06,16.08,15.9,15.91,48700,2020-01-14
9,FMNB,15.86,16.01,15.86,15.99,40037,2020-01-15
10,FMNB,16.05,16.21,16.01,16.14,31191,2020-01-16
11,FMNB,16.25,16.25,15.92,15.94,33053,2020-01-17
12,FMNB,15.92,16.04,15.88,15.93,79570,2020-01-21
13,FMNB,15.905,16.05,15.9,16.0,196863,2020-01-22
14,FMNB,15.91,16.06,15.88,15.99,98408,2020-01-23
15,FMNB,15.941,16.1,15.9,15.935,101938,2020-01-24
16,FMNB,15.81,16.04,15.75,15.9,80656,2020-01-27
17,FMNB,15.86,15.93,15.8,15.85,81910,2020-01-28
18,FMNB,15.99,16.0,15.6,15.63,80562,2020-01-29
19,FMNB,15.56,15.9,15.56,15.84,160289,2020-01-30
20,FMNB,16.0,16.1,15.77,15.82,388348,2020-01-31
21,FMNB,15.82,16.18,15.82,16.02,148407,2020-02-03
22,FMNB,16.14,16.15,15.92,16.0,376315,2020-02-04
23,FMNB,16.1,16.36,16.1,16.21,159931,2020-02-05
24,FMNB,16.25,16.3,16.1001,16.19,99434,2020-02-06
25,FMNB,16.21,16.21,15.92,15.97,72314,2020-02-07
26,FMNB,15.97,16.29,15.875,16.28,321781,2020-02-10
27,FMNB,16.24,16.35,16.01,16.04,121232,2020-02-11
28,FMNB,16.1,16.19,16.02,16.16,116884,2020-02-12
29,FMNB,16.14,16.2,16.07,16.14,152205,2020-02-13
30,FMNB,16.13,16.17,16.03,16.11,95822,2020-02-14
31,FMNB,16.12,16.29,15.87,15.93,81239,2020-02-18
32,FMNB,15.97,16.32,15.89,16.25,124787,2020-02-19
33,FMNB,16.24,16.43,16.2,16.37,72764,2020-02-20
34,FMNB,16.45,16.47,16.03,16.05,70831,2020-02-21
35,FMNB,15.84,16.04,15.74,15.9,88512,2020-02-24
36,FMNB,15.93,16.0,15.43,15.6,116579,2020-02-25
37,FMNB,15.62,15.79,15.585,15.73,107889,2020-02-26
38,FMNB,15.55,15.99,15.45,15.51,166385,2020-02-27
39,FMNB,15.22,15.435,14.75,15.03,251235,2020-02-28
40,FMNB,15.08,15.4,15.01,15.4,113078,2020-03-02
41,FMNB,15.33,15.41,14.91,15.12,139255,2020-03-03
42,FMNB,15.3,15.4309,15.01,15.18,112949,2020-03-04
43,FMNB,14.95,15.2,14.64,14.84,122500,2020-03-05
44,FMNB,14.43,14.68,14.25,14.66,161976,2020-03-06
45,FMNB,14.29,14.65,13.51,13.56,137124,2020-03-09
46,FMNB,13.52,13.69,13.06,13.55,172945,2020-03-10
47,FMNB,13.36,13.425,12.67,12.92,197428,2020-03-11
48,FMNB,12.07,12.45,11.56,11.64,181489,2020-03-12
49,FMNB,12.13,12.53,11.66,12.35,130661,2020-03-13
50,FMNB,11.25,11.79,11.13,11.24,144142,2020-03-16
51,FMNB,11.44,13.31,11.26,13.23,183484,2020-03-17
52,FMNB,12.75,12.88,11.375,11.62,190682,2020-03-18
53,FMNB,11.6,12.5,11.45,12.29,129409,2020-03-19
54,FMNB,12.27,12.3213,11.5,11.57,207029,2020-03-20
55,FMNB,11.59,11.67,10.32,10.86,130671,2020-03-23
56,FMNB,11.23,11.56,11.0,11.31,113212,2020-03-24
57,FMNB,11.47,11.6,10.83,11.28,112765,2020-03-25
58,FMNB,11.49,12.2248,11.08,12.04,128554,2020-03-26
59,FMNB,11.71,12.16,11.46,11.46,193324,2020-03-27
60,FMNB,11.36,11.67,11.19,11.55,102190,2020-03-30
61,FMNB,11.59,12.14,10.96,11.63,316775,2020-03-31
62,FMNB,11.37,11.75,11.07,11.35,155321,2020-04-01
63,FMNB,11.32,11.66,10.88,11.34,103504,2020-04-02
64,FMNB,11.22,11.58,10.3301,10.57,87799,2020-04-03
65,FMNB,10.94,11.25,10.87,11.19,123770,2020-04-06
66,FMNB,11.5,11.7,11.04,11.32,119858,2020-04-07
67,FMNB,11.42,11.9,11.29,11.78,82543,2020-04-08
68,FMNB,12.17,12.82,11.97,12.81,114138,2020-04-09
69,FMNB,12.67,12.67,11.83,11.93,70464,2020-04-13
70,FMNB,12.15,12.16,11.39,11.66,82390,2020-04-14
71,FMNB,11.2,11.28,10.87,10.99,96913,2020-04-15
72,FMNB,10.92,10.99,10.33,10.67,115569,2020-04-16
73,FMNB,11.04,11.46,11.04,11.32,78429,2020-04-17
74,FMNB,11.06,11.57,11.06,11.38,62376,2020-04-20
75,FMNB,10.96,11.26,10.775,11.12,63693,2020-04-21
76,FMNB,11.38,11.62,10.96,11.04,42312,2020-04-22
77,FMNB,11.09,11.42,10.94,11.1,62074,2020-04-23
78,FMNB,11.08,11.18,10.88,11.07,71909,2020-04-24
79,FMNB,11.15,11.87,11.15,11.75,55543,2020-04-27
80,FMNB,12.06,12.29,11.86,12.1,62134,2020-04-28
81,FMNB,12.99,13.24,12.19,12.99,143075,2020-04-29
82,FMNB,12.47,12.6035,12.07,12.39,60505,2020-04-30
83,FMNB,12.02,12.2,11.69,12.05,69883,2020-05-01
84,FMNB,11.31,12.06,10.961,12.0,68078,2020-05-04
85,FMNB,11.99,12.32,11.14,11.2,118044,2020-05-05
86,FMNB,11.21,11.344,10.65,10.76,72037,2020-05-06
87,FMNB,10.89,11.03,10.77,10.95,132142,2020-05-07
88,FMNB,11.22,11.285,11.11,11.23,75787,2020-05-08
89,FMNB,11.12,11.12,10.65,11.075,70370,2020-05-11
90,FMNB,11.06,11.06,10.58,10.66,115257,2020-05-12
91,FMNB,10.52,10.74,10.04,10.41,83739,2020-05-13
92,FMNB,10.4,10.44,9.82,10.28,72773,2020-05-14
93,FMNB,10.32,10.43,10.13,10.4,59835,2020-05-15
94,FMNB,10.92,11.12,10.77,11.06,83468,2020-05-18
95,FMNB,10.98,10.98,10.45,10.48,68800,2020-05-19
96,FMNB,10.67,11.16,10.67,11.12,62236,2020-05-20
97,FMNB,11.12,11.29,10.79,11.09,55670,2020-05-21
98,FMNB,11.13,11.13,10.77,11.03,45945,2020-05-22
99,FMNB,11.45,11.7399,11.32,11.6,81911,2020-05-26
100,FMNB,11.98,12.84,11.8852,12.7,72516,2020-05-27
101,FMNB,12.83,12.94,11.935,11.96,74600,2020-05-28
102,FMNB,11.76,11.91,11.43,11.75,97635,2020-05-29
103,FMNB,11.88,11.96,11.67,11.68,186820,2020-06-01
104,FMNB,11.83,11.96,11.63,11.7,38424,2020-06-02
105,FMNB,11.99,12.17,11.94,11.99,99015,2020-06-03
106,FMNB,11.94,12.26,11.54,12.23,52069,2020-06-04
107,FMNB,12.97,13.36,12.67,13.18,106194,2020-06-05
108,FMNB,13.5,13.51,13.11,13.22,42488,2020-06-08
109,FMNB,13.24,13.43,12.9,13.2,48509,2020-06-09
110,FMNB,13.09,13.09,12.37,12.4,45651,2020-06-10
111,FMNB,11.92,11.92,11.3,11.37,65716,2020-06-11
112,FMNB,11.88,11.88,11.1,11.52,76265,2020-06-12
113,FMNB,11.25,11.61,11.05,11.55,87687,2020-06-15
114,FMNB,12.01,12.19,11.68,12.02,142864,2020-06-16
115,FMNB,12.47,12.47,11.6401,11.67,48677,2020-06-17
116,FMNB,11.5,11.88,11.45,11.65,36994,2020-06-18
117,FMNB,11.74,12.05,11.5,11.91,170797,2020-06-19
118,FMNB,11.72,12.03,11.6,12.01,58704,2020-06-22
119,FMNB,12.03,12.16,11.8,11.83,67767,2020-06-23
120,FMNB,11.63,11.63,11.38,11.4,57737,2020-06-24
121,FMNB,11.27,11.68,11.11,11.45,90759,2020-06-25
122,FMNB,11.52,11.78,11.14,11.47,232120,2020-06-26
123,FMNB,11.68,12.04,11.46,11.78,89060,2020-06-29
124,FMNB,11.69,11.9,11.44,11.86,161833,2020-06-30
125,FMNB,11.84,11.86,11.4,11.41,75223,2020-07-01
126,FMNB,11.72,12.02,11.4,11.46,60614,2020-07-02
127,FMNB,11.72,11.79,11.18,11.24,56165,2020-07-06
128,FMNB,11.09,11.14,10.85,10.86,51305,2020-07-07
129,FMNB,10.85,11.01,10.62,10.8,60211,2020-07-08
130,FMNB,10.86,10.86,10.25,10.35,65887,2020-07-09
131,FMNB,10.35,10.67,10.35,10.63,78342,2020-07-10
132,FMNB,10.78,10.96,10.5,10.76,73354,2020-07-13
133,FMNB,10.78,10.87,10.51,10.65,52274,2020-07-14
134,FMNB,10.91,11.335,10.89,11.13,93758,2020-07-15
135,FMNB,11.05,11.18,10.88,10.99,54382,2020-07-16
136,FMNB,10.92,11.09,10.84,10.88,50334,2020-07-17
137,FMNB,10.8,10.85,10.594,10.67,35864,2020-07-20
138,FMNB,10.8,11.09,10.8,11.05,55186,2020-07-21
139,FMNB,11.01,11.01,10.724,10.8,35565,2020-07-22
140,FMNB,10.8,10.94,10.695,10.79,51074,2020-07-23
141,FMNB,10.84,10.93,10.63,10.74,43113,2020-07-24
142,FMNB,10.63,10.7,10.46,10.54,56312,2020-07-27
143,FMNB,10.54,10.605,10.43,10.45,51519,2020-07-28
144,FMNB,10.99,10.99,10.56,10.76,124245,2020-07-29
145,FMNB,10.6,11.26,10.6,11.22,74023,2020-07-30
146,FMNB,11.12,11.17,10.62,10.81,74062,2020-07-31
147,FMNB,10.89,11.23,10.88,11.16,75993,2020-08-03
148,FMNB,11.09,11.12,10.83,11.08,40637,2020-08-04
149,FMNB,11.19,11.25,10.99,11.19,96927,2020-08-05
150,FMNB,11.21,11.25,11.07,11.14,103482,2020-08-06
151,FMNB,11.09,11.84,11.09,11.84,63352,2020-08-07
152,FMNB,11.82,12.185,11.82,12.09,50284,2020-08-10
153,FMNB,12.37,12.59,12.24,12.37,53038,2020-08-11
154,FMNB,12.52,12.54,12.01,12.22,36626,2020-08-12
155,FMNB,12.1,12.27,12.0,12.23,44319,2020-08-13
156,FMNB,12.09,12.37,12.04,12.3,21221,2020-08-14
157,FMNB,12.18,12.27,12.04,12.22,39323,2020-08-17
158,FMNB,12.17,12.24,11.98,12.0,44836,2020-08-18
159,FMNB,12.06,12.37,12.01,12.16,33779,2020-08-19
160,FMNB,11.96,12.08,11.92,11.99,51913,2020-08-20
161,FMNB,11.98,12.13,11.8,12.1,139124,2020-08-21
162,FMNB,12.21,12.315,11.98,12.26,27286,2020-08-24
163,FMNB,12.41,12.41,12.12,12.21,37707,2020-08-25
164,FMNB,12.17,12.18,11.84,11.84,43880,2020-08-26
165,FMNB,11.94,12.1,11.91,11.96,29209,2020-08-27
166,FMNB,12.09,12.1264,11.73,11.82,26004,2020-08-28
167,FMNB,11.82,11.83,11.62,11.66,150451,2020-08-31
168,FMNB,11.65,11.79,11.5,11.75,34645,2020-09-01
169,FMNB,11.75,11.84,11.62,11.79,32005,2020-09-02
170,FMNB,11.85,12.06,11.64,11.71,46400,2020-09-03
171,FMNB,11.85,11.93,11.715,11.89,56848,2020-09-04
172,FMNB,11.82,11.82,11.46,11.54,57949,2020-09-08
173,FMNB,11.61,11.61,11.32,11.36,69969,2020-09-09
174,FMNB,11.36,11.36,11.03,11.055,57194,2020-09-10
175,FMNB,11.06,11.13,10.94,11.1,47947,2020-09-11
176,FMNB,11.18,11.51,11.05,11.5,80024,2020-09-14
177,FMNB,11.5,11.5,11.295,11.37,35547,2020-09-15
178,FMNB,11.37,11.58,11.34,11.38,43381,2020-09-16
179,FMNB,11.27,11.39,11.13,11.3,24305,2020-09-17
