,ticker,open,high,low,close,volume,timestamp
0,FNF,45.46,45.56,44.6194,44.97,997541.0,2020-01-02
1,FNF,44.63,45.22,44.6,45.16,1219212.0,2020-01-03
2,FNF,45.07,45.88,45.0,45.87,1559222.0,2020-01-06
3,FNF,45.94,45.94,45.455,45.51,813589.0,2020-01-07
4,FNF,45.5,45.81,45.44,45.63,1086115.0,2020-01-08
5,FNF,45.74,46.07,45.6,45.93,1395925.0,2020-01-09
6,FNF,45.94,46.34,45.61,45.77,1009459.0,2020-01-10
7,FNF,45.9,46.46,45.82,46.32,1469223.0,2020-01-13
8,FNF,46.38,46.5,46.17,46.35,1438965.0,2020-01-14
9,FNF,46.5,47.07,46.35,46.81,1320795.0,2020-01-15
10,FNF,46.97,47.15,46.69,46.76,778857.0,2020-01-16
11,FNF,46.87,47.44,46.87,47.31,1516557.0,2020-01-17
12,FNF,47.35,47.69,47.16,47.16,1322772.0,2020-01-21
13,FNF,47.35,47.71,47.29,47.68,900236.0,2020-01-22
14,FNF,47.57,48.09,47.21,48.03,870623.0,2020-01-23
15,FNF,48.07,48.39,47.96,48.3,964931.0,2020-01-24
16,FNF,48.09,48.65,47.87,48.6,856313.0,2020-01-27
17,FNF,48.7,49.22,48.63,48.65,1127399.0,2020-01-28
18,FNF,48.85,49.17,48.65,49.0,1382843.0,2020-01-29
19,FNF,48.95,49.21,48.785,49.21,1098402.0,2020-01-30
20,FNF,49.17,49.24,48.32,48.75,1462721.0,2020-01-31
21,FNF,48.93,49.28,48.73,48.77,949912.0,2020-02-03
22,FNF,49.03,49.16,48.51,48.54,1879120.0,2020-02-04
23,FNF,48.8,49.2399,48.71,49.03,1038360.0,2020-02-05
24,FNF,49.05,49.27,48.62,49.04,1507442.0,2020-02-06
25,FNF,47.29,47.3,45.5,45.98,8141399.0,2020-02-07
26,FNF,45.97,46.23,45.24,45.34,4106381.0,2020-02-10
27,FNF,45.45,45.81,45.33,45.61,3633547.0,2020-02-11
28,FNF,45.68,46.0,44.61,44.75,3657442.0,2020-02-12
29,FNF,44.48,45.49,44.32,45.2,5071365.0,2020-02-13
30,FNF,45.63,45.73,43.65,45.08,4801296.0,2020-02-14
31,FNF,45.1,45.79,44.42,44.48,3335364.0,2020-02-18
32,FNF,44.53,44.64,43.78,43.94,3108855.0,2020-02-19
33,FNF,43.99,44.165,43.76,44.02,2593796.0,2020-02-20
34,FNF,43.96,44.24,43.8,43.9,2340906.0,2020-02-21
35,FNF,43.5,43.84,43.14,43.5,2937431.0,2020-02-24
36,FNF,43.49,43.66,42.19,42.24,2821749.0,2020-02-25
37,FNF,42.4,42.97,41.16,41.24,3074419.0,2020-02-26
38,FNF,40.88,41.065,39.94,39.97,2870680.0,2020-02-27
39,FNF,39.2,39.3,37.84,38.76,3734548.0,2020-02-28
40,FNF,38.9,40.83,38.9,40.81,2929719.0,2020-03-02
41,FNF,40.85,41.4,40.23,40.57,2705307.0,2020-03-03
42,FNF,41.34,43.19,41.08,43.04,2779601.0,2020-03-04
43,FNF,42.21,43.52,42.06,42.7,3576911.0,2020-03-05
44,FNF,41.68,43.22,41.55,43.13,2986071.0,2020-03-06
45,FNF,40.73,42.26,38.47,39.05,2732245.0,2020-03-09
46,FNF,39.77,39.82,37.69,39.08,2790430.0,2020-03-10
47,FNF,38.24,38.69,36.76,37.47,2473895.0,2020-03-11
48,FNF,35.25,37.57,32.24,35.05,3474426.0,2020-03-12
49,FNF,36.67,36.69,32.43,34.16,3734562.0,2020-03-13
50,FNF,30.72,31.61,27.86,28.29,4417230.0,2020-03-16
51,FNF,28.71,29.08,25.02,26.7,5238217.0,2020-03-17
52,FNF,25.14,25.18,20.15,21.34,6165310.0,2020-03-18
53,FNF,21.22,25.48,19.0,23.7,4373361.0,2020-03-19
54,FNF,23.76,24.3189,21.813,22.17,4216034.0,2020-03-20
55,FNF,21.76,22.36,20.1,21.36,4239799.0,2020-03-23
56,FNF,22.26,24.99,22.26,24.32,3700694.0,2020-03-24
57,FNF,24.59,27.26,24.0,25.79,4610687.0,2020-03-25
58,FNF,26.0,27.99,25.8,27.7,3438475.0,2020-03-26
59,FNF,26.65,27.59,26.0,26.35,2758105.0,2020-03-27
60,FNF,26.28,26.61,24.9,26.4,2198833.0,2020-03-30
61,FNF,26.05,26.2172,24.278,24.88,4396281.0,2020-03-31
