,ticker,open,high,low,close,volume,timestamp
0,FTHM,5.88,6.05,5.7,5.75,21270,2022-09-19
1,FTHM,5.7,5.9824,5.7,5.76,3652,2022-09-20
2,FTHM,5.76,5.835,5.6,5.69,6521,2022-09-21
3,FTHM,5.68,5.74,5.12,5.12,12483,2022-09-22
4,FTHM,5.07,5.5,4.42,4.85,117097,2022-09-23
5,FTHM,4.97,5.43,4.9492,5.05,30922,2022-09-26
6,FTHM,4.64,5.22,4.31,5.06,63692,2022-09-27
7,FTHM,4.8932,5.73,4.8299,5.46,44581,2022-09-28
8,FTHM,5.46,5.4845,4.8,5.02,40394,2022-09-29
9,FTHM,5.05,5.67,5.0483,5.3,52027,2022-09-30
10,FTHM,5.34,5.51,5.08,5.08,119193,2022-10-03
11,FTHM,5.35,5.89,5.33,5.33,57401,2022-10-04
12,FTHM,5.2,5.285,5.03,5.04,55210,2022-10-05
13,FTHM,5.0,5.23,4.76,4.85,34587,2022-10-06
14,FTHM,4.78,4.85,4.58,4.71,70016,2022-10-07
15,FTHM,4.79,4.79,4.39,4.5,12069,2022-10-10
16,FTHM,4.53,4.75,4.2801,4.55,25858,2022-10-11
17,FTHM,4.5708,4.65,4.535,4.55,6874,2022-10-12
18,FTHM,4.41,4.65,4.41,4.43,35352,2022-10-13
19,FTHM,4.24,4.29,3.82,4.2,190675,2022-10-14
20,FTHM,4.24,4.48,4.2,4.3,183590,2022-10-17
21,FTHM,4.35,4.54,4.05,4.13,28792,2022-10-18
22,FTHM,4.08,4.08,3.7,3.93,52749,2022-10-19
23,FTHM,3.96,4.188,3.75,3.87,36531,2022-10-20
24,FTHM,3.87,4.07,3.76,4.04,48362,2022-10-21
25,FTHM,4.08,4.1,3.9,4.0,12500,2022-10-24
26,FTHM,4.05,4.48,4.02,4.45,47707,2022-10-25
27,FTHM,4.43,4.49,4.315,4.4,38186,2022-10-26
28,FTHM,4.46,5.155,4.45,4.85,124010,2022-10-27
29,FTHM,4.82,4.9,4.6077,4.75,99779,2022-10-28
30,FTHM,4.92,4.97,4.81,4.82,18841,2022-10-31
31,FTHM,4.91,5.2385,4.78,5.13,68491,2022-11-01
32,FTHM,5.07,5.07,4.7,4.92,70006,2022-11-02
33,FTHM,4.86,5.3307,4.7434,4.88,54536,2022-11-03
34,FTHM,4.91,4.9637,4.7,4.87,16221,2022-11-04
35,FTHM,4.72,4.92,4.6,4.69,73359,2022-11-07
36,FTHM,4.5,4.5,3.96,4.15,165338,2022-11-08
37,FTHM,4.08,4.08,3.77,3.8,63147,2022-11-09
38,FTHM,3.95,4.15,3.86,4.0,91452,2022-11-10
39,FTHM,3.96,4.308,3.96,4.12,10457,2022-11-11
40,FTHM,4.1,4.1799,3.94,3.95,16061,2022-11-14
41,FTHM,3.9429,4.56,3.9429,4.56,26768,2022-11-15
42,FTHM,4.5,4.89,4.38,4.84,7324,2022-11-16
43,FTHM,4.64,5.0,4.64,4.88,6811,2022-11-17
44,FTHM,4.89,4.89,4.5247,4.78,11496,2022-11-18
45,FTHM,4.7,4.81,4.62,4.81,14379,2022-11-21
46,FTHM,4.96,4.96,4.65,4.65,39814,2022-11-22
47,FTHM,4.6,4.6,4.06,4.21,11673,2022-11-23
48,FTHM,4.25,5.0,4.0601,4.98,35003,2022-11-25
49,FTHM,4.87,4.97,4.44,4.57,30053,2022-11-28
50,FTHM,4.58,4.8492,4.48,4.53,11561,2022-11-29
51,FTHM,4.36,4.9,4.36,4.89,138460,2022-11-30
52,FTHM,4.85,5.22,4.85,5.01,47118,2022-12-01
53,FTHM,4.89,5.25,4.89,5.11,167079,2022-12-02
54,FTHM,5.22,5.755,4.995,5.2,105133,2022-12-05
55,FTHM,5.25,6.13,5.12,5.39,134930,2022-12-06
56,FTHM,5.3,5.8,5.2701,5.6,67358,2022-12-07
