,ticker,open,high,low,close,volume,timestamp
0,GCMG,11.94,11.94,10.18,10.9,269604.0,2020-11-18
1,GCMG,10.57,11.065,10.37,10.6,373816.0,2020-11-19
2,GCMG,11.54,11.54,9.2898,10.0,350528.0,2020-11-20
3,GCMG,10.15,10.8767,9.668,9.94,240148.0,2020-11-23
4,GCMG,10.19,10.8879,9.6632,9.89,322677.0,2020-11-24
5,GCMG,10.31,10.31,9.48,9.6,269079.0,2020-11-25
6,GCMG,9.575,9.73,9.3,9.5,27232.0,2020-11-27
7,GCMG,9.62,9.8128,9.1,9.5,662475.0,2020-11-30
8,GCMG,9.49,9.51,9.0,9.51,687618.0,2020-12-01
9,GCMG,9.58,10.39,9.06,10.21,560760.0,2020-12-02
10,GCMG,10.24,10.47,9.75,10.43,829298.0,2020-12-03
11,GCMG,10.33,10.67,10.14,10.67,506741.0,2020-12-04
12,GCMG,10.78,12.6,10.675,12.24,3053373.0,2020-12-07
13,GCMG,11.75,12.6989,11.07,12.5,993554.0,2020-12-08
14,GCMG,12.5,14.16,12.47,13.33,2281401.0,2020-12-09
15,GCMG,13.25,14.42,12.7459,14.07,1313229.0,2020-12-10
16,GCMG,14.36,15.36,12.82,13.93,1633980.0,2020-12-11
17,GCMG,13.97,14.725,12.89,13.73,1689393.0,2020-12-14
18,GCMG,13.38,13.38,12.62,12.79,1287622.0,2020-12-15
19,GCMG,12.74,12.87,11.64,12.14,3788281.0,2020-12-16
20,GCMG,13.08,13.34,12.06,12.64,3776785.0,2020-12-17
21,GCMG,12.75,13.53,12.04,12.69,5242330.0,2020-12-18
22,GCMG,12.59,12.87,12.17,12.87,3246256.0,2020-12-21
23,GCMG,12.75,14.17,12.7,13.66,2732056.0,2020-12-22
24,GCMG,13.51,13.66,13.1,13.51,913431.0,2020-12-23
25,GCMG,13.59,13.81,12.28,13.6,570887.0,2020-12-24
26,GCMG,13.6,13.81,13.25,13.7,671205.0,2020-12-28
27,GCMG,13.64,13.98,13.29,13.84,2945178.0,2020-12-29
28,GCMG,13.83,13.85,13.12,13.25,545656.0,2020-12-30
29,GCMG,13.21,13.35,13.1,13.32,416955.0,2020-12-31
30,GCMG,13.35,13.46,12.02,12.27,218421.0,2021-01-04
31,GCMG,12.28,12.96,12.28,12.62,189301.0,2021-01-05
32,GCMG,12.67,13.14,12.1,12.9,1013455.0,2021-01-06
33,GCMG,12.83,13.4,11.76,12.8,2390253.0,2021-01-07
34,GCMG,12.88,13.3,12.5,13.25,717094.0,2021-01-08
35,GCMG,12.96,13.505,12.895,13.4,608041.0,2021-01-11
