,ticker,open,high,low,close,volume,timestamp
0,GETY,9.39,9.945,8.08,9.15,98418.0,2022-07-25
1,GETY,8.75,11.0,8.2801,9.76,472978.0,2022-07-26
2,GETY,9.8,10.28,9.56,10.28,251510.0,2022-07-27
3,GETY,10.04,10.65,10.0087,10.5,539043.0,2022-07-28
4,GETY,26.48,29.53,17.9,26.15,12928294.0,2022-07-29
5,GETY,25.0,32.7999,23.5,31.1,5027303.0,2022-08-01
6,GETY,37.28,37.88,26.78,33.51,3216628.0,2022-08-02
7,GETY,30.0,35.62,28.29,29.44,1602215.0,2022-08-03
8,GETY,32.82,33.0,23.2201,24.93,867491.0,2022-08-04
9,GETY,23.63,27.49,23.63,25.95,449650.0,2022-08-05
10,GETY,25.25,27.1478,24.1,25.59,245309.0,2022-08-08
11,GETY,24.92,26.23,24.0,25.32,244139.0,2022-08-09
12,GETY,25.0,28.4368,25.0,26.89,565613.0,2022-08-10
13,GETY,25.71,31.68,25.52,31.68,689162.0,2022-08-11
14,GETY,32.29,32.3,28.06,30.86,383584.0,2022-08-12
15,GETY,30.52,34.0,29.0,33.93,893854.0,2022-08-15
16,GETY,31.55,33.7,29.2501,31.78,592533.0,2022-08-16
17,GETY,31.0,36.45,30.1435,31.36,482077.0,2022-08-17
18,GETY,31.98,33.7599,30.8727,32.01,263727.0,2022-08-18
19,GETY,32.5,32.98,29.29,29.29,329377.0,2022-08-19
20,GETY,30.63,30.75,27.2,27.25,244389.0,2022-08-22
21,GETY,27.92,28.9,25.9501,27.53,688871.0,2022-08-23
22,GETY,29.99,31.8,27.36,29.05,708949.0,2022-08-24
23,GETY,29.13,29.73,27.0,28.49,348115.0,2022-08-25
24,GETY,28.07,28.99,26.7,26.93,326095.0,2022-08-26
25,GETY,26.03,26.5,20.12,20.15,343313.0,2022-08-29
26,GETY,21.91,23.42,20.705,21.43,536230.0,2022-08-30
27,GETY,21.36,21.865,18.8212,20.25,294355.0,2022-08-31
28,GETY,18.68,19.22,13.4,14.42,501863.0,2022-09-01
29,GETY,14.49,15.4,13.51,14.87,330892.0,2022-09-02
30,GETY,14.75,14.85,12.7,13.61,394838.0,2022-09-06
31,GETY,14.99,15.14,12.1433,12.76,702037.0,2022-09-07
32,GETY,12.79,12.93,11.66,12.23,218458.0,2022-09-08
33,GETY,12.45,13.25,12.35,12.52,207499.0,2022-09-09
34,GETY,13.04,13.18,11.77,11.77,216367.0,2022-09-12
35,GETY,11.97,12.3,10.81,10.89,231338.0,2022-09-13
36,GETY,10.98,11.19,10.22,10.62,233711.0,2022-09-14
37,GETY,10.52,13.67,10.34,13.35,1979825.0,2022-09-15
38,GETY,11.25,11.32,8.38,8.49,3604878.0,2022-09-16
39,GETY,8.435,8.59,8.0803,8.5,848532.0,2022-09-19
40,GETY,8.75,8.75,7.59,8.29,560718.0,2022-09-20
41,GETY,8.2,8.31,7.8112,7.99,344146.0,2022-09-21
42,GETY,8.0,8.18,7.59,8.05,408123.0,2022-09-22
43,GETY,7.8,8.38,7.501,8.25,337973.0,2022-09-23
44,GETY,8.0,8.21,7.86,7.96,196416.0,2022-09-26
45,GETY,7.79,8.08,7.4,7.96,303249.0,2022-09-27
46,GETY,7.71,7.96,7.5512,7.59,292704.0,2022-09-28
47,GETY,7.31,7.36,7.01,7.06,275996.0,2022-09-29
48,GETY,6.81,7.0599,6.5,6.79,243019.0,2022-09-30
49,GETY,6.84,7.18,6.315,7.12,272121.0,2022-10-03
50,GETY,7.1,7.28,6.37,6.62,385978.0,2022-10-04
51,GETY,6.61,6.99,6.47,6.53,315238.0,2022-10-05
52,GETY,6.36,6.79,5.98,6.11,319577.0,2022-10-06
53,GETY,6.0,6.1818,5.75,6.11,215716.0,2022-10-07
54,GETY,6.13,6.39,5.76,6.27,160836.0,2022-10-10
55,GETY,6.51,6.98,6.29,6.76,405565.0,2022-10-11
56,GETY,6.61,7.07,6.0198,6.03,347576.0,2022-10-12
57,GETY,5.91,6.37,5.7943,6.18,238876.0,2022-10-13
58,GETY,6.1,6.2273,5.39,5.58,223429.0,2022-10-14
59,GETY,5.63,5.79,5.27,5.34,210056.0,2022-10-17
60,GETY,5.43,5.6214,5.3506,5.43,266078.0,2022-10-18
61,GETY,5.36,5.6485,5.36,5.55,181355.0,2022-10-19
62,GETY,5.63,5.63,5.15,5.28,184335.0,2022-10-20
63,GETY,5.14,5.1435,4.605,4.77,251714.0,2022-10-21
64,GETY,4.77,4.77,4.5113,4.63,151297.0,2022-10-24
65,GETY,4.61,4.7355,4.53,4.64,323261.0,2022-10-25
66,GETY,4.65,4.92,4.65,4.73,203178.0,2022-10-26
67,GETY,4.78,4.86,4.6715,4.72,125426.0,2022-10-27
68,GETY,4.97,5.12,4.67,5.05,218293.0,2022-10-28
69,GETY,5.05,7.55,5.05,6.8,10620376.0,2022-10-31
70,GETY,6.91,7.0,5.9,6.0,1445745.0,2022-11-01
71,GETY,5.95,6.88,5.92,6.05,1506840.0,2022-11-02
72,GETY,5.98,6.3,5.76,6.23,334456.0,2022-11-03
73,GETY,6.34,6.45,5.86,6.09,351790.0,2022-11-04
74,GETY,6.12,6.19,5.46,5.55,343980.0,2022-11-07
75,GETY,5.61,5.61,5.12,5.35,339412.0,2022-11-08
76,GETY,5.27,5.61,5.12,5.49,243521.0,2022-11-09
77,GETY,5.71,5.7973,5.3,5.3,362134.0,2022-11-10
78,GETY,5.25,5.39,5.06,5.31,241819.0,2022-11-11
79,GETY,5.35,7.7055,5.173,6.97,5197551.0,2022-11-14
80,GETY,6.55,6.65,5.37,5.86,1497582.0,2022-11-15
81,GETY,5.91,6.01,5.5772,5.74,464124.0,2022-11-16
82,GETY,5.61,5.72,5.43,5.47,307568.0,2022-11-17
83,GETY,5.73,5.73,5.3706,5.57,265436.0,2022-11-18
84,GETY,5.6,5.67,5.3315,5.42,163917.0,2022-11-21
85,GETY,5.46,5.8594,5.31,5.75,314903.0,2022-11-22
86,GETY,6.23,6.43,5.88,6.06,525149.0,2022-11-23
87,GETY,5.96,6.08,5.73,5.92,116754.0,2022-11-25
88,GETY,5.83,6.4285,5.82,6.06,351145.0,2022-11-28
89,GETY,6.05,6.25,5.75,6.02,401641.0,2022-11-29
90,GETY,6.13,6.16,5.65,5.87,283552.0,2022-11-30
91,GETY,5.9,5.98,5.535,5.85,240503.0,2022-12-01
92,GETY,5.73,5.7757,5.62,5.7,103975.0,2022-12-02
93,GETY,5.79,5.79,5.4515,5.6,172093.0,2022-12-05
94,GETY,5.47,5.65,5.26,5.31,146746.0,2022-12-06
95,GETY,5.28,5.3975,5.1,5.12,318083.0,2022-12-07
96,GETY,5.11,5.27,5.07,5.08,93125.0,2022-12-08
97,GETY,5.12,5.5299,4.98,5.27,127551.0,2022-12-09
98,GETY,5.26,5.26,5.0,5.19,132594.0,2022-12-12
99,GETY,5.36,5.36,5.06,5.11,127920.0,2022-12-13
100,GETY,5.11,5.1422,4.99,5.07,76890.0,2022-12-14
101,GETY,5.1,5.24,5.0,5.24,149469.0,2022-12-15
102,GETY,5.05,5.21,4.995,5.03,131313.0,2022-12-16
103,GETY,5.03,5.23,4.96,5.2,104683.0,2022-12-19
104,GETY,5.19,5.19,4.93,5.01,111297.0,2022-12-20
105,GETY,5.06,5.25,4.89,5.06,223177.0,2022-12-21
106,GETY,5.16,5.2201,4.98,5.01,172330.0,2022-12-22
107,GETY,4.99,5.02,4.81,5.0,83358.0,2022-12-23
108,GETY,5.07,5.15,4.84,5.06,106742.0,2022-12-27
109,GETY,5.05,5.21,4.93,5.21,144135.0,2022-12-28
