,ticker,open,high,low,close,volume,timestamp
0,GIB,83.59,84.3,83.58,84.23,147942,2020-01-02
1,GIB,83.31,84.2,83.18,83.81,136376,2020-01-03
2,GIB,83.34,84.4,83.31,84.34,167198,2020-01-06
3,GIB,84.07,84.58,84.04,84.39,114781,2020-01-07
4,GIB,84.4,85.54,84.4,85.15,226833,2020-01-08
5,GIB,85.5,86.59,85.32,86.18,201659,2020-01-09
6,GIB,86.52,86.52,85.4,85.63,162680,2020-01-10
7,GIB,85.41,86.38,85.41,86.32,116706,2020-01-13
8,GIB,86.1,86.49,85.82,85.97,135812,2020-01-14
9,GIB,86.18,86.78,86.08,86.17,134180,2020-01-15
10,GIB,86.33,86.83,86.075,86.55,132437,2020-01-16
11,GIB,86.55,87.1,86.34,86.72,135888,2020-01-17
12,GIB,86.34,87.0,86.02,86.04,164394,2020-01-21
13,GIB,86.41,86.8452,86.03,86.09,143871,2020-01-22
14,GIB,85.92,86.86,85.89,86.48,121731,2020-01-23
15,GIB,86.82,87.125,85.715,86.2,158613,2020-01-24
16,GIB,85.03,86.02,84.86,85.23,253373,2020-01-27
17,GIB,85.39,86.09,85.22,85.85,209528,2020-01-28
18,GIB,85.46,85.59,78.73,78.81,774171,2020-01-29
19,GIB,78.2,79.33,77.35,77.92,478300,2020-01-30
20,GIB,77.73,77.73,75.61,76.52,574757,2020-01-31
21,GIB,76.9,77.22,76.2,76.74,403911,2020-02-03
22,GIB,77.05,77.36,76.15,76.27,431670,2020-02-04
23,GIB,76.73,76.73,75.34,75.91,257252,2020-02-05
24,GIB,75.98,78.23,75.95,78.19,257849,2020-02-06
25,GIB,77.98,77.98,76.76,77.14,233252,2020-02-07
26,GIB,76.98,77.81,76.72,77.76,146690,2020-02-10
27,GIB,77.92,77.99,76.9,76.95,156542,2020-02-11
28,GIB,77.1,77.4,76.5,77.35,160984,2020-02-12
29,GIB,76.95,77.53,76.58,76.98,144807,2020-02-13
30,GIB,77.04,77.66,76.9,77.58,152876,2020-02-14
31,GIB,77.46,77.46,76.54,77.08,178523,2020-02-18
32,GIB,77.45,77.45,76.44,76.51,256227,2020-02-19
33,GIB,76.27,76.3,74.66,75.53,293377,2020-02-20
34,GIB,75.4,75.8,75.0,75.65,187190,2020-02-21
35,GIB,73.64,74.9834,72.44,74.09,290181,2020-02-24
36,GIB,74.44,74.65,71.95,72.56,350571,2020-02-25
37,GIB,72.44,73.36,72.24,72.54,311882,2020-02-26
38,GIB,71.36,72.31,70.19,70.29,297536,2020-02-27
39,GIB,67.75,70.46,67.09,70.41,472124,2020-02-28
40,GIB,70.46,71.9,69.94,71.83,301172,2020-03-02
41,GIB,71.83,72.0,69.91,70.19,334735,2020-03-03
42,GIB,71.07,72.295,70.53,72.26,231278,2020-03-04
43,GIB,71.05,71.84,70.97,71.22,252471,2020-03-05
44,GIB,69.72,71.01,69.6077,70.59,400540,2020-03-06
45,GIB,66.73,69.07,65.33,66.46,376215,2020-03-09
46,GIB,67.7,68.93,66.58,68.84,522898,2020-03-10
47,GIB,67.49,68.06,65.61,66.21,431034,2020-03-11
48,GIB,60.82,61.71,58.06,58.29,589628,2020-03-12
49,GIB,60.15,61.36,58.75,60.35,585511,2020-03-13
50,GIB,54.22,57.21,52.2801,54.65,545750,2020-03-16
51,GIB,54.97,55.55,52.73,53.37,543987,2020-03-17
52,GIB,50.7,52.5,46.425,48.65,481186,2020-03-18
53,GIB,48.13,52.23,47.5,51.0,563668,2020-03-19
54,GIB,52.08,52.97,47.92,48.19,454240,2020-03-20
55,GIB,47.53,49.33,46.32,46.85,798191,2020-03-23
56,GIB,48.71,49.61,47.89,49.34,644666,2020-03-24
57,GIB,49.56,52.49,48.54,49.32,602075,2020-03-25
58,GIB,49.72,52.47,49.72,52.2,680964,2020-03-26
59,GIB,50.96,51.07,49.05,50.21,609867,2020-03-27
60,GIB,50.02,52.65,49.64,52.42,450901,2020-03-30
61,GIB,52.02,54.82,51.85,54.41,538180,2020-03-31
62,GIB,53.38,54.81,52.61,53.34,543009,2020-04-01
63,GIB,53.17,54.81,53.17,54.19,421352,2020-04-02
64,GIB,54.44,54.44,53.02,53.52,407838,2020-04-03
65,GIB,54.68,55.88,53.67,55.71,511805,2020-04-06
66,GIB,57.6,58.81,56.39,56.75,509018,2020-04-07
67,GIB,57.5,58.32,56.1,58.06,418296,2020-04-08
68,GIB,59.0,60.78,58.5001,60.13,538874,2020-04-09
69,GIB,60.04,60.3,58.6,59.65,432841,2020-04-13
70,GIB,60.12,60.62,59.2,60.1,515574,2020-04-14
71,GIB,58.69,59.38,58.26,58.48,563285,2020-04-15
72,GIB,58.32,59.04,58.16,58.44,299525,2020-04-16
73,GIB,59.75,60.53,59.2301,60.41,392451,2020-04-17
74,GIB,60.29,60.95,59.27,59.56,301009,2020-04-20
75,GIB,58.38,59.12,57.7,57.74,276830,2020-04-21
76,GIB,58.93,59.41,58.42,59.17,239537,2020-04-22
77,GIB,59.5,60.27,59.29,60.1,299593,2020-04-23
78,GIB,60.07,61.31,59.85,61.04,294539,2020-04-24
79,GIB,61.46,62.61,61.18,62.38,321620,2020-04-27
80,GIB,63.3,63.76,61.03,61.11,342393,2020-04-28
81,GIB,62.48,63.76,62.04,63.44,334245,2020-04-29
82,GIB,63.0,64.49,62.85,63.97,576242,2020-04-30
83,GIB,62.72,62.99,61.83,62.73,399753,2020-05-01
84,GIB,62.31,63.39,62.1,63.34,309921,2020-05-04
85,GIB,64.16,64.84,63.64,64.12,397479,2020-05-05
86,GIB,64.51,65.07,63.95,64.01,241132,2020-05-06
87,GIB,64.5,65.6274,64.5,64.97,297322,2020-05-07
88,GIB,65.68,65.68,64.88,65.11,193273,2020-05-08
89,GIB,64.52,64.89,63.765,63.94,268527,2020-05-11
90,GIB,64.02,64.2,62.23,62.29,425872,2020-05-12
91,GIB,62.24,62.24,60.1,60.58,292487,2020-05-13
92,GIB,60.07,60.32,58.6,60.3,215828,2020-05-14
93,GIB,60.0,60.355,59.56,60.24,224820,2020-05-15
94,GIB,61.1,62.4,61.1,61.84,104511,2020-05-18
95,GIB,62.22,62.54,60.87,60.87,222989,2020-05-19
96,GIB,61.83,62.18,61.49,61.64,157143,2020-05-20
97,GIB,61.65,61.7,60.75,61.14,106269,2020-05-21
98,GIB,60.95,62.41,60.45,62.25,232748,2020-05-22
99,GIB,63.48,63.94,62.65,63.44,208606,2020-05-26
100,GIB,63.99,64.085,61.6,62.73,296119,2020-05-27
101,GIB,63.13,64.7,62.842,64.17,245780,2020-05-28
102,GIB,64.09,64.47,62.97,63.76,252667,2020-05-29
103,GIB,63.61,64.67,63.03,64.52,165369,2020-06-01
104,GIB,64.87,65.68,64.58,65.66,230474,2020-06-02
105,GIB,65.66,67.1,65.66,67.04,188441,2020-06-03
106,GIB,66.49,67.25,66.16,66.89,319646,2020-06-04
107,GIB,67.85,69.16,67.55,68.62,268607,2020-06-05
108,GIB,68.69,69.54,68.31,69.3,228103,2020-06-08
109,GIB,68.19,68.58,67.54,68.16,141120,2020-06-09
110,GIB,68.3,69.08,67.8,68.62,227188,2020-06-10
111,GIB,67.24,67.68,65.33,65.38,293719,2020-06-11
112,GIB,66.48,67.49,65.44,65.83,229696,2020-06-12
113,GIB,64.87,65.96,63.81,65.63,252235,2020-06-15
114,GIB,66.6,67.69,65.42,65.66,250033,2020-06-16
115,GIB,65.72,65.81,64.05,64.27,285379,2020-06-17
116,GIB,64.18,64.8,63.81,64.48,159361,2020-06-18
117,GIB,65.02,65.6,63.62,63.72,244705,2020-06-19
118,GIB,63.73,64.86,63.04,64.73,184456,2020-06-22
119,GIB,65.26,65.26,63.39,63.4,230841,2020-06-23
120,GIB,62.68,63.0,61.67,61.82,313413,2020-06-24
121,GIB,61.82,63.44,61.24,63.41,273417,2020-06-25
122,GIB,63.35,63.62,62.31,62.43,202166,2020-06-26
123,GIB,62.46,63.7,62.13,63.13,229073,2020-06-29
124,GIB,62.95,63.3,62.44,63.0,165903,2020-06-30
125,GIB,63.16,63.62,62.71,63.29,93324,2020-07-01
126,GIB,63.84,64.095,63.12,63.69,212227,2020-07-02
127,GIB,64.0,64.43,63.51,64.03,240475,2020-07-06
128,GIB,63.67,64.45,62.97,62.97,226090,2020-07-07
129,GIB,63.0,63.9,63.0,63.86,169905,2020-07-08
130,GIB,63.87,64.06,62.57,63.95,186136,2020-07-09
131,GIB,63.96,64.15,63.615,63.76,132135,2020-07-10
132,GIB,64.09,64.69,63.48,63.97,241474,2020-07-13
133,GIB,63.8,64.92,63.74,64.52,217347,2020-07-14
134,GIB,64.93,66.61,64.7202,66.45,218102,2020-07-15
135,GIB,65.95,66.59,65.67,65.83,136683,2020-07-16
136,GIB,65.82,66.2,65.59,65.7,211604,2020-07-17
137,GIB,65.52,66.7,65.52,66.56,155954,2020-07-20
138,GIB,66.93,66.95,65.16,65.26,232854,2020-07-21
139,GIB,65.0,65.79,64.61,65.38,216511,2020-07-22
