,ticker,open,high,low,close,volume,timestamp
0,GLAD,19.88,20.3,19.86,20.04,136544.0,2020-01-02
1,GLAD,19.92,20.24,19.9,20.12,58619.0,2020-01-03
2,GLAD,20.16,20.22,20.0,20.08,56597.5,2020-01-06
3,GLAD,20.06,20.14,19.86,20.07,81714.5,2020-01-07
4,GLAD,20.08,20.18,20.0,20.01,52014.5,2020-01-08
5,GLAD,20.02,20.24,20.02,20.06,62119.5,2020-01-09
6,GLAD,20.08,20.26,20.02,20.06,45737.0,2020-01-10
7,GLAD,20.06,20.32,20.06,20.22,75052.0,2020-01-13
8,GLAD,20.3,20.46,20.2634,20.38,67148.5,2020-01-14
9,GLAD,20.4,20.74,20.4,20.73,70173.0,2020-01-15
10,GLAD,20.8,20.9,20.76,20.8,53795.5,2020-01-16
11,GLAD,20.9,20.94,20.68,20.76,82325.0,2020-01-17
12,GLAD,20.84,20.96,20.72,20.88,116570.0,2020-01-21
13,GLAD,20.86,21.08,20.86,21.04,139724.5,2020-01-22
14,GLAD,20.86,20.86,20.12,20.7,92801.0,2020-01-23
15,GLAD,20.58,20.7,20.38,20.56,49836.0,2020-01-24
16,GLAD,20.4,20.44,20.16,20.28,74427.5,2020-01-27
17,GLAD,20.28,20.38,20.08,20.2,71396.5,2020-01-28
18,GLAD,20.22,20.494,20.2,20.22,42611.0,2020-01-29
19,GLAD,20.22,20.28,20.07,20.28,60099.0,2020-01-30
20,GLAD,20.3,20.4,20.1,20.18,52344.0,2020-01-31
21,GLAD,20.22,20.9,20.22,20.44,113695.5,2020-02-03
22,GLAD,20.52,20.68,20.4,20.54,40071.5,2020-02-04
23,GLAD,20.64,20.8,20.54,20.72,43927.0,2020-02-05
24,GLAD,20.88,20.9,20.48,20.52,68500.5,2020-02-06
25,GLAD,20.72,20.74,20.52,20.66,54994.0,2020-02-07
26,GLAD,20.78,20.8056,20.66,20.78,63058.0,2020-02-10
27,GLAD,20.8,21.0,20.7,20.94,75281.5,2020-02-11
28,GLAD,20.94,21.0,20.82,20.84,64005.0,2020-02-12
29,GLAD,20.86,21.08,20.82,21.06,69010.5,2020-02-13
30,GLAD,21.1,21.1,20.96,21.0,73045.5,2020-02-14
31,GLAD,20.96,20.96,20.51,20.6,132018.5,2020-02-18
32,GLAD,20.5,20.6,20.26,20.54,99532.0,2020-02-19
33,GLAD,20.56,20.66,20.44,20.54,49957.5,2020-02-20
34,GLAD,20.52,20.5398,20.34,20.48,45378.0,2020-02-21
35,GLAD,20.28,20.34,20.26,20.28,120164.5,2020-02-24
36,GLAD,20.34,20.34,18.8,18.89,454463.5,2020-02-25
37,GLAD,19.14,20.145,19.0,19.58,159481.5,2020-02-26
38,GLAD,19.1,19.28,18.38,18.64,229989.0,2020-02-27
39,GLAD,18.0,18.1196,17.0,17.26,507132.0,2020-02-28
40,GLAD,17.3,18.54,17.3,18.5,249282.5,2020-03-02
41,GLAD,18.6,19.14,18.04,18.18,199797.0,2020-03-03
42,GLAD,18.4,18.62,18.12,18.32,122184.0,2020-03-04
