,ticker,open,high,low,close,volume,timestamp
0,GLDD,11.35,11.68,11.17,11.66,427734.0,2020-01-02
1,GLDD,11.55,11.82,11.5,11.73,224562.0,2020-01-03
2,GLDD,11.65,11.96,11.55,11.91,296556.0,2020-01-06
3,GLDD,11.86,11.91,11.55,11.6,296982.0,2020-01-07
4,GLDD,11.6,11.855,11.52,11.73,334729.0,2020-01-08
5,GLDD,11.73,11.83,11.43,11.55,249517.0,2020-01-09
6,GLDD,11.57,11.79,11.51,11.66,292212.0,2020-01-10
7,GLDD,11.66,11.74,11.58,11.67,259039.0,2020-01-13
8,GLDD,11.61,11.88,11.59,11.64,346183.0,2020-01-14
9,GLDD,11.62,11.71,11.36,11.49,321568.0,2020-01-15
10,GLDD,11.56,11.7,11.45,11.53,197380.0,2020-01-16
11,GLDD,11.64,11.68,11.39,11.63,271774.0,2020-01-17
12,GLDD,11.63,11.63,11.35,11.43,232647.0,2020-01-21
13,GLDD,11.42,11.57,11.34,11.45,255976.0,2020-01-22
14,GLDD,11.45,11.51,11.2856,11.465,233943.0,2020-01-23
15,GLDD,11.51,11.51,10.96,11.11,232098.0,2020-01-24
16,GLDD,10.96,11.17,10.88,11.06,234686.0,2020-01-27
17,GLDD,11.05,11.11,10.94,11.03,123787.0,2020-01-28
18,GLDD,11.02,11.05,10.68,10.74,220098.0,2020-01-29
19,GLDD,10.71,10.81,10.56,10.78,166858.0,2020-01-30
20,GLDD,10.76,10.81,10.44,10.47,197356.0,2020-01-31
21,GLDD,10.5,10.88,10.5,10.7,229464.0,2020-02-03
22,GLDD,10.77,10.91,10.57,10.58,228072.0,2020-02-04
23,GLDD,10.65,10.95,10.58,10.89,285351.0,2020-02-05
24,GLDD,10.85,10.97,10.7,10.85,231529.0,2020-02-06
25,GLDD,10.83,10.86,10.53,10.54,372010.0,2020-02-07
26,GLDD,10.52,10.59,10.38,10.47,140134.0,2020-02-10
27,GLDD,10.5,10.625,10.2914,10.31,251819.0,2020-02-11
28,GLDD,10.23,10.44,10.22,10.26,405844.0,2020-02-12
29,GLDD,10.26,10.38,10.25,10.29,288085.0,2020-02-13
30,GLDD,10.3,10.45,10.1,10.14,227838.0,2020-02-14
31,GLDD,10.12,10.33,9.86,10.0,499263.0,2020-02-18
32,GLDD,10.65,10.98,10.3224,10.95,1026374.0,2020-02-19
33,GLDD,10.9,10.97,9.97,10.32,679804.0,2020-02-20
34,GLDD,10.36,10.36,10.035,10.25,548197.0,2020-02-21
35,GLDD,9.97,10.46,9.921,10.35,438177.0,2020-02-24
36,GLDD,10.36,10.36,9.98,10.065,441742.0,2020-02-25
37,GLDD,10.09,10.16,9.71,9.78,434613.0,2020-02-26
38,GLDD,9.69,10.11,9.62,9.775,518847.0,2020-02-27
39,GLDD,9.51,9.71,9.39,9.7,642415.0,2020-02-28
40,GLDD,9.65,9.96,9.55,9.92,506544.0,2020-03-02
41,GLDD,9.94,10.35,9.82,9.86,462246.0,2020-03-03
42,GLDD,9.92,10.05,9.87,10.04,367749.0,2020-03-04
43,GLDD,9.91,10.07,9.885,10.05,678105.0,2020-03-05
44,GLDD,9.87,9.91,9.495,9.66,528894.0,2020-03-06
45,GLDD,9.18,9.54,8.96,8.99,560393.0,2020-03-09
46,GLDD,9.17,9.4,8.3,8.56,720839.0,2020-03-10
47,GLDD,8.26,8.38,7.91,8.1,620977.0,2020-03-11
48,GLDD,7.71,7.71,6.78,6.78,795919.0,2020-03-12
49,GLDD,7.03,7.59,6.75,7.59,721744.0,2020-03-13
50,GLDD,7.86,7.86,7.25,7.47,1140389.0,2020-03-16
51,GLDD,7.52,8.2,7.3,7.93,634885.0,2020-03-17
52,GLDD,7.56,7.9,7.01,7.04,629879.0,2020-03-18
53,GLDD,7.0,8.45,7.0,7.91,676805.0,2020-03-19
54,GLDD,7.99,8.24,7.65,8.06,1092383.0,2020-03-20
55,GLDD,8.12,8.12,7.17,7.35,704489.0,2020-03-23
56,GLDD,7.5,8.07,7.36,7.5,1125288.0,2020-03-24
57,GLDD,7.56,7.76,7.06,7.1,398242.0,2020-03-25
58,GLDD,7.14,7.74,7.065,7.71,755874.0,2020-03-26
59,GLDD,7.55,8.145,7.5,7.81,845194.0,2020-03-27
60,GLDD,7.81,8.09,7.765,8.01,426902.0,2020-03-30
61,GLDD,7.95,8.365,7.87,8.3,809846.0,2020-03-31
62,GLDD,8.13,8.39,7.85,7.94,473489.0,2020-04-01
63,GLDD,7.91,8.07,7.635,7.91,525913.0,2020-04-02
64,GLDD,7.82,7.87,7.53,7.76,367917.0,2020-04-03
65,GLDD,7.97,8.06,7.64,7.77,488594.0,2020-04-06
66,GLDD,7.89,8.12,7.73,7.81,650403.0,2020-04-07
67,GLDD,7.89,8.3,7.73,8.27,371110.0,2020-04-08
68,GLDD,8.32,8.84,8.27,8.75,474792.0,2020-04-09
69,GLDD,8.77,8.92,8.43,8.56,581991.0,2020-04-13
70,GLDD,8.7,8.85,8.2,8.23,455805.0,2020-04-14
71,GLDD,8.07,8.2,7.8,7.88,510451.0,2020-04-15
72,GLDD,7.91,7.96,7.48,7.535,396477.0,2020-04-16
73,GLDD,7.72,8.08,7.7,8.02,352018.0,2020-04-17
74,GLDD,7.87,8.0,7.62,7.71,286386.0,2020-04-20
75,GLDD,7.52,7.7,7.42,7.55,357767.0,2020-04-21
76,GLDD,7.7,7.78,7.5998,7.7,291763.0,2020-04-22
77,GLDD,7.72,7.97,7.71,7.81,232877.0,2020-04-23
78,GLDD,7.82,7.87,7.55,7.8,279571.0,2020-04-24
79,GLDD,7.94,8.37,7.87,8.26,398966.0,2020-04-27
80,GLDD,8.45,9.13,8.305,9.05,587341.0,2020-04-28
