,ticker,open,high,low,close,volume,timestamp
0,GLLI,9.85,9.85,9.85,9.85,1000,2021-12-23
1,GLLI,9.8,9.815,9.77,9.77,113277,2021-12-27
2,GLLI,9.78,9.83,9.78,9.8,747802,2021-12-28
3,GLLI,9.8,9.855,9.8,9.8,343236,2021-12-29
4,GLLI,9.8,9.82,9.8,9.82,170586,2021-12-30
5,GLLI,9.8,9.82,9.8,9.82,863913,2022-01-03
6,GLLI,9.82,9.82,9.8,9.8,172578,2022-01-04
7,GLLI,9.82,9.83,9.8,9.8,18042,2022-01-05
8,GLLI,9.82,9.82,9.81,9.81,16735,2022-01-06
9,GLLI,9.82,9.83,9.815,9.83,17720,2022-01-07
10,GLLI,9.83,9.83,9.83,9.83,66746,2022-01-10
11,GLLI,9.83,9.84,9.82,9.84,295127,2022-01-11
12,GLLI,9.84,9.84,9.83,9.84,20098,2022-01-12
13,GLLI,9.84,9.84,9.84,9.84,1112,2022-01-14
14,GLLI,9.85,9.85,9.85,9.85,71150,2022-01-18
15,GLLI,9.84,9.89,9.83,9.83,54698,2022-01-19
16,GLLI,9.81,9.835,9.81,9.82,10610,2022-01-20
17,GLLI,9.79,9.83,9.79,9.83,1110,2022-01-21
18,GLLI,9.81,9.81,9.79,9.79,19903,2022-01-26
19,GLLI,9.811,9.811,9.811,9.811,224,2022-01-28
20,GLLI,9.83,9.83,9.825,9.825,9481,2022-01-31
21,GLLI,9.82,9.83,9.8127,9.83,7710,2022-02-02
22,GLLI,9.83,9.84,9.83,9.84,100830,2022-02-04
23,GLLI,9.83,9.83,9.83,9.83,151,2022-02-09
24,GLLI,9.85,9.85,9.85,9.85,318,2022-02-11
25,GLLI,9.85,9.89,9.85,9.88,38401,2022-02-16
26,GLLI,9.8491,9.8491,9.8491,9.8491,506,2022-02-22
27,GLLI,9.8554,9.8554,9.8554,9.8554,506,2022-02-24
28,GLLI,9.86,9.89,9.86,9.89,10156,2022-03-01
29,GLLI,9.89,9.89,9.89,9.89,126899,2022-03-07
30,GLLI,9.89,9.89,9.89,9.89,100,2022-03-08
31,GLLI,9.89,9.89,9.89,9.89,1756,2022-03-09
32,GLLI,9.89,9.9001,9.89,9.9,60453,2022-03-11
33,GLLI,9.89,9.9,9.89,9.895,25238,2022-03-14
34,GLLI,9.91,9.91,9.91,9.91,3585,2022-03-18
35,GLLI,9.9,9.91,9.9,9.91,2483,2022-03-21
36,GLLI,9.91,9.92,9.9,9.9,176410,2022-03-22
37,GLLI,9.9,9.9138,9.9,9.9138,300,2022-03-23
38,GLLI,9.91,9.91,9.91,9.91,1018,2022-03-28
39,GLLI,9.9,9.92,9.88,9.91,4917,2022-03-29
40,GLLI,9.9,9.91,9.9,9.91,620,2022-03-30
