,ticker,open,high,low,close,volume,timestamp
0,GRAB,13.055,13.29,8.13,8.75,35751169.0,2021-12-02
1,GRAB,9.16,9.52,8.45,8.99,29667171.0,2021-12-03
2,GRAB,8.95,9.1,8.23,9.0,25416004.0,2021-12-06
3,GRAB,9.055,9.06,8.32,8.85,25775900.0,2021-12-07
4,GRAB,8.67,8.99,8.55,8.89,26187654.0,2021-12-08
5,GRAB,8.6136,8.6136,7.6,8.08,36086673.0,2021-12-09
6,GRAB,7.98,7.98,6.93,7.12,39572606.0,2021-12-10
7,GRAB,6.8845,7.28,6.85,7.17,16689379.0,2021-12-13
8,GRAB,7.06,7.08,5.91,6.79,32797868.0,2021-12-14
9,GRAB,6.82,7.1699,6.75,7.14,26431514.0,2021-12-15
10,GRAB,7.1978,7.57,7.15,7.25,21053312.0,2021-12-16
11,GRAB,7.04,7.64,6.91,7.57,21849441.0,2021-12-17
12,GRAB,7.21,7.32,6.97,7.3,9573753.0,2021-12-20
13,GRAB,7.35,7.44,7.11,7.3,5539664.0,2021-12-21
14,GRAB,7.25,7.36,7.2,7.34,4354063.0,2021-12-22
15,GRAB,7.32,7.38,7.26,7.35,13381654.0,2021-12-23
16,GRAB,7.52,7.53,7.03,7.09,11855845.0,2021-12-27
17,GRAB,7.1,7.23,6.88,6.98,13896917.0,2021-12-28
18,GRAB,6.98,7.01,6.62,6.96,7289312.0,2021-12-29
19,GRAB,6.8,7.26,6.79,7.15,7295283.0,2021-12-30
20,GRAB,7.02,7.3,6.98,7.13,8813519.0,2021-12-31
21,GRAB,7.13,7.25,7.105,7.22,4689872.0,2022-01-03
22,GRAB,7.26,7.33,7.19,7.29,5867687.0,2022-01-04
23,GRAB,7.25,7.27,6.71,6.9,30569363.0,2022-01-05
24,GRAB,6.64,6.78,6.44,6.65,18588999.0,2022-01-06
25,GRAB,6.65,6.84,6.52,6.81,20806863.0,2022-01-07
26,GRAB,6.66,6.7,6.1725,6.6,25170974.0,2022-01-10
27,GRAB,6.59,6.81,6.2201,6.54,32226685.0,2022-01-11
28,GRAB,6.57,6.6,6.17,6.25,12255519.0,2022-01-12
29,GRAB,6.24,6.26,5.98,6.11,23936176.0,2022-01-13
30,GRAB,5.98,6.06,5.81,6.04,14430630.0,2022-01-14
31,GRAB,5.86,5.8899,5.4,5.54,37389042.0,2022-01-18
32,GRAB,5.65,5.94,5.51,5.65,15743947.0,2022-01-19
33,GRAB,5.73,5.97,5.71,5.94,19200734.0,2022-01-20
34,GRAB,5.73,5.8,5.495,5.6,41267605.0,2022-01-21
35,GRAB,5.39,5.59,5.17,5.56,26723537.0,2022-01-24
36,GRAB,5.44,6.01,5.37,5.82,23614125.0,2022-01-25
37,GRAB,5.94,6.26,5.8,5.94,49730920.0,2022-01-26
38,GRAB,5.99,6.025,5.55,5.71,35972704.0,2022-01-27
39,GRAB,5.67,5.69,5.21,5.51,34813061.0,2022-01-28
40,GRAB,5.46,5.92,5.35,5.66,15311397.0,2022-01-31
41,GRAB,5.67,5.89,5.61,5.7,8873409.0,2022-02-01
42,GRAB,5.7,5.7623,5.39,5.48,7885402.0,2022-02-02
43,GRAB,5.47,5.5,4.96,4.98,14941136.0,2022-02-03
44,GRAB,5.08,5.4,4.95,5.32,16122968.0,2022-02-04
45,GRAB,5.38,5.49,5.27,5.34,8767850.0,2022-02-07
46,GRAB,5.3,5.3,5.1,5.21,6864214.0,2022-02-08
47,GRAB,5.26,5.58,5.2,5.55,8462631.0,2022-02-09
48,GRAB,5.86,6.61,5.81,6.35,60463430.0,2022-02-10
49,GRAB,6.13,6.31,5.76,5.89,25100604.0,2022-02-11
50,GRAB,5.82,6.13,5.77,5.92,21790547.0,2022-02-14
51,GRAB,6.0049,6.23,5.89,6.0,18128017.0,2022-02-15
52,GRAB,6.0,6.08,5.94,6.04,14953881.0,2022-02-16
53,GRAB,5.9936,6.055,5.745,5.81,12389283.0,2022-02-17
54,GRAB,5.79,5.79,5.4,5.52,16555461.0,2022-02-18
55,GRAB,5.38,5.48,4.96,5.17,27064562.0,2022-02-22
56,GRAB,5.19,5.42,5.13,5.3,25403160.0,2022-02-23
57,GRAB,4.83,5.52,4.83,5.5,31376720.0,2022-02-24
58,GRAB,5.36,5.86,5.35,5.8,25186458.0,2022-02-25
59,GRAB,5.855,6.03,5.61,5.76,178830739.0,2022-02-28
60,GRAB,5.62,5.68,5.4,5.52,14092821.0,2022-03-01
61,GRAB,5.45,5.53,5.08,5.23,17905520.0,2022-03-02
62,GRAB,4.84,4.84,3.09,3.28,116033055.0,2022-03-03
63,GRAB,3.59,4.18,3.265,3.36,85870651.0,2022-03-04
64,GRAB,3.31,3.63,3.3,3.36,27703017.0,2022-03-07
65,GRAB,3.34,3.415,3.11,3.24,28163742.0,2022-03-08
66,GRAB,3.35,3.36,3.06,3.14,27930289.0,2022-03-09
