,ticker,open,high,low,close,volume,timestamp
0,GWH,71.4,72.15,65.55,68.55,96006.0,2022-09-19
1,GWH,67.5,68.4,63.75,63.9,54565.3333,2022-09-20
2,GWH,63.75,66.675,60.525,63.9,71855.4,2022-09-21
3,GWH,64.95,66.525,62.55,65.1,62319.7333,2022-09-22
4,GWH,63.45,64.2,60.6,62.1,72095.8667,2022-09-23
5,GWH,62.4,69.6,61.5,61.8,84629.0667,2022-09-26
6,GWH,63.3,70.2,62.55,64.95,90732.9333,2022-09-27
7,GWH,65.55,68.7,62.55,67.65,62877.2,2022-09-28
8,GWH,67.35,67.5,61.3995,62.4,112029.4667,2022-09-29
9,GWH,63.0,66.0,61.2,61.35,72215.6,2022-09-30
10,GWH,63.45,68.25,61.5,66.0,87447.5333,2022-10-03
11,GWH,68.4,75.6,68.4,75.45,137104.5333,2022-10-04
12,GWH,74.55,74.85,69.15,69.6,79094.2,2022-10-05
13,GWH,70.2,74.25,67.275,68.1,83320.8,2022-10-06
14,GWH,66.9,67.2,61.05,61.2,84967.1333,2022-10-07
15,GWH,62.25,62.535,54.6105,56.55,124074.9333,2022-10-10
16,GWH,57.45,61.95,54.075,57.75,91161.2667,2022-10-11
17,GWH,58.05,58.8,52.8,57.6,82645.8667,2022-10-12
18,GWH,55.95,62.85,53.55,62.7,86834.8,2022-10-13
19,GWH,63.75,65.4,59.775,60.45,83165.8667,2022-10-14
20,GWH,64.2,64.5,54.45,55.2,123238.7333,2022-10-17
21,GWH,55.8,57.3,52.8,54.45,151048.5333,2022-10-18
22,GWH,54.0,54.0,50.4,52.35,93657.7333,2022-10-19
23,GWH,51.0,54.6,50.55,51.3,55176.7333,2022-10-20
24,GWH,51.45,52.53,49.05,51.6,80595.9333,2022-10-21
25,GWH,52.65,53.7,48.6,53.1,52266.7333,2022-10-24
26,GWH,52.95,60.6,52.8,60.45,115458.8,2022-10-25
27,GWH,60.0,62.4,57.6,57.9,84669.0667,2022-10-26
28,GWH,60.0,60.825,57.75,58.5,44202.1333,2022-10-27
29,GWH,60.0,63.0,57.3,61.05,96150.7333,2022-10-28
30,GWH,62.4,64.2,61.05,63.45,83720.8,2022-10-31
31,GWH,64.65,65.7,61.95,62.25,55066.8,2022-11-01
32,GWH,62.7,63.3,58.275,58.35,79296.6667,2022-11-02
33,GWH,59.25,63.15,58.2645,60.6,82143.2667,2022-11-03
34,GWH,60.0,61.05,54.15,55.5,92198.8667,2022-11-04
35,GWH,56.7,59.85,54.0,59.85,75593.8667,2022-11-07
36,GWH,60.0,60.6,52.8,52.95,88030.6,2022-11-08
37,GWH,52.8,52.95,50.25,51.45,59749.6,2022-11-09
38,GWH,55.5,58.65,52.65,56.85,110190.8667,2022-11-10
39,GWH,57.3,63.075,57.3,61.5,140275.3333,2022-11-11
40,GWH,62.7,63.675,58.95,62.1,105443.9333,2022-11-14
