,ticker,open,high,low,close,volume,timestamp
0,GYRE,7.0,7.35,5.88,6.73,37865,2023-10-31
1,GYRE,6.9,7.73,6.29,6.29,49474,2023-11-01
2,GYRE,6.15,6.68,6.0308,6.35,31058,2023-11-02
3,GYRE,6.4,6.55,6.32,6.46,12027,2023-11-03
4,GYRE,6.73,7.35,6.7,7.23,36779,2023-11-06
5,GYRE,7.45,8.18,7.45,8.05,29819,2023-11-07
6,GYRE,8.19,9.35,8.19,9.2,61244,2023-11-08
7,GYRE,9.57,10.27,8.5,8.74,75516,2023-11-09
8,GYRE,9.51,9.51,8.325,8.7,31893,2023-11-10
9,GYRE,9.0,9.3,8.7,9.0,21501,2023-11-13
10,GYRE,9.2,9.5,8.99,9.5,25268,2023-11-14
11,GYRE,9.5,12.9,9.5,12.37,84954,2023-11-15
12,GYRE,12.6,13.87,12.6,12.97,147838,2023-11-16
13,GYRE,13.0,14.71,13.0,14.71,100055,2023-11-17
14,GYRE,15.7,17.4113,14.25,14.68,207237,2023-11-20
15,GYRE,14.68,14.68,11.85,12.73,145761,2023-11-21
16,GYRE,13.24,16.58,13.12,16.11,211922,2023-11-22
17,GYRE,17.21,19.9553,16.95,19.41,268532,2023-11-24
18,GYRE,19.8,20.95,17.58,20.93,164421,2023-11-27
19,GYRE,21.4,26.55,21.01,24.21,370633,2023-11-28
20,GYRE,26.0,27.3889,24.05,26.3,188205,2023-11-29
21,GYRE,26.03,26.03,21.4787,23.52,255106,2023-11-30
22,GYRE,22.52,25.09,21.7,23.4,98188,2023-12-01
23,GYRE,24.43,25.8381,16.06,16.06,391017,2023-12-04
24,GYRE,18.0,19.4332,17.4,17.68,162370,2023-12-05
25,GYRE,18.44,19.42,18.12,18.5,70289,2023-12-06
26,GYRE,18.5,19.09,15.1952,18.28,199375,2023-12-07
27,GYRE,19.0,20.96,18.035,20.77,80672,2023-12-08
28,GYRE,21.0,22.2001,19.58,21.34,81457,2023-12-11
29,GYRE,21.38,21.72,19.685,20.13,52032,2023-12-12
30,GYRE,19.9,21.6,19.9,21.34,52938,2023-12-13
31,GYRE,22.2,22.78,21.03,22.31,61547,2023-12-14
32,GYRE,22.79,24.62,21.5401,24.52,643790,2023-12-15
33,GYRE,23.99,25.84,23.21,24.86,103319,2023-12-18
34,GYRE,25.51,25.89,24.2669,25.89,56107,2023-12-19
35,GYRE,25.89,29.3,25.1178,28.7,121817,2023-12-20
36,GYRE,29.64,30.4,27.77,28.93,127966,2023-12-21
37,GYRE,28.71,29.97,27.67,29.68,45042,2023-12-22
38,GYRE,30.39,30.39,26.39,26.67,97801,2023-12-26
39,GYRE,27.58,28.7931,25.68,26.34,79749,2023-12-27
40,GYRE,26.86,27.0744,25.561,26.27,36518,2023-12-28
41,GYRE,26.03,27.06,25.69,25.69,41180,2023-12-29
42,GYRE,25.51,27.45,22.51,23.79,87795,2024-01-02
43,GYRE,23.64,25.09,23.27,24.7,53002,2024-01-03
44,GYRE,24.58,26.27,24.1,24.14,93599,2024-01-04
45,GYRE,23.72,24.32,21.61,23.69,141402,2024-01-05
46,GYRE,22.32,24.48,21.81,22.02,133328,2024-01-08
47,GYRE,22.6,24.27,22.0,23.32,89039,2024-01-09
48,GYRE,23.5,24.17,22.75,24.1,81841,2024-01-10
49,GYRE,24.69,26.49,24.41,26.36,66316,2024-01-11
50,GYRE,27.09,27.1,22.2,22.51,72513,2024-01-12
51,GYRE,22.68,23.49,22.0,23.13,131776,2024-01-16
52,GYRE,23.13,24.55,22.3667,23.11,77053,2024-01-17
53,GYRE,23.1,23.5,20.51,20.81,129551,2024-01-18
54,GYRE,20.42,21.305,18.4906,18.695,89494,2024-01-19
55,GYRE,19.0,20.69,18.84,19.3,79938,2024-01-22
56,GYRE,19.3,20.0,15.57,16.16,137206,2024-01-23
57,GYRE,16.93,17.055,13.511,14.3,142194,2024-01-24
58,GYRE,14.5,15.61,14.5,15.31,67173,2024-01-25
59,GYRE,15.0,16.045,14.91,14.93,87368,2024-01-26
60,GYRE,14.68,15.605,14.42,15.41,83888,2024-01-29
61,GYRE,15.03,15.75,14.17,14.28,43100,2024-01-30
62,GYRE,14.5,14.765,12.2101,12.37,92517,2024-01-31
63,GYRE,12.46,13.5,12.07,12.19,85931,2024-02-01
64,GYRE,12.3,12.8548,10.93,11.5,79781,2024-02-02
65,GYRE,12.29,13.29,11.5,13.29,62081,2024-02-05
66,GYRE,13.5,14.25,10.81,11.38,167923,2024-02-06
67,GYRE,11.31,12.5,11.122,11.96,124211,2024-02-07
68,GYRE,12.02,13.0,11.6,12.31,68162,2024-02-08
69,GYRE,12.21,13.065,11.905,11.96,73212,2024-02-09
70,GYRE,12.0,12.78,11.35,11.41,46118,2024-02-12
71,GYRE,11.68,11.73,10.41,10.56,97121,2024-02-13
72,GYRE,11.14,15.65,10.9,14.77,161464,2024-02-14
73,GYRE,15.79,16.2304,14.305,15.97,129989,2024-02-15
74,GYRE,16.71,18.5,15.33,15.38,120645,2024-02-16
75,GYRE,15.97,16.59,14.2946,15.14,78381,2024-02-20
76,GYRE,14.54,15.3,13.55,14.13,43983,2024-02-21
77,GYRE,14.36,16.4742,14.07,16.0,63118,2024-02-22
78,GYRE,16.0,24.07,15.75,22.03,378718,2024-02-23
79,GYRE,23.0,25.05,22.0,25.05,132295,2024-02-26
80,GYRE,25.05,26.37,22.37,22.72,82546,2024-02-27
81,GYRE,22.01,25.94,22.01,24.79,96305,2024-02-28
82,GYRE,21.81,22.9049,18.14,18.14,171268,2024-02-29
83,GYRE,18.17,20.93,16.5,20.58,71960,2024-03-01
84,GYRE,21.45,21.83,19.69,21.55,54140,2024-03-04
85,GYRE,22.0,22.0,20.2,20.42,33747,2024-03-05
86,GYRE,20.65,20.98,19.89,20.68,17285,2024-03-06
87,GYRE,20.05,21.165,19.51,19.52,41817,2024-03-07
88,GYRE,19.22,20.0908,16.58,17.24,69046,2024-03-08
89,GYRE,16.76,17.96,16.315,16.33,30482,2024-03-11
90,GYRE,16.25,17.96,16.25,17.65,14879,2024-03-12
91,GYRE,17.35,19.35,17.35,19.01,42173,2024-03-13
92,GYRE,19.03,19.85,18.2099,18.82,41370,2024-03-14
93,GYRE,19.96,19.96,15.91,16.76,77089,2024-03-15
94,GYRE,17.0,18.38,16.7,18.15,37665,2024-03-18
95,GYRE,18.18,18.68,17.7,18.22,74429,2024-03-19
96,GYRE,17.8,18.55,17.44,17.86,55604,2024-03-20
97,GYRE,17.99,18.2,17.285,17.81,37031,2024-03-21
98,GYRE,17.44,18.18,17.13,17.59,26356,2024-03-22
99,GYRE,17.12,17.94,16.15,16.18,39744,2024-03-25
100,GYRE,16.47,17.77,16.4501,16.79,68093,2024-03-26
