,ticker,open,high,low,close,volume,timestamp
0,HBI,14.77,14.86,14.41,14.57,8801959.0,2020-01-02
1,HBI,14.35,14.4999,14.24,14.41,5697803.0,2020-01-03
2,HBI,14.3,14.7,14.3,14.67,4359348.0,2020-01-06
3,HBI,14.55,14.71,14.29,14.57,4986483.0,2020-01-07
4,HBI,14.57,14.66,14.205,14.39,6101641.0,2020-01-08
5,HBI,14.4,14.46,13.93,14.05,5218957.0,2020-01-09
6,HBI,13.78,13.995,13.7,13.84,7583780.0,2020-01-10
7,HBI,13.88,14.14,13.68,14.14,6292162.0,2020-01-13
8,HBI,14.11,14.29,14.07,14.27,4400699.0,2020-01-14
9,HBI,14.13,14.17,13.77,14.01,7885618.0,2020-01-15
10,HBI,14.15,14.4,14.13,14.29,5833282.0,2020-01-16
11,HBI,14.37,14.405,14.15,14.32,5820100.0,2020-01-17
12,HBI,14.35,14.36,14.07,14.23,4262131.0,2020-01-21
13,HBI,14.24,14.45,14.15,14.33,5168058.0,2020-01-22
14,HBI,14.18,14.53,13.89,14.44,5299831.0,2020-01-23
15,HBI,14.47,14.51,14.13,14.25,4330728.0,2020-01-24
16,HBI,13.95,14.17,13.87,14.04,4474691.0,2020-01-27
17,HBI,14.15,14.39,14.07,14.23,4353103.0,2020-01-28
18,HBI,14.36,14.53,14.275,14.34,3452165.0,2020-01-29
19,HBI,14.21,14.295,14.04,14.27,5401818.0,2020-01-30
20,HBI,14.27,14.325,13.695,13.76,7848491.0,2020-01-31
21,HBI,13.84,13.925,13.36,13.37,9043382.0,2020-02-03
22,HBI,13.65,13.97,13.545,13.85,9558221.0,2020-02-04
23,HBI,14.04,14.7,13.97,14.65,10458145.0,2020-02-05
24,HBI,14.75,14.88,14.4,14.42,12410690.0,2020-02-06
25,HBI,14.5,15.37,14.045,14.2,15882345.0,2020-02-07
26,HBI,14.23,14.23,13.83,13.89,13976906.0,2020-02-10
27,HBI,13.92,14.455,13.86,14.35,16358214.0,2020-02-11
28,HBI,14.5,15.005,14.4569,14.77,9047548.0,2020-02-12
29,HBI,14.59,14.69,14.27,14.39,7790612.0,2020-02-13
