,ticker,open,high,low,close,volume,timestamp
0,HBM,4.18,4.3,4.12,4.12,1029884.0,2020-01-02
1,HBM,4.08,4.1,3.89,3.9,1299510.0,2020-01-03
2,HBM,3.86,3.91,3.705,3.75,1349803.0,2020-01-06
3,HBM,3.75,3.96,3.7,3.87,1136632.0,2020-01-07
4,HBM,3.89,3.91,3.7,3.77,911711.0,2020-01-08
5,HBM,3.77,3.79,3.66,3.73,705196.0,2020-01-09
6,HBM,3.73,3.85,3.71,3.72,705817.0,2020-01-10
7,HBM,3.75,3.92,3.72,3.78,962988.0,2020-01-13
8,HBM,3.77,3.8305,3.68,3.74,1020078.0,2020-01-14
9,HBM,3.72,3.73,3.645,3.68,764409.0,2020-01-15
10,HBM,3.72,3.735,3.55,3.56,922912.0,2020-01-16
11,HBM,3.6,3.81,3.6,3.78,1388661.0,2020-01-17
12,HBM,3.76,3.76,3.52,3.54,1055242.0,2020-01-21
13,HBM,3.54,3.54,3.405,3.41,709094.0,2020-01-22
14,HBM,3.43,3.47,3.33,3.4,1252414.0,2020-01-23
15,HBM,3.38,3.41,3.305,3.36,798284.0,2020-01-24
16,HBM,3.27,3.3,3.125,3.22,1304769.0,2020-01-27
17,HBM,3.22,3.27,3.18,3.25,964569.0,2020-01-28
18,HBM,3.26,3.31,3.15,3.2,1662222.0,2020-01-29
19,HBM,3.16,3.235,3.11,3.21,1516010.0,2020-01-30
20,HBM,3.2,3.2,3.06,3.07,963062.0,2020-01-31
21,HBM,3.09,3.1,2.93,2.95,1587317.0,2020-02-03
22,HBM,3.13,3.35,3.06,3.08,1541761.0,2020-02-04
23,HBM,3.14,3.41,3.13,3.38,1945096.0,2020-02-05
24,HBM,3.39,3.39,3.2,3.24,956699.0,2020-02-06
25,HBM,3.17,3.17,3.03,3.05,1663615.0,2020-02-07
26,HBM,3.02,3.02,2.86,2.97,1350576.0,2020-02-10
27,HBM,3.04,3.18,3.04,3.06,1256917.0,2020-02-11
28,HBM,3.13,3.24,3.1101,3.24,928491.0,2020-02-12
29,HBM,3.19,3.24,3.115,3.2,692510.0,2020-02-13
30,HBM,3.2,3.2,3.1,3.11,709805.0,2020-02-14
31,HBM,3.08,3.085,2.98,3.06,1387368.0,2020-02-18
32,HBM,3.11,3.24,3.11,3.18,961469.0,2020-02-19
33,HBM,3.18,3.28,3.12,3.24,1431039.0,2020-02-20
34,HBM,3.11,3.12,2.8,2.85,2790556.0,2020-02-21
35,HBM,2.74,2.77,2.57,2.71,1907937.0,2020-02-24
36,HBM,2.72,2.73,2.5617,2.63,3609330.0,2020-02-25
37,HBM,2.66,2.67,2.41,2.42,2188728.0,2020-02-26
38,HBM,2.35,2.43,2.25,2.32,2900333.0,2020-02-27
39,HBM,2.25,2.45,2.25,2.45,2650854.0,2020-02-28
40,HBM,2.48,2.5,2.36,2.5,1370603.0,2020-03-02
41,HBM,2.49,2.55,2.36,2.43,1574294.0,2020-03-03
42,HBM,2.48,2.51,2.425,2.47,1146979.0,2020-03-04
43,HBM,2.44,2.49,2.28,2.31,1263209.0,2020-03-05
44,HBM,2.25,2.345,2.22,2.26,1144536.0,2020-03-06
45,HBM,2.05,2.05,1.67,1.825,1389324.0,2020-03-09
46,HBM,1.97,2.01,1.795,1.9,1005411.0,2020-03-10
47,HBM,1.81,1.95,1.715,1.75,2261637.0,2020-03-11
48,HBM,1.63,1.63,1.39,1.46,1523105.0,2020-03-12
49,HBM,1.62,1.73,1.5,1.73,898469.0,2020-03-13
50,HBM,1.5,1.65,1.46,1.62,543381.0,2020-03-16
51,HBM,1.68,1.74,1.5,1.53,1214223.0,2020-03-17
52,HBM,1.46,1.54,1.23,1.43,1624381.0,2020-03-18
53,HBM,1.43,1.555,1.3189,1.52,911896.0,2020-03-19
54,HBM,1.64,1.64,1.33,1.39,817990.0,2020-03-20
55,HBM,1.39,1.4021,1.3097,1.36,541950.0,2020-03-23
56,HBM,1.45,1.71,1.45,1.68,7074701.0,2020-03-24
57,HBM,1.7,2.09,1.68,1.91,1553115.0,2020-03-25
58,HBM,1.91,1.93,1.77,1.8,6652183.0,2020-03-26
59,HBM,1.73,1.77,1.65,1.7,611555.0,2020-03-27
60,HBM,1.69,1.8,1.6301,1.78,8073556.0,2020-03-30
61,HBM,1.87,2.03,1.81,1.9,3374401.0,2020-03-31
62,HBM,1.72,1.895,1.7,1.74,1341553.0,2020-04-01
63,HBM,1.76,1.91,1.73,1.9,7339548.0,2020-04-02
64,HBM,1.93,1.93,1.69,1.73,654015.0,2020-04-03
65,HBM,1.81,1.92,1.8,1.88,534417.0,2020-04-06
66,HBM,1.97,2.08,1.97,2.08,5134297.0,2020-04-07
67,HBM,2.1,2.245,2.04,2.24,5079353.0,2020-04-08
68,HBM,2.29,2.36,2.1319,2.2,1653281.0,2020-04-09
69,HBM,2.19,2.26,2.16,2.26,697909.0,2020-04-13
70,HBM,2.3,2.46,2.26,2.31,8051365.0,2020-04-14
71,HBM,2.22,2.24,2.0771,2.11,867355.0,2020-04-15
72,HBM,2.09,2.12,1.98,2.03,3932026.0,2020-04-16
73,HBM,2.16,2.19,2.09,2.13,2285141.0,2020-04-17
74,HBM,2.04,2.235,2.01,2.15,640362.0,2020-04-20
75,HBM,2.1,2.155,2.01,2.09,2081112.0,2020-04-21
76,HBM,2.15,2.2499,2.12,2.2,1218807.0,2020-04-22
77,HBM,2.25,2.34,2.24,2.28,1431806.0,2020-04-23
78,HBM,2.33,2.41,2.315,2.39,946714.0,2020-04-24
79,HBM,2.42,2.48,2.36,2.47,3782476.0,2020-04-27
80,HBM,2.5,2.51,2.335,2.39,857266.0,2020-04-28
81,HBM,2.46,2.555,2.46,2.53,1686580.0,2020-04-29
82,HBM,2.5,2.51,2.39,2.45,6099797.0,2020-04-30
83,HBM,2.34,2.385,2.32,2.35,1077948.0,2020-05-01
84,HBM,2.31,2.39,2.27,2.38,1744946.0,2020-05-04
85,HBM,2.4,2.49,2.34,2.35,5315626.0,2020-05-05
86,HBM,2.36,2.44,2.35,2.38,1504134.0,2020-05-06
87,HBM,2.45,2.475,2.375,2.41,2086843.0,2020-05-07
88,HBM,2.45,2.63,2.45,2.5,1518073.0,2020-05-08
89,HBM,2.5,2.5,2.3402,2.36,681665.0,2020-05-11
90,HBM,2.37,2.4,2.25,2.25,2926412.0,2020-05-12
91,HBM,2.25,2.25,2.1237,2.18,1946845.0,2020-05-13
