,ticker,open,high,low,close,volume,timestamp
0,HLMN,11.99,12.47,11.33,12.05,2418839.0,2021-07-15
1,HLMN,12.08,12.31,11.91,12.17,1850673.0,2021-07-16
2,HLMN,12.02,12.51,12.02,12.21,1190952.0,2021-07-19
3,HLMN,12.4,12.4,12.1,12.15,1277256.0,2021-07-20
4,HLMN,12.08,12.25,11.98,12.15,1101402.0,2021-07-21
5,HLMN,12.18,12.32,12.05,12.13,478586.0,2021-07-22
6,HLMN,12.0,12.41,11.99,12.39,606795.0,2021-07-23
7,HLMN,12.17,12.4999,11.8,12.06,1778393.0,2021-07-26
8,HLMN,11.96,12.1,11.86,12.05,842725.0,2021-07-27
9,HLMN,12.03,12.2,11.75,11.9,852706.0,2021-07-28
10,HLMN,11.99,12.045,11.86,12.01,618968.0,2021-07-29
11,HLMN,12.275,12.76,11.75,12.29,1354643.0,2021-07-30
12,HLMN,12.35,12.71,12.09,12.44,1065987.0,2021-08-02
13,HLMN,12.48,12.69,12.39,12.4,933866.0,2021-08-03
14,HLMN,12.34,12.6,12.26,12.46,1093255.0,2021-08-04
15,HLMN,12.43,12.85,12.35,12.71,767739.0,2021-08-05
16,HLMN,12.85,13.38,12.7,12.99,1739556.0,2021-08-06
17,HLMN,13.12,13.4,13.0,13.16,1092127.0,2021-08-09
18,HLMN,13.16,13.385,13.16,13.32,589173.0,2021-08-10
19,HLMN,13.31,13.425,13.15,13.24,564928.0,2021-08-11
20,HLMN,13.28,13.38,13.17,13.31,496855.0,2021-08-12
21,HLMN,13.25,13.46,13.22,13.34,498796.0,2021-08-13
22,HLMN,13.3,13.3,12.91,12.94,1380707.0,2021-08-16
23,HLMN,12.93,12.9344,12.435,12.53,2099381.0,2021-08-17
24,HLMN,12.51,12.6,11.99,11.99,2979783.0,2021-08-18
25,HLMN,11.97,12.02,11.67,11.7,927763.0,2021-08-19
26,HLMN,11.65,12.0,11.51,12.0,554295.0,2021-08-20
27,HLMN,12.0,12.015,11.76,11.83,837744.0,2021-08-23
28,HLMN,11.75,11.9,11.524,11.73,1059672.0,2021-08-24
29,HLMN,11.81,12.07,11.79,11.79,1141482.0,2021-08-25
30,HLMN,11.78,11.97,11.68,11.87,416225.0,2021-08-26
31,HLMN,11.91,12.15,11.74,11.85,1931284.0,2021-08-27
32,HLMN,11.85,12.08,11.59,11.78,5565290.0,2021-08-30
33,HLMN,11.8,12.4393,11.71,12.28,2387847.0,2021-08-31
34,HLMN,12.415,12.52,12.14,12.45,2499847.0,2021-09-01
35,HLMN,12.5,12.7,12.2,12.43,3578362.0,2021-09-02
36,HLMN,12.41,12.93,12.33,12.74,4112416.0,2021-09-03
37,HLMN,12.82,12.86,11.57,11.75,3726428.0,2021-09-07
38,HLMN,11.82,12.17,11.57,11.99,3231455.0,2021-09-08
39,HLMN,12.01,12.5,11.74,12.02,3545902.0,2021-09-09
40,HLMN,12.05,12.52,11.91,12.47,3768686.0,2021-09-10
41,HLMN,12.49,12.62,12.25,12.44,2094523.0,2021-09-13
42,HLMN,12.44,12.7,11.95,12.54,3868517.0,2021-09-14
43,HLMN,12.4306,12.7,12.385,12.57,3337350.0,2021-09-15
44,HLMN,12.5,12.81,12.04,12.39,3908687.0,2021-09-16
45,HLMN,12.44,12.565,12.04,12.25,8659395.0,2021-09-17
46,HLMN,12.05,12.22,11.74,11.84,2678359.0,2021-09-20
47,HLMN,12.105,12.32,11.87,12.07,3444274.0,2021-09-21
48,HLMN,12.07,12.23,11.83,11.91,1656347.0,2021-09-22
49,HLMN,11.9,12.17,11.9,12.04,939448.0,2021-09-23
50,HLMN,11.98,12.08,11.86,12.0,464030.0,2021-09-24
51,HLMN,11.97,12.18,11.82,12.02,720436.0,2021-09-27
52,HLMN,11.99,12.13,11.6,11.86,1275306.0,2021-09-28
53,HLMN,11.85,12.05,11.79,11.96,929055.0,2021-09-29
54,HLMN,12.02,12.03,11.77,11.93,938411.0,2021-09-30
55,HLMN,11.93,12.03,11.65,11.69,1154977.0,2021-10-01
56,HLMN,11.7,11.79,11.305,11.39,1879842.0,2021-10-04
57,HLMN,11.4,11.57,11.35,11.45,1295993.0,2021-10-05
58,HLMN,11.39,11.48,11.0,11.03,2094074.0,2021-10-06
59,HLMN,11.14,11.27,10.96,11.13,937109.0,2021-10-07
60,HLMN,11.17,11.28,10.99,11.01,639271.0,2021-10-08
61,HLMN,11.0,11.135,10.9,10.93,512236.0,2021-10-11
62,HLMN,10.99,11.0,10.83,10.92,549738.0,2021-10-12
63,HLMN,10.85,10.98,10.79,10.97,486546.0,2021-10-13
64,HLMN,11.0,11.255,10.95,11.24,592073.0,2021-10-14
65,HLMN,11.27,11.28,10.97,11.03,661690.0,2021-10-15
66,HLMN,10.95,11.26,10.87,11.16,644027.0,2021-10-18
67,HLMN,11.19,11.6,11.04,11.22,442244.0,2021-10-19
68,HLMN,11.26,11.565,11.15,11.33,387391.0,2021-10-20
69,HLMN,11.23,11.57,11.23,11.55,422527.0,2021-10-21
70,HLMN,11.59,11.82,11.48,11.62,599589.0,2021-10-22
71,HLMN,11.87,11.87,11.46,11.55,536056.0,2021-10-25
72,HLMN,11.59,11.66,11.36,11.39,379337.0,2021-10-26
73,HLMN,11.34,11.41,11.05,11.07,434140.0,2021-10-27
74,HLMN,11.04,11.39,10.97,11.16,952373.0,2021-10-28
75,HLMN,11.16,11.3,10.945,10.97,591328.0,2021-10-29
76,HLMN,11.06,11.5,10.975,11.47,1171805.0,2021-11-01
77,HLMN,11.53,11.63,11.17,11.34,876524.0,2021-11-02
78,HLMN,10.48,10.9,10.24,10.48,2334741.0,2021-11-03
79,HLMN,10.55,11.03,10.5,10.74,1488814.0,2021-11-04
80,HLMN,10.75,11.005,10.58,10.81,792707.0,2021-11-05
81,HLMN,10.79,11.18,10.68,11.15,530845.0,2021-11-08
82,HLMN,11.11,11.23,10.99,11.08,428587.0,2021-11-09
83,HLMN,11.02,11.13,10.86,10.93,726670.0,2021-11-10
84,HLMN,10.95,11.1245,10.63,10.64,461878.0,2021-11-11
85,HLMN,11.195,11.195,10.64,10.88,625267.0,2021-11-12
86,HLMN,10.8,10.99,10.78,10.87,513283.0,2021-11-15
87,HLMN,10.86,11.04,10.78,11.03,882244.0,2021-11-16
88,HLMN,11.04,11.1,10.92,10.94,463177.0,2021-11-17
89,HLMN,11.01,11.01,10.63,10.67,432153.0,2021-11-18
90,HLMN,10.64,10.73,10.43,10.46,410826.0,2021-11-19
91,HLMN,10.48,10.76,10.33,10.35,1186401.0,2021-11-22
92,HLMN,10.35,10.77,10.3,10.73,1564711.0,2021-11-23
93,HLMN,10.66,11.01,10.51,10.88,651592.0,2021-11-24
94,HLMN,10.69,10.81,10.58,10.72,392890.0,2021-11-26
95,HLMN,10.82,10.86,10.58,10.71,696344.0,2021-11-29
96,HLMN,10.65,10.76,10.29,10.58,2233022.0,2021-11-30
97,HLMN,10.64,10.76,10.38,10.44,1226296.0,2021-12-01
98,HLMN,10.52,10.81,10.19,10.22,970199.0,2021-12-02
99,HLMN,10.29,10.365,9.92,10.23,807621.0,2021-12-03
100,HLMN,10.26,10.26,9.96,10.18,953955.0,2021-12-06
101,HLMN,10.31,10.61,10.125,10.39,735217.0,2021-12-07
102,HLMN,10.39,10.52,10.24,10.48,429887.0,2021-12-08
103,HLMN,10.47,10.47,10.24,10.3,472205.0,2021-12-09
104,HLMN,10.34,10.51,10.21,10.3,558151.0,2021-12-10
105,HLMN,10.26,10.34,10.05,10.08,426047.0,2021-12-13
106,HLMN,10.04,10.15,9.71,9.89,568139.0,2021-12-14
107,HLMN,9.91,9.91,9.61,9.79,604456.0,2021-12-15
108,HLMN,9.82,9.9,9.58,9.76,830723.0,2021-12-16
109,HLMN,9.76,10.31,9.63,9.83,1207023.0,2021-12-17
110,HLMN,9.76,9.76,9.64,9.74,595562.0,2021-12-20
111,HLMN,9.75,9.94,9.75,9.86,539897.0,2021-12-21
112,HLMN,9.85,10.06,9.85,9.95,389724.0,2021-12-22
113,HLMN,9.98,10.51,9.97,10.5,346729.0,2021-12-23
114,HLMN,10.54,10.77,10.49,10.7,333474.0,2021-12-27
115,HLMN,10.67,10.7201,10.455,10.55,263241.0,2021-12-28
116,HLMN,10.56,10.74,10.53,10.59,281652.0,2021-12-29
117,HLMN,10.56,10.79,10.535,10.68,263034.0,2021-12-30
118,HLMN,10.69,10.8,10.59,10.75,319991.0,2021-12-31
119,HLMN,10.73,10.92,10.6,10.65,432839.0,2022-01-03
120,HLMN,10.65,10.81,10.45,10.48,343895.0,2022-01-04
121,HLMN,10.48,10.55,10.01,10.11,438286.0,2022-01-05
122,HLMN,10.13,10.25,10.07,10.18,341310.0,2022-01-06
123,HLMN,10.15,10.26,9.845,9.95,675009.0,2022-01-07
124,HLMN,9.83,9.97,9.54,9.94,869309.0,2022-01-10
125,HLMN,10.0,10.25,9.72,9.83,521407.0,2022-01-11
126,HLMN,9.85,9.9,9.7,9.76,388368.0,2022-01-12
127,HLMN,9.78,9.94,9.7,9.74,590902.0,2022-01-13
128,HLMN,9.67,9.77,9.55,9.68,815245.0,2022-01-14
129,HLMN,9.54,9.69,9.03,9.18,1180196.0,2022-01-18
130,HLMN,9.23,9.34,9.1,9.18,701049.0,2022-01-19
