,ticker,open,high,low,close,volume,timestamp
0,HOG,40.16,41.89,39.97,41.66,1694155.0,2022-09-19
1,HOG,41.13,41.42,40.37,40.92,1359210.0,2022-09-20
2,HOG,41.08,41.65,40.09,40.1,985413.0,2022-09-21
3,HOG,40.18,40.25,38.6,38.66,1332145.0,2022-09-22
4,HOG,37.9,38.13,36.7,37.54,1546873.0,2022-09-23
5,HOG,37.25,38.22,36.84,37.12,1546572.0,2022-09-26
6,HOG,37.76,38.0681,36.4,37.1,1373583.0,2022-09-27
7,HOG,37.1,37.66,36.58,37.2,1875847.0,2022-09-28
8,HOG,36.92,37.0,35.5989,35.85,2725935.0,2022-09-29
9,HOG,35.59,35.925,34.81,34.88,2375844.0,2022-09-30
10,HOG,35.53,36.46,35.1,36.11,1853970.0,2022-10-03
11,HOG,37.21,38.08,37.1,37.99,1912052.0,2022-10-04
12,HOG,36.5,37.26,35.5,36.99,2097996.0,2022-10-05
13,HOG,36.44,36.98,36.04,36.1,1479527.0,2022-10-06
14,HOG,35.7,35.845,35.0,35.8,2017027.0,2022-10-07
15,HOG,35.52,35.71,34.78,35.3,962836.0,2022-10-10
16,HOG,35.05,35.74,34.51,35.26,1724605.0,2022-10-11
17,HOG,35.18,35.57,34.43,35.41,1000958.0,2022-10-12
18,HOG,34.59,36.12,34.01,36.0,1141122.0,2022-10-13
19,HOG,36.29,36.675,35.56,35.89,683253.0,2022-10-14
20,HOG,36.64,36.82,35.74,36.0,1213833.0,2022-10-17
21,HOG,37.1,37.41,36.37,36.69,1118236.0,2022-10-18
22,HOG,35.98,36.33,34.54,34.83,2080885.0,2022-10-19
23,HOG,34.84,35.775,34.64,34.86,1681315.0,2022-10-20
24,HOG,34.79,36.045,34.663,35.9,1086910.0,2022-10-21
25,HOG,35.88,36.3,35.62,35.89,1198833.0,2022-10-24
26,HOG,35.84,37.14,35.56,37.12,1984800.0,2022-10-25
27,HOG,40.16,42.37,39.3,41.8,4824883.0,2022-10-26
28,HOG,42.54,42.67,41.36,41.65,2505205.0,2022-10-27
29,HOG,41.92,43.41,41.7,43.22,1960250.0,2022-10-28
30,HOG,42.745,43.2,42.24,43.0,1553762.0,2022-10-31
31,HOG,43.66,44.5,43.18,44.08,1613793.0,2022-11-01
32,HOG,43.48,44.955,43.07,43.49,2063898.0,2022-11-02
33,HOG,42.95,44.9,42.75,44.64,1909068.0,2022-11-03
34,HOG,45.09,46.08,44.675,45.35,1777142.0,2022-11-04
35,HOG,45.72,45.74,44.67,45.58,1106271.0,2022-11-07
36,HOG,45.68,45.78,45.16,45.43,1318469.0,2022-11-08
37,HOG,44.95,45.88,44.51,44.67,1404842.0,2022-11-09
38,HOG,47.28,47.93,46.44,47.16,1940379.0,2022-11-10
39,HOG,47.39,48.72,47.22,48.24,1873034.0,2022-11-11
40,HOG,47.83,48.56,47.0,47.91,1733246.0,2022-11-14
41,HOG,47.1,48.15,46.8,47.4,1956048.0,2022-11-15
42,HOG,46.97,47.275,46.24,46.77,1951493.0,2022-11-16
43,HOG,45.78,47.23,45.04,47.19,1397085.0,2022-11-17
44,HOG,47.73,47.9,47.12,47.55,878276.0,2022-11-18
45,HOG,47.2,47.2,46.56,46.79,1367368.0,2022-11-21
46,HOG,47.0,47.62,46.54,47.54,720081.0,2022-11-22
47,HOG,47.78,47.855,46.895,47.27,718271.0,2022-11-23
48,HOG,47.17,48.03,46.91,47.71,356130.0,2022-11-25
49,HOG,47.05,47.34,46.48,47.06,1505446.0,2022-11-28
50,HOG,47.29,47.29,45.915,46.0,1801337.0,2022-11-29
51,HOG,46.3,47.16,45.78,47.13,1402982.0,2022-11-30
52,HOG,47.14,47.72,46.64,47.31,806570.0,2022-12-01
53,HOG,46.68,47.685,46.41,47.65,850622.0,2022-12-02
54,HOG,47.16,47.16,46.5,46.8,986459.0,2022-12-05
55,HOG,47.61,47.61,45.93,46.46,1025246.0,2022-12-06
56,HOG,46.19,46.83,46.06,46.26,884435.0,2022-12-07
57,HOG,46.54,46.54,45.62,45.71,644677.0,2022-12-08
58,HOG,45.28,45.67,45.06,45.15,957699.0,2022-12-09
59,HOG,44.97,45.361,44.69,45.14,1092256.0,2022-12-12
60,HOG,46.34,46.71,45.2,46.37,1661948.0,2022-12-13
61,HOG,46.2,46.88,45.8,46.13,1183879.0,2022-12-14
62,HOG,45.55,45.81,44.61,45.01,1834354.0,2022-12-15
63,HOG,44.77,45.19,44.205,44.46,2541695.0,2022-12-16
64,HOG,44.42,44.59,43.17,43.18,973839.0,2022-12-19
65,HOG,43.12,43.28,41.25,41.28,2095287.0,2022-12-20
66,HOG,41.76,42.17,41.365,41.72,1814896.0,2022-12-21
67,HOG,41.43,41.65,40.69,41.26,1717507.0,2022-12-22
68,HOG,41.15,41.43,40.602,41.42,1089288.0,2022-12-23
69,HOG,41.45,41.59,40.682,41.01,793721.0,2022-12-27
70,HOG,41.07,41.2,39.84,40.29,1093171.0,2022-12-28
71,HOG,40.85,41.2498,40.652,41.0,995371.0,2022-12-29
72,HOG,40.6,41.63,40.37,41.6,1027345.0,2022-12-30
73,HOG,41.73,42.05,40.88,41.12,1322335.0,2023-01-03
74,HOG,41.55,42.18,41.12,41.86,1542599.0,2023-01-04
75,HOG,41.45,42.63,40.995,42.33,1224732.0,2023-01-05
76,HOG,42.33,43.86,42.33,43.83,1271750.0,2023-01-06
77,HOG,44.09,44.4,43.1,43.25,1266591.0,2023-01-09
78,HOG,43.39,43.875,42.775,43.74,1583917.0,2023-01-10
79,HOG,43.89,44.35,43.61,44.32,901599.0,2023-01-11
80,HOG,44.63,45.89,44.34,45.52,1693264.0,2023-01-12
81,HOG,44.57,45.62,44.48,45.5,970386.0,2023-01-13
82,HOG,45.31,45.9,44.92,44.95,1181287.0,2023-01-17
83,HOG,45.22,45.47,44.23,44.35,1049521.0,2023-01-18
84,HOG,43.8,43.9,42.42,43.1,1293884.0,2023-01-19
85,HOG,42.85,43.29,42.27,43.19,1382054.0,2023-01-20
86,HOG,43.39,44.46,42.99,44.38,1451770.0,2023-01-23
87,HOG,44.08,44.85,43.51,44.46,626227.0,2023-01-24
88,HOG,44.0,44.47,43.78,44.2,969176.0,2023-01-25
89,HOG,44.69,44.69,43.73,44.08,1094511.0,2023-01-26
90,HOG,44.03,45.47,43.93,45.17,1920780.0,2023-01-27
91,HOG,44.77,45.87,44.77,45.12,1523171.0,2023-01-30
92,HOG,45.47,46.05,44.92,46.03,2548101.0,2023-01-31
93,HOG,45.86,46.87,45.18,46.72,2606976.0,2023-02-01
94,HOG,50.05,51.77,49.58,51.72,4859875.0,2023-02-02
95,HOG,51.16,51.38,50.53,51.31,1752889.0,2023-02-03
96,HOG,50.87,51.145,49.9802,50.49,1604696.0,2023-02-06
97,HOG,50.33,50.33,49.29,50.21,1307867.0,2023-02-07
98,HOG,50.02,50.29,48.94,49.19,1345481.0,2023-02-08
99,HOG,49.63,49.75,47.77,47.82,1083845.0,2023-02-09
100,HOG,47.39,48.2,47.36,47.75,778656.0,2023-02-10
101,HOG,47.87,48.7,47.59,48.49,769154.0,2023-02-13
102,HOG,48.13,49.02,47.8486,48.84,812951.0,2023-02-14
103,HOG,48.34,49.39,48.215,48.82,1193619.0,2023-02-15
104,HOG,47.96,48.43,47.61,47.79,1082916.0,2023-02-16
105,HOG,47.76,48.78,47.36,48.47,1182508.0,2023-02-17
106,HOG,48.16,48.2004,47.365,47.4,901013.0,2023-02-21
107,HOG,47.51,48.21,47.36,47.4,601511.0,2023-02-22
108,HOG,47.72,48.08,46.875,47.56,519993.0,2023-02-23
109,HOG,46.91,47.009,46.37,46.78,928210.0,2023-02-24
110,HOG,47.34,47.97,47.15,47.25,1691205.0,2023-02-27
111,HOG,47.21,47.89,46.97,47.55,1730778.0,2023-02-28
112,HOG,47.77,48.235,47.29,47.49,1294979.0,2023-03-01
113,HOG,46.75,46.94,46.37,46.93,914142.0,2023-03-02
114,HOG,47.4,47.655,46.88,47.53,938587.0,2023-03-03
115,HOG,47.42,47.54,45.86,45.94,1926081.0,2023-03-06
116,HOG,45.95,46.55,45.36,45.63,2305398.0,2023-03-07
117,HOG,45.69,45.69,42.88,43.48,3102465.0,2023-03-08
118,HOG,43.25,43.445,41.15,41.31,2798927.0,2023-03-09
119,HOG,41.1,41.21,39.315,39.76,4264611.0,2023-03-10
120,HOG,38.25,39.19,36.67,38.67,4939974.0,2023-03-13
121,HOG,39.23,40.13,38.85,39.37,2370862.0,2023-03-14
122,HOG,38.51,39.38,38.26,39.25,3051271.0,2023-03-15
123,HOG,38.74,39.405,38.41,38.59,2630940.0,2023-03-16
124,HOG,38.0,38.21,36.34,37.26,3603727.0,2023-03-17
125,HOG,37.53,38.205,37.31,37.55,2060736.0,2023-03-20
126,HOG,39.15,40.07,38.85,39.04,2209035.0,2023-03-21
127,HOG,38.86,39.04,37.78,37.88,2114995.0,2023-03-22
128,HOG,37.81,38.25,36.005,36.3,2525168.0,2023-03-23
129,HOG,36.0,36.2,35.15,35.77,2918967.0,2023-03-24
130,HOG,36.43,36.78,35.85,36.49,1517439.0,2023-03-27
131,HOG,36.51,36.9,36.3,36.45,962216.0,2023-03-28
132,HOG,36.8,36.885,36.24,36.47,1344976.0,2023-03-29
133,HOG,36.99,37.4,36.815,37.15,1630249.0,2023-03-30
134,HOG,37.59,38.07,37.49,37.97,1282081.0,2023-03-31
135,HOG,38.0,38.845,38.0,38.54,2418756.0,2023-04-03
136,HOG,38.58,38.63,36.6701,36.98,1620207.0,2023-04-04
137,HOG,36.59,37.22,36.305,37.2,1601780.0,2023-04-05
138,HOG,37.13,37.15,36.34,36.5,1238707.0,2023-04-06
139,HOG,36.45,37.82,36.44,37.56,1902808.0,2023-04-10
140,HOG,37.92,38.04,37.1,37.86,1663461.0,2023-04-11
141,HOG,38.38,38.56,37.31,37.36,1187048.0,2023-04-12
142,HOG,36.26,36.765,35.6,36.71,4674500.0,2023-04-13
143,HOG,36.81,37.36,36.18,37.1,3283802.0,2023-04-14
144,HOG,36.88,37.44,36.46,37.44,1090684.0,2023-04-17
145,HOG,37.87,37.91,37.28,37.85,1090405.0,2023-04-18
146,HOG,37.5,37.8,37.175,37.68,901576.0,2023-04-19
147,HOG,37.2,37.68,37.01,37.25,955259.0,2023-04-20
148,HOG,37.5,37.755,37.04,37.6,1370939.0,2023-04-21
149,HOG,37.78,38.26,37.64,38.07,1582416.0,2023-04-24
150,HOG,37.89,38.07,37.295,37.35,1711407.0,2023-04-25
151,HOG,37.25,37.9,36.73,36.9,2718811.0,2023-04-26
152,HOG,38.18,38.24,33.8,36.76,4495299.0,2023-04-27
153,HOG,36.63,37.57,36.63,37.1,2075617.0,2023-04-28
154,HOG,37.22,37.43,36.59,36.83,1605501.0,2023-05-01
155,HOG,36.66,36.73,35.75,36.42,1850824.0,2023-05-02
156,HOG,36.23,36.57,35.47,35.58,1891795.0,2023-05-03
157,HOG,35.55,35.55,34.16,34.24,1986342.0,2023-05-04
158,HOG,34.93,35.47,34.51,35.44,1786034.0,2023-05-05
159,HOG,35.59,36.07,35.2,35.65,1498123.0,2023-05-08
160,HOG,35.4,35.54,35.17,35.41,950634.0,2023-05-09
161,HOG,36.07,36.22,33.83,34.18,2104906.0,2023-05-10
162,HOG,34.08,34.519,33.93,34.4,1780860.0,2023-05-11
163,HOG,34.22,34.4728,33.43,33.67,1731254.0,2023-05-12
164,HOG,33.33,33.34,32.322,33.02,3469470.0,2023-05-15
165,HOG,32.79,33.03,31.63,31.7,3187054.0,2023-05-16
166,HOG,31.97,33.16,31.97,32.93,2213891.0,2023-05-17
167,HOG,32.9,33.72,32.75,33.48,1863042.0,2023-05-18
168,HOG,33.58,33.615,32.49,32.49,1469427.0,2023-05-19
169,HOG,32.56,32.75,32.215,32.5,1315213.0,2023-05-22
170,HOG,32.45,33.23,32.41,32.81,1337439.0,2023-05-23
171,HOG,32.57,32.65,32.02,32.33,1152049.0,2023-05-24
172,HOG,32.08,32.91,32.05,32.8,1185726.0,2023-05-25
173,HOG,32.92,33.25,32.8048,32.97,836252.0,2023-05-26
174,HOG,33.24,33.3672,31.915,32.02,1964039.0,2023-05-30
175,HOG,31.7,31.99,30.85,31.11,2582964.0,2023-05-31
176,HOG,31.2,31.6103,30.905,31.33,1507114.0,2023-06-01
177,HOG,31.7,33.01,31.6155,32.87,2532040.0,2023-06-02
178,HOG,32.84,32.86,32.04,32.39,1385910.0,2023-06-05
179,HOG,32.59,34.13,32.42,34.11,2609231.0,2023-06-06
180,HOG,34.44,35.33,34.1,35.33,2352914.0,2023-06-07
181,HOG,35.38,35.54,34.77,34.84,1569815.0,2023-06-08
182,HOG,34.83,35.06,33.61,33.73,2291405.0,2023-06-09
183,HOG,33.63,33.925,33.1646,33.29,1990536.0,2023-06-12
184,HOG,33.58,34.99,33.44,34.95,2574054.0,2023-06-13
185,HOG,35.05,35.36,33.99,34.3,1401346.0,2023-06-14
186,HOG,33.98,34.68,33.96,34.58,1101188.0,2023-06-15
187,HOG,34.75,34.78,33.91,34.35,2665714.0,2023-06-16
188,HOG,34.12,34.29,33.82,33.97,1690431.0,2023-06-20
189,HOG,33.57,34.31,33.45,34.11,1139596.0,2023-06-21
