,ticker,open,high,low,close,volume,timestamp
0,HR,33.53,33.53,32.37,32.69,877541.0,2020-01-02
1,HR,32.53,33.23,32.53,33.2,794103.0,2020-01-03
2,HR,33.11,33.53,32.99,33.33,525307.0,2020-01-06
3,HR,33.22,33.38,32.82,33.07,472401.0,2020-01-07
4,HR,33.02,33.1,32.785,32.91,486488.0,2020-01-08
5,HR,32.89,33.14,32.75,33.05,422973.0,2020-01-09
6,HR,33.0,33.26,32.89,33.26,527500.0,2020-01-10
7,HR,33.23,33.71,33.23,33.7,544828.0,2020-01-13
8,HR,33.62,33.73,33.26,33.34,690588.0,2020-01-14
9,HR,33.43,34.02,33.43,33.93,993016.0,2020-01-15
10,HR,34.05,34.53,33.9,34.52,556629.0,2020-01-16
11,HR,34.62,34.68,34.4,34.55,517566.0,2020-01-17
12,HR,34.6,35.29,34.41,35.25,596413.0,2020-01-21
13,HR,35.33,35.42,35.0,35.21,806752.0,2020-01-22
14,HR,35.23,35.61,35.07,35.55,854486.0,2020-01-23
15,HR,35.59,35.74,35.37,35.59,672729.0,2020-01-24
16,HR,35.45,35.88,35.45,35.68,551198.0,2020-01-27
17,HR,35.76,35.99,35.73,35.84,478388.0,2020-01-28
18,HR,35.85,36.13,35.81,36.11,818278.0,2020-01-29
19,HR,35.99,36.29,35.94,36.28,1239215.0,2020-01-30
20,HR,36.26,36.36,36.02,36.06,3601175.0,2020-01-31
21,HR,36.09,36.34,35.99,36.2,1468101.0,2020-02-03
22,HR,36.27,36.49,36.06,36.4,857559.0,2020-02-04
23,HR,36.42,36.63,36.34,36.56,1752424.0,2020-02-05
24,HR,36.66,36.79,36.475,36.51,1115800.0,2020-02-06
25,HR,36.54,36.75,36.32,36.35,2080276.0,2020-02-07
26,HR,36.51,36.65,36.26,36.48,800626.0,2020-02-10
27,HR,36.54,36.74,36.105,36.14,790918.0,2020-02-11
28,HR,36.22,36.46,35.905,36.28,961968.0,2020-02-12
29,HR,36.99,37.28,36.26,36.5,1126970.0,2020-02-13
30,HR,36.61,37.26,36.58,36.73,1028684.0,2020-02-14
31,HR,36.73,37.06,36.63,36.95,760080.0,2020-02-18
32,HR,36.98,37.0,36.355,36.56,714525.0,2020-02-19
33,HR,36.55,37.525,36.44,37.45,944623.0,2020-02-20
34,HR,37.24,37.875,37.24,37.69,2243628.0,2020-02-21
35,HR,37.11,37.71,37.11,37.16,777158.0,2020-02-24
36,HR,37.21,37.3,36.62,36.75,1544978.0,2020-02-25
37,HR,36.8,37.47,36.64,36.76,1671130.0,2020-02-26
38,HR,36.34,36.7,34.76,34.76,1394902.0,2020-02-27
39,HR,34.13,34.55,32.73,34.3,2685460.0,2020-02-28
40,HR,34.54,35.28,34.0,35.28,1802903.0,2020-03-02
41,HR,35.33,36.14,34.85,35.42,1170450.0,2020-03-03
42,HR,36.0,37.12,35.785,36.99,1094676.0,2020-03-04
43,HR,36.44,37.71,36.27,37.68,1289120.0,2020-03-05
44,HR,37.02,37.97,36.46,37.92,1373937.0,2020-03-06
45,HR,36.84,37.1,35.76,36.11,1504823.0,2020-03-09
46,HR,36.73,36.73,34.81,36.64,1700285.0,2020-03-10
47,HR,35.75,36.06,33.94,34.49,1429603.0,2020-03-11
48,HR,32.16,33.92,31.36,31.72,2372466.0,2020-03-12
49,HR,33.06,34.18,30.93,34.0,2208855.0,2020-03-13
50,HR,31.12,31.56,28.84,29.28,2228876.0,2020-03-16
51,HR,29.72,33.07,28.53,31.7,2311032.0,2020-03-17
52,HR,29.98,31.685,28.0,28.26,2357228.0,2020-03-18
53,HR,28.0,29.8,27.09,27.93,2228829.0,2020-03-19
54,HR,27.97,28.82,24.98,25.39,3150655.0,2020-03-20
55,HR,25.59,26.36,24.1,24.72,1480790.0,2020-03-23
56,HR,25.74,26.76,24.45,26.04,1307074.0,2020-03-24
57,HR,25.81,26.84,25.19,25.96,3745644.0,2020-03-25
