,ticker,open,high,low,close,volume,timestamp
0,HRTG,13.32,13.32,12.97,13.13,74769.0,2020-01-02
1,HRTG,12.95,13.14,12.88,13.08,77754.0,2020-01-03
2,HRTG,13.09,13.18,12.92,13.11,96126.0,2020-01-06
3,HRTG,13.06,13.12,12.83,12.95,94496.0,2020-01-07
4,HRTG,12.97,12.97,12.78,12.78,108590.0,2020-01-08
5,HRTG,12.85,12.91,12.65,12.69,83375.0,2020-01-09
6,HRTG,12.79,12.79,12.6,12.67,149422.0,2020-01-10
7,HRTG,12.7,12.86,12.59,12.78,138372.0,2020-01-13
8,HRTG,12.75,12.96,12.7,12.91,118780.0,2020-01-14
9,HRTG,12.84,13.08,12.81,12.9,144594.0,2020-01-15
10,HRTG,12.97,13.09,12.84,12.96,97834.0,2020-01-16
11,HRTG,13.03,13.03,12.86,12.99,102968.0,2020-01-17
12,HRTG,12.92,12.98,12.72,12.73,191731.0,2020-01-21
13,HRTG,12.79,12.84,12.67,12.8,450920.0,2020-01-22
14,HRTG,12.7,13.0,12.65,12.98,252270.0,2020-01-23
15,HRTG,12.93,12.97,12.71,12.74,237050.0,2020-01-24
16,HRTG,12.62,12.72,12.445,12.57,134725.0,2020-01-27
17,HRTG,12.63,12.67,12.16,12.21,98650.0,2020-01-28
18,HRTG,12.21,12.27,12.05,12.18,101429.0,2020-01-29
19,HRTG,12.1,12.23,12.0,12.22,127975.0,2020-01-30
20,HRTG,12.14,12.18,11.8,12.06,174143.0,2020-01-31
21,HRTG,12.13,12.3,12.015,12.07,147995.0,2020-02-03
22,HRTG,12.17,12.2599,12.02,12.15,169605.0,2020-02-04
23,HRTG,12.25,12.55,12.22,12.5,188464.0,2020-02-05
24,HRTG,12.52,12.53,12.32,12.39,90953.0,2020-02-06
25,HRTG,12.35,12.44,12.255,12.39,127167.0,2020-02-07
26,HRTG,12.39,12.58,12.26,12.56,77227.0,2020-02-10
27,HRTG,12.64,12.75,12.61,12.7,77242.0,2020-02-11
28,HRTG,12.8,12.8,12.57,12.6,64647.0,2020-02-12
29,HRTG,12.52,12.62,12.47,12.62,56101.0,2020-02-13
30,HRTG,12.65,12.73,12.59,12.73,109125.0,2020-02-14
31,HRTG,12.71,12.79,12.4,12.45,46911.0,2020-02-18
32,HRTG,12.5,12.5,12.17,12.19,55030.0,2020-02-19
33,HRTG,12.17,12.29,12.08,12.21,64572.0,2020-02-20
34,HRTG,12.23,12.47,12.23,12.33,102931.0,2020-02-21
35,HRTG,12.09,12.24,12.02,12.09,96560.0,2020-02-24
36,HRTG,12.08,12.11,11.67,11.75,81349.0,2020-02-25
37,HRTG,11.82,11.9128,11.66,11.87,84537.0,2020-02-26
38,HRTG,11.68,11.9152,11.33,11.38,146907.0,2020-02-27
39,HRTG,11.79,12.01,10.84,11.16,245894.0,2020-02-28
40,HRTG,11.11,11.86,11.05,11.85,149361.0,2020-03-02
41,HRTG,11.84,11.98,11.5408,11.74,131833.0,2020-03-03
42,HRTG,11.9,12.235,11.7,12.21,124622.0,2020-03-04
43,HRTG,11.94,12.35,11.82,12.14,216460.0,2020-03-05
44,HRTG,11.92,12.31,11.82,12.27,186513.0,2020-03-06
45,HRTG,11.65,11.9,10.7522,10.77,218876.0,2020-03-09
46,HRTG,11.0,11.06,10.41,10.86,196046.0,2020-03-10
47,HRTG,10.55,10.61,10.17,10.4,168747.0,2020-03-11
48,HRTG,9.84,10.2,7.5,9.42,263301.0,2020-03-12
49,HRTG,9.94,10.43,9.69,10.43,185236.0,2020-03-13
50,HRTG,9.59,10.35,9.42,9.53,263435.0,2020-03-16
51,HRTG,9.85,10.86,9.52,10.86,211990.0,2020-03-17
52,HRTG,10.17,10.23,9.36,9.8,238791.0,2020-03-18
53,HRTG,9.81,10.19,9.47,9.82,336888.0,2020-03-19
54,HRTG,9.72,10.07,9.22,9.5,331174.0,2020-03-20
55,HRTG,9.49,9.94,8.965,9.88,178901.0,2020-03-23
56,HRTG,10.17,10.7,9.91,10.41,289654.0,2020-03-24
57,HRTG,10.42,10.545,9.69,9.75,274509.0,2020-03-25
58,HRTG,9.74,10.38,9.74,10.26,584637.0,2020-03-26
59,HRTG,9.86,10.43,9.79,10.07,275174.0,2020-03-27
60,HRTG,10.1,10.88,9.92,10.83,245481.0,2020-03-30
61,HRTG,10.58,10.78,10.35,10.71,335966.0,2020-03-31
62,HRTG,10.17,10.71,10.17,10.59,210779.0,2020-04-01
63,HRTG,10.43,10.74,10.02,10.43,126010.0,2020-04-02
64,HRTG,10.38,10.59,9.94,10.4,165916.0,2020-04-03
65,HRTG,10.93,11.0,10.36,10.48,291774.0,2020-04-06
66,HRTG,10.72,10.8,10.41,10.61,145796.0,2020-04-07
67,HRTG,10.78,10.89,10.52,10.75,178243.0,2020-04-08
68,HRTG,10.9,11.37,10.82,11.3,216154.0,2020-04-09
69,HRTG,11.18,11.55,10.86,11.3,131504.0,2020-04-13
70,HRTG,11.41,11.45,10.841,10.98,149511.0,2020-04-14
71,HRTG,10.6,10.66,10.33,10.46,163048.0,2020-04-15
72,HRTG,10.35,10.59,10.07,10.57,171002.0,2020-04-16
73,HRTG,10.78,11.27,10.78,11.15,117403.0,2020-04-17
74,HRTG,10.83,10.95,10.5,10.68,94370.0,2020-04-20
75,HRTG,10.37,10.63,10.325,10.46,67487.0,2020-04-21
76,HRTG,10.68,10.79,10.39,10.56,93115.0,2020-04-22
77,HRTG,10.53,11.02,10.53,10.74,117804.0,2020-04-23
78,HRTG,10.75,10.79,10.41,10.6,75881.0,2020-04-24
79,HRTG,10.58,11.09,10.45,10.85,140131.0,2020-04-27
80,HRTG,11.14,11.21,10.925,11.05,129659.0,2020-04-28
81,HRTG,11.39,12.0,11.19,11.71,146690.0,2020-04-29
82,HRTG,11.44,11.49,11.21,11.34,126664.0,2020-04-30
83,HRTG,11.12,11.17,10.67,10.86,111169.0,2020-05-01
84,HRTG,10.69,11.03,10.57,10.94,120204.0,2020-05-04
85,HRTG,11.64,12.0,11.085,11.23,220377.0,2020-05-05
86,HRTG,11.2,11.45,10.955,11.38,206847.0,2020-05-06
87,HRTG,11.59,12.0,11.44,11.84,173539.0,2020-05-07
88,HRTG,11.95,12.2,11.8,12.05,122112.0,2020-05-08
89,HRTG,11.93,12.05,11.55,11.65,128384.0,2020-05-11
90,HRTG,11.64,11.725,11.2,11.23,184277.0,2020-05-12
91,HRTG,11.04,11.39,11.04,11.31,226954.0,2020-05-13
92,HRTG,11.25,11.25,10.84,11.15,142762.0,2020-05-14
93,HRTG,11.13,11.42,10.96,11.42,126543.0,2020-05-15
94,HRTG,11.75,12.05,11.72,11.89,136563.0,2020-05-18
95,HRTG,11.73,11.91,11.44,11.46,108081.0,2020-05-19
96,HRTG,11.54,11.9467,11.54,11.71,106100.0,2020-05-20
97,HRTG,11.75,12.17,11.64,11.93,140231.0,2020-05-21
98,HRTG,12.05,12.05,11.7,11.87,116768.0,2020-05-22
99,HRTG,12.29,12.45,12.17,12.38,130078.0,2020-05-26
100,HRTG,12.34,12.89,12.34,12.66,164478.0,2020-05-27
101,HRTG,12.84,12.91,12.53,12.57,156696.0,2020-05-28
102,HRTG,12.36,12.64,11.76,12.54,111298.0,2020-05-29
103,HRTG,12.54,12.55,12.31,12.32,110658.0,2020-06-01
104,HRTG,12.27,12.6,12.27,12.48,79089.0,2020-06-02
105,HRTG,12.72,12.99,12.6,12.94,148585.0,2020-06-03
106,HRTG,12.78,12.91,12.69,12.85,112872.0,2020-06-04
107,HRTG,12.99,13.44,12.95,13.19,181471.0,2020-06-05
108,HRTG,13.33,13.68,13.32,13.5,126321.0,2020-06-08
109,HRTG,13.26,13.58,13.14,13.44,89832.0,2020-06-09
110,HRTG,13.36,13.36,12.59,12.72,121660.0,2020-06-10
111,HRTG,12.2,12.52,11.79,11.96,198129.0,2020-06-11
112,HRTG,12.36,12.36,12.0,12.19,194062.0,2020-06-12
113,HRTG,11.83,12.19,11.7,12.14,259131.0,2020-06-15
114,HRTG,12.22,12.76,12.2,12.49,185777.0,2020-06-16
115,HRTG,12.41,12.45,12.13,12.2,138626.0,2020-06-17
116,HRTG,12.05,12.4,12.05,12.25,125276.0,2020-06-18
117,HRTG,12.42,12.42,11.92,12.25,311670.0,2020-06-19
118,HRTG,12.2,12.72,12.03,12.39,114296.0,2020-06-22
119,HRTG,12.6,12.7,12.48,12.57,119291.0,2020-06-23
120,HRTG,12.42,12.42,11.92,12.22,161869.0,2020-06-24
121,HRTG,12.13,12.34,11.94,12.3,149616.0,2020-06-25
122,HRTG,12.11,12.36,11.84,12.34,348011.0,2020-06-26
123,HRTG,12.49,12.89,12.37,12.56,172313.0,2020-06-29
124,HRTG,12.48,13.09,12.411,13.09,464011.0,2020-06-30
125,HRTG,13.15,13.44,12.72,12.73,307908.0,2020-07-01
126,HRTG,12.97,12.97,12.57,12.73,163745.0,2020-07-02
127,HRTG,12.96,12.96,12.55,12.75,96484.0,2020-07-06
128,HRTG,12.6,12.8,12.47,12.49,140834.0,2020-07-07
129,HRTG,12.61,12.65,12.17,12.46,127492.0,2020-07-08
130,HRTG,12.43,12.53,12.17,12.3,139952.0,2020-07-09
131,HRTG,12.36,12.82,12.34,12.82,74081.0,2020-07-10
132,HRTG,12.93,12.93,12.56,12.68,128398.0,2020-07-13
133,HRTG,12.67,12.82,12.61,12.73,130996.0,2020-07-14
134,HRTG,13.0,13.02,12.39,12.43,149680.0,2020-07-15
135,HRTG,12.34,12.48,12.01,12.21,108864.0,2020-07-16
136,HRTG,12.21,12.55,12.08,12.45,154826.0,2020-07-17
137,HRTG,12.36,12.36,12.11,12.22,87479.0,2020-07-20
138,HRTG,12.39,12.58,12.255,12.44,124046.0,2020-07-21
139,HRTG,12.27,12.505,12.13,12.33,124970.0,2020-07-22
140,HRTG,12.23,12.3,11.84,11.92,152432.0,2020-07-23
141,HRTG,11.92,12.17,11.8015,12.06,124318.0,2020-07-24
142,HRTG,12.05,12.21,11.98,12.08,88457.0,2020-07-27
143,HRTG,12.02,12.2748,11.93,12.07,226658.0,2020-07-28
144,HRTG,12.09,12.16,12.03,12.12,127241.0,2020-07-29
145,HRTG,11.9,12.105,11.83,12.1,61335.0,2020-07-30
