,ticker,open,high,low,close,volume,timestamp
0,INMB,6.0,6.4,5.95,6.153,113271.0,2020-01-02
1,INMB,6.24,6.24,5.6248,5.7,19358.0,2020-01-03
2,INMB,5.64,5.9997,5.39,5.9989,62067.0,2020-01-06
3,INMB,5.99,5.99,5.7702,5.8783,6549.0,2020-01-07
4,INMB,5.66,5.89,5.38,5.6709,23464.0,2020-01-08
5,INMB,5.4994,5.8531,5.4994,5.7362,11686.0,2020-01-09
6,INMB,5.75,5.7926,5.5835,5.775,5824.0,2020-01-10
7,INMB,5.5578,5.82,5.4607,5.7058,8187.0,2020-01-13
8,INMB,5.72,5.7751,5.5065,5.6716,6149.0,2020-01-14
9,INMB,5.6602,5.7008,5.53,5.55,7130.0,2020-01-15
10,INMB,5.6101,5.8382,5.57,5.68,13358.0,2020-01-16
11,INMB,5.68,5.7134,5.65,5.66,10117.0,2020-01-17
12,INMB,5.58,5.6216,5.52,5.6,11951.0,2020-01-21
13,INMB,5.6777,5.6777,5.25,5.2502,20294.0,2020-01-22
14,INMB,5.29,5.32,4.75,4.95,34088.0,2020-01-23
15,INMB,5.24,5.24,4.98,4.995,19577.0,2020-01-24
16,INMB,5.03,5.0539,4.7,4.82,6074.0,2020-01-27
17,INMB,4.9785,5.1354,4.9224,5.1354,4522.0,2020-01-28
18,INMB,5.2746,5.2746,4.9198,4.9198,8917.0,2020-01-29
19,INMB,4.8,4.8,4.77,4.78,5549.0,2020-01-30
20,INMB,4.8614,5.0,4.85,4.93,4282.0,2020-01-31
21,INMB,4.94,4.9531,4.75,4.75,12019.0,2020-02-03
22,INMB,4.8441,4.9123,4.7,4.7811,15667.0,2020-02-04
23,INMB,4.9,5.1031,4.9,4.9,7740.0,2020-02-05
24,INMB,5.39,5.4,4.9,5.0272,17544.0,2020-02-06
25,INMB,5.05,5.09,4.876,4.9851,17276.0,2020-02-07
26,INMB,4.96,5.25,4.85,5.075,35299.0,2020-02-10
27,INMB,5.15,5.2,4.89,4.89,12979.0,2020-02-11
28,INMB,5.0,5.3,4.8001,5.05,22030.0,2020-02-12
29,INMB,4.93,5.1934,4.93,5.17,11344.0,2020-02-13
30,INMB,5.1054,5.2,4.98,5.09,11729.0,2020-02-14
31,INMB,5.23,5.3,5.0,5.11,24729.0,2020-02-18
32,INMB,5.15,5.15,5.0,5.0765,4779.0,2020-02-19
33,INMB,5.18,5.29,4.92,5.29,26031.0,2020-02-20
34,INMB,5.26,5.26,4.96,5.2154,8294.0,2020-02-21
35,INMB,4.96,5.09,4.75,5.0,8882.0,2020-02-24
36,INMB,5.0,5.17,4.5,4.77,21231.0,2020-02-25
37,INMB,4.65,5.1399,4.54,4.65,31679.0,2020-02-26
38,INMB,4.5,4.9,4.25,4.59,12282.0,2020-02-27
39,INMB,4.48,4.54,4.11,4.46,16159.0,2020-02-28
40,INMB,4.4,4.8882,4.02,4.05,24704.0,2020-03-02
41,INMB,4.07,4.165,3.9764,3.99,8493.0,2020-03-03
42,INMB,3.9605,4.17,3.91,4.0,11730.0,2020-03-04
43,INMB,3.95,4.173,3.95,4.1,10923.0,2020-03-05
44,INMB,4.1,4.1037,3.91,3.92,9295.0,2020-03-06
45,INMB,3.98,4.0,3.75,3.75,22615.0,2020-03-09
46,INMB,3.77,3.9312,3.2562,3.8,23710.0,2020-03-10
47,INMB,3.6205,6.45,3.5,4.8,727366.0,2020-03-11
48,INMB,4.01,4.19,3.1,3.37,148612.0,2020-03-12
49,INMB,3.29,3.4604,3.05,3.1,64014.0,2020-03-13
50,INMB,3.05,3.05,2.2,2.7396,70653.0,2020-03-16
51,INMB,2.64,3.06,2.5001,2.88,15818.0,2020-03-17
52,INMB,2.75,2.85,2.2,2.21,29776.0,2020-03-18
53,INMB,2.33,2.55,2.25,2.47,19406.0,2020-03-19
54,INMB,2.67,2.8713,2.56,2.79,11806.0,2020-03-20
55,INMB,2.85,2.85,2.22,2.41,11282.0,2020-03-23
56,INMB,2.4623,2.8,2.215,2.52,12017.0,2020-03-24
57,INMB,2.41,2.6507,2.41,2.65,13093.0,2020-03-25
58,INMB,2.39,2.99,2.39,2.72,37237.0,2020-03-26
59,INMB,2.9,3.31,2.51,2.9,21736.0,2020-03-27
60,INMB,2.9,3.34,2.9,3.04,16221.0,2020-03-30
61,INMB,3.0995,3.33,3.0995,3.33,7930.0,2020-03-31
62,INMB,3.1057,3.3,3.0867,3.215,10283.0,2020-04-01
63,INMB,3.2074,3.4649,3.2074,3.27,13176.0,2020-04-02
64,INMB,3.19,3.41,3.1,3.1,934.0,2020-04-03
65,INMB,3.2,3.44,3.2,3.28,7554.0,2020-04-06
66,INMB,3.41,3.49,3.3,3.3,11219.0,2020-04-07
67,INMB,3.4649,3.4649,3.31,3.3568,5508.0,2020-04-08
68,INMB,3.49,3.79,3.4688,3.6,12923.0,2020-04-09
