,ticker,open,high,low,close,volume,timestamp
0,INVH,30.11,30.15,29.37,29.47,2553817.0,2020-01-02
1,INVH,29.38,30.1,29.36,30.08,2715788.0,2020-01-03
2,INVH,30.08,30.3,29.87,30.19,2961387.0,2020-01-06
3,INVH,30.05,30.06,29.35,29.54,3211655.0,2020-01-07
4,INVH,29.58,29.88,29.48,29.84,4669785.0,2020-01-08
5,INVH,29.85,30.04,29.64,29.83,2180119.0,2020-01-09
6,INVH,29.95,30.125,29.82,30.06,3211552.0,2020-01-10
7,INVH,30.05,30.225,29.965,30.19,3618721.0,2020-01-13
8,INVH,30.11,30.12,29.655,29.87,3520585.0,2020-01-14
9,INVH,29.95,30.35,29.95,30.09,3538268.0,2020-01-15
10,INVH,30.18,30.57,30.06,30.53,2210276.0,2020-01-16
11,INVH,30.5,30.645,30.37,30.49,2597148.0,2020-01-17
12,INVH,30.53,30.935,30.46,30.91,3598622.0,2020-01-21
13,INVH,31.07,31.42,30.86,31.15,5260682.0,2020-01-22
14,INVH,30.99,31.38,30.92,31.36,5244731.0,2020-01-23
15,INVH,31.4,31.59,31.2,31.34,2565849.0,2020-01-24
16,INVH,31.16,31.3,31.03,31.2,2163301.0,2020-01-27
17,INVH,31.22,31.41,31.11,31.29,2489766.0,2020-01-28
18,INVH,31.42,31.43,31.09,31.32,2821096.0,2020-01-29
19,INVH,31.28,31.6299,31.22,31.51,1819894.0,2020-01-30
20,INVH,31.51,31.75,31.285,31.47,4065393.0,2020-01-31
21,INVH,31.73,31.78,31.4,31.41,2634122.0,2020-02-03
22,INVH,31.46,31.805,31.45,31.73,2734893.0,2020-02-04
23,INVH,31.65,31.725,31.39,31.41,2465564.0,2020-02-05
24,INVH,31.47,31.72,31.39,31.56,1794805.0,2020-02-06
25,INVH,31.63,31.66,31.43,31.51,1687530.0,2020-02-07
26,INVH,31.67,31.955,31.61,31.92,2149622.0,2020-02-10
27,INVH,31.71,31.935,31.54,31.58,3291429.0,2020-02-11
28,INVH,31.55,32.02,31.495,31.82,3572734.0,2020-02-12
29,INVH,31.78,32.42,31.78,32.35,2763161.0,2020-02-13
30,INVH,32.39,32.57,32.235,32.55,4295676.0,2020-02-14
31,INVH,32.52,32.7,32.33,32.61,3321534.0,2020-02-18
32,INVH,32.28,32.36,31.7,31.77,5175946.0,2020-02-19
33,INVH,31.54,31.81,31.375,31.54,3574244.0,2020-02-20
34,INVH,31.51,31.76,31.24,31.39,3226097.0,2020-02-21
35,INVH,31.01,31.505,31.0,31.25,2600575.0,2020-02-24
36,INVH,31.27,31.34,30.435,30.45,2970823.0,2020-02-25
37,INVH,30.37,30.53,29.505,29.61,4534692.0,2020-02-26
38,INVH,29.22,29.915,28.93,28.94,6458370.0,2020-02-27
39,INVH,28.5,29.06,27.28,28.69,10731678.0,2020-02-28
40,INVH,28.86,29.875,28.76,29.85,4729160.0,2020-03-02
41,INVH,29.9,30.56,29.35,29.8,5068190.0,2020-03-03
42,INVH,30.16,30.81,30.16,30.73,4279468.0,2020-03-04
43,INVH,30.29,30.67,29.99,30.2,3347575.0,2020-03-05
44,INVH,29.54,29.855,28.685,29.54,5872824.0,2020-03-06
45,INVH,28.11,28.375,27.2,27.45,7735613.0,2020-03-09
46,INVH,27.92,28.47,26.89,28.46,6848183.0,2020-03-10
47,INVH,27.85,27.93,26.445,26.97,8320679.0,2020-03-11
48,INVH,25.24,27.28,22.0,25.68,6614483.0,2020-03-12
49,INVH,26.72,27.15,25.06,27.05,6291361.0,2020-03-13
50,INVH,24.9,24.9,20.67,20.68,5565914.0,2020-03-16
51,INVH,21.49,22.66,20.04,22.1,7160257.0,2020-03-17
52,INVH,20.94,21.5,17.14,19.3,6925315.0,2020-03-18
53,INVH,19.26,19.63,17.86,18.5,7986152.0,2020-03-19
54,INVH,18.72,18.91,16.87,17.19,8589960.0,2020-03-20
55,INVH,16.93,16.99,15.64,16.13,6491537.0,2020-03-23
56,INVH,17.05,18.26,16.76,18.14,5986870.0,2020-03-24
57,INVH,18.12,19.71,17.78,18.88,7582914.0,2020-03-25
58,INVH,19.07,20.06,18.47,19.93,5903490.0,2020-03-26
59,INVH,19.27,21.5,19.12,20.81,5647252.0,2020-03-27
60,INVH,21.0,21.39,20.06,21.19,5675794.0,2020-03-30
61,INVH,20.9,21.74,20.22,21.37,8809677.0,2020-03-31
62,INVH,20.69,20.69,19.2327,20.28,5614215.0,2020-04-01
63,INVH,19.9,20.55,19.7,20.45,4755827.0,2020-04-02
64,INVH,20.18,20.42,18.87,19.37,5366656.0,2020-04-03
65,INVH,20.16,21.62,20.105,21.45,6190958.0,2020-04-06
66,INVH,22.65,22.99,21.44,21.6,3887882.0,2020-04-07
67,INVH,21.93,23.19,21.38,23.05,3479003.0,2020-04-08
68,INVH,23.64,24.67,23.44,24.31,5036296.0,2020-04-09
69,INVH,24.15,24.2,23.52,23.66,3298555.0,2020-04-13
70,INVH,24.19,24.66,23.915,24.2,6540716.0,2020-04-14
71,INVH,23.44,24.1,23.2,23.81,5062965.0,2020-04-15
72,INVH,23.7,23.77,22.25,22.83,9826107.0,2020-04-16
73,INVH,23.48,24.0,23.08,23.82,5019495.0,2020-04-17
74,INVH,23.45,23.74,22.2,22.24,5232346.0,2020-04-20
75,INVH,21.65,22.09,21.05,21.16,5373132.0,2020-04-21
76,INVH,21.52,22.39,21.31,22.08,4916858.0,2020-04-22
77,INVH,22.3,22.355,21.54,21.59,3103740.0,2020-04-23
78,INVH,21.77,22.015,21.21,21.78,2339341.0,2020-04-24
79,INVH,21.94,22.68,21.79,22.58,1707475.0,2020-04-27
80,INVH,23.18,23.455,22.49,22.8,3826260.0,2020-04-28
81,INVH,23.77,24.13,22.87,23.9,4123678.0,2020-04-29
82,INVH,23.7,23.89,23.11,23.65,3287857.0,2020-04-30
83,INVH,22.99,23.31,22.495,22.87,2058673.0,2020-05-01
84,INVH,22.5,22.88,22.25,22.79,2618182.0,2020-05-04
85,INVH,23.12,23.69,23.12,23.51,4201904.0,2020-05-05
86,INVH,23.46,23.64,22.9,23.05,3988510.0,2020-05-06
87,INVH,23.0,24.98,22.97,24.61,5509476.0,2020-05-07
88,INVH,24.96,25.35,24.69,24.93,3459860.0,2020-05-08
89,INVH,24.6,25.73,24.6,25.32,4862686.0,2020-05-11
90,INVH,25.22,25.3,24.07,24.12,4384692.0,2020-05-12
91,INVH,23.91,24.41,23.62,23.97,5106972.0,2020-05-13
92,INVH,23.59,24.065,22.755,24.02,5099267.0,2020-05-14
93,INVH,23.8,24.165,23.45,24.1,3754754.0,2020-05-15
94,INVH,25.08,25.67,24.66,25.42,4702523.0,2020-05-18
95,INVH,25.22,25.63,25.03,25.24,4161924.0,2020-05-19
96,INVH,25.59,25.66,24.42,24.71,6280131.0,2020-05-20
97,INVH,24.44,25.28,24.44,25.23,4143212.0,2020-05-21
98,INVH,25.27,25.515,25.01,25.45,3850550.0,2020-05-22
99,INVH,25.6,26.41,25.51,26.13,5765755.0,2020-05-26
100,INVH,26.8,26.86,25.79,26.27,3516913.0,2020-05-27
101,INVH,26.61,26.84,25.63,26.2,4500733.0,2020-05-28
102,INVH,25.94,26.65,25.67,26.3,7684459.0,2020-05-29
103,INVH,26.55,28.06,26.31,27.91,5295808.0,2020-06-01
104,INVH,27.3,27.75,27.25,27.59,9389275.0,2020-06-02
105,INVH,27.84,28.4,27.65,27.82,4701792.0,2020-06-03
106,INVH,27.62,27.865,27.19,27.73,3236593.0,2020-06-04
107,INVH,28.63,29.615,28.47,28.66,6046154.0,2020-06-05
108,INVH,29.15,29.52,28.82,29.2,3615744.0,2020-06-08
109,INVH,28.56,28.865,28.22,28.46,3124099.0,2020-06-09
110,INVH,28.31,28.44,27.24,27.56,3866220.0,2020-06-10
111,INVH,26.32,26.71,25.96,26.32,4879325.0,2020-06-11
112,INVH,27.34,27.8,26.795,27.67,5828133.0,2020-06-12
113,INVH,26.73,28.52,26.58,28.37,5157670.0,2020-06-15
114,INVH,29.37,29.37,28.45,28.87,4130515.0,2020-06-16
115,INVH,29.09,29.09,28.08,28.4,3347005.0,2020-06-17
116,INVH,28.14,28.78,27.57,28.35,9234710.0,2020-06-18
117,INVH,28.56,28.66,27.42,27.84,12285113.0,2020-06-19
118,INVH,27.8,28.22,27.33,28.15,3962347.0,2020-06-22
119,INVH,28.37,28.52,27.94,27.96,4086957.0,2020-06-23
120,INVH,27.56,27.84,26.685,27.27,4512892.0,2020-06-24
121,INVH,27.17,27.84,27.08,27.81,3164911.0,2020-06-25
122,INVH,27.67,27.84,27.185,27.23,6200938.0,2020-06-26
123,INVH,27.37,27.51,26.72,27.09,3034006.0,2020-06-29
124,INVH,27.13,27.65,27.12,27.53,5097042.0,2020-06-30
125,INVH,27.52,28.48,27.32,28.4,4294202.0,2020-07-01
126,INVH,28.75,28.895,27.8711,28.23,5003503.0,2020-07-02
127,INVH,28.77,28.81,28.005,28.07,2149644.0,2020-07-06
128,INVH,27.78,28.08,27.435,27.46,2854450.0,2020-07-07
129,INVH,27.46,27.77,27.35,27.57,2355269.0,2020-07-08
130,INVH,27.5,27.59,27.1,27.37,1579698.0,2020-07-09
131,INVH,27.37,27.75,27.295,27.55,2450688.0,2020-07-10
132,INVH,27.63,27.765,27.06,27.08,2066280.0,2020-07-13
133,INVH,27.06,27.41,26.9,27.27,3764471.0,2020-07-14
134,INVH,27.61,27.72,27.3,27.59,3154306.0,2020-07-15
135,INVH,27.37,27.68,27.2101,27.39,2112211.0,2020-07-16
136,INVH,27.51,28.1,27.31,28.02,2558047.0,2020-07-17
137,INVH,27.95,28.0,27.52,27.72,1602917.0,2020-07-20
138,INVH,27.95,27.95,27.5,27.66,3630506.0,2020-07-21
139,INVH,27.51,28.51,27.51,28.4,2022254.0,2020-07-22
140,INVH,28.26,28.45,27.69,27.95,2405234.0,2020-07-23
141,INVH,27.89,28.03,27.4,27.53,2528275.0,2020-07-24
142,INVH,27.36,28.08,27.18,28.01,2799384.0,2020-07-27
143,INVH,27.91,28.63,27.89,28.52,1816316.0,2020-07-28
144,INVH,28.71,29.37,28.695,29.35,3221654.0,2020-07-29
145,INVH,28.93,29.965,28.81,29.82,2782483.0,2020-07-30
146,INVH,29.81,29.87,28.99,29.82,3528978.0,2020-07-31
147,INVH,29.69,29.81,29.1,29.66,2607083.0,2020-08-03
148,INVH,29.65,30.22,29.48,29.67,3224673.0,2020-08-04
149,INVH,29.82,29.845,29.28,29.42,1939787.0,2020-08-05
150,INVH,29.25,29.62,29.15,29.33,2830846.0,2020-08-06
151,INVH,29.26,30.245,29.255,30.2,2656063.0,2020-08-07
152,INVH,30.26,30.535,29.99,30.03,2467425.0,2020-08-10
153,INVH,30.2,30.2,29.3,29.36,3677164.0,2020-08-11
154,INVH,29.97,30.13,29.61,29.85,3212013.0,2020-08-12
155,INVH,29.75,29.96,29.13,29.18,2989366.0,2020-08-13
156,INVH,29.11,29.16,28.635,28.67,4202706.0,2020-08-14
157,INVH,28.68,29.685,28.62,29.6,4134715.0,2020-08-17
158,INVH,29.5,29.67,29.125,29.26,2015915.0,2020-08-18
159,INVH,29.3,29.37,28.63,28.7,2257161.0,2020-08-19
160,INVH,28.68,29.12,28.56,28.75,2694783.0,2020-08-20
161,INVH,28.84,29.22,28.535,29.09,2359235.0,2020-08-21
162,INVH,28.99,29.11,28.35,29.11,3563272.0,2020-08-24
163,INVH,29.2,29.26,28.56,28.94,2787367.0,2020-08-25
164,INVH,28.89,28.935,28.405,28.5,2792926.0,2020-08-26
165,INVH,28.56,29.07,28.56,28.82,2578577.0,2020-08-27
166,INVH,28.85,28.905,28.59,28.66,3209161.0,2020-08-28
167,INVH,28.66,28.81,28.45,28.63,2802664.0,2020-08-31
168,INVH,28.61,29.01,28.46,28.77,4816402.0,2020-09-01
169,INVH,28.72,29.38,28.61,29.35,3170072.0,2020-09-02
170,INVH,29.42,29.68,28.69,28.82,2280192.0,2020-09-03
171,INVH,28.81,29.2,27.92,28.67,3744349.0,2020-09-04
172,INVH,28.5,28.6,27.9,28.18,3635701.0,2020-09-08
173,INVH,28.75,29.4482,28.73,29.05,4362940.0,2020-09-09
174,INVH,28.96,29.25,28.35,28.42,4987223.0,2020-09-10
175,INVH,28.51,28.7,28.23,28.49,2434504.0,2020-09-11
176,INVH,28.75,29.25,28.585,29.16,4409277.0,2020-09-14
177,INVH,29.15,29.48,28.845,28.91,2955228.0,2020-09-15
178,INVH,28.92,29.4,28.91,28.93,2967671.0,2020-09-16
179,INVH,28.72,29.0208,28.37,28.63,2762945.0,2020-09-17
180,INVH,28.44,28.61,28.0,28.33,8333692.0,2020-09-18
