,ticker,open,high,low,close,volume,timestamp
0,KNDI,4.77,4.85,4.66,4.85,135349.0,2020-01-02
1,KNDI,4.76,4.84,4.66,4.81,115401.0,2020-01-03
2,KNDI,4.8,4.83,4.71,4.81,70337.0,2020-01-06
3,KNDI,4.83,4.83,4.63,4.705,137571.0,2020-01-07
4,KNDI,4.67,4.7487,4.64,4.65,152615.0,2020-01-08
5,KNDI,4.67,4.7289,4.6185,4.7,74933.0,2020-01-09
6,KNDI,4.67,4.7,4.63,4.64,63788.0,2020-01-10
7,KNDI,4.66,4.79,4.66,4.695,181209.0,2020-01-13
8,KNDI,4.64,4.72,4.64,4.69,162466.0,2020-01-14
9,KNDI,4.77,4.8842,4.7,4.75,361475.0,2020-01-15
10,KNDI,4.75,4.89,4.7,4.75,165557.0,2020-01-16
11,KNDI,4.73,4.83,4.62,4.72,231924.0,2020-01-17
12,KNDI,4.78,4.78,4.47,4.61,358830.0,2020-01-21
13,KNDI,4.62,4.64,4.45,4.49,246310.0,2020-01-22
14,KNDI,4.5,4.5,4.26,4.38,278803.0,2020-01-23
15,KNDI,4.45,4.51,4.33,4.4,261685.0,2020-01-24
16,KNDI,4.38,4.38,4.04,4.13,351533.0,2020-01-27
17,KNDI,4.1,4.21,3.94,4.17,278141.0,2020-01-28
18,KNDI,4.18,4.18,4.08,4.15,99496.0,2020-01-29
19,KNDI,4.1,4.16,4.0,4.09,151379.0,2020-01-30
20,KNDI,4.06,4.06,3.91,3.98,284847.0,2020-01-31
21,KNDI,3.95,4.0798,3.92,4.0,279445.0,2020-02-03
22,KNDI,4.08,4.44,4.07,4.31,401099.0,2020-02-04
23,KNDI,4.39,4.39,4.21,4.21,159351.0,2020-02-05
24,KNDI,4.22,4.2409,4.11,4.11,161393.0,2020-02-06
25,KNDI,4.11,4.15,4.02,4.04,138160.0,2020-02-07
26,KNDI,4.08,4.12,4.02,4.04,125782.0,2020-02-10
27,KNDI,4.05,4.29,4.05,4.19,173017.0,2020-02-11
28,KNDI,4.22,4.43,4.18,4.36,343775.0,2020-02-12
29,KNDI,4.32,4.3612,4.22,4.27,103586.0,2020-02-13
30,KNDI,4.28,4.3,4.13,4.16,95023.0,2020-02-14
31,KNDI,4.13,4.35,4.12,4.31,202793.0,2020-02-18
32,KNDI,4.3,4.32,4.16,4.2,132810.0,2020-02-19
33,KNDI,4.15,4.45,4.15,4.29,341594.0,2020-02-20
34,KNDI,4.27,4.3,4.19,4.26,94748.0,2020-02-21
