,ticker,open,high,low,close,volume,timestamp
0,LEXX,4.3,4.7,3.9751,4.48,1295246.0,2021-01-12
1,LEXX,4.6,4.79,4.4,4.4,492315.0,2021-01-13
2,LEXX,4.64,4.7,4.42,4.45,184093.0,2021-01-14
3,LEXX,4.55,4.642,4.2,4.58,148051.0,2021-01-15
4,LEXX,4.57,4.72,4.34,4.34,272702.0,2021-01-19
5,LEXX,4.35,4.48,4.3338,4.42,105110.0,2021-01-20
6,LEXX,4.45,4.45,4.27,4.33,106754.0,2021-01-21
7,LEXX,4.38,4.4299,4.11,4.26,154393.0,2021-01-22
8,LEXX,4.31,4.4899,4.21,4.42,194895.0,2021-01-25
9,LEXX,4.47,4.63,4.35,4.39,208730.0,2021-01-26
10,LEXX,4.37,4.37,4.27,4.33,144169.0,2021-01-27
11,LEXX,4.22,4.45,4.22,4.42,155838.0,2021-01-28
12,LEXX,4.46,4.63,4.42,4.63,173445.0,2021-01-29
13,LEXX,4.75,4.8,4.65,4.75,180566.0,2021-02-01
14,LEXX,4.8,4.93,4.59,4.84,287194.0,2021-02-02
15,LEXX,5.01,7.7925,5.0,7.25,3604712.0,2021-02-03
16,LEXX,7.43,7.8843,6.6,7.11,907877.0,2021-02-04
17,LEXX,6.51,7.75,6.51,7.2,532472.0,2021-02-05
18,LEXX,7.32,7.769,6.75,7.44,354606.0,2021-02-08
19,LEXX,7.56,8.69,7.51,8.38,488856.0,2021-02-09
20,LEXX,8.59,9.46,7.6225,7.95,496185.0,2021-02-10
21,LEXX,8.15,8.5799,7.27,7.98,331821.0,2021-02-11
22,LEXX,8.1,8.1,6.8,6.97,220511.0,2021-02-12
23,LEXX,7.08,7.645,7.02,7.21,256270.0,2021-02-16
24,LEXX,7.3,7.4767,6.83,6.99,201134.0,2021-02-17
25,LEXX,6.98,6.98,6.66,6.71,76774.0,2021-02-18
26,LEXX,6.65,7.25,6.65,6.9,133913.0,2021-02-19
27,LEXX,6.85,6.85,6.36,6.48,185348.0,2021-02-22
