,ticker,open,high,low,close,volume,timestamp
0,LFT,3.4,3.57,3.4,3.56,74837,2020-12-28
1,LFT,3.81,3.81,3.4,3.45,95330,2020-12-29
2,LFT,3.47,3.47,3.2,3.37,62462,2020-12-30
3,LFT,3.36,3.36,3.22,3.27,52428,2020-12-31
4,LFT,3.22,3.27,2.96,3.02,174969,2021-01-04
5,LFT,3.07,3.33,3.0515,3.3,53446,2021-01-05
6,LFT,3.35,3.41,3.23,3.27,73244,2021-01-06
7,LFT,3.32,3.32,3.19,3.27,58105,2021-01-07
8,LFT,3.23,3.26,3.23,3.25,15477,2021-01-08
9,LFT,3.25,3.26,3.25,3.25,30646,2021-01-11
10,LFT,3.25,3.2799,3.17,3.19,42543,2021-01-12
11,LFT,3.19,3.36,3.19,3.27,42814,2021-01-13
12,LFT,3.28,3.3098,3.26,3.28,29924,2021-01-14
13,LFT,3.32,3.38,3.3,3.32,76494,2021-01-15
14,LFT,3.48,3.48,3.33,3.33,63401,2021-01-19
15,LFT,3.21,3.29,3.21,3.26,293038,2021-01-20
16,LFT,3.25,3.3004,3.25,3.29,10853,2021-01-21
17,LFT,3.3,3.41,3.2489,3.2538,23670,2021-01-22
18,LFT,3.32,3.32,3.22,3.22,17117,2021-01-25
19,LFT,3.2,3.26,3.2,3.25,52803,2021-01-26
20,LFT,3.22,3.25,3.1,3.21,126226,2021-01-27
21,LFT,3.2,3.24,3.18,3.19,34413,2021-01-28
22,LFT,3.2382,3.2382,3.15,3.16,18662,2021-01-29
23,LFT,3.1,3.1788,3.1,3.15,44196,2021-02-01
24,LFT,3.1,3.135,3.085,3.13,67886,2021-02-02
25,LFT,3.14,3.15,3.1,3.14,30649,2021-02-03
26,LFT,3.14,3.23,3.12,3.19,53316,2021-02-04
27,LFT,3.23,3.3299,3.23,3.24,97074,2021-02-05
28,LFT,3.3,3.33,3.2503,3.27,39153,2021-02-08
29,LFT,3.25,3.29,3.25,3.27,57582,2021-02-09
30,LFT,3.3,3.3439,3.285,3.3,73423,2021-02-10
31,LFT,3.37,3.37,3.25,3.27,64825,2021-02-11
32,LFT,3.33,3.3378,3.27,3.27,37787,2021-02-12
33,LFT,3.32,3.39,3.27,3.3184,146678,2021-02-16
34,LFT,3.35,3.36,3.28,3.31,56452,2021-02-17
35,LFT,3.31,3.34,3.27,3.28,38643,2021-02-18
36,LFT,3.33,3.3915,3.2944,3.32,63520,2021-02-19
37,LFT,3.35,3.35,3.27,3.3,50539,2021-02-22
38,LFT,3.3,3.34,3.25,3.25,52426,2021-02-23
39,LFT,3.32,3.35,3.28,3.3,48109,2021-02-24
40,LFT,3.39,3.39,3.26,3.26,72155,2021-02-25
41,LFT,3.33,3.36,3.2602,3.27,59428,2021-02-26
42,LFT,3.32,3.32,3.27,3.28,93079,2021-03-01
43,LFT,3.3,3.35,3.2901,3.32,31153,2021-03-02
44,LFT,3.34,3.39,3.31,3.33,81351,2021-03-03
45,LFT,3.34,3.349,3.28,3.29,32225,2021-03-04
46,LFT,3.35,3.3611,3.24,3.2933,61434,2021-03-05
47,LFT,3.3,3.39,3.25,3.38,114670,2021-03-08
48,LFT,3.39,3.39,3.34,3.36,59532,2021-03-09
49,LFT,3.37,3.41,3.36,3.38,51978,2021-03-10
50,LFT,3.39,3.4,3.38,3.39,36039,2021-03-11
51,LFT,3.4,3.46,3.375,3.44,79616,2021-03-12
52,LFT,3.46,3.53,3.44,3.53,148073,2021-03-15
53,LFT,3.68,3.7,3.54,3.59,258008,2021-03-16
54,LFT,3.67,3.67,3.59,3.6,157566,2021-03-17
55,LFT,3.62,3.63,3.55,3.55,64418,2021-03-18
56,LFT,3.51,3.6,3.51,3.57,106805,2021-03-19
57,LFT,3.6,3.625,3.51,3.54,60374,2021-03-22
58,LFT,3.61,3.61,3.5498,3.56,97785,2021-03-23
59,LFT,3.59,3.6396,3.55,3.5899,158113,2021-03-24
60,LFT,3.65,3.65,3.53,3.63,94794,2021-03-25
61,LFT,3.65,3.69,3.64,3.67,85634,2021-03-26
62,LFT,3.7,3.7,3.65,3.65,144878,2021-03-29
63,LFT,3.52,3.57,3.41,3.48,148017,2021-03-30
64,LFT,3.47,3.57,3.47,3.53,55853,2021-03-31
65,LFT,3.53,3.5481,3.5,3.52,33597,2021-04-01
66,LFT,3.55,3.5683,3.51,3.5498,58757,2021-04-05
67,LFT,3.56,3.6,3.55,3.56,62552,2021-04-06
68,LFT,3.6,3.64,3.577,3.61,57186,2021-04-07
69,LFT,3.63,3.6478,3.57,3.58,35429,2021-04-08
70,LFT,3.61,3.62,3.59,3.62,52556,2021-04-09
71,LFT,3.65,3.67,3.6,3.62,103735,2021-04-12
72,LFT,3.63,3.75,3.63,3.75,116845,2021-04-13
73,LFT,3.79,3.8,3.72,3.74,111934,2021-04-14
74,LFT,3.78,3.78,3.71,3.73,71580,2021-04-15
75,LFT,3.77,3.79,3.71,3.76,83433,2021-04-16
76,LFT,3.79,3.8,3.76,3.77,75214,2021-04-19
77,LFT,3.75,3.8,3.75,3.78,65943,2021-04-20
78,LFT,3.78,3.8,3.78,3.79,46915,2021-04-21
79,LFT,3.8,3.8,3.71,3.74,55041,2021-04-22
80,LFT,3.765,3.77,3.71,3.77,55637,2021-04-23
81,LFT,3.68,3.79,3.68,3.78,187237,2021-04-26
82,LFT,3.79,3.79,3.75,3.77,43152,2021-04-27
83,LFT,3.78,3.78,3.75,3.77,64562,2021-04-28
84,LFT,3.78,3.79,3.75,3.77,55401,2021-04-29
85,LFT,3.775,3.775,3.72,3.72,35120,2021-04-30
86,LFT,3.72,3.79,3.71,3.78,63660,2021-05-03
87,LFT,3.77,3.79,3.73,3.75,35919,2021-05-04
88,LFT,3.77,3.77,3.7,3.75,50277,2021-05-05
89,LFT,3.79,3.79,3.67,3.67,82397,2021-05-06
90,LFT,3.68,3.77,3.66,3.71,73903,2021-05-07
91,LFT,3.73,3.74,3.66,3.6933,93058,2021-05-10
92,LFT,3.69,3.76,3.69,3.74,79395,2021-05-11
93,LFT,3.74,3.7573,3.65,3.65,74137,2021-05-12
94,LFT,3.69,3.75,3.57,3.59,74556,2021-05-13
95,LFT,3.7,3.7697,3.62,3.76,81582,2021-05-14
96,LFT,3.76,3.79,3.74,3.755,86500,2021-05-17
97,LFT,3.78,3.79,3.75,3.78,96121,2021-05-18
98,LFT,3.74,3.78,3.65,3.77,118433,2021-05-19
99,LFT,3.75,3.77,3.75,3.765,20920,2021-05-20
100,LFT,3.78,3.78,3.75,3.77,37830,2021-05-21
101,LFT,3.78,3.78,3.75,3.78,63618,2021-05-24
102,LFT,3.78,3.78,3.7,3.7,60190,2021-05-25
103,LFT,3.74,3.77,3.66,3.68,86529,2021-05-26
104,LFT,3.71,3.77,3.7001,3.77,59647,2021-05-27
105,LFT,3.78,3.78,3.7415,3.78,61596,2021-05-28
106,LFT,3.79,3.87,3.79,3.84,169500,2021-06-01
107,LFT,3.86,3.87,3.82,3.86,78801,2021-06-02
108,LFT,3.89,3.9,3.86,3.88,108696,2021-06-03
109,LFT,3.9,3.9,3.85,3.85,85667,2021-06-04
110,LFT,3.85,3.9,3.85,3.88,54921,2021-06-07
111,LFT,3.9,4.0,3.8909,3.98,101575,2021-06-08
112,LFT,4.0,4.0,3.82,3.85,128078,2021-06-09
113,LFT,3.9,4.0,3.885,4.0,145243,2021-06-10
114,LFT,4.0,4.0698,3.98,4.06,293237,2021-06-11
115,LFT,4.21,4.39,4.14,4.22,713264,2021-06-14
116,LFT,4.14,4.29,4.11,4.24,465089,2021-06-15
117,LFT,4.2,4.25,4.179,4.18,189198,2021-06-16
118,LFT,4.18,4.33,4.18,4.29,307122,2021-06-17
119,LFT,4.26,4.33,4.2204,4.24,195407,2021-06-18
120,LFT,4.31,4.36,4.2499,4.35,281110,2021-06-21
121,LFT,4.36,4.39,4.25,4.31,192054,2021-06-22
122,LFT,4.35,4.3599,4.31,4.33,191717,2021-06-23
123,LFT,4.34,4.4149,4.32,4.41,251473,2021-06-24
124,LFT,4.43,4.48,4.34,4.34,303156,2021-06-25
125,LFT,4.38,4.39,4.31,4.34,183691,2021-06-28
126,LFT,4.21,4.25,4.19,4.2,114612,2021-06-29
127,LFT,4.22,4.22,4.19,4.21,72312,2021-06-30
128,LFT,4.22,4.22,4.1507,4.19,85336,2021-07-01
129,LFT,4.19,4.19,4.07,4.09,164035,2021-07-02
130,LFT,4.06,4.1,4.01,4.02,154576,2021-07-06
131,LFT,4.03,4.04,3.85,3.92,298236,2021-07-07
132,LFT,3.89,3.92,3.81,3.84,149420,2021-07-08
133,LFT,3.87,3.9876,3.865,3.94,72062,2021-07-09
134,LFT,3.93,4.05,3.9261,4.03,76482,2021-07-12
135,LFT,4.01,4.12,4.0,4.04,94171,2021-07-13
136,LFT,4.06,4.06,3.85,3.9,182304,2021-07-14
137,LFT,3.92,4.03,3.895,4.0,63689,2021-07-15
138,LFT,4.03,4.05,3.96,4.0,50216,2021-07-16
139,LFT,3.98,4.03,3.88,4.01,150142,2021-07-19
140,LFT,4.01,4.05,3.96,3.97,73945,2021-07-20
141,LFT,4.01,4.15,4.0035,4.12,83723,2021-07-21
142,LFT,4.12,4.12,4.06,4.08,29394,2021-07-22
143,LFT,4.1,4.1199,4.05,4.08,52664,2021-07-23
144,LFT,4.02,4.15,4.02,4.08,70662,2021-07-26
145,LFT,4.09,4.1417,4.08,4.12,34490,2021-07-27
146,LFT,4.13,4.1441,4.0701,4.13,36033,2021-07-28
147,LFT,4.15,4.15,4.07,4.09,33320,2021-07-29
148,LFT,4.1,4.1202,4.08,4.11,40829,2021-07-30
149,LFT,4.14,4.1676,4.09,4.1,61044,2021-08-02
150,LFT,4.1,4.13,4.02,4.07,92137,2021-08-03
151,LFT,4.04,4.08,4.03,4.04,30823,2021-08-04
152,LFT,4.07,4.0864,4.02,4.06,35979,2021-08-05
153,LFT,4.04,4.09,4.0263,4.07,13145,2021-08-06
154,LFT,4.06,4.15,4.02,4.15,34825,2021-08-09
155,LFT,4.19,4.19,4.02,4.03,123442,2021-08-10
156,LFT,4.08,4.08,4.0,4.04,61593,2021-08-11
157,LFT,4.08,4.1,4.0254,4.07,64167,2021-08-12
158,LFT,4.04,4.095,4.04,4.09,44163,2021-08-13
159,LFT,4.11,4.12,4.07,4.09,77226,2021-08-16
160,LFT,4.1,4.1,4.0,4.04,81069,2021-08-17
161,LFT,4.05,4.1,4.01,4.04,46417,2021-08-18
162,LFT,4.01,4.04,3.91,3.91,96184,2021-08-19
163,LFT,3.91,3.96,3.8815,3.95,45531,2021-08-20
164,LFT,3.95,4.02,3.95,3.98,60706,2021-08-23
165,LFT,3.99,4.02,3.96,4.01,21324,2021-08-24
166,LFT,4.02,4.08,4.0,4.06,51501,2021-08-25
167,LFT,4.05,4.1,4.0,4.04,44110,2021-08-26
168,LFT,4.09,4.12,4.07,4.1,46030,2021-08-27
169,LFT,4.1,4.19,4.055,4.13,92054,2021-08-30
170,LFT,4.14,4.19,4.11,4.11,76378,2021-08-31
171,LFT,4.14,4.16,4.1,4.14,43051,2021-09-01
172,LFT,4.13,4.15,4.06,4.07,46603,2021-09-02
173,LFT,4.06,4.13,4.06,4.12,25819,2021-09-03
174,LFT,4.12,4.13,4.03,4.04,42106,2021-09-07
175,LFT,4.1,4.1,4.03,4.05,27357,2021-09-08
176,LFT,4.05,4.07,3.93,3.96,67877,2021-09-09
177,LFT,3.96,4.04,3.95,3.96,64450,2021-09-10
178,LFT,3.96,4.0299,3.96,4.01,46518,2021-09-13
179,LFT,4.0,4.02,3.99,4.01,36994,2021-09-14
180,LFT,4.01,4.06,3.99,4.01,59486,2021-09-15
181,LFT,3.98,4.05,3.98,4.02,86126,2021-09-16
182,LFT,4.01,4.14,4.01,4.14,107651,2021-09-17
183,LFT,4.13,4.14,4.0,4.09,105699,2021-09-20
184,LFT,4.12,4.14,4.03,4.03,59077,2021-09-21
185,LFT,4.04,4.1036,4.03,4.05,35286,2021-09-22
186,LFT,4.05,4.11,4.05,4.09,34954,2021-09-23
187,LFT,4.17,4.1734,4.1,4.12,58431,2021-09-24
188,LFT,4.15,4.1849,4.1,4.12,100098,2021-09-27
189,LFT,4.12,4.14,4.1,4.1,35297,2021-09-28
190,LFT,4.04,4.0799,3.98,3.99,72408,2021-09-29
191,LFT,4.0,4.0071,3.95,3.96,36959,2021-09-30
192,LFT,3.96,4.0,3.96,3.97,24690,2021-10-01
193,LFT,4.0,4.0,3.97,3.98,36522,2021-10-04
194,LFT,4.0,4.03,3.98,4.03,30308,2021-10-05
195,LFT,4.02,4.05,4.0,4.05,29597,2021-10-06
196,LFT,4.05,4.0671,4.0,4.02,45624,2021-10-07
197,LFT,4.04,4.04,3.99,4.0,21841,2021-10-08
198,LFT,4.06,4.06,4.0,4.01,32094,2021-10-11
199,LFT,3.98,4.0286,3.98,4.0,23275,2021-10-12
200,LFT,4.02,4.04,3.96,3.97,78755,2021-10-13
201,LFT,3.98,4.0,3.96,3.97,38670,2021-10-14
202,LFT,4.1,4.1,4.0,4.02,38492,2021-10-15
203,LFT,4.04,4.0999,4.0,4.01,76111,2021-10-18
204,LFT,4.01,4.08,4.0,4.0,57851,2021-10-19
205,LFT,4.0,4.06,4.0,4.0,56664,2021-10-20
206,LFT,4.0,4.06,4.0,4.0401,29916,2021-10-21
207,LFT,4.03,4.07,4.03,4.05,26684,2021-10-22
208,LFT,4.07,4.07,4.03,4.04,23608,2021-10-25
209,LFT,4.04,4.05,3.981,4.0,93200,2021-10-26
210,LFT,4.0,4.0198,3.98,4.01,28693,2021-10-27
211,LFT,4.01,4.0515,4.0,4.02,42510,2021-10-28
212,LFT,3.98,4.03,3.97,4.0,121451,2021-10-29
213,LFT,4.03,4.0338,3.97,3.99,66062,2021-11-01
214,LFT,3.97,4.02,3.94,4.02,60495,2021-11-02
215,LFT,4.02,4.0284,3.9604,4.0,28809,2021-11-03
216,LFT,3.99,4.01,3.87,3.91,124022,2021-11-04
217,LFT,3.95,4.0,3.94,3.95,87914,2021-11-05
218,LFT,3.95,3.9973,3.91,3.94,85447,2021-11-08
219,LFT,3.95,4.05,3.9402,4.02,53116,2021-11-09
220,LFT,3.97,4.02,3.9,3.95,98183,2021-11-10
221,LFT,3.95,4.02,3.95,4.01,19896,2021-11-11
222,LFT,3.99,3.99,3.93,3.95,63824,2021-11-12
223,LFT,3.98,3.98,3.91,3.93,35318,2021-11-15
224,LFT,3.9,3.9,3.84,3.85,121102,2021-11-16
225,LFT,3.85,3.85,3.8,3.85,100197,2021-11-17
226,LFT,3.83,3.88,3.8,3.8,78071,2021-11-18
227,LFT,3.8,3.85,3.76,3.83,46061,2021-11-19
228,LFT,3.82,3.86,3.82,3.84,26247,2021-11-22
229,LFT,3.84,3.98,3.83,3.96,60210,2021-11-23
230,LFT,3.99,3.99,3.86,3.91,25550,2021-11-24
231,LFT,3.88,3.92,3.8213,3.85,38175,2021-11-26
232,LFT,3.83,3.88,3.81,3.84,30008,2021-11-29
233,LFT,3.81,3.87,3.78,3.83,61185,2021-11-30
234,LFT,3.87,3.8708,3.78,3.8,49116,2021-12-01
235,LFT,3.79,3.825,3.77,3.79,60065,2021-12-02
236,LFT,3.8,3.8185,3.73,3.75,53971,2021-12-03
237,LFT,3.8,3.821,3.73,3.79,24610,2021-12-06
238,LFT,3.8,3.8,3.72,3.75,77971,2021-12-07
239,LFT,3.7,3.75,3.67,3.7,58824,2021-12-08
240,LFT,3.7,3.76,3.68,3.69,67473,2021-12-09
241,LFT,3.69,3.78,3.69,3.78,17703,2021-12-10
242,LFT,3.8,3.8231,3.75,3.78,27466,2021-12-13
243,LFT,3.76,3.795,3.68,3.71,28719,2021-12-14
244,LFT,3.7,3.7483,3.67,3.67,29991,2021-12-15
245,LFT,3.74,3.83,3.71,3.73,51055,2021-12-16
246,LFT,3.75,3.82,3.73,3.81,72536,2021-12-17
