,ticker,open,high,low,close,volume,timestamp
0,LLYVK,29.63,39.0,29.63,37.68,2539520.0,2023-08-04
1,LLYVK,35.1,36.93,32.69,35.13,3280119.0,2023-08-07
2,LLYVK,32.81,34.99,32.81,33.81,2558940.0,2023-08-08
3,LLYVK,32.58,34.395,31.8,34.16,2191122.0,2023-08-09
4,LLYVK,34.37,35.58,33.01,35.49,1449313.0,2023-08-10
5,LLYVK,34.52,35.53,34.5,35.0,611043.0,2023-08-11
6,LLYVK,34.91,35.02,34.0,34.2,666075.0,2023-08-14
7,LLYVK,34.2,35.125,33.985,34.99,930495.0,2023-08-15
8,LLYVK,34.55,34.55,33.77,34.3,924108.0,2023-08-16
9,LLYVK,34.44,34.52,33.89,33.99,580402.0,2023-08-17
10,LLYVK,34.1,34.1,33.07,33.49,579832.0,2023-08-18
11,LLYVK,33.3,33.97,33.07,33.8,362278.0,2023-08-21
12,LLYVK,33.81,33.99,33.28,33.58,582708.0,2023-08-22
13,LLYVK,33.38,33.84,33.3507,33.54,209175.0,2023-08-23
14,LLYVK,33.24,33.6344,33.055,33.27,401853.0,2023-08-24
15,LLYVK,33.44,33.92,33.35,33.63,281878.0,2023-08-25
16,LLYVK,33.68,34.06,33.4,33.99,446539.0,2023-08-28
17,LLYVK,34.23,34.23,33.64,33.9,367046.0,2023-08-29
18,LLYVK,34.32,34.32,33.39,33.67,286087.0,2023-08-30
19,LLYVK,33.49,33.77,33.35,33.65,660540.0,2023-08-31
20,LLYVK,33.6,34.26,33.42,34.26,292244.0,2023-09-01
21,LLYVK,33.85,34.275,33.13,33.19,593016.0,2023-09-05
22,LLYVK,32.97,33.4,32.08,32.15,563264.0,2023-09-06
23,LLYVK,31.84,32.19,31.3,31.86,946246.0,2023-09-07
24,LLYVK,31.58,32.23,31.45,31.8,797781.0,2023-09-08
25,LLYVK,32.18,32.89,32.15,32.49,427241.0,2023-09-11
26,LLYVK,32.08,32.57,31.91,32.1,348533.0,2023-09-12
27,LLYVK,32.08,32.46,31.68,31.76,627929.0,2023-09-13
28,LLYVK,32.17,33.1,31.535,32.96,224316.0,2023-09-14
29,LLYVK,32.87,33.16,31.87,32.0,863433.0,2023-09-15
30,LLYVK,31.83,32.355,31.83,31.85,242398.0,2023-09-18
31,LLYVK,31.8,32.31,31.13,32.07,1048792.0,2023-09-19
32,LLYVK,32.11,32.49,31.525,31.55,253446.0,2023-09-20
33,LLYVK,31.27,31.64,31.22,31.26,235973.0,2023-09-21
34,LLYVK,31.24,31.71,31.14,31.16,294380.0,2023-09-22
35,LLYVK,30.48,31.275,30.32,30.98,195852.0,2023-09-25
36,LLYVK,30.49,31.8,30.49,30.79,1000249.0,2023-09-26
37,LLYVK,30.89,31.42,30.31,30.94,557326.0,2023-09-27
38,LLYVK,30.88,32.49,30.88,32.15,351968.0,2023-09-28
39,LLYVK,32.36,32.56,32.08,32.1,248060.0,2023-09-29
40,LLYVK,32.02,33.12,32.02,32.84,225966.0,2023-10-02
41,LLYVK,32.73,32.73,31.58,31.82,603559.0,2023-10-03
42,LLYVK,31.82,32.07,31.56,32.02,474819.0,2023-10-04
43,LLYVK,32.02,32.215,31.64,31.72,484295.0,2023-10-05
44,LLYVK,31.61,32.17,31.33,32.0,483778.0,2023-10-06
45,LLYVK,31.8,32.225,31.71,31.79,456479.0,2023-10-09
46,LLYVK,32.16,32.37,31.9,32.19,330353.0,2023-10-10
47,LLYVK,32.49,32.89,32.07,32.78,285372.0,2023-10-11
48,LLYVK,32.73,32.8,31.94,32.13,283980.0,2023-10-12
49,LLYVK,32.1,32.4,31.52,32.0,205775.0,2023-10-13
50,LLYVK,32.01,32.72,32.01,32.6,498396.0,2023-10-16
51,LLYVK,32.54,32.85,32.27,32.38,261815.0,2023-10-17
52,LLYVK,32.18,32.34,31.74,31.87,227663.0,2023-10-18
53,LLYVK,32.05,32.09,31.095,31.21,218651.0,2023-10-19
54,LLYVK,31.07,31.63,30.78,31.27,233467.0,2023-10-20
55,LLYVK,31.03,31.23,30.06,30.1,409372.0,2023-10-23
56,LLYVK,30.27,30.83,30.0,30.7,664929.0,2023-10-24
57,LLYVK,30.36,30.7,30.23,30.42,465114.0,2023-10-25
58,LLYVK,30.44,31.23,30.44,30.71,274152.0,2023-10-26
59,LLYVK,30.71,30.77,30.2,30.61,330771.0,2023-10-27
60,LLYVK,30.84,31.6,30.7,31.45,187736.0,2023-10-30
61,LLYVK,31.43,32.205,31.4,31.87,408729.0,2023-10-31
62,LLYVK,31.87,32.35,31.71,32.02,263831.0,2023-11-01
63,LLYVK,32.33,34.08,32.33,33.33,572192.0,2023-11-02
64,LLYVK,33.71,35.14,33.04,34.63,344265.0,2023-11-03
65,LLYVK,34.28,35.08,34.28,34.97,229926.0,2023-11-06
66,LLYVK,34.86,35.425,34.64,35.27,285808.0,2023-11-07
67,LLYVK,35.29,36.12,35.29,35.71,238160.0,2023-11-08
68,LLYVK,35.7,35.81,35.03,35.04,400943.0,2023-11-09
69,LLYVK,35.12,35.3,34.45,35.16,172058.0,2023-11-10
70,LLYVK,35.08,35.975,34.94,35.04,406371.0,2023-11-13
71,LLYVK,35.77,36.81,35.77,36.18,621495.0,2023-11-14
72,LLYVK,36.37,36.64,35.95,35.98,398222.0,2023-11-15
73,LLYVK,36.31,36.47,35.9,36.19,3273445.0,2023-11-16
74,LLYVK,36.36,36.68,36.0,36.2,404709.0,2023-11-17
75,LLYVK,36.22,36.64,36.15,36.25,288314.0,2023-11-20
76,LLYVK,36.23,36.23,34.92,34.96,253439.0,2023-11-21
77,LLYVK,35.15,35.63,34.97,35.28,397475.0,2023-11-22
78,LLYVK,35.57,35.73,35.13,35.29,56105.0,2023-11-24
79,LLYVK,35.14,35.3,34.71,34.72,509056.0,2023-11-27
80,LLYVK,34.74,34.835,33.86,33.99,196568.0,2023-11-28
81,LLYVK,34.33,34.6,33.81,34.14,549022.0,2023-11-29
82,LLYVK,34.16,34.41,33.86,34.25,656577.0,2023-11-30
83,LLYVK,34.36,34.47,34.01,34.31,228340.0,2023-12-01
84,LLYVK,34.55,34.765,33.52,33.56,237081.0,2023-12-04
85,LLYVK,33.24,33.61,32.49,32.69,293697.0,2023-12-05
86,LLYVK,33.11,33.32,32.625,33.18,400847.0,2023-12-06
87,LLYVK,32.97,33.9,32.97,33.64,425408.0,2023-12-07
88,LLYVK,33.64,34.27,33.42,33.97,467969.0,2023-12-08
89,LLYVK,34.03,34.88,33.9542,34.65,406745.0,2023-12-11
