,ticker,open,high,low,close,volume,timestamp
0,LQDA,4.39,4.54,3.95,4.4,170604.0,2020-01-02
1,LQDA,4.4,4.8,4.34,4.45,117473.0,2020-01-03
2,LQDA,4.56,4.72,4.13,4.14,89499.0,2020-01-06
3,LQDA,4.2,4.439,4.06,4.19,83345.0,2020-01-07
4,LQDA,4.19,4.23,4.0,4.08,113214.0,2020-01-08
5,LQDA,4.18,4.22,4.07,4.15,40534.0,2020-01-09
6,LQDA,4.2,4.5874,4.17,4.53,157554.0,2020-01-10
7,LQDA,4.73,5.735,4.5639,5.55,286960.0,2020-01-13
8,LQDA,5.49,6.0,5.05,5.23,271802.0,2020-01-14
9,LQDA,5.31,6.14,5.265,5.96,297417.0,2020-01-15
10,LQDA,6.13,6.15,5.908,6.1,186899.0,2020-01-16
11,LQDA,6.22,6.79,5.99,6.42,173724.0,2020-01-17
12,LQDA,6.51,7.1,6.35,6.72,263239.0,2020-01-21
13,LQDA,6.76,7.4,6.76,7.0,204036.0,2020-01-22
14,LQDA,7.09,7.47,6.2,7.15,210575.0,2020-01-23
15,LQDA,7.28,7.76,6.3229,6.52,109313.0,2020-01-24
16,LQDA,6.0,6.21,5.9,5.99,160209.0,2020-01-27
17,LQDA,6.06,6.11,5.312,5.53,135024.0,2020-01-28
18,LQDA,5.48,6.0353,5.4,5.95,79105.0,2020-01-29
19,LQDA,5.86,5.9681,5.52,5.68,67310.0,2020-01-30
20,LQDA,5.63,6.0965,5.49,5.81,90096.0,2020-01-31
21,LQDA,5.87,6.3,5.82,6.26,227688.0,2020-02-03
22,LQDA,6.15,6.69,5.9601,6.54,194587.0,2020-02-04
23,LQDA,6.62,6.75,6.18,6.255,109406.0,2020-02-05
24,LQDA,6.28,6.3152,6.13,6.18,378069.0,2020-02-06
25,LQDA,6.17,6.395,5.93,6.04,163008.0,2020-02-07
26,LQDA,6.02,6.0602,5.0,5.39,177407.0,2020-02-10
27,LQDA,5.4,5.6079,5.1968,5.52,65097.0,2020-02-11
