,ticker,open,high,low,close,volume,timestamp
0,LSB,1.09,1.12,0.9,1.01,179363,2024-05-28
1,LSB,0.99,1.01,0.9169,0.93,46987,2024-05-29
2,LSB,0.92,0.93,0.9,0.9,325241,2024-05-30
3,LSB,0.8665,0.875,0.801,0.835,70601,2024-05-31
4,LSB,0.83,0.9988,0.83,0.89,34731,2024-06-03
5,LSB,0.9345,0.9345,0.801,0.8259,77983,2024-06-04
6,LSB,0.801,0.8448,0.801,0.82,16880,2024-06-05
7,LSB,0.801,0.9,0.801,0.818,14661,2024-06-06
8,LSB,0.801,0.845,0.75,0.76,84415,2024-06-07
9,LSB,0.75,0.7598,0.68,0.68,69582,2024-06-10
10,LSB,0.68,0.75,0.68,0.749,42073,2024-06-11
11,LSB,0.74,0.74,0.7,0.721,23351,2024-06-12
12,LSB,0.74,0.74,0.69,0.6913,45365,2024-06-13
13,LSB,0.6913,0.73,0.69,0.6977,19496,2024-06-14
14,LSB,0.697401,0.7049,0.6901,0.6901,7384,2024-06-17
15,LSB,0.74,0.74,0.6903,0.715,10954,2024-06-18
16,LSB,0.68,0.72,0.53,0.585,147735,2024-06-20
17,LSB,0.5848,0.6546,0.5848,0.6,44042,2024-06-21
18,LSB,0.6054,0.6545,0.6054,0.6545,2924,2024-06-24
19,LSB,0.655709,0.655709,0.6002,0.6101,20008,2024-06-25
20,LSB,0.601,0.64663,0.6,0.6125,14915,2024-06-26
21,LSB,0.6125,0.6479,0.6125,0.615,11103,2024-06-27
22,LSB,0.615,0.6479,0.61,0.6479,1954,2024-06-28
23,LSB,0.63,0.672,0.58,0.5904,22606,2024-07-01
24,LSB,0.5903,0.6,0.55,0.569609,26411,2024-07-02
25,LSB,0.58,0.6398,0.5696,0.5696,5695,2024-07-03
26,LSB,0.57,0.6399,0.5,0.5468,11941,2024-07-05
27,LSB,0.507801,0.519,0.37,0.4866,43497,2024-07-08
28,LSB,0.46,0.4697,0.4001,0.41,41102,2024-07-09
29,LSB,0.48,0.51,0.4411,0.4869,79395,2024-07-10
30,LSB,0.4825,0.51,0.39,0.4599,83914,2024-07-11
31,LSB,0.430189,0.484,0.401,0.4703,40524,2024-07-12
32,LSB,0.4702,0.4858,0.4288,0.4444,32740,2024-07-15
33,LSB,0.43,0.48,0.43,0.437,30496,2024-07-16
34,LSB,0.4589,0.48,0.45,0.48,5084,2024-07-17
35,LSB,0.48,0.55,0.48,0.5,13993,2024-07-18
36,LSB,0.535,0.54,0.4304,0.4899,18426,2024-07-19
37,LSB,0.4703,0.5207,0.4703,0.49,13596,2024-07-22
38,LSB,0.51,0.51,0.45,0.48,10862,2024-07-23
39,LSB,0.48,0.4961,0.45,0.48,5859,2024-07-24
40,LSB,0.45,0.51,0.44,0.47,24266,2024-07-25
41,LSB,0.51,0.5104,0.47,0.4775,15231,2024-07-26
42,LSB,0.47,0.485,0.41,0.41,33832,2024-07-29
43,LSB,0.41,0.51,0.4003,0.4088,52950,2024-07-30
44,LSB,0.4088,0.497599,0.400213,0.4494,31759,2024-07-31
45,LSB,0.4916,0.4926,0.419,0.4614,23837,2024-08-01
46,LSB,0.4247,0.49,0.4247,0.451701,40893,2024-08-02
47,LSB,0.45,0.4654,0.3613,0.4654,59952,2024-08-05
48,LSB,0.47,0.47,0.3613,0.442,12904,2024-08-06
49,LSB,0.42,0.430001,0.39,0.403,24477,2024-08-07
50,LSB,0.385,0.419,0.385,0.419,2699,2024-08-08
51,LSB,0.4141,0.4357,0.4122,0.4122,3430,2024-08-09
52,LSB,0.4119,0.4209,0.41,0.4209,5768,2024-08-12
53,LSB,0.42,0.4377,0.41,0.41,13643,2024-08-13
54,LSB,0.42,0.46,0.42,0.44,22599,2024-08-14
55,LSB,0.4501,0.474999,0.45,0.451,6731,2024-08-15
56,LSB,0.4837,0.5,0.45,0.4901,21233,2024-08-16
57,LSB,0.5,0.5,0.4333,0.465,25561,2024-08-19
58,LSB,0.4601,0.485,0.458,0.458,21771,2024-08-20
59,LSB,0.43,0.4517,0.43,0.4517,7201,2024-08-21
60,LSB,0.4742,0.4742,0.43,0.4418,11743,2024-08-22
61,LSB,0.4594,0.4594,0.4399,0.445,23943,2024-08-23
62,LSB,0.459,0.459,0.42,0.4536,5379,2024-08-26
63,LSB,0.421,0.4599,0.42,0.4599,12179,2024-08-27
64,LSB,0.46,0.46,0.442,0.442,4001,2024-08-28
65,LSB,0.44,0.4421,0.44,0.4421,1267,2024-08-29
66,LSB,0.442,0.45,0.442,0.442,21237,2024-08-30
67,LSB,0.4165,0.45,0.4165,0.45,10527,2024-09-03
68,LSB,0.46,0.47,0.4475,0.47,12568,2024-09-04
69,LSB,0.442,0.479,0.442,0.4421,32664,2024-09-05
70,LSB,0.456,0.461,0.442,0.442,17210,2024-09-06
71,LSB,0.46,0.46,0.448,0.45,5077,2024-09-09
72,LSB,0.448,0.47,0.444,0.457,26229,2024-09-10
73,LSB,0.457,0.549,0.457,0.5446,130959,2024-09-11
74,LSB,0.53,0.5489,0.49,0.5211,35768,2024-09-12
75,LSB,0.5349,0.5991,0.53,0.599,56388,2024-09-13
76,LSB,0.65,0.779999,0.65,0.719,255154,2024-09-16
