,ticker,open,high,low,close,volume,timestamp
0,LTBR,4.43,4.99,4.43,4.87,23921.0,2020-01-02
1,LTBR,4.87,4.88,4.5786,4.73,5100.0,2020-01-03
2,LTBR,4.73,4.9,4.67,4.67,12648.0,2020-01-06
3,LTBR,4.62,4.73,4.62,4.65,5546.0,2020-01-07
4,LTBR,4.7245,4.7245,4.37,4.4,25251.0,2020-01-08
5,LTBR,4.33,4.79,4.33,4.79,5825.0,2020-01-09
6,LTBR,4.68,4.75,4.4956,4.75,4309.0,2020-01-10
7,LTBR,4.75,4.7605,4.61,4.67,13979.0,2020-01-13
8,LTBR,4.72,4.73,4.61,4.61,6592.0,2020-01-14
9,LTBR,4.55,4.83,4.55,4.83,7493.0,2020-01-15
10,LTBR,4.81,4.98,4.81,4.91,16426.0,2020-01-16
11,LTBR,4.9333,4.9333,4.8,4.8,4511.0,2020-01-17
12,LTBR,4.92,4.9499,4.6517,4.6517,27565.0,2020-01-21
13,LTBR,4.62,4.84,4.32,4.46,27488.0,2020-01-22
14,LTBR,4.51,4.57,4.34,4.44,10432.0,2020-01-23
15,LTBR,4.48,4.48,4.12,4.12,20404.0,2020-01-24
16,LTBR,4.0,4.15,3.7,3.91,18504.0,2020-01-27
17,LTBR,4.06,4.43,3.96,4.42,8724.0,2020-01-28
18,LTBR,4.375,4.4585,4.0716,4.1,7799.0,2020-01-29
19,LTBR,4.16,4.2052,4.0935,4.13,7467.0,2020-01-30
20,LTBR,4.13,4.24,3.9009,4.18,18475.0,2020-01-31
21,LTBR,4.25,4.25,3.765,3.93,15680.0,2020-02-03
22,LTBR,4.2403,4.2465,4.06,4.15,10437.0,2020-02-04
23,LTBR,4.0,4.15,3.9,4.15,6729.0,2020-02-05
24,LTBR,4.15,4.35,4.01,4.01,15146.0,2020-02-06
25,LTBR,3.98,4.4299,3.98,4.24,7597.0,2020-02-07
26,LTBR,4.2,4.2,3.95,3.95,20348.0,2020-02-10
27,LTBR,3.98,3.99,3.7,3.9,43587.0,2020-02-11
28,LTBR,3.876,4.14,3.85,3.87,10215.0,2020-02-12
29,LTBR,3.99,4.4967,3.5063,3.75,135190.0,2020-02-13
30,LTBR,3.75,3.92,3.5673,3.62,24712.0,2020-02-14
31,LTBR,3.6,3.722,3.53,3.693,17708.0,2020-02-18
32,LTBR,3.61,4.1778,3.61,4.0,39826.0,2020-02-19
33,LTBR,4.15,4.166,4.0,4.11,34458.0,2020-02-20
34,LTBR,3.9344,4.43,3.8338,4.1196,25393.0,2020-02-21
35,LTBR,4.06,4.15,4.05,4.07,28964.0,2020-02-24
36,LTBR,4.07,4.2,4.05,4.07,33751.0,2020-02-25
37,LTBR,4.08,4.1,3.9206,4.07,21828.0,2020-02-26
38,LTBR,3.92,4.07,3.5,3.55,50136.0,2020-02-27
39,LTBR,3.6,3.72,3.5,3.52,25290.0,2020-02-28
40,LTBR,3.67,3.89,3.6,3.89,45722.0,2020-03-02
41,LTBR,3.92,3.9806,3.5389,3.88,21053.0,2020-03-03
42,LTBR,3.85,3.85,3.6,3.76,16259.0,2020-03-04
43,LTBR,3.6,3.75,3.55,3.55,12415.0,2020-03-05
44,LTBR,3.5,3.59,3.4,3.4,16914.0,2020-03-06
45,LTBR,3.25,3.36,3.0001,3.1,13451.0,2020-03-09
46,LTBR,3.0501,3.15,3.0,3.01,11822.0,2020-03-10
47,LTBR,3.01,3.17,3.0,3.08,9793.0,2020-03-11
48,LTBR,2.97,3.0,2.52,2.75,18983.0,2020-03-12
49,LTBR,3.02,3.19,2.5671,3.0,18626.0,2020-03-13
50,LTBR,2.81,3.005,2.8,2.8,4236.0,2020-03-16
