,ticker,open,high,low,close,volume,timestamp
0,MBRX,81.9,85.5,81.0,82.8228,2167.4,2020-01-02
1,MBRX,84.6,85.5,81.957,82.89,1090.8,2020-01-03
2,MBRX,84.078,84.078,81.009,81.027,1344.0889,2020-01-06
3,MBRX,81.9,84.06,81.459,82.8,1674.7111,2020-01-07
4,MBRX,81.0,84.591,81.0,83.7,2020.9222,2020-01-08
5,MBRX,83.7,85.932,82.8372,85.5,2710.2778,2020-01-09
6,MBRX,86.4,87.3,81.27,84.105,2636.5556,2020-01-10
7,MBRX,83.7,86.4,81.909,84.87,2011.4333,2020-01-13
8,MBRX,85.5,85.509,83.709,84.807,1207.6778,2020-01-14
9,MBRX,87.3,87.3,85.1076,85.95,1319.9667,2020-01-15
10,MBRX,85.95,87.3,84.6,85.5,1939.8111,2020-01-16
11,MBRX,87.3,87.3,84.24,86.346,2001.4556,2020-01-17
12,MBRX,83.25,84.6,81.018,84.015,4041.6889,2020-01-21
13,MBRX,85.5,85.5,81.0,82.242,3791.1445,2020-01-22
14,MBRX,81.9,83.7,81.9,83.16,1575.6778,2020-01-23
15,MBRX,85.5,85.5,81.0,84.6,2791.8333,2020-01-24
16,MBRX,81.9,84.6,80.37,81.198,1663.1667,2020-01-27
17,MBRX,81.099,84.15,79.2,80.1,2037.1889,2020-01-28
18,MBRX,80.55,81.603,76.536,77.76,3035.4111,2020-01-29
19,MBRX,77.4,80.991,77.139,79.614,1272.2445,2020-01-30
20,MBRX,79.2,80.6172,76.5,78.291,3462.1,2020-01-31
21,MBRX,85.5,87.3,77.4,77.49,10283.3333,2020-02-03
22,MBRX,77.4,81.0,77.4,79.65,3476.9111,2020-02-04
23,MBRX,103.5,109.8,90.9,94.5,148134.2778,2020-02-05
24,MBRX,79.02,79.02,73.8,75.15,43578.4667,2020-02-06
25,MBRX,73.89,74.7,72.45,72.684,9662.0555,2020-02-07
26,MBRX,72.0,72.9,64.35,67.95,15889.3667,2020-02-10
27,MBRX,69.3,70.794,66.6,67.77,7021.1889,2020-02-11
28,MBRX,67.77,68.4,65.7,66.159,4073.5667,2020-02-12
29,MBRX,66.6,66.6,64.8,64.89,3517.6556,2020-02-13
30,MBRX,65.25,68.4,64.8,68.4,9069.0778,2020-02-14
31,MBRX,70.2,72.9,67.509,71.991,17566.7555,2020-02-18
32,MBRX,72.0,72.0,69.3,69.525,7036.1556,2020-02-19
33,MBRX,71.1,71.55,68.85,71.1,11861.4,2020-02-20
34,MBRX,70.2,70.65,69.3,69.3,4411.9556,2020-02-21
35,MBRX,68.4,71.091,66.6,68.58,6898.7556,2020-02-24
36,MBRX,67.5,68.391,60.174,62.1,9372.1556,2020-02-25
37,MBRX,63.0,65.268,60.318,62.1,5058.6889,2020-02-26
38,MBRX,61.2,63.0,54.639,57.6,11025.6445,2020-02-27
39,MBRX,56.286,62.1,54.054,60.363,6632.4111,2020-02-28
40,MBRX,61.2,62.955,58.5,61.029,4057.6,2020-03-02
41,MBRX,61.119,61.47,58.869,59.994,2504.4778,2020-03-03
42,MBRX,61.2,63.891,59.85,63.0,3916.5333,2020-03-04
43,MBRX,63.0,63.0,59.076,61.2,2547.3333,2020-03-05
44,MBRX,58.5,60.75,57.096,57.6,3353.0333,2020-03-06
45,MBRX,55.8,55.8,51.309,53.982,6740.0445,2020-03-09
46,MBRX,56.7,58.5,45.9,50.85,6286.8445,2020-03-10
47,MBRX,49.932,52.2,45.459,45.459,5003.3444,2020-03-11
48,MBRX,45.0,45.405,40.05,42.273,5804.0445,2020-03-12
49,MBRX,43.2,47.7,36.9,39.879,6339.5333,2020-03-13
50,MBRX,29.07,40.05,29.07,36.009,6369.7889,2020-03-16
51,MBRX,59.4,69.3,39.96,46.809,170371.6889,2020-03-17
52,MBRX,42.3,53.1,37.8,42.219,27948.5222,2020-03-18
53,MBRX,72.0,72.9,49.68,58.5,163655.6111,2020-03-19
54,MBRX,67.5,67.5,50.4,54.0,57891.9889,2020-03-20
55,MBRX,51.372,53.865,47.7,49.275,19329.2,2020-03-23
56,MBRX,50.4,55.8,48.6,54.0048,17054.6778,2020-03-24
57,MBRX,57.6,67.5,54.9,62.55,45358.1445,2020-03-25
58,MBRX,63.0,63.441,54.9,55.8,18243.9667,2020-03-26
59,MBRX,56.7,58.122,53.1,56.655,8842.5889,2020-03-27
60,MBRX,57.42,57.42,49.5,50.4,17164.0333,2020-03-30
61,MBRX,52.974,54.882,48.6,54.864,6481.0333,2020-03-31
62,MBRX,54.0,54.0,49.5,51.795,7322.2222,2020-04-01
63,MBRX,50.4,53.1,49.59,51.246,7038.7667,2020-04-02
64,MBRX,50.76,52.164,49.5,51.3,3563.8778,2020-04-03
65,MBRX,51.3,53.1,49.509,50.625,5125.3222,2020-04-06
66,MBRX,50.472,51.3,47.061,50.643,9337.4222,2020-04-07
67,MBRX,146.7,177.3,100.8,114.3,1887941.2333,2020-04-08
68,MBRX,122.4,128.7,94.5,101.7,335482.8333,2020-04-09
69,MBRX,94.5,108.0,84.6,107.1,106165.1778,2020-04-13
70,MBRX,124.2,126.9,115.2,115.2,153316.2778,2020-04-14
71,MBRX,117.0,126.9,109.8,113.4,104441.4667,2020-04-15
72,MBRX,126.0,139.5,118.8,132.3,328137.7222,2020-04-16
73,MBRX,112.5,113.4,99.9,108.0,98194.0556,2020-04-17
74,MBRX,116.1,116.1,106.2,108.0,57985.7,2020-04-20
75,MBRX,106.2,107.1,100.8,104.4,32144.2333,2020-04-21
76,MBRX,104.4,106.2,95.4,97.2,48551.1333,2020-04-22
77,MBRX,102.6,102.6,95.4,99.9,33251.8444,2020-04-23
78,MBRX,98.1,105.3,92.7,102.6,36261.6889,2020-04-24
79,MBRX,99.9,108.909,99.0,102.6,53074.0778,2020-04-27
80,MBRX,106.2,108.0,99.0,102.6,35862.2889,2020-04-28
81,MBRX,100.8,101.7,97.2,100.8,29659.5333,2020-04-29
82,MBRX,96.3,100.8,95.4,98.1,17080.2111,2020-04-30
83,MBRX,95.4,98.1,92.7,96.3,19765.9222,2020-05-01
84,MBRX,91.8,96.3,82.089,87.3,70351.5556,2020-05-28
85,MBRX,89.1,100.8,89.1,98.1,34984.9333,2020-05-29
