,ticker,open,high,low,close,volume,timestamp
0,MFI,7.6,12.68,7.6,12.29,3409297.0,2024-04-22
1,MFI,10.18,14.49,7.8169,10.0,1135723.0,2024-04-23
2,MFI,9.75,10.94,8.78,10.47,387601.0,2024-04-24
3,MFI,10.69,11.3766,10.3,10.44,575983.0,2024-04-25
4,MFI,10.7,12.5,1.7,2.33,21226277.0,2024-04-26
5,MFI,1.75,1.9,1.51,1.67,3549811.0,2024-04-29
6,MFI,1.66,1.7,1.43,1.61,1873983.0,2024-04-30
7,MFI,1.48,1.59,1.41,1.47,1468442.0,2024-05-01
8,MFI,1.4,1.43,1.32,1.4,1561745.0,2024-05-02
9,MFI,1.45,1.5,1.32,1.34,964339.0,2024-05-03
10,MFI,1.3,1.34,1.1301,1.2,907454.0,2024-05-06
11,MFI,1.11,1.17,1.04,1.1,805207.0,2024-05-07
12,MFI,1.1,1.35,1.1,1.2,977233.0,2024-05-08
13,MFI,1.18,1.23,1.14,1.21,324678.0,2024-05-09
14,MFI,1.23,1.3162,1.18,1.22,438339.0,2024-05-10
15,MFI,1.2,1.27,1.15,1.19,296081.0,2024-05-13
16,MFI,1.17,1.34,1.15,1.31,533707.0,2024-05-14
17,MFI,1.26,1.35,1.2,1.24,321106.0,2024-05-15
18,MFI,1.27,1.27,1.1804,1.2,268303.0,2024-05-16
19,MFI,1.23,1.42,1.2045,1.34,829177.0,2024-05-17
20,MFI,1.36,1.48,1.3,1.38,664063.0,2024-05-20
21,MFI,1.34,1.37,1.23,1.28,317234.0,2024-05-21
22,MFI,1.27,1.28,1.18,1.21,135594.0,2024-05-22
23,MFI,1.19,1.21,1.01,1.1,261439.0,2024-05-23
24,MFI,1.17,1.18,1.07,1.1,103342.0,2024-05-24
25,MFI,1.1,1.1396,1.03,1.06,99220.0,2024-05-28
26,MFI,1.05,1.1183,0.9116,1.0,186634.0,2024-05-29
27,MFI,1.0,1.02,0.931,1.0,160859.0,2024-05-30
28,MFI,0.97,1.0,0.92,0.9357,94102.0,2024-05-31
29,MFI,0.96,0.969899,0.912,0.93,107981.0,2024-06-03
30,MFI,0.96,1.35,0.9215,1.3,2022296.0,2024-06-04
31,MFI,2.16,2.35,1.31,1.52,42608104.0,2024-06-05
32,MFI,1.37,1.46,1.21,1.29,1495401.0,2024-06-06
33,MFI,1.12,1.2272,1.02,1.14,880580.0,2024-06-07
34,MFI,1.06,1.1299,1.0,1.01,371052.0,2024-06-10
35,MFI,1.02,1.22,0.975,1.14,476896.0,2024-06-11
36,MFI,1.06,1.1499,1.0501,1.14,157841.0,2024-06-12
37,MFI,1.11,1.16,1.07,1.12,115693.0,2024-06-13
38,MFI,1.12,1.15,1.07,1.1,191508.0,2024-06-14
39,MFI,1.12,1.12,1.04,1.05,147183.0,2024-06-17
40,MFI,1.05,1.06,0.96,0.96,235049.0,2024-06-18
41,MFI,0.9545,0.9899,0.92,0.939,136205.0,2024-06-20
42,MFI,0.92,0.93,0.88,0.907,122070.0,2024-06-21
43,MFI,0.92,0.95,0.89,0.92,115385.0,2024-06-24
44,MFI,0.95,0.98,0.925,0.93,136182.0,2024-06-25
45,MFI,0.9021,0.9499,0.8915,0.9296,78168.0,2024-06-26
46,MFI,0.94,0.94,0.895,0.92,88276.0,2024-06-27
47,MFI,0.9295,0.93,0.89,0.92,60908.0,2024-06-28
48,MFI,0.9099,0.9274,0.85,0.86,125135.0,2024-07-01
49,MFI,0.87,0.9,0.8113,0.845,119928.0,2024-07-02
50,MFI,0.8174,0.85,0.794,0.85,127090.0,2024-07-03
51,MFI,0.7763,0.83,0.7611,0.791,289561.0,2024-07-05
52,MFI,0.7773,0.82,0.77,0.7803,43258.0,2024-07-08
53,MFI,0.79,0.8096,0.7622,0.797,121760.0,2024-07-09
54,MFI,0.81,0.89,0.8021,0.879,182466.0,2024-07-10
55,MFI,0.91,0.98,0.88,0.91,257586.0,2024-07-11
56,MFI,0.93,0.98,0.8611,0.89,296236.0,2024-07-12
57,MFI,0.892,0.9499,0.88,0.935,107437.0,2024-07-15
58,MFI,0.9469,0.9469,0.88,0.92,44507.0,2024-07-16
59,MFI,0.8923,0.945,0.8923,0.93,108083.0,2024-07-17
60,MFI,0.92,0.95,0.8655,0.939899,103090.0,2024-07-18
61,MFI,0.94,0.94,0.851,0.91,111962.0,2024-07-19
62,MFI,0.901,0.901,0.805,0.8271,249614.0,2024-07-22
63,MFI,0.8101,0.8539,0.7927,0.8003,125738.0,2024-07-23
64,MFI,0.808401,0.8439,0.7705,0.774,118591.0,2024-07-24
65,MFI,0.778,0.8001,0.77,0.7815,34927.0,2024-07-25
66,MFI,0.8,0.829999,0.78,0.8032,68587.0,2024-07-26
67,MFI,0.83,0.83,0.761,0.7701,99200.0,2024-07-29
68,MFI,0.79,0.8,0.7235,0.75205,46961.0,2024-07-30
69,MFI,0.76,0.7875,0.7101,0.7101,111484.0,2024-07-31
70,MFI,0.720101,0.75,0.6401,0.6411,99782.0,2024-08-01
71,MFI,0.637,0.637699,0.57,0.574,119481.0,2024-08-02
72,MFI,0.537,0.58,0.50625,0.58,62711.0,2024-08-05
73,MFI,0.545,0.64,0.5158,0.575,87881.0,2024-08-06
74,MFI,0.629,0.63,0.5501,0.56,37959.0,2024-08-07
75,MFI,0.59,0.59,0.53,0.57,36876.0,2024-08-08
76,MFI,0.58,0.5999,0.545,0.5699,47995.0,2024-08-09
77,MFI,0.6025,0.677,0.59001,0.677,105640.0,2024-08-12
78,MFI,0.7,0.798,0.6999,0.75,128407.0,2024-08-13
79,MFI,0.73,0.7899,0.73,0.76,594995.0,2024-08-14
80,MFI,0.7801,0.8299,0.7801,0.8,271737.0,2024-08-15
81,MFI,0.79,0.79,0.65,0.686,143801.0,2024-08-16
82,MFI,0.6654,0.825,0.576,0.7899,198008.0,2024-08-19
83,MFI,0.729,0.765109,0.701,0.761,37793.0,2024-08-20
84,MFI,0.746,0.746,0.6735,0.7361,46864.0,2024-08-21
85,MFI,0.74,0.789,0.72,0.75,43937.0,2024-08-22
86,MFI,0.77,0.77,0.6201,0.7404,41691.0,2024-08-23
87,MFI,0.7,0.75,0.6843,0.7499,39041.0,2024-08-26
88,MFI,0.7575,0.7575,0.6839,0.73,61429.0,2024-08-27
89,MFI,0.732451,0.7399,0.612,0.6537,130163.0,2024-08-28
90,MFI,0.68667,0.69,0.6501,0.65505,46917.0,2024-08-29
91,MFI,0.675,0.72,0.631,0.6502,40497.0,2024-08-30
92,MFI,0.6827,0.7,0.62,0.63,54382.0,2024-09-03
93,MFI,0.632,0.65,0.632,0.64,10893.0,2024-09-04
94,MFI,0.63,0.6599,0.5752,0.6091,51808.0,2024-09-05
95,MFI,0.6,0.6499,0.5112,0.5501,75156.0,2024-09-06
96,MFI,0.6,0.64,0.55,0.5683,32212.0,2024-09-09
97,MFI,0.5701,0.59,0.53,0.556,17404.0,2024-09-10
98,MFI,0.546,0.68,0.5308,0.5918,289414.0,2024-09-11
99,MFI,0.609899,0.609899,0.5501,0.6,102664.0,2024-09-12
100,MFI,0.6199,0.7701,0.57,0.7301,1203032.0,2024-09-13
101,MFI,0.6899,0.738,0.6521,0.738,393810.0,2024-09-16
