,ticker,open,high,low,close,volume,timestamp
0,MKDW,1.99,2.1,1.5801,2.08,518658.0,2024-08-01
1,MKDW,4.07,4.5,2.72,3.22,17708283.0,2024-08-02
2,MKDW,2.71,2.8503,2.0603,2.16,717301.0,2024-08-05
3,MKDW,1.91,1.98,1.33,1.46,709245.0,2024-08-06
4,MKDW,1.38,1.75,1.33,1.41,626095.0,2024-08-07
5,MKDW,1.39,1.58,1.37,1.54,385514.0,2024-08-08
6,MKDW,1.59,1.66,1.34,1.34,284653.0,2024-08-09
7,MKDW,1.51,1.56,1.05,1.11,2349883.0,2024-08-12
8,MKDW,1.36,1.65,1.18,1.44,20014630.0,2024-08-13
9,MKDW,1.37,1.7,1.18,1.58,2533257.0,2024-08-14
10,MKDW,1.42,1.57,1.36,1.39,857076.0,2024-08-15
11,MKDW,1.4,1.4,1.25,1.32,510624.0,2024-08-16
12,MKDW,1.26,1.3177,1.22,1.23,244090.0,2024-08-19
13,MKDW,1.22,1.38,1.14,1.31,690183.0,2024-08-20
14,MKDW,1.31,1.54,1.29,1.49,1145423.0,2024-08-21
15,MKDW,1.48,1.5,1.38,1.43,283880.0,2024-08-22
16,MKDW,1.3901,1.44,1.31,1.34,185998.0,2024-08-23
17,MKDW,1.38,1.38,1.2595,1.31,51342.0,2024-08-26
18,MKDW,1.28,1.3,1.22,1.22,106732.0,2024-08-27
19,MKDW,1.23,1.25,1.1,1.14,327133.0,2024-08-28
20,MKDW,1.14,1.21,1.0701,1.2,179392.0,2024-08-29
21,MKDW,1.1898,1.19,1.06,1.1,93245.0,2024-08-30
22,MKDW,1.12,1.1496,1.05,1.08,89091.0,2024-09-03
23,MKDW,1.03,1.05,0.9,0.94,141388.0,2024-09-04
24,MKDW,0.9303,0.99,0.9303,0.9401,45250.0,2024-09-05
25,MKDW,0.95,0.9735,0.873,0.9068,35709.0,2024-09-06
26,MKDW,0.9066,0.9066,0.8501,0.874,45118.0,2024-09-09
27,MKDW,0.8128,0.955,0.7802,0.9423,6695683.0,2024-09-10
28,MKDW,0.92,0.92,0.802,0.8772,311704.0,2024-09-11
29,MKDW,0.8509,0.876,0.8326,0.85,111121.0,2024-09-12
30,MKDW,0.841,0.9111,0.8096,0.9111,202255.0,2024-09-13
31,MKDW,0.879,1.19,0.8749,1.19,648494.0,2024-09-16
