,ticker,open,high,low,close,volume,timestamp
0,MNOV,6.8237,6.8237,6.59,6.68,67383.0,2020-01-02
1,MNOV,6.68,6.82,6.57,6.63,76022.0,2020-01-03
2,MNOV,6.63,6.84,6.63,6.8,55917.0,2020-01-06
3,MNOV,6.81,7.01,6.81,6.91,54137.0,2020-01-07
4,MNOV,6.88,6.9803,6.85,6.87,55342.0,2020-01-08
5,MNOV,6.84,6.99,6.81,6.89,60223.0,2020-01-09
6,MNOV,6.89,7.0,6.84,6.86,57326.0,2020-01-10
7,MNOV,6.84,6.97,6.79,6.95,56947.0,2020-01-13
8,MNOV,6.93,6.94,6.82,6.88,58815.0,2020-01-14
9,MNOV,6.89,6.97,6.79,6.85,51916.0,2020-01-15
10,MNOV,6.87,6.87,6.7447,6.83,68870.0,2020-01-16
11,MNOV,6.91,7.09,6.9,6.97,79446.0,2020-01-17
12,MNOV,7.0,7.0,6.7,6.71,57672.0,2020-01-21
13,MNOV,6.647,6.67,6.5114,6.54,51382.0,2020-01-22
14,MNOV,6.52,6.56,6.43,6.44,61743.0,2020-01-23
15,MNOV,6.5,6.5,6.25,6.345,67848.0,2020-01-24
16,MNOV,6.25,6.25,6.06,6.1,93683.0,2020-01-27
17,MNOV,6.14,6.27,6.14,6.27,69185.0,2020-01-28
18,MNOV,6.25,6.25,5.977,6.07,59449.0,2020-01-29
19,MNOV,6.03,6.05,5.81,5.93,68548.0,2020-01-30
20,MNOV,5.78,5.93,5.74,5.79,92632.0,2020-01-31
21,MNOV,5.85,5.97,5.81,5.86,47199.0,2020-02-03
22,MNOV,5.95,6.02,5.95,5.99,41407.0,2020-02-04
23,MNOV,6.0,6.04,5.88,5.9,116680.0,2020-02-05
24,MNOV,5.89,5.89,5.63,5.66,90692.0,2020-02-06
25,MNOV,5.58,5.8,5.58,5.74,103304.0,2020-02-07
26,MNOV,5.74,6.13,5.74,6.12,78850.0,2020-02-10
27,MNOV,6.11,6.23,6.08,6.16,62566.0,2020-02-11
28,MNOV,6.16,6.17,6.06,6.06,48804.0,2020-02-12
29,MNOV,6.06,6.08,5.92,6.05,62113.0,2020-02-13
30,MNOV,6.04,6.31,6.03,6.15,70331.0,2020-02-14
31,MNOV,6.1,6.1,5.67,5.83,47256.0,2020-02-18
32,MNOV,5.89,5.97,5.76,5.76,50569.0,2020-02-19
33,MNOV,5.7,5.72,5.53,5.63,40616.0,2020-02-20
34,MNOV,5.14,5.43,4.94,4.99,170243.0,2020-02-21
35,MNOV,4.86,4.98,4.73,4.76,130365.0,2020-02-24
36,MNOV,4.65,4.65,4.28,4.45,260929.0,2020-02-25
37,MNOV,4.63,4.66,4.51,4.56,111552.0,2020-02-26
38,MNOV,4.44,4.44,4.13,4.13,132058.0,2020-02-27
39,MNOV,3.92,4.22,3.92,4.2,127334.0,2020-02-28
40,MNOV,4.25,4.6,4.25,4.59,107303.0,2020-03-02
41,MNOV,4.56,4.56,4.2,4.305,135316.0,2020-03-03
42,MNOV,4.31,4.4,4.2,4.38,70059.0,2020-03-04
43,MNOV,4.2,4.24,4.01,4.09,127896.0,2020-03-05
44,MNOV,3.9,4.17,3.9,4.04,129627.0,2020-03-06
45,MNOV,3.87,4.15,3.5716,3.79,232591.0,2020-03-09
46,MNOV,3.98,3.98,3.57,3.59,182159.0,2020-03-10
47,MNOV,3.46,3.46,3.235,3.29,185859.0,2020-03-11
48,MNOV,2.88,3.15,2.79,3.13,272601.0,2020-03-12
49,MNOV,3.47,4.04,3.26,4.03,261165.0,2020-03-13
50,MNOV,4.06,4.21,3.9,3.93,214416.0,2020-03-16
51,MNOV,3.96,4.2,3.69,4.15,220413.0,2020-03-17
52,MNOV,3.8,3.82,3.165,3.28,190795.0,2020-03-18
53,MNOV,3.33,3.51,3.0,3.45,252313.0,2020-03-19
54,MNOV,3.4,3.46,2.94,2.98,272428.0,2020-03-20
55,MNOV,3.02,3.02,2.82,2.9,147800.0,2020-03-23
56,MNOV,3.08,3.24,3.02,3.24,180850.0,2020-03-24
57,MNOV,3.21,3.34,3.05,3.17,195802.0,2020-03-25
58,MNOV,3.21,3.3843,3.2,3.38,135891.0,2020-03-26
59,MNOV,3.37,3.49,3.101,3.28,206800.0,2020-03-27
60,MNOV,3.39,3.64,3.36,3.61,131611.0,2020-03-30
61,MNOV,3.65,3.85,3.62,3.72,126536.0,2020-03-31
62,MNOV,3.7,3.7,3.41,3.46,111217.0,2020-04-01
63,MNOV,3.42,3.43,3.22,3.36,107805.0,2020-04-02
64,MNOV,3.33,3.33,3.03,3.06,115095.0,2020-04-03
65,MNOV,3.23,3.28,3.07,3.23,147954.0,2020-04-06
66,MNOV,3.28,3.44,3.18,3.2,76551.0,2020-04-07
67,MNOV,3.56,4.6,3.56,4.41,610150.0,2020-04-08
68,MNOV,5.44,6.84,5.11,6.09,1196252.0,2020-04-09
69,MNOV,7.0,7.5,6.41,7.06,936890.0,2020-04-13
70,MNOV,6.82,6.82,5.81,6.26,422818.0,2020-04-14
71,MNOV,6.23,6.23,5.61,5.715,169935.0,2020-04-15
72,MNOV,5.68,5.735,5.32,5.42,146386.0,2020-04-16
73,MNOV,5.64,5.7,5.4,5.53,142772.0,2020-04-17
74,MNOV,5.3,5.5,5.17,5.26,129786.0,2020-04-20
75,MNOV,5.05,5.17,4.965,5.01,81005.0,2020-04-21
76,MNOV,5.03,5.12,4.86,4.97,118497.0,2020-04-22
77,MNOV,5.01,5.42,5.01,5.21,152169.0,2020-04-23
78,MNOV,5.29,5.64,5.22,5.45,149673.0,2020-04-24
79,MNOV,5.69,5.69,5.4,5.54,170596.0,2020-04-27
80,MNOV,5.66,5.66,5.23,5.4,156899.0,2020-04-28
81,MNOV,5.64,5.64,5.44,5.45,188360.0,2020-04-29
82,MNOV,5.37,5.41,5.14,5.15,114131.0,2020-04-30
83,MNOV,5.1,5.45,4.93,5.43,169986.0,2020-05-01
84,MNOV,5.36,5.46,5.06,5.29,125343.0,2020-05-04
85,MNOV,5.36,5.49,5.07,5.13,117705.0,2020-05-05
86,MNOV,5.18,5.36,5.1,5.32,95083.0,2020-05-06
87,MNOV,5.4,5.52,5.31,5.4,93570.0,2020-05-07
88,MNOV,5.55,5.58,5.37,5.47,111539.0,2020-05-08
89,MNOV,5.39,5.51,5.31,5.33,118837.0,2020-05-11
90,MNOV,5.37,5.77,5.37,5.47,172439.0,2020-05-12
91,MNOV,5.55,5.78,5.395,5.7,122268.0,2020-05-13
92,MNOV,5.67,5.72,5.47,5.71,133049.0,2020-05-14
93,MNOV,5.82,5.82,5.43,5.54,113066.0,2020-05-15
94,MNOV,5.84,5.84,5.36,5.51,134264.0,2020-05-18
95,MNOV,5.45,5.5,5.1,5.13,93257.0,2020-05-19
96,MNOV,5.16,5.38,5.16,5.32,96189.0,2020-05-20
97,MNOV,5.35,5.36,5.23,5.31,51442.0,2020-05-21
98,MNOV,5.33,5.55,5.26,5.55,47338.0,2020-05-22
99,MNOV,5.65,5.65,5.28,5.3,109189.0,2020-05-26
100,MNOV,5.37,5.5,5.16,5.49,102723.0,2020-05-27
101,MNOV,5.49,5.55,5.33,5.34,85723.0,2020-05-28
102,MNOV,5.28,5.36,5.13,5.34,64673.0,2020-05-29
103,MNOV,5.34,5.49,5.25,5.42,99007.0,2020-06-01
104,MNOV,5.54,5.6,5.45,5.57,67042.0,2020-06-02
105,MNOV,5.6,5.6,5.38,5.44,67131.0,2020-06-03
106,MNOV,5.33,5.38,5.09,5.18,86861.0,2020-06-04
107,MNOV,5.25,5.43,5.25,5.325,115175.0,2020-06-05
108,MNOV,5.37,5.55,5.26,5.47,144541.0,2020-06-08
109,MNOV,5.39,5.83,5.39,5.76,105509.0,2020-06-09
110,MNOV,5.71,5.88,5.65,5.735,71958.0,2020-06-10
111,MNOV,5.55,5.55,5.22,5.24,104409.0,2020-06-11
112,MNOV,5.44,5.52,5.13,5.31,76385.0,2020-06-12
113,MNOV,6.16,6.39,6.06,6.36,238048.0,2020-06-15
114,MNOV,6.1,6.28,5.5,5.7,137459.0,2020-06-16
115,MNOV,5.67,5.75,5.495,5.57,58193.0,2020-06-17
116,MNOV,5.48,5.625,5.41,5.43,69626.0,2020-06-18
117,MNOV,5.4,5.7,5.34,5.42,175224.0,2020-06-19
118,MNOV,5.39,5.55,5.31,5.54,76122.0,2020-06-22
119,MNOV,5.57,5.68,5.41,5.45,55150.0,2020-06-23
120,MNOV,5.95,6.0,5.42,5.6,218829.0,2020-06-24
121,MNOV,5.63,5.66,5.45,5.66,131359.0,2020-06-25
122,MNOV,6.16,6.17,5.63,5.65,624008.0,2020-06-26
123,MNOV,5.64,5.64,5.36,5.44,134530.0,2020-06-29
124,MNOV,5.43,5.54,5.37,5.42,80225.0,2020-06-30
125,MNOV,6.0,6.0,5.58,5.79,475937.0,2020-07-01
126,MNOV,5.61,5.69,5.36,5.65,352154.0,2020-07-02
127,MNOV,5.6,5.81,5.41,5.71,259013.0,2020-07-06
128,MNOV,5.64,5.87,5.55,5.7,92064.0,2020-07-07
129,MNOV,5.69,5.79,5.59,5.78,82665.0,2020-07-08
130,MNOV,5.72,5.75,5.4,5.49,121540.0,2020-07-09
131,MNOV,5.49,5.64,5.48,5.6,54814.0,2020-07-10
132,MNOV,5.6,5.65,5.23,5.23,110089.0,2020-07-13
133,MNOV,5.2,5.36,5.16,5.33,67077.0,2020-07-14
134,MNOV,5.41,5.58,5.37,5.56,160261.0,2020-07-15
135,MNOV,5.5,5.57,5.45,5.54,59015.0,2020-07-16
136,MNOV,5.49,5.685,5.49,5.61,107672.0,2020-07-17
137,MNOV,5.58,5.89,5.58,5.87,97141.0,2020-07-20
138,MNOV,5.83,5.92,5.72,5.77,127901.0,2020-07-21
139,MNOV,5.73,5.83,5.7,5.79,59091.0,2020-07-22
140,MNOV,5.77,5.9,5.655,5.76,82162.0,2020-07-23
141,MNOV,5.68,5.77,5.62,5.64,48996.0,2020-07-24
142,MNOV,6.5,13.25,6.4,11.0,82447594.0,2020-07-27
143,MNOV,8.66,8.88,7.15,7.4,6555981.0,2020-07-28
144,MNOV,6.81,7.21,6.5,6.72,2537622.0,2020-07-29
145,MNOV,6.53,7.4,6.4,6.54,1632189.0,2020-07-30
146,MNOV,6.67,6.91,6.19,6.22,934675.0,2020-07-31
147,MNOV,6.22,6.5,6.12,6.34,552570.0,2020-08-03
148,MNOV,6.46,6.46,6.13,6.26,368888.0,2020-08-04
149,MNOV,6.36,6.45,6.23,6.39,252309.0,2020-08-05
150,MNOV,7.0351,7.0351,6.19,6.3,1116447.0,2020-08-06
151,MNOV,6.3,6.41,6.2,6.32,299257.0,2020-08-07
152,MNOV,6.45,6.48,6.13,6.18,351619.0,2020-08-10
153,MNOV,6.2,6.22,5.89,5.92,410349.0,2020-08-11
154,MNOV,5.93,6.13,5.75,5.8,568741.0,2020-08-12
155,MNOV,5.88,5.96,5.66,5.72,334615.0,2020-08-13
156,MNOV,5.84,6.23,5.8035,6.06,307411.0,2020-08-14
157,MNOV,5.99,6.06,5.92,6.01,165756.0,2020-08-17
158,MNOV,6.06,6.06,5.76,5.83,195421.0,2020-08-18
159,MNOV,5.8,5.88,5.72,5.75,159745.0,2020-08-19
160,MNOV,5.66,5.7,5.516,5.65,132570.0,2020-08-20
161,MNOV,5.6,5.68,5.46,5.54,221412.0,2020-08-21
162,MNOV,5.61,5.61,5.36,5.42,223142.0,2020-08-24
163,MNOV,5.43,5.485,5.28,5.32,169762.0,2020-08-25
164,MNOV,5.35,5.53,5.35,5.42,138315.0,2020-08-26
165,MNOV,5.41,5.43,5.26,5.3,117360.0,2020-08-27
166,MNOV,5.32,5.43,5.26,5.31,138779.0,2020-08-28
167,MNOV,5.34,5.34,5.21,5.24,146574.0,2020-08-31
168,MNOV,5.61,5.67,5.285,5.37,429938.0,2020-09-01
169,MNOV,5.37,5.37,5.211,5.31,212560.0,2020-09-02
170,MNOV,5.27,5.31,5.11,5.14,124910.0,2020-09-03
171,MNOV,5.17,5.2372,4.95,5.05,225981.0,2020-09-04
172,MNOV,4.99,5.26,4.99,5.16,122051.0,2020-09-08
173,MNOV,5.23,5.39,5.23,5.36,110753.0,2020-09-09
174,MNOV,5.38,5.5,5.3475,5.39,79201.0,2020-09-10
175,MNOV,5.71,5.74,5.43,5.56,341319.0,2020-09-11
176,MNOV,5.62,5.8,5.62,5.76,116916.0,2020-09-14
177,MNOV,5.78,5.96,5.73,5.82,132987.0,2020-09-15
178,MNOV,5.88,6.04,5.84,5.92,155475.0,2020-09-16
179,MNOV,5.84,5.99,5.8,5.91,98776.0,2020-09-17
180,MNOV,5.98,5.98,5.68,5.72,249119.0,2020-09-18
181,MNOV,5.61,5.665,5.32,5.41,174733.0,2020-09-21
182,MNOV,5.45,5.55,5.31,5.54,110685.0,2020-09-22
183,MNOV,6.66,6.76,5.71,5.99,16559707.0,2020-09-23
184,MNOV,5.22,5.48,4.631,4.67,1766717.0,2020-09-24
185,MNOV,4.9,5.08,4.73,4.91,813107.0,2020-09-25
186,MNOV,4.93,5.04,4.75,4.96,485821.0,2020-09-28
187,MNOV,4.99,5.11,4.8507,5.11,446190.0,2020-09-29
188,MNOV,5.07,5.26,5.07,5.24,374873.0,2020-09-30
189,MNOV,5.21,5.29,5.14,5.27,228920.0,2020-10-01
190,MNOV,5.19,5.37,5.08,5.33,251226.0,2020-10-02
191,MNOV,5.32,5.462,5.3,5.39,218597.0,2020-10-05
192,MNOV,5.38,5.49,5.28,5.32,168499.0,2020-10-06
193,MNOV,5.36,5.45,5.28,5.45,154396.0,2020-10-07
194,MNOV,5.4253,5.48,5.33,5.44,109154.0,2020-10-08
195,MNOV,5.4,5.49,5.31,5.46,100710.0,2020-10-09
196,MNOV,5.47,5.48,5.31,5.39,139435.0,2020-10-12
197,MNOV,5.43,5.43,5.23,5.31,102709.0,2020-10-13
198,MNOV,5.34,5.38,5.24,5.26,144413.0,2020-10-14
199,MNOV,5.19,5.34,5.0543,5.295,163853.0,2020-10-15
200,MNOV,5.29,5.43,5.27,5.37,163822.0,2020-10-16
