,ticker,open,high,low,close,volume,timestamp
0,MVO,6.27,6.3307,6.215,6.26,25394,2020-01-02
1,MVO,6.35,6.48,6.304,6.43,37930,2020-01-03
2,MVO,6.5,6.5,6.27,6.35,108208,2020-01-06
3,MVO,6.26,6.35,6.15,6.15,61600,2020-01-07
4,MVO,6.06,6.36,6.06,6.2871,48482,2020-01-08
5,MVO,6.38,6.39,6.25,6.37,41672,2020-01-09
6,MVO,6.45,6.45,6.3402,6.39,71436,2020-01-10
7,MVO,6.39,6.43,6.24,6.3,141027,2020-01-13
8,MVO,6.2,6.35,6.12,6.21,74193,2020-01-14
9,MVO,6.2,6.2399,6.11,6.15,47193,2020-01-15
10,MVO,6.15,6.162,6.0528,6.16,43840,2020-01-16
11,MVO,6.1,6.1806,5.99,5.9995,85241,2020-01-17
12,MVO,6.0,6.02,5.6105,5.7,111254,2020-01-21
13,MVO,5.75,5.89,5.75,5.8,33659,2020-01-22
14,MVO,5.77,5.86,5.702,5.78,28570,2020-01-23
15,MVO,5.83,5.891,5.65,5.77,39032,2020-01-24
16,MVO,5.63,5.96,5.6,5.6,74062,2020-01-27
17,MVO,5.6,5.7,5.54,5.63,22986,2020-01-28
18,MVO,5.73,5.73,5.54,5.56,29215,2020-01-29
19,MVO,5.54,5.5717,5.32,5.48,55897,2020-01-30
20,MVO,5.42,5.58,5.35,5.41,17197,2020-01-31
21,MVO,5.4301,5.4301,5.35,5.35,22914,2020-02-03
22,MVO,5.37,5.46,5.35,5.36,41432,2020-02-04
23,MVO,5.37,5.55,5.36,5.42,24732,2020-02-05
24,MVO,5.38,5.43,5.37,5.37,9186,2020-02-06
25,MVO,5.37,5.41,5.35,5.41,14256,2020-02-07
26,MVO,5.4,5.42,5.0,5.23,105792,2020-02-10
27,MVO,5.17,5.2573,5.11,5.16,17928,2020-02-11
28,MVO,5.21,5.3127,5.16,5.21,32341,2020-02-12
29,MVO,5.15,5.28,5.145,5.28,13573,2020-02-13
30,MVO,5.26,5.3135,5.2,5.28,15208,2020-02-14
31,MVO,5.26,5.26,5.16,5.16,12284,2020-02-18
32,MVO,5.18,5.27,5.15,5.19,18512,2020-02-19
33,MVO,5.24,5.27,5.0,5.08,65791,2020-02-20
34,MVO,5.05,5.05,5.0,5.05,16192,2020-02-21
35,MVO,5.05,5.05,4.71,4.94,58262,2020-02-24
36,MVO,4.93,4.9391,4.61,4.77,54072,2020-02-25
37,MVO,4.77,4.86,4.67,4.86,22927,2020-02-26
38,MVO,4.86,4.86,4.37,4.7,128839,2020-02-27
39,MVO,4.5,4.56,4.36,4.56,71057,2020-02-28
40,MVO,4.56,4.76,4.4994,4.6677,35356,2020-03-02
41,MVO,4.768,5.0,4.72,5.0,23333,2020-03-03
42,MVO,5.06,5.16,4.78,4.8234,53118,2020-03-04
43,MVO,4.8,4.8437,4.58,4.64,45109,2020-03-05
44,MVO,4.65,4.65,4.32,4.47,56366,2020-03-06
45,MVO,3.11,3.895,3.11,3.4343,123910,2020-03-09
46,MVO,3.9,4.12,3.7,4.04,64442,2020-03-10
47,MVO,3.99,3.99,3.5,3.55,30209,2020-03-11
48,MVO,3.49,3.63,3.2,3.63,41591,2020-03-12
49,MVO,3.68,3.7664,3.29,3.3,56815,2020-03-13
50,MVO,3.09,3.09,1.76,2.5,103303,2020-03-16
51,MVO,2.6,2.6,2.0,2.3,138085,2020-03-17
52,MVO,2.3,2.3029,2.02,2.2,56535,2020-03-18
53,MVO,2.2,2.3,2.1001,2.1416,104285,2020-03-19
54,MVO,2.2,2.3975,2.15,2.17,84415,2020-03-20
55,MVO,2.1,2.13,1.8,1.84,76210,2020-03-23
56,MVO,2.0,2.14,1.99,2.04,33995,2020-03-24
57,MVO,2.12,2.785,2.04,2.5107,212434,2020-03-25
58,MVO,2.55,2.57,2.4045,2.42,84408,2020-03-26
59,MVO,2.45,2.7,2.32,2.7,45824,2020-03-27
60,MVO,2.6,2.7,2.4,2.415,24660,2020-03-30
61,MVO,2.63,2.63,2.368,2.4,27863,2020-03-31
62,MVO,2.31,2.38,2.0999,2.15,33112,2020-04-01
63,MVO,2.2,3.54,2.2,2.96,194654,2020-04-02
64,MVO,3.09,3.25,2.4975,2.77,113983,2020-04-03
65,MVO,3.0,3.0017,2.8,3.0017,42868,2020-04-06
66,MVO,3.0,3.85,3.0,3.53,136585,2020-04-07
67,MVO,3.87,4.1,3.76,4.1,94215,2020-04-08
68,MVO,4.15,4.5,4.04,4.1568,151058,2020-04-09
69,MVO,4.22,4.46,4.1,4.45,221680,2020-04-13
70,MVO,4.23,4.23,3.55,3.63,98894,2020-04-14
71,MVO,3.64,3.64,3.01,3.29,92274,2020-04-15
72,MVO,3.44,3.44,2.9,2.98,51643,2020-04-16
73,MVO,2.98,3.15,2.8503,3.15,36284,2020-04-17
74,MVO,2.98,3.1675,2.87,2.96,90901,2020-04-20
75,MVO,2.94,2.99,2.77,2.78,42617,2020-04-21
76,MVO,2.8,3.75,2.8,3.41,181389,2020-04-22
77,MVO,3.31,3.3946,3.147,3.32,50915,2020-04-23
78,MVO,3.57,3.6225,3.17,3.23,71190,2020-04-24
79,MVO,3.39,3.4,3.15,3.24,71593,2020-04-27
80,MVO,3.3,3.34,3.16,3.24,66980,2020-04-28
81,MVO,3.32,3.3902,3.2101,3.24,40663,2020-04-29
82,MVO,3.21,3.335,3.21,3.25,15404,2020-04-30
83,MVO,3.34,3.34,3.02,3.09,21143,2020-05-01
84,MVO,3.11,3.271,3.11,3.15,22031,2020-05-04
85,MVO,3.47,3.5,3.3187,3.38,68667,2020-05-05
86,MVO,3.5,3.5,3.18,3.2,30883,2020-05-06
87,MVO,3.27,3.35,3.1,3.13,29000,2020-05-07
88,MVO,3.1957,3.47,3.1957,3.29,21831,2020-05-08
89,MVO,3.45,3.46,3.0,3.05,31891,2020-05-11
90,MVO,3.05,3.21,3.045,3.17,31580,2020-05-12
91,MVO,3.23,3.23,3.01,3.19,34655,2020-05-13
92,MVO,3.15,3.18,3.01,3.18,16616,2020-05-14
93,MVO,3.21,3.3,3.11,3.3,17681,2020-05-15
94,MVO,3.31,3.53,3.31,3.53,44943,2020-05-18
95,MVO,3.52,3.68,3.38,3.6,25201,2020-05-19
96,MVO,3.51,3.5499,3.4,3.44,21644,2020-05-20
97,MVO,3.39,3.45,3.31,3.36,31883,2020-05-21
98,MVO,3.38,3.5,3.35,3.37,11750,2020-05-22
99,MVO,3.4,3.69,3.4,3.69,39773,2020-05-26
100,MVO,3.7,3.75,3.53,3.7,39689,2020-05-27
101,MVO,3.77,3.85,3.5,3.55,30100,2020-05-28
102,MVO,3.5,3.5168,3.25,3.51,30687,2020-05-29
103,MVO,3.45,3.57,3.36,3.53,22289,2020-06-01
104,MVO,3.59,3.59,3.39,3.485,22477,2020-06-02
105,MVO,3.59,3.59,3.48,3.57,38212,2020-06-03
