,ticker,open,high,low,close,volume,timestamp
0,NTB,37.25,37.43,36.75,37.42,92734.0,2020-01-02
1,NTB,36.9,37.41,36.8035,37.04,133812.0,2020-01-03
2,NTB,36.74,36.9041,36.4527,36.69,133733.0,2020-01-06
3,NTB,36.43,36.77,36.32,36.53,120298.0,2020-01-07
4,NTB,36.53,37.0019,36.53,36.76,97927.0,2020-01-08
5,NTB,36.65,36.72,36.28,36.45,167358.0,2020-01-09
6,NTB,36.33,37.15,36.23,36.35,146604.0,2020-01-10
7,NTB,36.4,36.575,36.18,36.26,221610.0,2020-01-13
8,NTB,36.26,36.47,36.09,36.19,227818.0,2020-01-14
9,NTB,35.88,36.14,35.46,35.55,199010.0,2020-01-15
10,NTB,35.83,36.56,35.68,36.48,463962.0,2020-01-16
11,NTB,36.67,36.88,35.9,35.92,166445.0,2020-01-17
12,NTB,35.93,36.0999,35.12,35.2,129916.0,2020-01-21
13,NTB,35.41,35.89,35.265,35.39,163572.0,2020-01-22
14,NTB,35.2,35.43,34.8205,35.24,222903.0,2020-01-23
15,NTB,35.14,35.38,34.64,34.86,151213.0,2020-01-24
16,NTB,34.2,34.5949,33.94,34.01,98411.0,2020-01-27
17,NTB,34.24,34.445,34.02,34.33,130359.0,2020-01-28
18,NTB,34.34,34.415,33.91,34.04,159621.0,2020-01-29
19,NTB,33.62,34.3,33.49,34.3,126862.0,2020-01-30
20,NTB,34.06,34.1,33.17,33.22,131661.0,2020-01-31
21,NTB,33.29,33.96,33.29,33.37,114539.0,2020-02-03
22,NTB,33.89,34.16,33.65,33.79,170195.0,2020-02-04
23,NTB,34.28,34.79,34.28,34.64,226331.0,2020-02-05
24,NTB,34.86,34.86,34.32,34.35,102607.0,2020-02-06
25,NTB,34.14,34.145,33.63,33.83,202486.0,2020-02-07
26,NTB,33.64,34.07,33.5976,34.07,140598.0,2020-02-10
27,NTB,34.22,34.81,34.22,34.31,105496.0,2020-02-11
28,NTB,34.69,34.834,34.0,34.51,294458.0,2020-02-12
29,NTB,34.42,34.55,34.01,34.24,134603.0,2020-02-13
30,NTB,34.12,34.25,33.53,33.72,162737.0,2020-02-14
31,NTB,33.67,33.96,33.38,33.42,139448.0,2020-02-18
32,NTB,33.42,34.12,33.42,33.79,135518.0,2020-02-19
33,NTB,33.64,34.57,33.64,34.06,285139.0,2020-02-20
34,NTB,34.03,34.03,33.28,33.6,343147.0,2020-02-21
35,NTB,32.78,32.78,31.9016,32.01,265012.0,2020-02-24
36,NTB,31.73,31.73,30.16,30.22,172928.0,2020-02-25
37,NTB,30.18,30.57,29.83,29.84,219101.0,2020-02-26
38,NTB,29.23,30.119,28.7,28.99,271996.0,2020-02-27
39,NTB,28.36,28.79,27.25,27.68,328043.0,2020-02-28
40,NTB,27.91,29.08,27.78,29.06,279131.0,2020-03-02
41,NTB,29.01,29.43,27.34,27.54,346161.0,2020-03-03
42,NTB,27.89,27.95,26.66,27.05,581404.0,2020-03-04
43,NTB,26.19,26.74,25.68,26.11,415553.0,2020-03-05
44,NTB,25.02,26.34,24.85,25.7,423271.0,2020-03-06
45,NTB,24.56,24.78,21.57,21.72,446414.0,2020-03-09
46,NTB,22.32,22.7963,21.26,22.06,387679.0,2020-03-10
47,NTB,21.35,21.86,20.91,21.22,345129.0,2020-03-11
48,NTB,19.07,20.87,19.0,19.01,341166.0,2020-03-12
49,NTB,20.27,21.72,19.37,21.65,567164.0,2020-03-13
50,NTB,19.0,19.8,18.21,18.26,321427.0,2020-03-16
51,NTB,18.44,19.37,17.32,19.12,521637.0,2020-03-17
52,NTB,17.63,18.51,17.09,17.86,481270.0,2020-03-18
53,NTB,17.5,18.321,16.67,17.09,398017.0,2020-03-19
54,NTB,17.0,17.09,14.445,15.03,1076939.0,2020-03-20
55,NTB,14.77,16.34,13.76,15.21,446153.0,2020-03-23
56,NTB,16.07,18.13,15.7172,18.12,350651.0,2020-03-24
57,NTB,18.0,19.0585,16.81,17.04,465252.0,2020-03-25
58,NTB,17.24,17.93,17.05,17.78,493682.0,2020-03-26
59,NTB,17.0,17.09,15.89,16.51,371534.0,2020-03-27
60,NTB,17.0,17.65,16.5408,17.56,596932.0,2020-03-30
61,NTB,17.09,17.4741,16.52,17.03,425690.0,2020-03-31
62,NTB,16.34,16.34,15.38,15.51,558101.0,2020-04-01
63,NTB,15.51,16.83,15.3031,16.57,250862.0,2020-04-02
64,NTB,16.61,16.85,15.8101,15.96,381133.0,2020-04-03
65,NTB,16.9,17.83,16.77,17.27,450573.0,2020-04-06
66,NTB,18.01,18.8473,17.24,17.33,592858.0,2020-04-07
67,NTB,17.79,18.42,17.4,18.0,486639.0,2020-04-08
68,NTB,18.0,19.5,18.0,19.17,407346.0,2020-04-09
69,NTB,19.23,19.45,17.94,18.71,362516.0,2020-04-13
70,NTB,19.33,19.4,18.405,18.69,325407.0,2020-04-14
71,NTB,17.9,18.06,17.24,17.59,308932.0,2020-04-15
72,NTB,17.75,17.815,16.7701,17.21,399991.0,2020-04-16
73,NTB,18.0,18.945,18.0,18.34,654358.0,2020-04-17
74,NTB,17.96,19.18,17.72,18.42,333301.0,2020-04-20
75,NTB,17.65,18.44,17.58,17.84,230681.0,2020-04-21
76,NTB,18.43,18.6,17.18,17.29,363772.0,2020-04-22
77,NTB,17.27,18.225,17.27,17.8,398832.0,2020-04-23
78,NTB,17.93,18.48,17.74,18.33,248479.0,2020-04-24
79,NTB,18.44,19.91,18.44,19.7,317138.0,2020-04-27
80,NTB,20.45,21.09,19.93,20.32,529011.0,2020-04-28
81,NTB,21.05,22.44,21.04,22.19,467021.0,2020-04-29
82,NTB,21.68,22.17,21.01,22.01,379390.0,2020-04-30
83,NTB,22.0,22.46,21.09,21.86,564366.0,2020-05-01
