,ticker,open,high,low,close,volume,timestamp
0,NVTS,5.61,5.7,5.4,5.43,757240.0,2022-09-19
1,NVTS,5.39,5.62,5.35,5.44,656902.0,2022-09-20
2,NVTS,5.51,5.68,5.37,5.37,798140.0,2022-09-21
3,NVTS,5.39,5.44,4.88,4.89,1340736.0,2022-09-22
4,NVTS,4.8,4.83,4.6,4.77,879693.0,2022-09-23
5,NVTS,4.79,5.1,4.745,4.75,925328.0,2022-09-26
6,NVTS,4.88,5.18,4.825,5.11,1646781.0,2022-09-27
7,NVTS,5.07,5.4101,4.935,5.28,848659.0,2022-09-28
8,NVTS,5.12,5.34,4.83,5.28,1925142.0,2022-09-29
9,NVTS,5.19,5.315,4.82,4.85,1095853.0,2022-09-30
10,NVTS,4.9,5.17,4.82,5.09,1057438.0,2022-10-03
11,NVTS,5.27,5.62,5.27,5.46,1646389.0,2022-10-04
12,NVTS,5.28,5.71,5.15,5.62,848954.0,2022-10-05
13,NVTS,5.62,5.91,5.31,5.34,1410145.0,2022-10-06
14,NVTS,5.19,5.23,4.81,4.84,1709023.0,2022-10-07
15,NVTS,4.8,4.8,4.27,4.28,1247523.0,2022-10-10
16,NVTS,4.25,4.35,4.0,4.25,1112149.0,2022-10-11
17,NVTS,4.25,4.26,4.0,4.02,1774728.0,2022-10-12
18,NVTS,3.95,4.46,3.84,4.29,1183851.0,2022-10-13
19,NVTS,4.34,4.42,4.06,4.08,845816.0,2022-10-14
20,NVTS,4.24,4.395,4.135,4.15,793711.0,2022-10-17
21,NVTS,4.29,4.4,4.0,4.12,987047.0,2022-10-18
22,NVTS,4.1,4.11,3.88,3.94,1029888.0,2022-10-19
23,NVTS,4.0,4.27,4.0,4.19,988909.0,2022-10-20
24,NVTS,4.15,4.275,4.0212,4.22,1026755.0,2022-10-21
25,NVTS,4.25,4.26,4.0495,4.18,790090.0,2022-10-24
26,NVTS,4.36,4.555,4.2678,4.5,1128604.0,2022-10-25
27,NVTS,4.36,4.685,4.35,4.55,1012323.0,2022-10-26
28,NVTS,4.58,4.645,4.09,4.09,1583454.0,2022-10-27
29,NVTS,4.1,4.25,4.09,4.24,779299.0,2022-10-28
30,NVTS,4.2,4.29,4.02,4.21,1395770.0,2022-10-31
31,NVTS,4.32,4.43,4.15,4.15,855826.0,2022-11-01
32,NVTS,4.22,4.4,4.08,4.08,909923.0,2022-11-02
33,NVTS,4.1,4.165,3.955,4.12,981906.0,2022-11-03
34,NVTS,4.22,4.27,4.03,4.22,885028.0,2022-11-04
35,NVTS,4.2,4.245,4.065,4.14,1395299.0,2022-11-07
36,NVTS,4.16,4.61,4.08,4.39,1646967.0,2022-11-08
37,NVTS,4.4,4.41,3.97,4.0,1498429.0,2022-11-09
38,NVTS,4.3,4.5785,4.29,4.4,2088800.0,2022-11-10
39,NVTS,4.35,4.93,4.28,4.89,1881154.0,2022-11-11
40,NVTS,4.82,5.54,4.65,5.32,2780183.0,2022-11-14
41,NVTS,5.48,5.67,5.3008,5.46,1487819.0,2022-11-15
42,NVTS,5.35,5.35,4.92,5.0,1253009.0,2022-11-16
43,NVTS,4.82,4.95,4.71,4.74,796743.0,2022-11-17
44,NVTS,4.37,4.62,4.3,4.61,1582334.0,2022-11-18
45,NVTS,4.06,4.515,4.06,4.49,1325753.0,2022-11-21
46,NVTS,4.52,4.52,4.3675,4.51,595356.0,2022-11-22
47,NVTS,4.46,4.715,4.45,4.65,559779.0,2022-11-23
48,NVTS,4.61,4.618,4.44,4.46,423288.0,2022-11-25
49,NVTS,4.4,4.445,4.145,4.15,587933.0,2022-11-28
50,NVTS,4.21,4.35,4.17,4.22,610028.0,2022-11-29
51,NVTS,4.28,4.76,4.23,4.76,1608687.0,2022-11-30
52,NVTS,4.76,4.89,4.62,4.64,674496.0,2022-12-01
53,NVTS,4.5,4.68,4.43,4.49,1003781.0,2022-12-02
54,NVTS,4.5,4.67,4.4,4.47,940087.0,2022-12-05
55,NVTS,4.5,4.53,4.23,4.29,742430.0,2022-12-06
56,NVTS,4.24,4.29,4.145,4.21,630020.0,2022-12-07
57,NVTS,4.22,4.41,4.1688,4.32,744937.0,2022-12-08
58,NVTS,4.3,4.485,4.21,4.36,742244.0,2022-12-09
59,NVTS,4.33,4.33,4.0,4.13,1147495.0,2022-12-12
60,NVTS,4.36,4.47,4.08,4.12,1185399.0,2022-12-13
61,NVTS,4.1,4.17,3.95,4.01,1729016.0,2022-12-14
62,NVTS,3.9,4.01,3.86,3.89,1763500.0,2022-12-15
63,NVTS,3.87,3.91,3.66,3.72,2895429.0,2022-12-16
64,NVTS,3.72,3.725,3.39,3.45,2046702.0,2022-12-19
65,NVTS,3.42,3.635,3.389,3.44,1634018.0,2022-12-20
66,NVTS,3.52,3.66,3.43,3.65,790852.0,2022-12-21
67,NVTS,3.6,3.64,3.455,3.56,908198.0,2022-12-22
68,NVTS,3.55,3.58,3.4,3.48,781206.0,2022-12-23
69,NVTS,3.45,3.475,3.18,3.22,1256408.0,2022-12-27
70,NVTS,3.13,3.41,3.11,3.25,1491541.0,2022-12-28
71,NVTS,3.31,3.498,3.27,3.45,1575787.0,2022-12-29
72,NVTS,3.42,3.53,3.3095,3.51,874241.0,2022-12-30
73,NVTS,3.59,3.72,3.5488,3.61,756485.0,2023-01-03
74,NVTS,3.68,3.81,3.65,3.81,665929.0,2023-01-04
75,NVTS,3.8,3.8,3.625,3.63,499449.0,2023-01-05
76,NVTS,3.63,3.875,3.53,3.82,717741.0,2023-01-06
77,NVTS,3.85,4.15,3.84,4.05,1148688.0,2023-01-09
78,NVTS,4.05,4.09,3.95,4.07,789360.0,2023-01-10
79,NVTS,4.05,4.205,3.97,4.19,941867.0,2023-01-11
80,NVTS,4.26,4.51,4.14,4.5,1360682.0,2023-01-12
81,NVTS,4.43,4.6,4.42,4.58,1236874.0,2023-01-13
82,NVTS,4.56,4.605,4.505,4.6,1774897.0,2023-01-17
83,NVTS,4.6,4.62,4.315,4.41,1057541.0,2023-01-18
84,NVTS,4.35,4.41,4.12,4.26,908420.0,2023-01-19
85,NVTS,4.32,4.45,4.25,4.4,571621.0,2023-01-20
86,NVTS,4.44,4.77,4.3922,4.75,987561.0,2023-01-23
87,NVTS,4.71,5.01,4.68,4.84,1425945.0,2023-01-24
88,NVTS,4.74,4.99,4.64,4.98,716654.0,2023-01-25
89,NVTS,5.02,5.07,4.79,5.01,744789.0,2023-01-26
90,NVTS,4.975,5.25,4.93,5.17,822833.0,2023-01-27
91,NVTS,5.09,5.09,4.92,4.93,649753.0,2023-01-30
92,NVTS,4.96,5.065,4.82,4.96,1396021.0,2023-01-31
93,NVTS,5.02,5.65,5.02,5.56,1877590.0,2023-02-01
94,NVTS,5.58,5.9,5.53,5.84,1435737.0,2023-02-02
95,NVTS,5.7,6.05,5.632,5.8,1408568.0,2023-02-03
96,NVTS,5.76,5.86,5.605,5.65,814337.0,2023-02-06
97,NVTS,5.62,5.79,5.4101,5.73,1257085.0,2023-02-07
98,NVTS,5.8,6.04,5.42,5.46,981811.0,2023-02-08
99,NVTS,5.6,5.88,5.28,5.37,1193811.0,2023-02-09
100,NVTS,5.31,5.44,5.17,5.33,949236.0,2023-02-10
101,NVTS,5.4,5.415,5.22,5.32,737082.0,2023-02-13
102,NVTS,5.25,5.775,5.25,5.65,1017114.0,2023-02-14
103,NVTS,5.61,5.89,5.5798,5.85,881804.0,2023-02-15
104,NVTS,5.7,6.08,5.66,5.84,1102123.0,2023-02-16
105,NVTS,5.89,5.93,5.6985,5.77,638336.0,2023-02-17
106,NVTS,5.7,6.0,5.065,5.07,2197020.0,2023-02-21
107,NVTS,5.15,5.4589,5.14,5.405,1160533.0,2023-02-22
108,NVTS,5.62,5.935,5.57,5.77,1615185.0,2023-02-23
109,NVTS,5.9,6.96,5.63,6.13,6150799.0,2023-02-24
110,NVTS,6.01,6.515,5.955,6.45,2719232.0,2023-02-27
111,NVTS,6.19,6.555,6.19,6.49,2726942.0,2023-02-28
112,NVTS,6.54,6.58,6.08,6.09,1601621.0,2023-03-01
113,NVTS,5.92,6.145,5.53,6.07,2271885.0,2023-03-02
114,NVTS,5.82,6.455,5.82,6.32,1466143.0,2023-03-03
115,NVTS,6.43,6.75,6.27,6.31,2215659.0,2023-03-06
116,NVTS,6.12,6.675,6.12,6.32,2244543.0,2023-03-07
117,NVTS,6.45,6.78,6.38,6.75,1589024.0,2023-03-08
118,NVTS,6.63,6.81,6.32,6.33,1725201.0,2023-03-09
119,NVTS,6.34,6.55,6.0,6.17,1688088.0,2023-03-10
120,NVTS,6.04,6.425,5.821,6.38,1600437.0,2023-03-13
121,NVTS,6.47,6.645,6.27,6.49,1471606.0,2023-03-14
122,NVTS,6.3,6.35,5.84,6.04,2197214.0,2023-03-15
123,NVTS,6.06,6.75,5.97,6.665,1679376.0,2023-03-16
124,NVTS,6.55,6.69,6.299,6.39,2659849.0,2023-03-17
125,NVTS,6.33,6.465,6.24,6.45,1063155.0,2023-03-20
126,NVTS,6.49,7.13,6.49,7.1,1865448.0,2023-03-21
127,NVTS,7.06,7.28,6.82,6.82,1479479.0,2023-03-22
128,NVTS,7.03,7.1,6.61,6.88,1581160.0,2023-03-23
129,NVTS,6.7,6.73,6.24,6.5,2371335.0,2023-03-24
130,NVTS,6.55,6.9275,6.38,6.87,1665108.0,2023-03-27
131,NVTS,6.85,6.85,6.26,6.46,2369747.0,2023-03-28
132,NVTS,6.59,6.94,6.43,6.9,1687913.0,2023-03-29
133,NVTS,7.05,7.06,6.905,6.95,4449213.0,2023-03-30
134,NVTS,6.97,7.37,6.86,7.31,3046678.0,2023-03-31
135,NVTS,7.3,7.46,7.02,7.23,1511462.0,2023-04-03
136,NVTS,7.26,7.28,7.055,7.23,1323256.0,2023-04-04
137,NVTS,7.17,7.325,6.63,6.83,1757745.0,2023-04-05
138,NVTS,6.76,6.88,6.52,6.77,1202707.0,2023-04-06
139,NVTS,6.7,7.0,6.56,6.97,931949.0,2023-04-10
