,ticker,open,high,low,close,volume,timestamp
0,NXRT,45.4,45.4,44.1,44.16,470987.0,2020-01-02
1,NXRT,43.8,45.34,43.67,45.3,4546205.0,2020-01-03
2,NXRT,45.0,47.12,44.94,46.5,691422.0,2020-01-06
3,NXRT,46.25,46.25,44.97,45.43,329025.0,2020-01-07
4,NXRT,45.15,45.65,44.46,45.45,353709.0,2020-01-08
5,NXRT,45.31,45.73,44.83,45.35,262548.0,2020-01-09
6,NXRT,45.37,46.26,45.37,45.87,241766.0,2020-01-10
7,NXRT,45.72,46.2527,45.69,46.16,139972.0,2020-01-13
8,NXRT,46.09,46.14,45.67,45.94,191528.0,2020-01-14
9,NXRT,45.94,47.17,45.9,46.63,242650.0,2020-01-15
10,NXRT,46.71,47.02,46.33,46.86,138726.0,2020-01-16
11,NXRT,47.04,47.35,46.74,47.22,133057.0,2020-01-17
12,NXRT,47.29,48.6,47.165,48.58,167326.0,2020-01-21
13,NXRT,48.66,48.77,48.22,48.57,283953.0,2020-01-22
14,NXRT,48.6,49.5,48.55,49.32,274763.0,2020-01-23
15,NXRT,49.32,49.375,48.08,48.34,191619.0,2020-01-24
16,NXRT,48.01,49.405,48.01,48.94,147436.0,2020-01-27
17,NXRT,48.96,49.085,48.11,48.2,289141.0,2020-01-28
18,NXRT,48.18,48.18,47.46,47.72,183828.0,2020-01-29
19,NXRT,47.81,48.64,47.55,48.46,159208.0,2020-01-30
20,NXRT,48.57,48.9,47.92,48.8,241542.0,2020-01-31
21,NXRT,48.94,49.28,48.55,48.62,243231.0,2020-02-03
22,NXRT,48.69,49.35,48.54,48.7,178800.0,2020-02-04
23,NXRT,48.76,49.1,48.43,48.72,217250.0,2020-02-05
24,NXRT,48.78,49.29,48.77,49.06,153310.0,2020-02-06
25,NXRT,49.2,49.77,49.04,49.08,148011.0,2020-02-07
26,NXRT,49.31,50.05,49.31,49.91,107611.0,2020-02-10
27,NXRT,49.92,51.19,49.875,50.42,309185.0,2020-02-11
28,NXRT,50.54,50.7,49.93,50.34,151333.0,2020-02-12
29,NXRT,50.41,51.39,50.28,51.21,114245.0,2020-02-13
30,NXRT,51.37,52.44,51.37,52.0,172823.0,2020-02-14
31,NXRT,52.87,52.87,49.39,49.91,296758.0,2020-02-18
32,NXRT,49.79,51.14,49.375,50.53,291511.0,2020-02-19
33,NXRT,50.52,50.945,50.23,50.54,173366.0,2020-02-20
34,NXRT,50.57,51.61,50.23,50.23,604444.0,2020-02-21
35,NXRT,49.82,50.48,49.73,50.42,175338.0,2020-02-24
36,NXRT,50.43,51.09,48.281,48.6,807887.0,2020-02-25
37,NXRT,48.49,49.26,48.19,48.94,239539.0,2020-02-26
38,NXRT,48.34,48.65,46.37,46.45,177536.0,2020-02-27
39,NXRT,45.56,46.04,43.8231,44.5,343482.0,2020-02-28
40,NXRT,44.63,47.74,44.52,47.74,376145.0,2020-03-02
41,NXRT,47.79,49.2,47.52,48.1,176599.0,2020-03-03
42,NXRT,47.76,49.24,47.76,49.22,165994.0,2020-03-04
43,NXRT,48.47,49.22,47.94,48.77,188509.0,2020-03-05
44,NXRT,47.77,48.6,46.5,48.42,115959.0,2020-03-06
45,NXRT,46.0,46.1816,43.21,43.22,174850.0,2020-03-09
46,NXRT,44.1,45.99,41.82,45.85,194212.0,2020-03-10
47,NXRT,44.93,45.09,40.66,41.36,170172.0,2020-03-11
48,NXRT,38.98,38.98,32.15,33.67,446060.0,2020-03-12
49,NXRT,35.1,39.06,33.04,39.06,472470.0,2020-03-13
50,NXRT,35.0,35.63,32.16,32.28,505924.0,2020-03-16
51,NXRT,32.57,36.5,31.39,35.29,452501.0,2020-03-17
52,NXRT,32.62,34.52,29.28,33.71,842884.0,2020-03-18
53,NXRT,33.5,39.58,32.31,37.3,693457.0,2020-03-19
54,NXRT,36.79,37.37,26.05,27.0,733018.0,2020-03-20
55,NXRT,27.37,27.49,22.38,25.0,1097799.0,2020-03-23
56,NXRT,26.0,27.88,24.46,26.1,471011.0,2020-03-24
57,NXRT,26.1,27.42,23.26,23.95,558467.0,2020-03-25
58,NXRT,24.09,26.51,22.21,24.97,486213.0,2020-03-26
59,NXRT,24.53,27.49,24.15,26.65,379345.0,2020-03-27
