,ticker,open,high,low,close,volume,timestamp
0,OGE,44.5,44.54,43.75,44.06,811069.0,2020-01-02
1,OGE,43.98,44.23,43.86,44.07,1174000.0,2020-01-03
2,OGE,44.01,44.137,43.68,43.92,849469.0,2020-01-06
3,OGE,43.91,44.11,43.64,44.05,987105.0,2020-01-07
4,OGE,44.13,44.19,43.81,43.87,1342230.0,2020-01-08
5,OGE,43.55,43.78,43.22,43.68,1395273.0,2020-01-09
6,OGE,43.75,44.22,43.68,44.21,1595865.0,2020-01-10
7,OGE,44.19,44.75,44.19,44.69,1107522.0,2020-01-13
8,OGE,44.69,45.08,44.555,45.06,1425987.0,2020-01-14
9,OGE,45.21,45.5,45.07,45.32,1213311.0,2020-01-15
10,OGE,45.39,45.68,45.32,45.58,958495.0,2020-01-16
11,OGE,45.58,45.79,45.45,45.64,876268.0,2020-01-17
12,OGE,45.67,45.83,45.39,45.59,1001505.0,2020-01-21
13,OGE,45.73,45.82,45.33,45.41,1090779.0,2020-01-22
14,OGE,45.32,45.82,45.24,45.81,990782.0,2020-01-23
15,OGE,45.77,46.09,45.3,45.52,1094160.0,2020-01-24
16,OGE,45.37,45.75,45.13,45.49,1244179.0,2020-01-27
17,OGE,45.6,45.97,45.6,45.79,693075.0,2020-01-28
18,OGE,45.84,45.97,45.68,45.83,986392.0,2020-01-29
19,OGE,45.9,46.32,45.66,46.28,1337260.0,2020-01-30
20,OGE,46.14,46.33,45.71,45.85,1051759.0,2020-01-31
21,OGE,45.93,46.07,45.83,45.93,787847.0,2020-02-03
22,OGE,45.94,46.11,45.745,45.75,949132.0,2020-02-04
23,OGE,45.75,46.155,45.6,45.99,1018327.0,2020-02-05
24,OGE,45.97,46.27,45.89,46.01,945516.0,2020-02-06
25,OGE,46.05,46.08,45.83,45.95,738413.0,2020-02-07
26,OGE,46.05,46.17,45.85,46.13,821468.0,2020-02-10
27,OGE,46.25,46.43,45.88,45.96,761942.0,2020-02-11
28,OGE,46.04,46.07,45.56,45.83,995439.0,2020-02-12
29,OGE,45.78,45.98,45.52,45.77,970695.0,2020-02-13
30,OGE,45.82,46.13,45.635,46.12,1690399.0,2020-02-14
31,OGE,46.14,46.425,45.94,46.04,769610.0,2020-02-18
32,OGE,45.93,46.01,45.17,45.2,1430303.0,2020-02-19
33,OGE,45.08,45.25,44.8,44.92,1025837.0,2020-02-20
34,OGE,44.86,45.32,44.84,45.03,1454589.0,2020-02-21
35,OGE,44.59,45.09,44.5,44.5,1270948.0,2020-02-24
36,OGE,44.54,44.71,43.6,43.85,1797399.0,2020-02-25
37,OGE,43.95,44.2,43.09,43.12,1720859.0,2020-02-26
38,OGE,42.74,42.8,40.43,40.49,2523815.0,2020-02-27
39,OGE,39.67,39.67,37.16,38.1,3137241.0,2020-02-28
40,OGE,38.23,39.61,37.75,39.48,3596015.0,2020-03-02
41,OGE,39.53,40.32,38.62,38.66,3749947.0,2020-03-03
