,ticker,open,high,low,close,volume,timestamp
0,ONON,35.4,38.0,34.5,35.0,16538461.0,2021-09-15
1,ONON,36.0,40.13,35.9,37.49,6458744.0,2021-09-16
2,ONON,39.64,40.8,38.15,38.95,3661908.0,2021-09-17
3,ONON,38.0,38.0,34.35,36.01,2779643.0,2021-09-20
4,ONON,37.78,39.01,36.01,38.64,1339494.0,2021-09-21
5,ONON,39.4,39.8,35.55,35.75,1703681.0,2021-09-22
6,ONON,36.55,37.68,35.84,37.34,902269.0,2021-09-23
7,ONON,37.2,37.32,35.6,36.02,1180981.0,2021-09-24
8,ONON,35.71,35.99,32.92,33.37,1780587.0,2021-09-27
9,ONON,32.62,33.04,31.85,32.0,1776255.0,2021-09-28
10,ONON,32.24,33.24,30.31,30.9,2383351.0,2021-09-29
11,ONON,30.9,32.4,30.06,30.13,1486546.0,2021-09-30
12,ONON,30.14,30.98,29.8,30.5,1062483.0,2021-10-01
13,ONON,29.12,30.24,28.1,29.09,1308536.0,2021-10-04
14,ONON,29.09,31.18,28.93,30.44,1370182.0,2021-10-05
15,ONON,30.0,30.22,29.22,29.59,743370.0,2021-10-06
16,ONON,29.59,30.9694,29.29,29.84,615653.0,2021-10-07
17,ONON,30.04,30.42,29.01,30.07,640989.0,2021-10-08
18,ONON,30.3,31.62,30.3,30.69,1315704.0,2021-10-11
19,ONON,31.31,32.5,30.11,30.54,1164215.0,2021-10-12
20,ONON,30.8,31.35,30.649,30.7,684670.0,2021-10-13
21,ONON,31.18,31.22,29.15,29.57,1179358.0,2021-10-14
22,ONON,29.63,31.06,29.6,29.72,413471.0,2021-10-15
23,ONON,29.72,30.52,29.345,30.07,567856.0,2021-10-18
24,ONON,30.57,30.9,29.41,29.77,568471.0,2021-10-19
25,ONON,30.31,32.5,30.1,31.36,1265312.0,2021-10-20
26,ONON,31.18,33.85,31.18,33.71,1294301.0,2021-10-21
27,ONON,33.68,34.08,32.5,33.26,778638.0,2021-10-22
28,ONON,33.37,36.2,33.0101,34.98,1154443.0,2021-10-25
29,ONON,35.24,36.5,34.65,35.58,1571152.0,2021-10-26
30,ONON,35.9,35.9,33.68,34.0,1218292.0,2021-10-27
31,ONON,34.36,35.43,32.93,33.7,863696.0,2021-10-28
32,ONON,33.36,34.5,33.035,34.16,402670.0,2021-10-29
33,ONON,34.45,36.79,34.22,36.58,1037505.0,2021-11-01
34,ONON,36.77,36.96,35.21,35.41,542600.0,2021-11-02
35,ONON,35.41,38.76,35.33,38.45,1599892.0,2021-11-03
36,ONON,38.65,38.7,36.19,37.63,1198764.0,2021-11-04
37,ONON,38.08,39.8,37.89,39.19,1037441.0,2021-11-05
38,ONON,39.48,39.55,36.9,38.24,2049067.0,2021-11-08
39,ONON,38.21,39.42,37.51,37.85,1066204.0,2021-11-09
40,ONON,37.43,38.9299,36.91,37.19,783192.0,2021-11-10
41,ONON,37.52,37.792,35.55,37.01,765769.0,2021-11-11
42,ONON,37.55,37.68,35.85,37.2,662720.0,2021-11-12
43,ONON,37.75,38.72,36.1,36.43,2112367.0,2021-11-15
44,ONON,39.4,46.7,39.3,45.61,8917015.0,2021-11-16
45,ONON,43.05,55.87,43.05,51.45,7956373.0,2021-11-17
46,ONON,50.1,50.72,44.95,45.0,3128772.0,2021-11-18
47,ONON,48.39,48.97,42.2076,44.94,3758612.0,2021-11-19
48,ONON,45.19,45.4474,41.1,42.56,2243511.0,2021-11-22
49,ONON,42.16,45.79,41.3,42.49,2366987.0,2021-11-23
50,ONON,42.0,46.74,42.0,45.71,1907758.0,2021-11-24
51,ONON,44.0,44.0,41.15,43.11,1446650.0,2021-11-26
52,ONON,43.73,43.89,41.71,42.25,1608740.0,2021-11-29
53,ONON,41.26,41.99,38.35,40.16,2145626.0,2021-11-30
54,ONON,40.8,41.3999,38.83,39.05,1900423.0,2021-12-01
55,ONON,39.29,39.29,37.14,38.75,1906113.0,2021-12-02
56,ONON,38.75,39.95,36.01,36.8,2388839.0,2021-12-03
57,ONON,36.95,40.58,36.21,40.15,1763950.0,2021-12-06
58,ONON,41.17,43.17,40.6,42.39,1601334.0,2021-12-07
59,ONON,43.11,43.8,41.31,41.81,1078627.0,2021-12-08
60,ONON,41.95,42.5,39.2,39.41,1231537.0,2021-12-09
61,ONON,39.55,40.18,37.56,38.28,1496642.0,2021-12-10
62,ONON,37.87,38.02,35.51,36.02,2012372.0,2021-12-13
63,ONON,35.35,36.86,34.6,36.56,1720920.0,2021-12-14
64,ONON,36.21,37.83,34.85,37.2,1092419.0,2021-12-15
65,ONON,37.75,38.47,35.67,36.12,1860607.0,2021-12-16
66,ONON,35.02,37.25,34.1,36.2,1823631.0,2021-12-17
67,ONON,35.25,36.44,34.53,35.26,948571.0,2021-12-20
68,ONON,36.81,37.655,35.68,37.58,1034044.0,2021-12-21
69,ONON,37.07,37.855,36.685,37.67,486351.0,2021-12-22
70,ONON,37.85,38.9493,37.0,38.61,1089953.0,2021-12-23
71,ONON,38.99,39.12,36.37,36.52,1361484.0,2021-12-27
72,ONON,36.37,37.25,35.1,35.44,813475.0,2021-12-28
73,ONON,35.64,37.1,34.7501,37.03,743471.0,2021-12-29
74,ONON,36.74,38.8,36.71,38.07,632685.0,2021-12-30
75,ONON,38.07,39.06,37.8,37.81,295722.0,2021-12-31
76,ONON,38.75,40.22,38.11,38.68,1497222.0,2022-01-03
77,ONON,38.75,39.12,35.81,36.44,1542964.0,2022-01-04
78,ONON,36.2,36.2,32.0,32.86,2613851.0,2022-01-05
79,ONON,33.21,34.1,32.0,33.36,1990340.0,2022-01-06
80,ONON,33.34,33.67,31.796,33.0,1860664.0,2022-01-07
81,ONON,32.08,32.38,29.5,31.47,3130249.0,2022-01-10
82,ONON,31.79,33.7582,31.72,32.12,6291980.0,2022-01-11
83,ONON,32.2,32.73,30.0,30.68,3799324.0,2022-01-12
84,ONON,30.72,30.81,29.07,29.45,2776603.0,2022-01-13
85,ONON,29.25,29.49,26.38,28.03,4726798.0,2022-01-14
86,ONON,27.18,27.74,26.5,27.37,2772116.0,2022-01-18
87,ONON,27.22,27.5075,26.58,26.83,1810615.0,2022-01-19
