,ticker,open,high,low,close,volume,timestamp
0,ORKT,5.2,7.5,5.0,5.7,3867485.0,2024-07-25
1,ORKT,5.52,6.39,5.52,5.53,311056.0,2024-07-26
2,ORKT,5.57,5.9016,5.4138,5.42,138136.0,2024-07-29
3,ORKT,5.47,5.65,5.3,5.37,43475.0,2024-07-30
4,ORKT,5.49,5.49,5.0,5.06,83306.0,2024-07-31
5,ORKT,4.93,5.43,4.5075,5.43,76656.0,2024-08-01
6,ORKT,5.42,5.59,5.3,5.3987,16852.0,2024-08-02
7,ORKT,5.35,5.38,5.0,5.13,79041.0,2024-08-05
8,ORKT,5.225,5.295,5.05,5.1601,17374.0,2024-08-06
9,ORKT,5.394,5.4,5.24,5.3586,20940.0,2024-08-07
10,ORKT,5.4,5.4,5.1,5.22,54414.0,2024-08-08
11,ORKT,5.38,5.5,5.38,5.4999,7915.0,2024-08-09
12,ORKT,5.5,7.2,5.5,6.28,338030.0,2024-08-12
13,ORKT,6.4,6.96,5.9,6.45,176666.0,2024-08-13
14,ORKT,6.45,6.7,5.7,5.985,109914.0,2024-08-14
15,ORKT,6.35,6.35,5.22,5.3,149353.0,2024-08-15
16,ORKT,5.55,5.95,4.1002,4.6,2719994.0,2024-08-16
17,ORKT,4.83,5.5,4.75,5.5,123877.0,2024-08-19
18,ORKT,5.27,5.73,5.05,5.46,279199.0,2024-08-20
19,ORKT,5.35,5.3732,5.0209,5.15,333892.0,2024-08-21
20,ORKT,5.16,5.39,5.06,5.16,41207.0,2024-08-22
21,ORKT,5.08,5.37,4.76,4.988,68820.0,2024-08-23
22,ORKT,4.84,5.3,4.77,5.17,65247.0,2024-08-26
23,ORKT,5.46,5.67,5.16,5.6,105257.0,2024-08-27
24,ORKT,5.52,5.8,5.3,5.535,128402.0,2024-08-28
25,ORKT,5.59,5.77,5.07,5.23,44937.0,2024-08-29
26,ORKT,5.3,5.48,4.8,4.87,167866.0,2024-08-30
27,ORKT,4.86,5.25,4.4,4.42,993120.0,2024-09-03
28,ORKT,4.33,4.8,3.54,4.01,535782.0,2024-09-04
29,ORKT,3.91,4.39,3.78,4.37,957368.0,2024-09-05
30,ORKT,4.49,4.72,4.17,4.72,765121.0,2024-09-06
31,ORKT,4.49,4.665,4.25,4.29,663548.0,2024-09-09
32,ORKT,4.21,4.99,4.2,4.75,218528.0,2024-09-10
33,ORKT,4.65,4.96,4.61,4.88,24135.0,2024-09-11
34,ORKT,4.73,5.6,4.71,5.15,213867.0,2024-09-12
35,ORKT,4.98,5.2,4.59,4.6,43921.0,2024-09-13
36,ORKT,4.9,4.9,4.5,4.53,36795.0,2024-09-16
