,ticker,open,high,low,close,volume,timestamp
0,PLBC,26.07,26.07,26.07,26.07,204,2020-01-02
1,PLBC,26.3,26.5,26.02,26.26,5563,2020-01-03
2,PLBC,25.8652,26.31,25.8652,26.3,1541,2020-01-06
3,PLBC,26.0679,26.48,26.0679,26.3,2248,2020-01-07
4,PLBC,26.3,26.49,25.88,26.3,5209,2020-01-08
5,PLBC,26.3,26.365,26.3,26.365,2623,2020-01-09
6,PLBC,26.34,26.43,26.0329,26.37,7140,2020-01-10
7,PLBC,26.5,26.5,26.05,26.48,4575,2020-01-13
8,PLBC,26.16,26.345,26.154,26.2,1343,2020-01-14
9,PLBC,26.21,26.9973,26.2,26.42,9047,2020-01-15
10,PLBC,26.65,26.785,26.65,26.68,3706,2020-01-16
11,PLBC,26.89,26.89,26.74,26.74,779,2020-01-17
12,PLBC,26.7,26.76,26.04,26.04,3348,2020-01-21
13,PLBC,25.66,26.34,25.66,26.0,2874,2020-01-22
14,PLBC,25.85,26.24,25.85,26.24,1068,2020-01-23
15,PLBC,25.6427,26.25,25.6427,26.2,1191,2020-01-24
16,PLBC,25.61,25.75,25.1,25.1,3470,2020-01-27
17,PLBC,25.75,25.8,25.527,25.59,8950,2020-01-28
18,PLBC,25.98,25.98,25.5,25.55,2606,2020-01-29
19,PLBC,25.525,26.0,25.15,25.39,6292,2020-01-30
20,PLBC,25.3784,25.4909,25.3784,25.4888,3186,2020-01-31
21,PLBC,25.3741,25.51,25.3741,25.51,973,2020-02-03
22,PLBC,25.38,26.01,25.38,26.0,9115,2020-02-04
23,PLBC,25.88,26.24,25.88,26.22,2196,2020-02-05
24,PLBC,26.75,27.1997,26.28,26.74,4250,2020-02-06
25,PLBC,26.36,26.7743,26.166,26.7743,4260,2020-02-07
26,PLBC,26.7729,28.45,26.5,27.4709,8656,2020-02-10
27,PLBC,27.3,27.89,26.505,27.75,7837,2020-02-11
28,PLBC,27.76,28.6,27.45,28.15,6897,2020-02-12
29,PLBC,29.23,29.23,26.36,28.44,1998,2020-02-13
30,PLBC,27.89,28.49,27.89,28.2505,8135,2020-02-14
31,PLBC,28.25,28.38,28.2,28.25,3439,2020-02-18
32,PLBC,28.25,28.25,28.2,28.22,4708,2020-02-19
33,PLBC,27.7,27.95,27.68,27.94,1165,2020-02-20
34,PLBC,27.46,27.91,27.46,27.8,728,2020-02-21
