,ticker,open,high,low,close,volume,timestamp
0,QIPT,7.34,7.72,6.6701,7.19,135555.0,2021-05-27
1,QIPT,7.4,7.43,6.91,6.91,85807.0,2021-05-28
2,QIPT,7.1,7.1,6.51,6.6,69389.0,2021-06-01
3,QIPT,7.0,7.0,6.14,6.25,70400.0,2021-06-02
4,QIPT,6.25,6.546,5.82,6.04,98903.0,2021-06-03
5,QIPT,6.0,6.33,6.0,6.1,77779.0,2021-06-04
6,QIPT,6.1,6.1859,6.05,6.13,154947.0,2021-06-07
7,QIPT,6.95,6.95,6.02,6.17,198153.0,2021-06-08
8,QIPT,6.17,6.35,6.1072,6.35,164554.0,2021-06-09
9,QIPT,6.34,6.52,6.15,6.17,110558.0,2021-06-10
10,QIPT,6.28,6.28,6.0,6.12,138446.0,2021-06-11
11,QIPT,6.02,6.12,5.86,5.92,133335.0,2021-06-14
12,QIPT,5.86,5.9733,5.85,5.91,44628.0,2021-06-15
13,QIPT,5.88,5.95,5.74,5.74,85743.0,2021-06-16
14,QIPT,5.72,5.84,5.6125,5.64,108662.0,2021-06-17
15,QIPT,5.71,5.7193,5.51,5.58,151796.0,2021-06-18
16,QIPT,5.52,5.68,5.5,5.51,127590.0,2021-06-21
17,QIPT,5.51,5.57,5.42,5.53,122230.0,2021-06-22
18,QIPT,5.51,5.61,5.5,5.61,264234.0,2021-06-23
19,QIPT,5.65,6.1,5.53,6.03,163189.0,2021-06-24
20,QIPT,6.09,6.53,6.0,6.53,162064.0,2021-06-25
21,QIPT,6.45,6.48,6.22,6.42,37745.0,2021-06-28
22,QIPT,6.39,6.4999,6.19,6.28,64154.0,2021-06-29
23,QIPT,6.3411,6.41,6.15,6.2688,32343.0,2021-06-30
24,QIPT,6.28,6.4135,6.25,6.39,31623.0,2021-07-01
25,QIPT,6.39,6.39,6.06,6.2,45285.0,2021-07-02
26,QIPT,6.0,6.26,5.66,5.84,123621.0,2021-07-06
27,QIPT,5.84,5.9899,5.7069,5.8,93495.0,2021-07-07
28,QIPT,5.63,6.2,5.55,5.89,122784.0,2021-07-08
29,QIPT,5.97,6.3062,5.81,5.9,79130.0,2021-07-09
30,QIPT,5.95,6.04,5.91,6.02,66693.0,2021-07-12
31,QIPT,6.01,6.0399,5.57,5.73,103702.0,2021-07-13
32,QIPT,6.13,6.13,5.6927,5.84,170179.0,2021-07-14
33,QIPT,5.86,6.42,5.86,6.4,178270.0,2021-07-15
34,QIPT,6.4,6.4,6.2,6.23,78504.0,2021-07-16
35,QIPT,6.26,6.3355,5.88,6.0,60285.0,2021-07-19
36,QIPT,6.04,6.04,5.8,5.9,71097.0,2021-07-20
37,QIPT,5.85,5.965,5.8001,5.85,122697.0,2021-07-21
38,QIPT,5.9,6.099,5.9,6.04,22683.0,2021-07-22
39,QIPT,6.09,6.09,5.9,5.99,58588.0,2021-07-23
40,QIPT,5.98,6.085,5.8101,5.91,105094.0,2021-07-26
41,QIPT,5.87,5.9,5.74,5.74,39468.0,2021-07-27
42,QIPT,5.77,5.77,5.5,5.55,215213.0,2021-07-28
43,QIPT,5.56,5.71,5.52,5.55,118624.0,2021-07-29
44,QIPT,5.55,5.6862,5.48,5.5,55234.0,2021-07-30
45,QIPT,5.46,5.575,5.46,5.55,24105.0,2021-08-02
46,QIPT,5.63,5.63,5.34,5.38,113403.0,2021-08-03
47,QIPT,5.31,5.31,5.1,5.1989,128339.0,2021-08-04
48,QIPT,5.12,5.5,5.12,5.47,37379.0,2021-08-05
49,QIPT,5.5,5.53,5.35,5.53,113354.0,2021-08-06
50,QIPT,5.5,5.7415,5.47,5.66,129601.0,2021-08-09
51,QIPT,5.7607,5.7607,5.65,5.74,23000.0,2021-08-10
52,QIPT,5.75,5.95,5.75,5.8,33973.0,2021-08-11
53,QIPT,5.8,5.9,5.7,5.84,44397.0,2021-08-12
54,QIPT,5.81,5.95,5.74,5.82,85690.0,2021-08-13
55,QIPT,5.76,5.9899,5.74,5.83,71810.0,2021-08-16
56,QIPT,5.86,5.9,5.69,5.82,102567.0,2021-08-17
57,QIPT,5.78,5.88,5.7224,5.79,41662.0,2021-08-18
58,QIPT,5.76,5.95,5.72,5.8,102737.0,2021-08-19
59,QIPT,5.8,5.85,5.76,5.83,52653.0,2021-08-20
60,QIPT,5.8,6.15,5.8,6.03,114407.0,2021-08-23
61,QIPT,6.03,6.76,6.03,6.75,250395.0,2021-08-24
62,QIPT,6.69,6.9,6.5201,6.89,71761.0,2021-08-25
63,QIPT,6.85,6.85,6.4916,6.61,35683.0,2021-08-26
64,QIPT,6.538,6.7799,6.42,6.5,83519.0,2021-08-27
65,QIPT,6.57,6.58,6.33,6.58,30133.0,2021-08-30
66,QIPT,6.62,6.6836,6.35,6.53,47941.0,2021-08-31
67,QIPT,6.63,6.63,6.435,6.59,36081.0,2021-09-01
68,QIPT,6.63,6.78,6.45,6.74,50913.0,2021-09-02
69,QIPT,6.74,6.85,6.68,6.7,55992.0,2021-09-03
70,QIPT,6.7,6.7,6.364,6.45,98626.0,2021-09-07
71,QIPT,6.37,6.4501,6.24,6.28,54199.0,2021-09-08
72,QIPT,6.31,6.5,6.3,6.46,67081.0,2021-09-09
73,QIPT,6.433,6.45,6.19,6.21,75161.0,2021-09-10
74,QIPT,6.28,6.28,6.05,6.17,100183.0,2021-09-13
75,QIPT,6.18,6.22,5.98,6.18,102426.0,2021-09-14
76,QIPT,6.11,6.11,5.96,6.05,20521.0,2021-09-15
77,QIPT,6.05,6.05,5.78,5.96,83389.0,2021-09-16
78,QIPT,5.95,5.95,5.735,5.78,68374.0,2021-09-17
79,QIPT,5.73,5.7523,5.56,5.62,90690.0,2021-09-20
80,QIPT,5.69,5.69,5.51,5.54,45676.0,2021-09-21
81,QIPT,5.51,5.81,5.5,5.81,69879.0,2021-09-22
