,ticker,open,high,low,close,volume,timestamp
0,RAPP,18.0,22.28,18.0,20.8,1777794.0,2024-06-07
1,RAPP,20.22,26.44,20.22,26.19,280038.0,2024-06-10
2,RAPP,27.11,27.11,20.32,20.85,464334.0,2024-06-11
3,RAPP,22.0,24.0,19.0,22.73,278575.0,2024-06-12
4,RAPP,22.09,24.55,20.5001,23.05,159247.0,2024-06-13
5,RAPP,22.55,25.77,21.3,24.3,368060.0,2024-06-14
6,RAPP,25.73,25.73,24.25,25.38,194085.0,2024-06-17
7,RAPP,24.57,26.455,24.57,25.28,581716.0,2024-06-18
8,RAPP,25.35,25.4299,21.05,22.18,404703.0,2024-06-20
9,RAPP,21.26,23.75,21.2,22.07,506801.0,2024-06-21
10,RAPP,21.97,23.1275,21.3135,22.3,52610.0,2024-06-24
11,RAPP,22.9,24.37,21.78,22.7,113254.0,2024-06-25
12,RAPP,22.32,24.09,22.16,23.26,110098.0,2024-06-26
13,RAPP,24.05,24.91,22.54,22.93,169653.0,2024-06-27
14,RAPP,22.95,24.08,22.495,23.26,181441.0,2024-06-28
15,RAPP,23.97,26.59,22.55,25.44,376851.0,2024-07-01
16,RAPP,25.63,26.7448,24.66,25.01,227599.0,2024-07-02
17,RAPP,25.49,25.49,23.025,23.3,248079.0,2024-07-03
18,RAPP,24.14,24.6965,22.94,23.93,171026.0,2024-07-05
19,RAPP,23.62,24.9,23.55,24.27,49604.0,2024-07-08
20,RAPP,24.02,26.92,24.0,25.87,81542.0,2024-07-09
21,RAPP,25.65,26.2,23.84,23.84,190566.0,2024-07-10
22,RAPP,23.64,27.14,23.62,25.89,233799.0,2024-07-11
23,RAPP,25.86,26.64,24.4,25.67,88381.0,2024-07-12
24,RAPP,25.45,27.0,22.9629,25.0,95658.0,2024-07-15
25,RAPP,24.9,27.57,24.26,27.57,120854.0,2024-07-16
26,RAPP,28.08,28.08,24.7,26.15,155947.0,2024-07-17
27,RAPP,26.6,26.6,23.03,23.03,120320.0,2024-07-18
28,RAPP,23.51,24.02,19.61,20.12,229479.0,2024-07-19
29,RAPP,20.66,21.79,18.855,20.47,175381.0,2024-07-22
30,RAPP,20.08,22.87,19.65,20.35,122002.0,2024-07-23
31,RAPP,19.92,21.95,19.7,20.23,81955.0,2024-07-24
32,RAPP,19.98,23.0,19.4,22.21,66391.0,2024-07-25
33,RAPP,22.24,23.67,22.01,23.05,49285.0,2024-07-26
34,RAPP,22.85,23.98,22.01,22.6,31225.0,2024-07-29
35,RAPP,22.52,23.2,19.6499,20.98,132762.0,2024-07-30
36,RAPP,21.16,23.0065,20.5,22.72,179685.0,2024-07-31
37,RAPP,23.02,23.02,19.29,20.5,143951.0,2024-08-01
38,RAPP,20.2,22.55,19.3995,22.08,100518.0,2024-08-02
39,RAPP,21.0,21.44,19.72,20.52,168524.0,2024-08-05
40,RAPP,20.89,23.0,18.8,21.16,70760.0,2024-08-06
41,RAPP,21.2,21.3,18.5201,18.86,83857.0,2024-08-07
42,RAPP,18.71,19.535,16.55,18.56,284171.0,2024-08-08
43,RAPP,17.74,21.4,17.74,19.06,154502.0,2024-08-09
44,RAPP,18.87,19.64,17.5,18.27,160911.0,2024-08-12
45,RAPP,18.52,21.03,17.86,20.36,79885.0,2024-08-13
46,RAPP,20.75,21.39,20.25,20.4,39610.0,2024-08-14
47,RAPP,20.92,21.3,19.75,20.38,73525.0,2024-08-15
48,RAPP,20.19,22.0,19.705,20.81,83928.0,2024-08-16
49,RAPP,21.08,21.51,20.0,21.11,87056.0,2024-08-19
50,RAPP,21.3,22.28,20.65,22.0,62079.0,2024-08-20
51,RAPP,22.44,22.66,21.47,22.47,91304.0,2024-08-21
52,RAPP,22.44,22.98,20.98,21.21,60505.0,2024-08-22
53,RAPP,21.45,22.715,21.24,22.3,68993.0,2024-08-23
54,RAPP,22.29,23.52,21.89,21.89,121368.0,2024-08-26
55,RAPP,21.72,21.9,19.3001,20.4,122483.0,2024-08-27
56,RAPP,20.826,21.14,20.0,20.18,71632.0,2024-08-28
57,RAPP,20.3,21.09,19.8,19.8,108591.0,2024-08-29
58,RAPP,19.87,22.1,19.87,21.75,108491.0,2024-08-30
59,RAPP,21.5,21.715,20.22,20.24,91794.0,2024-09-03
60,RAPP,20.1,22.53,20.1,21.2,151620.0,2024-09-04
61,RAPP,21.93,22.32,21.0769,21.22,99837.0,2024-09-05
62,RAPP,21.71,21.87,20.0,20.33,162619.0,2024-09-06
63,RAPP,20.59,20.965,19.115,19.66,133173.0,2024-09-09
64,RAPP,19.87,20.24,19.12,19.74,140961.0,2024-09-10
65,RAPP,19.81,20.0523,18.62,18.91,78686.0,2024-09-11
66,RAPP,19.05,19.73,18.35,18.91,92981.0,2024-09-12
67,RAPP,19.05,20.25,18.0099,19.0,98644.0,2024-09-13
68,RAPP,18.96,19.84,18.37,18.79,130251.0,2024-09-16
